goodId	rangeId	levelRange	item	des	itemCnt	rateValue	originalUnbindRMB	needUnbindRMB	RMBType	needSockCnt	discountFlag	isLowestPrice
68	5	[80,99]	(26925,5)	生命之源	1	1000	325	225	0	0	SDJNH_7z	0
69	6	[100,119]	(26925,5)	生命之源	1	1000	325	225	0	0	SDJNH_7z	0
70	7	[120,139]	(26925,5)	生命之源	1	1000	325	225	0	0	SDJNH_7z	0
71	8	[140,179]	(26925,5)	生命之源	1	1000	325	225	0	0	SDJNH_7z	0
72	2	[40,59]	(26924,5)	生命结晶	1	1000	325	225	0	0	SDJNH_7z	0
73	3	[60,64]	(26924,5)	生命结晶	1	1000	325	225	0	0	SDJNH_7z	0
74	4	[65,79]	(26924,5)	生命结晶	1	1000	325	225	0	0	SDJNH_7z	0
75	5	[80,99]	(26924,5)	生命结晶	1	1000	325	225	0	0	SDJNH_7z	0
76	6	[100,119]	(26924,5)	生命结晶	1	1000	325	225	0	0	SDJNH_7z	0
77	7	[120,139]	(26924,5)	生命结晶	1	1000	325	225	0	0	SDJNH_7z	0
78	8	[140,179]	(26924,5)	生命结晶	1	1000	325	225	0	0	SDJNH_7z	0
79	5	[80,99]	(27041,5)	龙脉精华	1	1000	250	195	0	0	SDJNH_8z	0
80	6	[100,119]	(27041,5)	龙脉精华	1	1000	250	195	0	0	SDJNH_8z	0
81	7	[120,139]	(27041,5)	龙脉精华	1	1000	250	195	0	0	SDJNH_8z	0
82	8	[140,179]	(27041,5)	龙脉精华	1	1000	250	195	0	0	SDJNH_8z	0
83	5	[80,99]	(27042,5)	龙脉精魄	1	1000	250	195	0	0	SDJNH_8z	0
84	6	[100,119]	(27042,5)	龙脉精魄	1	1000	250	195	0	0	SDJNH_8z	0
85	7	[120,139]	(27042,5)	龙脉精魄	1	1000	250	195	0	0	SDJNH_8z	0
86	8	[140,179]	(27042,5)	龙脉精魄	1	1000	250	195	0	0	SDJNH_8z	0
87	1	[30,39]	(26026,1)	四级宝石礼盒	1	1000	295	175	0	0	SDJNH_6z	0
88	2	[40,59]	(26026,1)	四级宝石礼盒	1	1000	295	175	0	0	SDJNH_6z	0
89	3	[60,64]	(26026,1)	四级宝石礼盒	1	1000	295	175	0	0	SDJNH_6z	0
90	4	[65,79]	(26026,1)	四级宝石礼盒	1	1000	295	175	0	0	SDJNH_6z	0
91	5	[80,99]	(26026,1)	四级宝石礼盒	1	1000	295	175	0	0	SDJNH_6z	0
92	6	[100,119]	(26026,1)	四级宝石礼盒	1	1000	295	175	0	0	SDJNH_6z	0
93	7	[120,139]	(26026,1)	四级宝石礼盒	1	1000	295	175	0	0	SDJNH_6z	0
94	8	[140,179]	(26026,1)	四级宝石礼盒	1	1000	295	175	0	0	SDJNH_6z	0
95	3	[60,64]	(26227,1)	四级符文礼盒	1	1000	295	175	0	0	SDJNH_6z	0
96	4	[65,79]	(26227,1)	四级符文礼盒	1	1000	295	175	0	0	SDJNH_6z	0
97	5	[80,99]	(26227,1)	四级符文礼盒	1	1000	295	175	0	0	SDJNH_6z	0
98	6	[100,119]	(26227,1)	四级符文礼盒	1	1000	295	175	0	0	SDJNH_6z	0
99	7	[120,139]	(26227,1)	四级符文礼盒	1	1000	295	175	0	0	SDJNH_6z	0
100	8	[140,179]	(26227,1)	四级符文礼盒	1	1000	295	175	0	0	SDJNH_6z	0
101	1	[30,39]	(25656,1)	一星召唤令	1	1000	1000	200	0	0	SDJNH_2z	0
102	2	[40,59]	(25657,1)	二星召唤令	1	1000	1000	200	0	0	SDJNH_2z	0
103	3	[60,64]	(25658,1)	三星召唤令	1	1000	1000	200	0	0	SDJNH_2z	0
104	4	[65,79]	(25658,1)	三星召唤令	1	1000	1000	200	0	0	SDJNH_2z	0
105	5	[80,99]	(25659,1)	四星召唤令	1	1000	1000	200	0	0	SDJNH_2z	0
106	6	[100,119]	(25660,1)	五星召唤令	1	1000	1000	200	0	0	SDJNH_2z	0
107	7	[120,139]	(26525,1)	六星召唤令	1	1000	1000	200	0	0	SDJNH_2z	0
108	8	[140,179]	(27047,1)	七星召唤令	1	1000	1000	200	0	0	SDJNH_2z	0
109	1	[30,39]	(26033,1)	二级宝石礼盒	1	1000	85	15	0	0	SDJNH_2z	0
110	2	[40,59]	(26033,1)	二级宝石礼盒	1	1000	85	15	0	0	SDJNH_2z	0
111	3	[60,64]	(26033,1)	二级宝石礼盒	1	1000	85	15	0	0	SDJNH_2z	0
112	4	[65,79]	(26033,1)	二级宝石礼盒	1	1000	85	15	0	0	SDJNH_2z	0
113	5	[80,99]	(26033,1)	二级宝石礼盒	1	1000	85	15	0	0	SDJNH_2z	0
114	6	[100,119]	(26033,1)	二级宝石礼盒	1	1000	85	15	0	0	SDJNH_2z	0
115	7	[120,139]	(26033,1)	二级宝石礼盒	1	1000	85	15	0	0	SDJNH_2z	0
116	8	[140,179]	(26033,1)	二级宝石礼盒	1	1000	85	15	0	0	SDJNH_2z	0
117	3	[60,64]	(26119,1)	二级符文礼盒	1	1000	85	25	0	0	SDJNH_3z	0
118	4	[65,79]	(26119,1)	二级符文礼盒	1	1000	85	25	0	0	SDJNH_3z	0
119	5	[80,99]	(26119,1)	二级符文礼盒	1	1000	85	25	0	0	SDJNH_3z	0
120	6	[100,119]	(26119,1)	二级符文礼盒	1	1000	85	25	0	0	SDJNH_3z	0
121	7	[120,139]	(26119,1)	二级符文礼盒	1	1000	85	25	0	0	SDJNH_3z	0
122	8	[140,179]	(26119,1)	二级符文礼盒	1	1000	85	25	0	0	SDJNH_3z	0
123	2	[40,59]	(26042,5)	占卜令	1	1000	4475	2235	0	0	SDJNH_5z	0
124	3	[60,64]	(26042,5)	占卜令	1	1000	4475	2235	0	0	SDJNH_5z	0
125	2	[40,59]	(26042,1)	占卜令	1	1000	895	445	0	0	SDJNH_5z	0
126	3	[60,64]	(26042,1)	占卜令	1	1000	895	445	0	0	SDJNH_5z	0
127	4	[65,79]	(37012,1)	蓝色妖姬	1	1000	3995	1995	0	0	SDJNH_5z	0
128	5	[80,99]	(37012,1)	蓝色妖姬	1	1000	3995	1995	0	0	SDJNH_5z	0
129	6	[100,119]	(37012,1)	蓝色妖姬	1	1000	3995	1995	0	0	SDJNH_5z	0
130	7	[120,139]	(37012,1)	蓝色妖姬	1	1000	3995	1995	0	0	SDJNH_5z	0
131	8	[140,179]	(37012,1)	蓝色妖姬	1	1000	3995	1995	0	0	SDJNH_5z	0
132	4	[65,79]	(37016,1)	蓝色魅力	1	1000	3995	1995	0	0	SDJNH_5z	0
133	5	[80,99]	(37016,1)	蓝色魅力	1	1000	3995	1995	0	0	SDJNH_5z	0
134	6	[100,119]	(37016,1)	蓝色魅力	1	1000	3995	1995	0	0	SDJNH_5z	0
135	7	[120,139]	(37016,1)	蓝色魅力	1	1000	3995	1995	0	0	SDJNH_5z	0
136	8	[140,179]	(37016,1)	蓝色魅力	1	1000	3995	1995	0	0	SDJNH_5z	0
137	2	[40,59]	(37001,1)	天使·圣洁之心	1	1000	1395	695	0	0	SDJNH_5z	0
138	3	[60,64]	(37001,1)	天使·圣洁之心	1	1000	1395	695	0	0	SDJNH_5z	0
139	4	[65,79]	(37001,1)	天使·圣洁之心	1	1000	1395	695	0	0	SDJNH_5z	0
140	5	[80,99]	(37001,1)	天使·圣洁之心	1	1000	1395	695	0	0	SDJNH_5z	0
141	6	[100,119]	(37001,1)	天使·圣洁之心	1	1000	1395	695	0	0	SDJNH_5z	0
142	7	[120,139]	(37001,1)	天使·圣洁之心	1	1000	1395	695	0	0	SDJNH_5z	0
143	8	[140,179]	(37001,1)	天使·圣洁之心	1	1000	1395	695	0	0	SDJNH_5z	0
144	2	[40,59]	(37002,1)	天使·圣洁之风	1	1000	1395	695	0	0	SDJNH_5z	0
145	3	[60,64]	(37002,1)	天使·圣洁之风	1	1000	1395	695	0	0	SDJNH_5z	0
146	4	[65,79]	(37002,1)	天使·圣洁之风	1	1000	1395	695	0	0	SDJNH_5z	0
147	5	[80,99]	(37002,1)	天使·圣洁之风	1	1000	1395	695	0	0	SDJNH_5z	0
148	6	[100,119]	(37002,1)	天使·圣洁之风	1	1000	1395	695	0	0	SDJNH_5z	0
149	7	[120,139]	(37002,1)	天使·圣洁之风	1	1000	1395	695	0	0	SDJNH_5z	0
150	8	[140,179]	(37002,1)	天使·圣洁之风	1	1000	1395	695	0	0	SDJNH_5z	0
151	2	[40,59]	(37004,1)	天使·圣洁之光	1	1000	995	495	0	0	SDJNH_5z	0
152	3	[60,64]	(37004,1)	天使·圣洁之光	1	1000	995	495	0	0	SDJNH_5z	0
153	4	[65,79]	(37004,1)	天使·圣洁之光	1	1000	995	495	0	0	SDJNH_5z	0
154	5	[80,99]	(37004,1)	天使·圣洁之光	1	1000	995	495	0	0	SDJNH_5z	0
155	6	[100,119]	(37004,1)	天使·圣洁之光	1	1000	995	495	0	0	SDJNH_5z	0
156	7	[120,139]	(37004,1)	天使·圣洁之光	1	1000	995	495	0	0	SDJNH_5z	0
157	8	[140,179]	(37004,1)	天使·圣洁之光	1	1000	995	495	0	0	SDJNH_5z	0
158	1	[30,39]	(26226,1)	七级宝石礼盒	1	1000	2360	1180	0	0	SDJNH_5z	0
159	2	[40,59]	(26226,1)	七级宝石礼盒	1	1000	2360	1180	0	0	SDJNH_5z	0
160	3	[60,64]	(26226,1)	七级宝石礼盒	1	1000	2360	1180	0	0	SDJNH_5z	0
161	4	[65,79]	(26226,1)	七级宝石礼盒	1	1000	2360	1180	0	0	SDJNH_5z	0
162	5	[80,99]	(26226,1)	七级宝石礼盒	1	1000	2360	1180	0	0	SDJNH_5z	0
163	6	[100,119]	(26226,1)	七级宝石礼盒	1	1000	2360	1180	0	0	SDJNH_5z	0
164	7	[120,139]	(26226,1)	七级宝石礼盒	1	1000	2360	1180	0	0	SDJNH_5z	0
165	8	[140,179]	(26226,1)	七级宝石礼盒	1	1000	2360	1180	0	0	SDJNH_5z	0
166	3	[60,64]	(26230,1)	七级符文礼盒	1	1000	2360	1415	0	0	SDJNH_6z	0
167	4	[65,79]	(26230,1)	七级符文礼盒	1	1000	2360	1415	0	0	SDJNH_6z	0
168	5	[80,99]	(26230,1)	七级符文礼盒	1	1000	2360	1415	0	0	SDJNH_6z	0
169	6	[100,119]	(26230,1)	七级符文礼盒	1	1000	2360	1415	0	0	SDJNH_6z	0
170	7	[120,139]	(26230,1)	七级符文礼盒	1	1000	2360	1415	0	0	SDJNH_6z	0
171	8	[140,179]	(26230,1)	七级符文礼盒	1	1000	2360	1415	0	0	SDJNH_6z	0
172	1	[30,39]	(25794,1)	九级法攻宝石	1	1000	9440	6595	0	0	SDJNH_7z	0
173	2	[40,59]	(25794,1)	九级法攻宝石	1	1000	9440	6595	0	0	SDJNH_7z	0
182	3	[60,64]	(25797,1)	九级暴击宝石	1	1000	9440	6595	0	0	SDJNH_7z	0
183	4	[65,79]	(25797,1)	九级暴击宝石	1	1000	9440	6595	0	0	SDJNH_7z	0
184	5	[80,99]	(25797,1)	九级暴击宝石	1	1000	9440	6595	0	0	SDJNH_7z	0
185	6	[100,119]	(25797,1)	九级暴击宝石	1	1000	9440	6595	0	0	SDJNH_7z	0
186	7	[120,139]	(25797,1)	九级暴击宝石	1	1000	9440	6595	0	0	SDJNH_7z	0
187	8	[140,179]	(25797,1)	九级暴击宝石	1	1000	9440	6595	0	0	SDJNH_7z	0
188	3	[60,64]	(25948,1)	九级英勇符文	1	1000	9440	7545	0	0	SDJNH_8z	0
189	4	[65,79]	(25948,1)	九级英勇符文	1	1000	9440	7545	0	0	SDJNH_8z	0
190	5	[80,99]	(25948,1)	九级英勇符文	1	1000	9440	7545	0	0	SDJNH_8z	0
191	6	[100,119]	(25948,1)	九级英勇符文	1	1000	9440	7545	0	0	SDJNH_8z	0
192	7	[120,139]	(25948,1)	九级英勇符文	1	1000	9440	7545	0	0	SDJNH_8z	0
193	8	[140,179]	(25948,1)	九级英勇符文	1	1000	9440	7545	0	0	SDJNH_8z	0
194	1	[30,39]	(26450,5)	许愿币	1	1000	325	130	1	2	SDJNH_4z	1
195	2	[40,59]	(26450,5)	许愿币	1	1000	325	130	1	2	SDJNH_4z	1
196	3	[60,64]	(26450,5)	许愿币	1	1000	325	130	1	2	SDJNH_4z	1
197	4	[65,79]	(26450,5)	许愿币	1	1000	325	130	1	2	SDJNH_4z	1
198	5	[80,99]	(26450,5)	许愿币	1	1000	325	130	1	2	SDJNH_4z	1
199	6	[100,119]	(26450,5)	许愿币	1	1000	325	130	1	2	SDJNH_4z	1
200	7	[120,139]	(26450,5)	许愿币	1	1000	325	130	1	2	SDJNH_4z	1
201	8	[140,179]	(26450,5)	许愿币	1	1000	325	130	1	2	SDJNH_4z	1
202	3	[60,64]	(26144,10)	宠物圣果	1	1000	950	375	1	2	SDJNH_4z	1
203	4	[65,79]	(26144,10)	宠物圣果	1	1000	950	375	1	2	SDJNH_4z	1
204	5	[80,99]	(26144,10)	宠物圣果	1	1000	950	375	1	2	SDJNH_4z	1
205	6	[100,119]	(26144,10)	宠物圣果	1	1000	950	375	1	2	SDJNH_4z	1
206	7	[120,139]	(26144,10)	宠物圣果	1	1000	950	375	1	2	SDJNH_4z	1
207	8	[140,179]	(26144,10)	宠物圣果	1	1000	950	375	1	2	SDJNH_4z	1
208	5	[80,99]	(26677,5)	时装精华	1	1000	475	185	1	2	SDJNH_4z	1
209	6	[100,119]	(26677,5)	时装精华	1	1000	475	185	1	2	SDJNH_4z	1
210	7	[120,139]	(26677,5)	时装精华	1	1000	475	185	1	2	SDJNH_4z	1
211	8	[140,179]	(26677,5)	时装精华	1	1000	475	185	1	2	SDJNH_4z	1
212	3	[60,64]	(26479,5)	装备附魔石	1	1000	250	125	1	2	SDJNH_5z	1
213	4	[65,79]	(26479,5)	装备附魔石	1	1000	250	125	1	2	SDJNH_5z	1
214	5	[80,99]	(26479,5)	装备附魔石	1	1000	250	125	1	2	SDJNH_5z	1
215	6	[100,119]	(26479,5)	装备附魔石	1	1000	250	125	1	2	SDJNH_5z	1
216	7	[120,139]	(26479,5)	装备附魔石	1	1000	250	125	1	2	SDJNH_5z	1
217	8	[140,179]	(26479,5)	装备附魔石	1	1000	250	125	1	2	SDJNH_5z	1
218	3	[60,64]	(26344,5)	姻缘石	1	1000	125	50	1	2	SDJNH_4z	1
219	4	[65,79]	(26344,5)	姻缘石	1	1000	125	50	1	2	SDJNH_4z	1
220	5	[80,99]	(26344,5)	姻缘石	1	1000	125	50	1	2	SDJNH_4z	1
221	6	[100,119]	(26344,5)	姻缘石	1	1000	125	50	1	2	SDJNH_4z	1
222	7	[120,139]	(26344,5)	姻缘石	1	1000	125	50	1	2	SDJNH_4z	1
223	8	[140,179]	(26344,5)	姻缘石	1	1000	125	50	1	2	SDJNH_4z	1
224	3	[60,64]	(26676,1)	时装之魄	1	1000	795	315	1	3	SDJNH_4z	1
225	4	[65,79]	(26676,1)	时装之魄	1	1000	795	315	1	3	SDJNH_4z	1
226	5	[80,99]	(26676,1)	时装之魄	1	1000	795	315	1	3	SDJNH_4z	1
227	6	[100,119]	(26676,1)	时装之魄	1	1000	795	315	1	3	SDJNH_4z	1
228	7	[120,139]	(26676,1)	时装之魄	1	1000	795	315	1	3	SDJNH_4z	1
229	8	[140,179]	(26676,1)	时装之魄	1	1000	795	315	1	3	SDJNH_4z	1
230	5	[80,99]	(26298,5)	圣器附魔石	1	1000	975	390	1	3	SDJNH_4z	1
231	6	[100,119]	(26298,5)	圣器附魔石	1	1000	975	390	1	3	SDJNH_4z	1
232	7	[120,139]	(26298,5)	圣器附魔石	1	1000	975	390	1	3	SDJNH_4z	1
233	8	[140,179]	(26298,5)	圣器附魔石	1	1000	975	390	1	3	SDJNH_4z	1
234	3	[60,64]	(27570,5)	时装水晶石	1	1000	975	585	1	2	SDJNH_6z	1
235	4	[65,79]	(27570,5)	时装水晶石	1	1000	975	585	1	2	SDJNH_6z	1
236	5	[80,99]	(27570,5)	时装水晶石	1	1000	975	585	1	2	SDJNH_6z	1
237	6	[100,119]	(27570,5)	时装水晶石	1	1000	975	585	1	2	SDJNH_6z	1
238	7	[120,139]	(27570,5)	时装水晶石	1	1000	975	585	1	2	SDJNH_6z	1
239	8	[140,179]	(27570,5)	时装水晶石	1	1000	975	585	1	2	SDJNH_6z	1
240	2	[40,59]	(26925,5)	生命之源	1	1000	325	130	1	2	SDJNH_4z	1
241	3	[60,64]	(26925,5)	生命之源	1	1000	325	130	1	2	SDJNH_4z	1
242	4	[65,79]	(26925,5)	生命之源	1	1000	325	130	1	2	SDJNH_4z	1
243	5	[80,99]	(26925,5)	生命之源	1	1000	325	130	1	2	SDJNH_4z	1
244	6	[100,119]	(26925,5)	生命之源	1	1000	325	130	1	2	SDJNH_4z	1
245	7	[120,139]	(26925,5)	生命之源	1	1000	325	130	1	2	SDJNH_4z	1
246	8	[140,179]	(26925,5)	生命之源	1	1000	325	130	1	2	SDJNH_4z	1
247	2	[40,59]	(26924,5)	生命结晶	1	1000	325	130	1	2	SDJNH_4z	1
248	3	[60,64]	(26924,5)	生命结晶	1	1000	325	130	1	2	SDJNH_4z	1
249	4	[65,79]	(26924,5)	生命结晶	1	1000	325	130	1	2	SDJNH_4z	1
250	5	[80,99]	(26924,5)	生命结晶	1	1000	325	130	1	2	SDJNH_4z	1
251	6	[100,119]	(26924,5)	生命结晶	1	1000	325	130	1	2	SDJNH_4z	1
252	7	[120,139]	(26924,5)	生命结晶	1	1000	325	130	1	2	SDJNH_4z	1
253	8	[140,179]	(26924,5)	生命结晶	1	1000	325	130	1	2	SDJNH_4z	1
254	5	[80,99]	(27041,5)	龙脉精华	1	1000	250	125	1	2	SDJNH_5z	1
255	6	[100,119]	(27041,5)	龙脉精华	1	1000	250	125	1	2	SDJNH_5z	1
256	7	[120,139]	(27041,5)	龙脉精华	1	1000	250	125	1	2	SDJNH_5z	1
257	8	[140,179]	(27041,5)	龙脉精华	1	1000	250	125	1	2	SDJNH_5z	1
258	5	[80,99]	(27042,5)	龙脉精魄	1	1000	250	125	1	2	SDJNH_5z	1
259	6	[100,119]	(27042,5)	龙脉精魄	1	1000	250	125	1	2	SDJNH_5z	1
260	7	[120,139]	(27042,5)	龙脉精魄	1	1000	250	125	1	2	SDJNH_5z	1
261	8	[140,179]	(27042,5)	龙脉精魄	1	1000	250	125	1	2	SDJNH_5z	1
262	1	[30,39]	(26026,1)	四级宝石礼盒	1	1000	295	85	1	2	SDJNH_3z	1
263	2	[40,59]	(26026,1)	四级宝石礼盒	1	1000	295	85	1	2	SDJNH_3z	1
264	3	[60,64]	(26026,1)	四级宝石礼盒	1	1000	295	85	1	2	SDJNH_3z	1
265	4	[65,79]	(26026,1)	四级宝石礼盒	1	1000	295	85	1	2	SDJNH_3z	1
266	5	[80,99]	(26026,1)	四级宝石礼盒	1	1000	295	85	1	2	SDJNH_3z	1
267	6	[100,119]	(26026,1)	四级宝石礼盒	1	1000	295	85	1	2	SDJNH_3z	1
268	7	[120,139]	(26026,1)	四级宝石礼盒	1	1000	295	85	1	2	SDJNH_3z	1
269	8	[140,179]	(26026,1)	四级宝石礼盒	1	1000	295	85	1	2	SDJNH_3z	1
270	3	[60,64]	(26227,1)	四级符文礼盒	1	1000	295	85	1	2	SDJNH_3z	1
271	4	[65,79]	(26227,1)	四级符文礼盒	1	1000	295	85	1	2	SDJNH_3z	1
272	5	[80,99]	(26227,1)	四级符文礼盒	1	1000	295	85	1	2	SDJNH_3z	1
273	6	[100,119]	(26227,1)	四级符文礼盒	1	1000	295	85	1	2	SDJNH_3z	1
274	7	[120,139]	(26227,1)	四级符文礼盒	1	1000	295	85	1	2	SDJNH_3z	1
275	8	[140,179]	(26227,1)	四级符文礼盒	1	1000	295	85	1	2	SDJNH_3z	1
276	1	[30,39]	(25656,1)	一星召唤令	1	1000	1000	100	1	2	SDJNH_1z	1
277	2	[40,59]	(25657,1)	二星召唤令	1	1000	1000	100	1	2	SDJNH_1z	1
278	3	[60,64]	(25658,1)	三星召唤令	1	1000	1000	100	1	2	SDJNH_1z	1
279	4	[65,79]	(25658,1)	三星召唤令	1	1000	1000	100	1	2	SDJNH_1z	1
280	5	[80,99]	(25659,1)	四星召唤令	1	1000	1000	100	1	2	SDJNH_1z	1
281	6	[100,119]	(25660,1)	五星召唤令	1	1000	1000	100	1	2	SDJNH_1z	1
282	7	[120,139]	(26525,1)	六星召唤令	1	1000	1000	100	1	2	SDJNH_1z	1
283	8	[140,179]	(27047,1)	七星召唤令	1	1000	1000	100	1	2	SDJNH_1z	1
284	1	[30,39]	(26033,1)	二级宝石礼盒	1	1000	85	8	1	1	SDJNH_1z	1
285	2	[40,59]	(26033,1)	二级宝石礼盒	1	1000	85	8	1	1	SDJNH_1z	1
286	3	[60,64]	(26033,1)	二级宝石礼盒	1	1000	85	8	1	1	SDJNH_1z	1
287	4	[65,79]	(26033,1)	二级宝石礼盒	1	1000	85	8	1	1	SDJNH_1z	1
288	5	[80,99]	(26033,1)	二级宝石礼盒	1	1000	85	8	1	1	SDJNH_1z	1
