rank	rankPreview	rankImg	rewardItems	money	bindRMB	rewardItemsPreview
82	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
83	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
84	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
85	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
86	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
87	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
88	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
89	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
90	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
91	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
92	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
93	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
94	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
95	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
96	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
97	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
98	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
99	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
100	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25749,1)]
