ID	NpcType	Grade	content	time	Skip	LeftRight	ServerScript	about	zhangMingZi
10046001	49		#S(16)#C(#ffffff)这里太小了，想要有一番作为，就去梦幻森林深处历练下吧。			1			
10046002	0					1			
10047001	49		#S(16)#C(#ffffff)还记得当初的誓言吗？			2			
10047002	0		#S(16)#C(#ffffff)当然记得！我要这天，再遮不住我眼；要这地，再埋不了我心；要这众生，都明白我意，要那诸天神魔，都烟消云散！			1			
10048001	49		#S(16)#C(#ffffff)让众神之王带你走吧。			1			
10048002	0					1			
10049001	52		#S(16)#C(#ffffff)万千神兵等你来取，诸天神魔等你来踩，杀戮与柔情同在，美女与战血共舞。准备好了吗？			2			
10049002	0					2			
10050001	52		#S(16)#C(#ffffff)你的血液已经沸腾了，作为龙骑士怎么能少了美女，神兵，杀戮！			1			
10050002	0					1			
10051001	52		#S(16)#C(#ffffff)出发吧,前方你的旧识爱丽丝在等着你。			1			
10051002	0					1			
10052001	52		#S(16)#C(#ffffff)听说爱丽丝也是刚解除封印出来，她来找你了。			1			
10052002	0					2			
10053001	53		#S(16)#C(#ffffff)神王跟我说你在这里，竟然被我找到了。			1			
10053002	0					1			
10054001	53		#S(16)#C(#ffffff)父亲不在，我溜出来的。竟然在这里见到你，好惊喜。			2			
10054002	0					1			
10055001	53		#S(16)#C(#ffffff)我们好久不见了，真想你。那时候我们还很不懂，嘻嘻。			2			
10055002	0					2			
10056001	53		#S(16)#C(#ffffff)后来发生众神大战，你受伤了把自己封印在神源里面。			2			
10056002	0					1			
10057001	53		#S(16)#C(#ffffff)讨厌的重甲兵也跟来了，一直跟着我，你快帮我把他赶跑吧。			1			
10057002	0					1			
10058001	54		#S(16)#C(#ffffff)神说，要有光。是预言指引我来到这里，你无需害怕，只要把爱丽丝交给我，我会放过你的。			2			
10058002	0		#S(16)#C(#ffffff)你的话真多！			1			
10059001	54		#S(16)#C(#ffffff)这次是我大意，下次你就没这么好运了。			1			
10059002	0					1			
10060001	54		#S(16)#C(#ffffff)哼！没想到刚解开封印就这么厉害了。死神，快给我上！			1			
10060002	0					1			
10061001	55		#S(16)#C(#ffffff)没用的瘦子，我会把你变成废物的！			1			
10061002	0		0			1			
10062001	56		#S(16)#C(#ffffff)那些没用的废物！			2			
10062002	0		0			1			
10063001	56		#S(16)#C(#ffffff)最近有一批新到的烈马，你看看有没有让你满意的。						
10063002	0								
10064001	56		#S(16)#C(#ffffff)不知道你能不能驯服它们			1			
10064002	0		#S(16)#C(#ffffff)对白			2			
10065001	56		#S(16)#C(#ffffff)你能驯服它们？自己挑一个			1			
10065002	0		#S(16)#C(#ffffff)对白			2			
10066001	56		#S(16)#C(#ffffff)看来你已经获得了战马的认可，骑上它吧！			1			
10066002	0		#S(16)#C(#ffffff)对白			2			
10067001	0		#S(16)#C(#ffffff)对白			1			
10067002	0		#S(16)#C(#ffffff)对白			2			
10068001	56		#S(16)#C(#ffffff)选中了自己的战马，就去纵横疆场，驰骋吧！			1			
10068002	0		#S(16)#C(#ffffff)对白			2			
10069001	56		#S(16)#C(#ffffff)这条路上不太平，好多过往的行人被害了。			1			
10069002	0		#S(16)#C(#ffffff)对白			2			
10070001	57		#S(16)#C(#ffffff)不多说，战吧！			1			
10070002	0		#S(16)#C(#ffffff)对白			2			
10071001	58		#S(16)#C(#ffffff)做的不错，把这条路上的不太平清除了。			1			
10071002	0		#S(16)#C(#ffffff)对白			2			
10072001	58		#S(16)#C(#ffffff)你现在还没有恢复到你当年的战力，所以还要不断努力哟！			1			
10072002	0		#S(16)#C(#ffffff)对白			2			
10073001	58		#S(16)#C(#ffffff)没有怒气的时候，就用英勇打击，可以获得怒气。			1			
10073002	0		#S(16)#C(#ffffff)对白			2			
10074001	58		#S(16)#C(#ffffff)技能等级越高，对敌人的伤害也越高！			1			
10074002	0		#S(16)#C(#ffffff)对白			2			
10075001	58		#S(16)#C(#ffffff)把技能等级提高，你将获得更高的战力。			1			
10075002	0		#S(16)#C(#ffffff)对白			2			
10076001	0		#S(16)#C(#ffffff)对白			1			
10076002	0		#S(16)#C(#ffffff)对白			2			
10077001	58		#S(16)#C(#ffffff)你的英勇打击技能升到2级啦！你会更加厉害哦！			1			
10077002	0		#S(16)#C(#ffffff)对白			2			
10078001	58		#S(16)#C(#ffffff)去见下你的老朋友，他会指导你接下去怎么做。			1			
10078002	0		#S(16)#C(#ffffff)对白			2			
10079001	59		#S(16)#C(#ffffff)很高兴我们又见面了，你的成长很快。			1			
10079002	0		#S(16)#C(#ffffff)对白			2			
10080001	59		#S(16)#C(#ffffff)你的英勇打击技能都升到2级了，接下去的任务一定会顺利完成。			1			
10080002	0		#S(16)#C(#ffffff)对白			2			
10081001	59		#S(16)#C(#ffffff)去救一个姑娘，她需要你的帮助。			1			
10081002	0		#S(16)#C(#ffffff)对白			2			
10082001	60		#S(16)#C(#ffffff)救命！救命！！			1			
10082002	0		#S(16)#C(#ffffff)对白			2			
10083001	60		#S(16)#C(#ffffff)谢谢你的帮助，你要小心，他们已经盯上你了。			1			
10083002	0		#S(16)#C(#ffffff)对白			2			
10084001	60		#S(16)#C(#ffffff)小心点，把自己调整到最佳状态再出发，你将会遇到前所未有的挑战。			1			
10084002	0		#S(16)#C(#ffffff)对白			2			
10085001	61		#S(16)#C(#ffffff)今日你就要永远的葬送在这里。			1			
10085002	0		#S(16)#C(#ffffff)对白			2			
10086001	62		#S(16)#C(#ffffff)这样的刺客都伤害不了你，你已经很优秀了。			1			
10086002	0		#S(16)#C(#ffffff)对白			2			
10087001	62		#S(16)#C(#ffffff)如果你想更加强大，就把审判技能升到2级！			1			
10087002	0		#S(16)#C(#ffffff)对白			2			
10088001	0		#S(16)#C(#ffffff)对白			1			
10088002	0		#S(16)#C(#ffffff)对白			2			
10089001	62		#S(16)#C(#ffffff)你真的越来越完美了，我都有点喜欢你了。			1			
10089002	0		#S(16)#C(#ffffff)对白			2			
10090001	62		#S(16)#C(#ffffff)在森林中成长，你需要了解森林法则。			1			
10090002	0		#S(16)#C(#ffffff)对白			2			
10091001	63		#S(16)#C(#ffffff)只有自身不断的强大，才能在森林中活下去。			1			
10091002	0		#S(16)#C(#ffffff)对白			2			
10092001	63		#S(16)#C(#ffffff)以后的路依靠的只有自己！			1			
10092002	0		#S(16)#C(#ffffff)对白			2			
10093001	63		#S(16)#C(#ffffff)接下去你会受到精灵族的考验。			1			
10093002	0		#S(16)#C(#ffffff)对白			2			
10094001	64		#S(16)#C(#ffffff)这个考验对你很重要，将会获得你人生中第一个伙伴。			1			
10094002	0		#S(16)#C(#ffffff)对白			2			
10095001	64		#S(16)#C(#ffffff)记得使用英勇打击积攒怒气来放巨龙突袭技能。			1			
10095002	0		#S(16)#C(#ffffff)对白			2			
10096001	64		#S(16)#C(#ffffff)去吧，圣辉护卫在前方等着你。			1			
10096002	0		#S(16)#C(#ffffff)对白			2			
10097001	66		#S(16)#C(#ffffff)战胜我！我就跟你走！			1			
10097002	0		#S(16)#C(#ffffff)对白			2			
10098001	66		#S(16)#C(#ffffff)带我走吧，我在前方给你阻挡所有来自前方敌人的伤害。			1			
10098002	0		#S(16)#C(#ffffff)我考虑下，你吃的多不多？			2			
10099001	66		#S(16)#C(#ffffff)带笔和纸了吗？我现在就把自己卖给你了。			1			
10099002	0		#S(16)#C(#ffffff)对白			2			
10100001	0		#S(16)#C(#ffffff)对白			1			
10100002	0		#S(16)#C(#ffffff)对白			2			
10101001	66		#S(16)#C(#ffffff)以后我们就是统一战线了。			1			
10101002	0		#S(16)#C(#ffffff)对白			2			
10102001	66		#S(16)#C(#ffffff)把我放到阵位上，需要战斗的时候，我就会出来了。			1			
10102002	0		#S(16)#C(#ffffff)对白			2			
10103001	0		#S(16)#C(#ffffff)对白			1			
10103002	0		#S(16)#C(#ffffff)对白			2			
10104001	66		#S(16)#C(#ffffff)在我后面，我会保护你的！			1			
10104002	0		#S(16)#C(#ffffff)对白			2			
10105001	66		#S(16)#C(#ffffff)你有经验果吗？我要吃，我要升级，我要提高战力！			1			
10105002	0		#S(16)#C(#ffffff)对白			2			
10106001	0		#S(16)#C(#ffffff)对白			1			
10106002	0		#S(16)#C(#ffffff)对白			2			
10107001	66		#S(16)#C(#ffffff)感觉我现在全身充满了力量。			1			
10107002	0		#S(16)#C(#ffffff)对白			2			
10108001	69		#S(16)#C(#ffffff)对我来说是一小步，但对你来说这是人生的一大步。			1			
10108002	0		#S(16)#C(#ffffff)对白			2			
10109001	69		#S(16)#C(#ffffff)你的机会来了，将会获得一个大的机遇。			1			
10109002	0		#S(16)#C(#ffffff)对白			2			
10110001	69		#S(16)#C(#ffffff)好好把握人生中碰到的每一个机会，因为机会转瞬即逝。			1			
10110002	0		#S(16)#C(#ffffff)对白			2			
10111001	69		#S(16)#C(#ffffff)你走吧，你还会看到我。			1			
10111002	0		#S(16)#C(#ffffff)对白			2			
10112001	70		#S(16)#C(#ffffff)我们又见面了，我是大陆上最年轻的大魔导师。			1			
10112002	0		#S(16)#C(#ffffff)对白			2			
10113001	70		#S(16)#C(#ffffff)看到我有没有一点惊喜？			1			
10113002	0		#S(16)#C(#ffffff)对白			2			
10114001	70		#S(16)#C(#ffffff)你要知道你并不是一个人在战斗。			1			
10114002	0		#S(16)#C(#ffffff)对白			2			
10115001	70		#S(16)#C(#ffffff)你有战友，你有日夜陪伴你的伙伴。你不是一个人。			1			
10115002	0		#S(16)#C(#ffffff)对白			2			
10116001	70		#S(16)#C(#ffffff)前方的路很艰险，认真对待你生命中出现的每一个人，学会感恩。			1			
10116002	0		#S(16)#C(#ffffff)对白			2			
10117001	70		#S(16)#C(#ffffff)有一波掠夺者前来破坏梦幻森林，去消灭他们。			1			
10117002	0		#S(16)#C(#ffffff)对白			2			
10118001	67		#S(16)#C(#ffffff)让我看看你有多强大。			1			
10118002	0		#S(16)#C(#ffffff)对白			2			
10119001	70		#S(16)#C(#ffffff)做的漂亮，把侵略者都干掉了。			1			
10119002	0		#S(16)#C(#ffffff)对白			2			
10120001	70		#S(16)#C(#ffffff)在这片大路上生活着一群热爱自然的精灵。			1			
10120002	0		#S(16)#C(#ffffff)对白			2			
10121001	70		#S(16)#C(#ffffff)精灵是大自然的孩子，一定要保护好他们。			1			
10121002	0		#S(16)#C(#ffffff)对白			2			
10122001	70		#S(16)#C(#ffffff)外面的人经常过来抓捕精灵，把精灵当做宠物。			1			
10122002	0		#S(16)#C(#ffffff)对白			2			
10123001	70		#S(16)#C(#ffffff)又有一群偷盗者过来抓捕精灵了。			1			
10123002	0		#S(16)#C(#ffffff)对白			2			
10124001	68		#S(16)#C(#ffffff)快把精灵交出来			1			
10124002	0		#S(16)#C(#ffffff)对白			2			
10125001	69		#S(16)#C(#ffffff)经过这么多的历练，你成长得很快。			1			
10125002	0		#S(16)#C(#ffffff)对白			2			
10126001	69		#S(16)#C(#ffffff)我们很高兴，我们这么快就见面。			1			
10126002	0		#S(16)#C(#ffffff)对白			2			
10127001	69		#S(16)#C(#ffffff)你保护了精灵，获得了他们的认可，你会有一场大的机遇。			1			
10127002	0		#S(16)#C(#ffffff)对白			2			
10128001	69		#S(16)#C(#ffffff)相信自己，接下去会更加精彩！			1			
10128002	0		#S(16)#C(#ffffff)对白			2			
10129001	69		#S(16)#C(#ffffff)知道你的身世吗？			1			
10129002	0		#S(16)#C(#ffffff)对白			2			
10130001	70		#S(16)#C(#ffffff)你是众神之战的救世主，在最后那一刻，消灭了众魔神，却封印了自己。			1			
10130002	0		#S(16)#C(#ffffff)对白			2			
10131001	70		#S(16)#C(#ffffff)前世你是人类的英雄。今生又会怎么样呢？			1			
10131002	0		#S(16)#C(#ffffff)对白			2			
10132001	70		#S(16)#C(#ffffff)你的绝世风采又将获得一个英雄的跟随。			1			
10132002	0		#S(16)#C(#ffffff)对白			2			
10133001	0		#S(16)#C(#ffffff)对白			1			
10133002	0		#S(16)#C(#ffffff)对白			2			
10134001	70		#S(16)#C(#ffffff)绝美艳后现在是你的了，你要善待她。			1			
10134002	0		#S(16)#C(#ffffff)对白			2			
10135001	70		#S(16)#C(#ffffff)将绝美艳后上阵，她会在战斗的时候给予你巨大的助力哟。			1			
10135002	0		#S(16)#C(#ffffff)对白			2			
10136001	0		#S(16)#C(#ffffff)对白			1			
10136002	0		#S(16)#C(#ffffff)对白			2			
10137001	70		#S(16)#C(#ffffff)将绝美艳后上阵后，你的战力又提升了。			1			
10137002	0		#S(16)#C(#ffffff)对白			2			
10138001	71		#S(16)#C(#ffffff)你即将走上一条荣耀之路！			1			
10138002	0		#S(16)#C(#ffffff)对白			2			
10139001	71		#S(16)#C(#ffffff)你可后悔？现在放下还来得及。			1			
10139002	0		#S(16)#C(#ffffff)对白			2			
10140001	71		#S(16)#C(#ffffff)既然决定了，就无怨无悔。			1			
10140002	0		#S(16)#C(#ffffff)对白			2			
10141001	75		#S(16)#C(#ffffff)欢迎来到圣辉城，你将在这里开启新的旅程。			1			
10141002	0		#S(16)#C(#ffffff)对白			2			
10142001	75		#S(16)#C(#ffffff)带上你的战友，天下皆可去得。			1			
10142002	0		#S(16)#C(#ffffff)对白			2			
10143001	75		#S(16)#C(#ffffff)最近圣辉城也不太平。你要小心！			1			
10143002	0		#S(16)#C(#ffffff)对白			2			
10144001	75		#S(16)#C(#ffffff)死神分身又出现在圣辉城了，你去看下。			1			
10144002	0		#S(16)#C(#ffffff)对白			2			
10145001	76		#S(16)#C(#ffffff)打败我有那么容易吗？			1			
10145002	0		#S(16)#C(#ffffff)对白			2			
10146001	75		#S(16)#C(#ffffff)死神那么厉害的分身都被你战败了，你真了不起。			1			
10146002	0		#S(16)#C(#ffffff)对白			2			
10147001	75		#S(16)#C(#ffffff)你该进城了，在这里希望听到你的传说，圣辉城充满了神秘。			1			
10147002	0		#S(16)#C(#ffffff)对白			2			
10148001	75		#S(16)#C(#ffffff)这是多么美丽的地方啊，绝对不能把鲜血带到圣辉城中，那是对神的不敬。			1			
10148002	0		#S(16)#C(#ffffff)对白			2			
10149001	75		#S(16)#C(#ffffff)新的篇章即将开启！			1			
10149002	0		#S(16)#C(#ffffff)对白			2			
10150001	75		#S(16)#C(#ffffff)对重甲兵尊重点，否则有你好受。			1			
10150002	0		#S(16)#C(#ffffff)对白			2			
10151001	77		#S(16)#C(#ffffff)尽管过来吧，这是对你的小小惩罚，以后要学会尊重。			1			
10151002	0		#S(16)#C(#ffffff)对白			2			
10152001	76		#S(16)#C(#ffffff)以后我还会回来的！			1			
10152002	0		#S(16)#C(#ffffff)对白			2			
10153001	79		#S(16)#C(#ffffff)这里熟悉吗？在众神之战后，这里已经被破坏的只有残壁断桓。			1			
10153002	0		#S(16)#C(#ffffff)对白			2			
10154001	79		#S(16)#C(#ffffff)还记得这里的每一块砖，年少时大家一起奋斗的身影。			1			
10154002	0		#S(16)#C(#ffffff)对白			2			
10155001	79		#S(16)#C(#ffffff)待你重生的那一刻，就注定了物是人非，这是一条注定孤独的路。			1			
10155002	0		#S(16)#C(#ffffff)对白			2			
10156001	79		#S(16)#C(#ffffff)城里的执法者越来越嚣张了，去给他们点教训吧。			1			
10156002	0		#S(16)#C(#ffffff)对白			2			
10157001	80		#S(16)#C(#ffffff)快走开，不要挡我的路，我可不是好惹的。你这是挑衅！			1			
10157002	0		#S(16)#C(#ffffff)对白			2			
10158001	79		#S(16)#C(#ffffff)给他点教训就好了，不要太过分，否则会惹下大麻烦。			1			
10158002	0		#S(16)#C(#ffffff)对白			2			
10159001	79		#S(16)#C(#ffffff)残破的壁桓是历史的见证，见证了一代代龙骑士从这里走向了世界，拯救了全人类。			1			
10159002	0		#S(16)#C(#ffffff)对白			2			
10160001	81		#S(16)#C(#ffffff)站在这里这么多年，见惯了日出日落，国家的强胜与衰败，我愿意做一个守门人。			1			
10160002	0		#S(16)#C(#ffffff)对白			2			
10161001	81		#S(16)#C(#ffffff)剑十三最近闹的很凶，在圣辉城横行霸道，你要小心。			1			
10161002	0		#S(16)#C(#ffffff)对白			2			
10162001	81		#S(16)#C(#ffffff)剑十三来挑衅了，去灭了他的威风，不能让他得逞。			1			
10162002	0		#S(16)#C(#ffffff)对白			2			
10163001	82		#S(16)#C(#ffffff)新来的吧？有什么宝贝借来看看。			1			
10163002	0		#S(16)#C(#ffffff)对白			2			
10164001	81		#S(16)#C(#ffffff)一切小心，剑十三可是会记仇的。			1			
10164002	0		#S(16)#C(#ffffff)对白			2			
10165001	81		#S(16)#C(#ffffff)听说祭祀来看你，遇到她了吗？			1			
10165002	0		#S(16)#C(#ffffff)对白			2			
10166001	83		#S(16)#C(#ffffff)我们好久没见了，我从梦幻森林过来，找了很久。			1			
10166002	0		#S(16)#C(#ffffff)对白			2			
10167001	83		#S(16)#C(#ffffff)见到你真开心，好想再和你打一场。母亲说，神魔之战快要开启了。			1			
10167002	0		#S(16)#C(#ffffff)对白			2			
10168001	83		#S(16)#C(#ffffff)能带我一起走吗？无论哪里，只要和你在一起。			1			
10168002	0		#S(16)#C(#ffffff)对白			2			
10169001	83		#S(16)#C(#ffffff)打败我，我就放你走。不会缠着你。			1			
10169002	0		#S(16)#C(#ffffff)对白			2			
10170001	79		#S(16)#C(#ffffff)你就这样把小祭祀给打败了？她以后要和你并肩战斗的。你要温柔点。			1			
10170002	0		#S(16)#C(#ffffff)对白			2			
10171001	79		#S(16)#C(#ffffff)小祭祀她还想见你。			1			
10171002	0		#S(16)#C(#ffffff)对白			2			
10172001	83		#S(16)#C(#ffffff)不让我跟着你，那我就一个人走了，我回梦幻森林去。			1			
10172002	0		#S(16)#C(#ffffff)对白			2			
10173001	83		#S(16)#C(#ffffff)我会想你的，不管走多远，你需要的时候，我就回你身边。			1			
10173002	0		#S(16)#C(#ffffff)对白			2			
10174001	83		#S(16)#C(#ffffff)众神之王要传授你战斗技巧，我们就在这里分开吧。			1			
10174002	0		#S(16)#C(#ffffff)对白			2			
10175001	84		#S(16)#C(#ffffff)我们打一场吧，可以使用巨龙突袭来增加自己的技能伤害。			1			
10175002	0		#S(16)#C(#ffffff)对白			2			
10176001	86		#S(16)#C(#ffffff)来这里也很久了，听说很多人闹事。			1			
10176002	0		#S(16)#C(#ffffff)对白			2			
10177001	86		#S(16)#C(#ffffff)在圣辉城不要闹事，闹事后会被驱逐出去。			1			
10177002	0		#S(16)#C(#ffffff)对白			2			
10178001	86		#S(16)#C(#ffffff)最近要安分点！			1			
10178002	0		#S(16)#C(#ffffff)对白			2			
10179001	86		#S(16)#C(#ffffff)不要任何借口，努力把自己强大起来。			1			
10179002	0		#S(16)#C(#ffffff)对白			2			
10180001	86		#S(16)#C(#ffffff)红袍女巫也来圣辉城了。			1			
10180002	0		#S(16)#C(#ffffff)对白			2			
10181001	85		#S(16)#C(#ffffff)来吧，让我瞧瞧你成长了多少。			1			
10181002	0		#S(16)#C(#ffffff)对白			2			
10182001	86		#S(16)#C(#ffffff)把红袍女巫打败了，很好。			1			
10182002	0		#S(16)#C(#ffffff)对白			2			
10183001	86		#S(16)#C(#ffffff)别得意，先过了红袍女巫那一关吧。			1			
10183002	0		#S(16)#C(#ffffff)对白			2			
10184001	85		#S(16)#C(#ffffff)你已经过了我这关了，我会让你走。			1			
10184002	0		#S(16)#C(#ffffff)对白			2			
10185001	85		#S(16)#C(#ffffff)龙骑士的成长就是一个个过关挑战的过程。			1			
10185002	0		#S(16)#C(#ffffff)对白			2			
10186001	86		#S(16)#C(#ffffff)国王下了命令，找到雇佣枪兵并击败他。			1			
10186002	0		#S(16)#C(#ffffff)对白			2			
10187001	87		#S(16)#C(#ffffff)我是战无不胜的雇佣兵，拿人钱财，替人消灾。			1			
10187002	0		#S(16)#C(#ffffff)对白			2			
10188001	88		#S(16)#C(#ffffff)你立了大功，我们抓雇佣兵好久啦！			1			
10188002	0		#S(16)#C(#ffffff)对白			2			
10189001	88		#S(16)#C(#ffffff)真正的挑战现在才开始。只有通过重重挑战，你才能成长起来。			1			
10189002	0		#S(16)#C(#ffffff)对白			2			
10190001	86		#S(16)#C(#ffffff)只有不断的挑战才能成功。			1			
10190002	0		#S(16)#C(#ffffff)对白			2			
10191001	86		#S(16)#C(#ffffff)你愿意接受那些连绵不断的挑战吗？			1			
10191002	0		#S(16)#C(#ffffff)对白			2			
10192001	86		#S(16)#C(#ffffff)愿意就跟我走！			1			
10192002	0		#S(16)#C(#ffffff)对白			2			
10193001	88		#S(16)#C(#ffffff)通过跟我的对战，战斗技巧你会更加精通			1			
10193002	0		#S(16)#C(#ffffff)对白			2			
10194001	86		#S(16)#C(#ffffff)战斗结束的真快，你已经很厉害了。			1			
10194002	0		#S(16)#C(#ffffff)对白			2			
10195001	86		#S(16)#C(#ffffff)都说圣辉城最美的是月光。			1			
10195002	0		#S(16)#C(#ffffff)对白			2			
10196001	86		#S(16)#C(#ffffff)看城里的月光，会把你的梦照亮。			1			
10196002	0		#S(16)#C(#ffffff)对白			2			
10197001	85		#S(16)#C(#ffffff)柔情，也是龙骑士修行路上最重要的一课。			1			
10197002	0		#S(16)#C(#ffffff)对白			2			
10198001	85		#S(16)#C(#ffffff)听说你又惹祸了			1			
10198002	0		#S(16)#C(#ffffff)对白			2			
10199001	85		#S(16)#C(#ffffff)战斗挑战可以，但不能滋生事端。			1			
10199002	0		#S(16)#C(#ffffff)对白			2			
10200001	85		#S(16)#C(#ffffff)你又惹祸了，某人追过来了！			1			
10200002	0		#S(16)#C(#ffffff)对白			2			
10201001	89		#S(16)#C(#ffffff)我终于找到你了！			1			
10201002	0		#S(16)#C(#ffffff)对白			2			
10202001	89		#S(16)#C(#ffffff)谢谢你在梦幻森林救了我。			1			
10202002	0		#S(16)#C(#ffffff)对白			2			
10203001	89		#S(16)#C(#ffffff)我父亲让我找你，来报答你。			1			
10203002	0		#S(16)#C(#ffffff)对白			2			
10204001	89		#S(16)#C(#ffffff)我先走了，我怕众神之王会找你麻烦。			1			
10204002	0		#S(16)#C(#ffffff)对白			2			
10205001	91		#S(16)#C(#ffffff)你知道那是谁吗？我绝不能放过你。			1			
10205002	0		#S(16)#C(#ffffff)对白			2			
10206001	86		#S(16)#C(#ffffff)你把众神之王收拾了？			1			
10206002	0		#S(16)#C(#ffffff)对白			2			
10207001	86		#S(16)#C(#ffffff)麻烦来了，又来一个。			1			
10207002	0		#S(16)#C(#ffffff)对白			2			
10208001	92		#S(16)#C(#ffffff)你能胜我吗？			1			
10208002	0		#S(16)#C(#ffffff)对白			2			
10209001	86		#S(16)#C(#ffffff)这场战斗很漂亮。			1			
10209002	0		#S(16)#C(#ffffff)对白			2			
10210001	86		#S(16)#C(#ffffff)知道女神是谁吗？那是公主。			1			
10210002	0		#S(16)#C(#ffffff)对白			2			
10211001	90		#S(16)#C(#ffffff)不要叫我公主，还是叫我爱丽丝好听。			1			
10211002	0		#S(16)#C(#ffffff)对白			2			
10212001	90		#S(16)#C(#ffffff)我要报答你，让我跟着你好吗？			1			
10212002	0		#S(16)#C(#ffffff)对白			2			
10213001	103		#S(16)#C(#ffffff)怪物从深渊中出来，快去抵挡他们。			1			
10213002	0		#S(16)#C(#ffffff)对白			2			
10214001	106		#S(16)#C(#ffffff)尽管来吧！			1			
10214002	0		#S(16)#C(#ffffff)对白			2			
10215001	103		#S(16)#C(#ffffff)你的武技越来越精湛了。			1			
10215002	0		#S(16)#C(#ffffff)对白			2			
10216001	103		#S(16)#C(#ffffff)公主被他们抢走了，快去解救公主。			1			
10216002	0		#S(16)#C(#ffffff)对白			2			
10217001	107		#S(16)#C(#ffffff)我不会把公主交给你们的。			1			
10217002	0		#S(16)#C(#ffffff)对白			2			
10218001	103		#S(16)#C(#ffffff)恭喜你救出了公主殿下。			1			
10218002	0		#S(16)#C(#ffffff)对白			2			
