taskStep	fightCampId	fightType	anger	studySkill	star_3_round	rewardExp_3	rewardMoney_3	rewardItem_3	star_2_round	rewardExp_2	rewardMoney_2	rewardItem_2	star_1_round	rewardExp_1	rewardMoney_1	rewardItem_1
5750	4089	127	0		8	5000	10666		12	5000	8000		99	5000	5333	
5780	4090	128	0		8	5000	10666		12	5000	8000		99	5000	5333	
5810	4091	127	0		8	5000	10666		12	5000	8000		99	5000	5333	
5900	4092	128	0		8	5000	10666		12	5000	8000		99	5000	5333	
5930	4093	127	0		8	5000	10666		12	5000	8000		99	5000	5333	
5990	4094	128	0		8	5000	10666		12	5000	8000		99	5000	5333	
6080	4095	127	0		8	5000	10666		12	5000	8000		99	5000	5333	
6110	4096	128	0		8	5000	10666		12	5000	8000		99	5000	5333	
6170	4097	127	0		8	5000	10666		12	5000	8000		99	5000	5333	
6200	4098	128	0		8	5000	10666		12	5000	8000		99	5000	5333	
20	11000	139	0		8	0	4666		12	0	3500		99	0	2333	
50	11001	140	0		8	0	4666		12	0	3500		99	0	2333	
6290	4099	129	0		8	5000	10666		12	5000	8000		99	5000	5333	
6320	4100	130	0		8	5000	10666		12	5000	8000		99	5000	5333	
6380	4101	131	0		8	5000	10666		12	5000	8000		99	5000	5333	
6440	4102	129	0		8	5000	10666		12	5000	8000		99	5000	5333	
6470	4103	130	0		8	5000	10666		12	5000	8000		99	5000	5333	
6530	4104	131	0		8	5000	10666		12	5000	8000		99	5000	5333	
6590	4105	129	0		8	5000	10666		12	5000	8000		99	5000	5333	
6620	4106	130	0		8	5000	10666		12	5000	8000		99	5000	5333	
6680	4107	131	0		8	5000	10666		12	5000	8000		99	5000	5333	
6740	4108	129	0		8	5000	10666		12	5000	8000		99	5000	5333	
6770	4109	130	0		8	5000	10666		12	5000	8000		99	5000	5333	
6830	4110	131	0		8	5000	10666		12	5000	8000		99	5000	5333	
6890	4111	133	0		8	5000	10666		12	5000	8000		99	5000	5333	
6920	4112	134	0		8	5000	10666		12	5000	8000		99	5000	5333	
6980	4113	133	0		8	5000	10666		12	5000	8000		99	5000	5333	
7040	4114	134	0		8	5000	10666		12	5000	8000		99	5000	5333	
7070	4115	133	0		8	5000	10666		12	5000	8000		99	5000	5333	
7130	4116	134	0		8	5000	10666		12	5000	8000		99	5000	5333	
7190	4117	133	0		8	5000	10666		12	5000	8000		99	5000	5333	
7220	4118	134	0		8	5000	10666		12	5000	8000		99	5000	5333	
7280	4119	133	0		8	5000	10666		12	5000	8000		99	5000	5333	
7340	4120	134	0		8	5000	10666		12	5000	8000		99	5000	5333	
7370	4121	133	0		8	5000	10666		12	5000	8000		99	5000	5333	
7430	4122	134	0		8	5000	10666		12	5000	8000		99	5000	5333	
7520	4123	135	0		8	5000	10666		12	5000	8000		99	5000	5333	
7550	4124	136	0		8	5000	10666		12	5000	8000		99	5000	5333	
7610	4125	135	0		8	5000	10666		12	5000	8000		99	5000	5333	
7670	4126	136	0		8	5000	10666		12	5000	8000		99	5000	5333	
7700	4127	135	0		8	5000	10666		12	5000	8000		99	5000	5333	
7760	4128	136	0		8	5000	10666		12	5000	8000		99	5000	5333	
7820	4129	135	0		8	5000	10666		12	5000	8000		99	5000	5333	
7850	4130	136	0		8	5000	10666		12	5000	8000		99	5000	5333	
7910	4131	135	0		8	5000	10666		12	5000	8000		99	5000	5333	
7970	4132	136	0		8	5000	10666		12	5000	8000		99	5000	5333	
8000	4133	135	0		8	5000	10666		12	5000	8000		99	5000	5333	
8060	4134	136	0		8	5000	10666		12	5000	8000		99	5000	5333	
