subTaskIndex	needTaskIndex	needLevel	rewardExp	rewardMoney	rewardBindRMB	rewardItems	taskType	taskParam	taskParamWhat	TaskGuide	taskWhat	khdtaskName1	desc1	khdtaskName2	desc2	ChuFa1	ChuFa2
10	6	30	15000	0	0	0	4	(2,0)	通关恶魔深渊一层困难难度		     通关#C(#FFFF00)恶魔深渊一层困难难度#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【30级】恶魔深渊#n（未完成）	     通关#C(#FFFF00)恶魔深渊一层困难难度#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【30级】恶魔深渊#C(#00EE00)（已完成）#n	     通关#C(#FFFF00)恶魔深渊一层困难难度#n	#K(dlg,EMSY)	#K(get_award,10)
11	7	30	15000	0	0	0	1	(1,20,1)	培养圣辉护卫到20级	[(1,3,SubcatchTask,-90,45,点击支线任务,0,0),(1,1,shenjianPanel,-63,190,选择英雄,1,0),(1,1,shenjianPanel,421,330,经验果,1,0),(1,1,shenjianPanel,870,274,点击升级,1,1)]	     升级#C(#FFFF00)圣辉护卫到20级#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【30级】升级圣辉护卫#n（未完成）	     升级#C(#FFFF00)圣辉护卫到20级#n#H     #C(#EE0000)挑战恶魔深渊获得经验果#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【30级】升级圣辉护卫#C(#00EE00)（已完成）#n	     升级#C(#FFFF00)圣辉护卫到20级#n	#K(dlg,YXOPEN)	#K(get_award,11)
12	11	30	15000	0	0	0	2	(2,1)	进化圣辉护卫到绿色品阶		     进化#C(#FFFF00)圣辉护卫到绿色#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【30级】绿色圣辉护卫#n（未完成）	     进化#C(#FFFF00)圣辉护卫到绿色#n#H     #C(#EE0000)副本可获进化所需道具#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【30级】绿色圣辉护卫#C(#00EE00)（已完成）#n	     进化#C(#FFFF00)圣辉护卫到绿色#n	#K(dlg,YXOPEN)	#K(get_award,12)
13	12	30	15000	0	0	0	1	(2,30,1)	培养圣辉护卫到30级		     升级#C(#FFFF00)圣辉护卫30#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【30级】升级圣辉护卫#n（未完成）	     升级#C(#FFFF00)圣辉护卫30#n#H     #C(#EE0000)挑战恶魔深渊获得经验果#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【30级】升级圣辉护卫#C(#00EE00)（已完成）#n	     升级#C(#FFFF00)圣辉护卫30#n	#K(dlg,YXOPEN)	#K(get_award,13)
14	13	30	15000	0	0	0	2	(3,1)	进化圣辉护卫到蓝色品阶		     进化#C(#FFFF00)圣辉护卫到蓝色#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【30级】进化圣辉护卫#n（未完成）	     进化#C(#FFFF00)圣辉护卫到蓝色#n#H     #C(#EE0000)副本可获进化所需道具#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【30级】进化圣辉护卫#C(#00EE00)（已完成）#n	     进化#C(#FFFF00)圣辉护卫到蓝色#n	#K(dlg,YXOPEN)	#K(get_award,14)
15	14	31	15000	0	0	0	8	(2,0)	英雄竞技		     挑战#C(#FFFF00)英雄竞技#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【31级】英雄竞技#n（未完成）	     挑战#C(#FFFF00)英雄竞技#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【31级】英雄竞技#C(#00EE00)（已完成）#n	     挑战#C(#FFFF00)英雄竞技#n	#K(dlg,OPEN_ARENA)	#K(get_award,15)
16	21	31	20000	0	0	0	11	(11,3)	招募天空射手	[(1,3,SubcatchTask,-90,45,点击支线任务,0,0),(1,1,RectuitPanel,344,266,点击招募英雄,1,0),(1,1,RectuitPanel,620,10,点击关闭,1,0)]	     招募#C(#FFFF00)天空射手#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【31级】招募天空射手#n（未完成）	     招募#C(#FFFF00)天空射手#n#H     #C(#EE0000)英雄竞技获得积分兑取声望#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【31级】招募天空射手#C(#00EE00)（已完成）#n	     招募#C(#FFFF00)天空射手#n	#K(dlg,OPEN_RECRUIT_PANEL)	#K(get_award,16)
17	9	31	20000	0	0	0	3	(5,0)			     #C(#FFFF00)龙人祭司#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【31级】龙人祭司#n（未完成）	     通关副本#C(#FFFF00)龙人祭司#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【31级】龙人祭司#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)龙人祭司#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,17)
18	17	31	20000	0	0	0	3	(6,0)			     #C(#FFFF00)圣辉护卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【31级】圣辉护卫#n（未完成）	     通关副本#C(#FFFF00)圣辉护卫#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【31级】圣辉护卫#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)圣辉护卫#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,18)
19	22	31	15000	0	0	0	2	(8,2)	进化绝美艳后至蓝色品阶		     进化#C(#FFFF00)绝美艳后到蓝色#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【31级】蓝色绝美艳后#n（未完成）	     进化#C(#FFFF00)绝美艳后到蓝色#n#H     #C(#EE0000)副本可获进化所需道具#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【31级】蓝色绝美艳后#C(#00EE00)（已完成）#n	     进化#C(#FFFF00)绝美艳后到蓝色#n	#K(dlg,YXOPEN)	#K(get_award,19)
20	19	31	15000	0	0	[(25656,1)]	2	(13,3)	进化天空射手至蓝色品阶		     进化#C(#FFFF00)天空射手到蓝色#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【31级】蓝色天空射手#n（未完成）	     进化#C(#FFFF00)天空射手到蓝色#n#H     #C(#EE0000)副本可获进化所需道具#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【31级】蓝色天空射手#C(#00EE00)（已完成）#n	     进化#C(#FFFF00)天空射手到蓝色#n	#K(dlg,YXOPEN)	#K(get_award,20)
21	15	31	10000	0	0	0	8	(6,0)	决战灵霄获得6积分		     #C(#FFFF00)英雄竞技获得6积分#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【31级】再战英雄竞技#n（未完成）	     #C(#FFFF00)英雄竞技获得6积分#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【31级】再战英雄竞技#C(#00EE00)（已完成）#n	     #C(#FFFF00)英雄竞技获得6积分#n	#K(dlg,OPEN_ARENA)	#K(get_award,21)
22	16	31	15000	0	0	0	9	(11,3)	天空射手上阵		     上阵#C(#FFFF00)天空射手#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【31级】上阵天空射手#n（未完成）	     上阵#C(#FFFF00)天空射手#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【31级】上阵天空射手#C(#00EE00)（已完成）#n	     上阵#C(#FFFF00)天空射手#n	#K(dlg,OPEN_FORMATION_PANEL)	#K(get_award,22)
23	0	32	5000	0	0	0	6	(4, 0)	加入阵营		     加入#C(#FFFF00)阵营#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【32级】加入阵营#n（未完成）	     加入#C(#FFFF00)阵营#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【32级】加入阵营#C(#00EE00)（已完成）#n	     加入#C(#FFFF00)阵营#n	#K(dlg,GHZY)	#K(get_award,23)
24	23	32	5000	0	0	0	5	(2, 20)	加入公会		     加入#C(#FFFF00)公会#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【32级】加入公会#n（未完成）	     加入#C(#FFFF00)公会#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【32级】加入公会#C(#00EE00)（已完成）#n	     加入#C(#FFFF00)公会#n	#K(dlg,GH)	#K(get_award,24)
25	18	32	20000	0	0	0	3	(7,0)			     #C(#FFFF00)龙人勇士#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【32级】龙人勇士#n（未完成）	     通关副本#C(#FFFF00)龙人勇士#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【32级】龙人勇士#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)龙人勇士#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,25)
26	19	32	20000	0	0	0	3	(8,0)			     #C(#FFFF00)大法师#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【32级】大法师#n（未完成）	     通关副本#C(#FFFF00)大法师#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【32级】大法师#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)大法师#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,26)
27	20	32	5000	50000	0	0	10	(0,0)	前往英雄祭坛		     挑战#C(#FFFF00)英雄祭坛#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【32级】英雄祭坛#n（未完成）	     挑战#C(#FFFF00)英雄祭坛#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【32级】英雄祭坛#C(#00EE00)（已完成）#n	     挑战#C(#FFFF00)英雄祭坛#n	#K(dlg,YXJT)	#K(get_award,27)
28	22	32	5000	0	0	[(25636,5)]	7	(35607,1)	兑换头盔		     兑换#C(#FFFF00)烈火·光辉头盔#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【32级】兑换头盔#n（未完成）	     兑换#C(#FFFF00)烈火·光辉头盔#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【32级】兑换头盔#C(#00EE00)（已完成）#n	     兑换#C(#FFFF00)烈火·光辉头盔#n	#K(dlg,OPEN_EXCHANGE_SHOP)	#K(get_award,28)
29	28	32	5000	0	0	[(25636,5)]	7	(35608,1)	兑换铠甲		     兑换#C(#FFFF00)烈火·光辉铠甲#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【32级】兑换铠甲#n（未完成）	     兑换#C(#FFFF00)烈火·光辉铠甲#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【32级】兑换铠甲#C(#00EE00)（已完成）#n	     兑换#C(#FFFF00)烈火·光辉铠甲#n	#K(dlg,OPEN_EXCHANGE_SHOP)	#K(get_award,29)
30	29	32	5000	0	0	[(25636,5)]	7	(35606,1)	兑换剑		     兑换#C(#FFFF00)烈火·光辉剑#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【32级】兑换剑#n（未完成）	     兑换#C(#FFFF00)烈火·光辉剑#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【32级】兑换剑#C(#00EE00)（已完成）#n	     兑换#C(#FFFF00)烈火·光辉剑#n	#K(dlg,OPEN_EXCHANGE_SHOP)	#K(get_award,30)
31	30	33	5000	0	50	0	7	(35609,1)	兑换战靴		     兑换  #C(#FFFF00)烈火·光辉战靴#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【33级】#n（未完成）	     兑换  #C(#FFFF00)烈火·光辉战靴#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【33级】#C(#00EE00)（已完成）#n	     兑换  #C(#FFFF00)烈火·光辉战靴#n	#K(dlg,OPEN_EXCHANGE_SHOP)	#K(get_award,31)
32	26	33	10000	0	0	0	3	(9,0)			     #C(#FFFF00)龙人弓手#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【33级】龙人弓手#n（未完成）	     通关副本#C(#FFFF00)龙人弓手#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【33级】龙人弓手#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)龙人弓手#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,32)
33	32	33	10000	0	0	0	3	(10,0)			     #C(#FFFF00)月光射手#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【33级】月光射手#n（未完成）	     通关副本#C(#FFFF00)月光射手#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【33级】月光射手#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)月光射手#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,33)
34	31	33	25000	0	0	0	4	(3,0)	获得一名紫色神将		     #C(#FFFF00)恶魔深渊#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【33级】恶魔深渊#n（未完成）	     通关#C(#FFFF00)恶魔深渊一层噩梦难度#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【33级】恶魔深渊#C(#00EE00)（已完成）#n	     通关#C(#FFFF00)恶魔深渊一层噩梦难度#n	#K(dlg,EMSY)	#K(get_award,34)
35	33	34	10000	0	0	0	3	(11,0)			     #C(#FFFF00)迷之雷神#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【34级】迷之雷神#n（未完成）	     通关副本#C(#FFFF00)迷之雷神#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【34级】迷之雷神#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)迷之雷神#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,35)
36	35	34	10000	0	0	0	3	(12,0)			     #C(#FFFF00)圣光祭司#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【34级】圣光祭司#n（未完成）	     通关副本#C(#FFFF00)圣光祭司#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【34级】圣光祭司#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)圣光祭司#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,36)
37	36	35	10000	0	0	0	3	(13,0)			     #C(#FFFF00)拉拉队长#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【35级】拉拉队长#n（未完成）	     通关副本#C(#FFFF00)拉拉队长#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【35级】拉拉队长#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)拉拉队长#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,37)
38	37	35	10000	0	0	0	3	(14,0)			     #C(#FFFF00)天空射手#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【35级】天空射手#n（未完成）	     通关副本#C(#FFFF00)天空射手#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【35级】天空射手#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)天空射手#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,38)
39	38	36	10000	0	0	0	3	(15,0)			     #C(#FFFF00)龙人射手#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【36级】龙人射手#n（未完成）	     通关副本#C(#FFFF00)龙人射手#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【36级】龙人射手#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)龙人射手#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,39)
40	39	36	10000	0	0	0	3	(16,0)			     #C(#FFFF00)冠军骑士#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【36级】冠军骑士#n（未完成）	     通关副本#C(#FFFF00)冠军骑士#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【36级】冠军骑士#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)冠军骑士#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,40)
41	40	37	10000	0	0	0	3	(17,0)			     #C(#FFFF00)正义天使#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【37级】正义天使#n（未完成）	     通关副本#C(#FFFF00)正义天使#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【37级】正义天使#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)正义天使#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,41)
42	41	37	10000	0	0	0	3	(18,0)			     #C(#FFFF00)百花骑士#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【37级】百花骑士#n（未完成）	     通关副本#C(#FFFF00)百花骑士#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【37级】百花骑士#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)百花骑士#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,42)
