index	exam_type	title	answer1	answer2	right
66	30	Üçgenin iç açıları toplamı?	180	270	1
67	30	Sonsuz kere sonsuz kaç eder?	0	Sonsuz	1
68	30	Çanakkale zaferinin tarihi?	18 Mart 1918	18 Mart 1917	1
69	30	Nobel ödülü alan Türk yazar?	Yaşar Kemal	Orhan Pamuk	2
70	30	Microsoft'un kurucusu?	Steve Jobs	Bill Gates	2
71	30	Suyun formülü?	CO2	H2O	2
72	30	Tuz nedir?	Karbondioksit	Sodyum klorür	2
73	30	Kuşbilim?	Morfoloji	Ornitoloji	2
74	30	Hava olaylarını inceleyen bilim?	Klimatoloji	Meteoroloji	2
75	30	Bodrum hangi ile bağlıdır?	Antalya	Muğla	2
76	30	Van Gölü hangi iki ildedir?	Van-Ağrı	Van-Bitlis	2
77	30	Hangisi Türki halklardan değildir?	Tatar	Tacik	2
78	30	Türkçe hangi dil grubundandır?	Arami	Altay	2
79	30	Leh ve Çek'in üçüncü biraderleri kimdir?	Fin	Rus	2
80	30	Stockholm nerenin başkentidir?	İsviçre	İsveç	2
81	30	Hangi yıl Latin alfabesine geçtik?	1923	1928	2
82	30	Nesil eşanlamlısı?	Gençlik	Kuşak	2
83	30	Kabe nerededir?	Medine	Mekke	2
84	30	Osmanlı Devleti kaç yılında kurulmuştur?	1320	1299	2
85	30	Gül'ün Adı romanının yazarı?	Dan Brown	Umberto Eco	2
86	30	Harry Potter'ın okuduğu okul?	Oxford	Hogwarts	2
87	30	Tüm dünyada fındık üretiminin yüzde %75'ini hangi ülke yapmaktadır?	Türkiye	İtalya	1
88	30	Amerika kıtası adını İtalyan seyyah Amerigo Vespucci'den almıştır.	Yanlış	Doğru	2
89	30	Birleşmiş Milletler hangi yılda kurulmuştur?	1918	1945	2
90	30	Tarım sektörünün Türkiye GSYH’sı içindeki payı yüzde kaçtır?	%8,4	.2	1
91	30	Aşağıdakilerden hangisi keseli hayvandır?	Koala	Köstebek	1
92	30	SalaGame'in yayına hazırlamakta olduğu yeni oyununun teması nedir?	II. Dünya Savaşı	Vampirler	1
93	30	Göktürk Yazıtları, diğer adıyla Orhun Abideleri, hangi yüzyıla aittir?	8	12	1
94	30	Türkiye'nin en yüksek noktası Ağrı Dağı kaç metredir?	8848	5137	2
95	30	Aşağıdaki kaynaklardan hangisi Türkiye’de çıkarılmaz?	Altın	Doğal Gaz	1
96	30	Aşağıdaki AB ülkelerinden hangisi kara yolu yoğunluğu bakımından daha ileridedir?	Çek Cumhuriyeti 	Almanya	1
97	30	Beethoven'ın 1823 tarihli Ode to Joy aşağıdakilerden hangisinin resmi marşıdır?	Avrupa Birliği	Dünya Bankası	1
98	30	Dünyanın en zehirli yılanı hangisidir?	Engerek	Deniz kobrası	2
99	30	N. B. Ceylan hangi filmiyle 67'inci Cannes Film Festivali'nde Altın Palmiye ödülü aldı?	Uzak	Kış Uykusu	2
100	30	Aşağıdakilerden hangisi gagalı-memeli hayvandır?	Kunduz	Ornitorenk	2
101	30	Taş devri diyetinin mucidi kimdir?	Ender Saraç	Ahmet Aydın	2
102	30	Krizantem hangi çiçektir?	Açelya	Kasımpatı	2
103	30	Nobel Ödülleri kaç yılında verilmeye başlanmıştır?	1865	1901	2
104	30	Türkiye dünyada en çok turist ağırlayan kaçıncı ülkedir?	6	20	1
105	30	Türkiye dünyada turizm gelirleri en yüksek kaçıncı ülkedir?	30	11	2
