index	exam_type	title	answer1	answer2	right
58	30	Où a-t-on eu l'idée de faire un fauteuil roulant pour les handicapés en 525 avant J-C ?	En Chine	En Italie	1
59	30	Y a-t-il un mode "Zombies" dans le jeu 'Call of Duty, Black Ops 2' ?	Oui	Non	1
60	30	Quelle est l'espérance de vie du lapin domestique ?	6 ans	 7 ans	2
61	30	Parmi ces bières, laquelle est d'origine chinoise ?	Tsingtao	Castle	1
62	30	Sur les 2 mains, combien a-t-on de phalanges ?	28	26	1
63	30	Combien de temps Nicolas Sarkozy est-il resté président de la République française ?	5 ans	6 ans	1
64	30	Le 20 septembre 2013 est sorti un nouvel IPhone, quel est son nom ?	IPhone 6	IPhone 5C	2
65	30	À partir de combien de km/h peut-on entendre un "Bang" ?	500 km/h	1 000 km/h	2
66	30	En quelle année la marque Skoda a-t-elle été créée ?	1818	1919	2
67	30	 Quelle espèce d'ours n'existe pas ?	L'ours à collier.	L'ours à crinière.	2
68	30	La construction de la Sagrada Familia a débuté en 1882 mais quand a-t-elle été achevée ?	En 1883.	Elle est toujours en construction.	2
69	30	Quelle est la plus grande île des Antilles ?	La Jamaïque	L'île de Cuba.	2
70	30	 Que représentait le mur d'Hadrien au début de notre ère ?	La frontière ouest de l'empire byzantin.	La frontière nord de l'empire romain.	2
71	30	Quelle est la valeur de la lettre "J" dans la version française du Scrabble ?	4 points.	8 points.	2
72	30	 Quel est l'organe le plus transplanté dans le monde en 2013 ?	L'intestin.	Le rein.	2
73	30	Qui casse le nez du sphinx dans le film réalisé en 2002 par Alain Chabat 	Edouard Baer.	Gérard Depardieu.	2
74	30	En quelle année est mort Elvis Presley	1967	1977	2
75	30	Dans quel pays ne trouverez-vous pas de McDonald's ?	Bolivie	 Inde	1
76	30	Laquelle de ces fleurs est représentative de la Toussaint ?	Chrysanthème	Muguet	1
77	30	Lequel de ces pays n'est pas limitrophe avec la France ?	Le Portugal	L'Allemagne	1
78	30	Parmi ces marques de voitures, laquelle n'est pas allemande ?	Fiat	BMW	1
79	30	Dans les "Simpson", comment s'appelle le meilleur ami de Bart ?	Troy	Milhouse	2
80	30	D'après sa chanson, quel chanteur est "Né quelque part" ?	Daniel Balavoine	Maxime le Forestier	2
81	30	Lequel de ces sports n'utilisent pas de raquettes ?	Le polo	Le tennis	1
82	30	De quelle région la brageole est-elle une spécialité ?	Languedoc-Roussillon	Bretagne	1
83	30	quel poète français a écrit 'Le bateau ivre' 	Arthur Rimbaud	Paul Verlaine	1
84	30	 comment s'appelle cette configuration au bowling ? (piste 31)	Split	Spare	1
85	30	où s'est déroulée l'édition 2012 du rallye Paris-Dakar ?	En Amérique du Sud.	En Europe et en Afrique.	1
86	30	Louis Pasteur a-t-il reçu le Prix Nobel pour sa découverte du vaccin contre la rage ?	Non, la remise des Prix Nobel n'existait pas à l'époque.	Oui. Il a aussi reçu la grande-croix de la Légion d'honneur en 1881.	1
87	30	bonne chance ! (ou bonne m... )	Le tyrannosaure tyrannique a attrapé la dysenterie.	Le tyranosaure tyranique a attrapé la dissentrie	1
88	30	 quel organe en forme de poire est accolé au foie 	La vésicule biliaire.	L'appendice.	1
89	30	quelle équipe de football arbore une louve sur son blason	AEK Athènes	AS Rome	2
90	30	 l'atoll de Bikini est-il un endroit de rêve pour passer une retraite tranquille ?	Non, cet atoll est fortement déconseillé aux touristes et animaux en tout genre.	Oui, c'est une destination paradisiaque très prisée des retraités.	1
91	30	Quelle est l'appellation la plus courante de la punaise la plus répandue en Europe ?	Le gendarme.	Le policier.	1
92	30	Comment s'appelle cette canalisation stratégique destinée au transport du pétrole ?	Un viaduc.	Un oléoduc.	2
93	30	La dune du Pilat (ou Pyla) est la plus haute d'Europe, mais quelle étendue d'eau lui fait face ?	L'océan Atlantique.	La mer du Nord.	1
94	30	Trouvez le synonyme du mot "anachorète".	Simple d'esprit.	Ermite.	2
95	30	Qui a chanté "Relax" en premier ?	Frankie Goes to Hollywood.	Cali.	1
96	30	Quel est le jour le plus long de l'année (dans l'hémisphère Nord) ?	Le solstice d'été.	L'éclipse de mai.	1
97	30	Lequel de ces départements est le plus peuplé ?	La Seine-et-Marne (77	La Haute-Garonne (31)	1
98	30	Quel est le symbole chimique du Fer ?	 F	Fe	2
99	30	Quel est le numéro de la Polynésie-Française ?	987	988	1
100	30	Dans quelle marque automobile française trouve-t-on des modèles portant le nom "Picasso" ?	 Peugeot	Citroen	2
101	30	En quelle année a eu lieu la catastrophe nucléaire de Tchernobyl ?	En 1966	En 1986	2
102	30	Laquelle de ces affirmations concernant le fleuve Loire est fausse ?	Elle est le plus long fleuve de France	Elle prend sa source sur le Plateau de Langres	2
103	30	En héraldique, comment appelle-t-on la couleur verte ?	Sinople	Sable	1
104	30	Quel saurien couvert d'écailles épineuses est parfois appelé "diable cornu" ?	Le moloch.	Le boloch.	1
105	30	Comment appelle-t-on un poète qui chantait des épopées grecques antiques ?	Un barde.	Un aède.	2
106	30	Qui est Louise Brown ?	C'est le premier bébé éprouvette	C'est le nom donné à un squelette d'Australopithèque.	1
107	30	A quand remonte la création de l'Etat d'Israël ?	1918	1948	2
108	30	Comment écrit-on "1500" en chiffres romains ?	MD.	ML.	1
109	30	Retrouvez le trio de réalisateurs n'ayant jamais été oscarisés :	Alfred Hitchcock, Orson Welles et David Lynch.	ohn Ford, David Lean et Milos Forman	1
110	30	Avec quelle chanson Shaggy a-t-il fait un carton en 1995 ?	'Boombastic'.	 'Sex Bomb'.	1
111	30	Qui a peint ce tableau intitulé "La Blanchisseuse" ?	Henri de Toulouse-Lautrec	Jules Bastien-Lepage	1
112	30	Dans quel film rencontre-t-on tous ces acteurs ?	Les Tontons flingueurs	Ne nous fâchons pas !	1
113	30	uelle est la préfecture du Tarn ?	Albi	Montauban	1
114	30	Quelle était la nationalité du Pape Jean-Paul II ?	Polonaise	Hongroise	1
115	30	Laquelle de cette céréale entre dans la composition du saké ?	Le riz	L'orge	1
116	30	De quel état américain Arnold Schwarzenegger était-il le gouverneur ?	De la Californie	Du Texas	1
117	30	Vrai ou faux : le cumulonimbus fait partie des nuages les plus inoffensifs.	Faux	Vrai	1
118	30	Dans quel état se situe la ville de Chicago ?	L'Illinois	L'Arkansas	1
119	30	Quelle est l'expression favorite de Gaston Lagaffe ?	M'enfin	Cool !	1
120	30	Quelle année du XXIe siècle a connu une canicule européenne d'une ampleur exceptionnelle?	2003	2000	1
121	30	Que désigne le mot "sifflante" ?	Une consonne particulière	Un surnom donné aux machines à vapeur au XIXe siècle	1
122	30	Quel animal est représenté sur le drapeau du Sri Lanka ?	Un lion	Un tigre	1
123	30	Quelle est la longueur d'une piscine olympique ?	50 mètres	100 mètres	1
124	30	La reine Victoria régna sur le Royaume-Uni au XIXe siècle. De quelle dynastie fait-elle partie?	Hanovre	Saxe-Cobourg et Gotha	1
125	30	En quelle année fut diffusée la toute première saison de "Koh-Lanta" sur TF1 ?	2001	2002	1
126	30	Parmi ces fruits de mer, lequel n'est pas comestible 	L'étoile de mer	L'oursin	1
127	30	Parmi ces trois fleuves, lequel est le plus long ?	Le Nil	 Le Yangzi Jiang	1
128	30	Parmi ces mots, lequel désigne certaines pierres ?	Gemmes	Cabochon	1
129	30	Dans quel pays la température la plus élevée a-t-elle jamais été enregistrée ?	La Lybie	Le Lesotho	1
130	30	Qui sont les plus gros consommateurs au monde de somnifères ?	Les Français	Les Autrichiens	1
131	30	Quel âge avait le plus jeune nageur médaillé d'or de l'histoire des Jeux Olympiques ?	14 ans	12 ans	1
132	30	Après Paris, quelle ville française possède le plus d'hôtels ?	Lourdes	 St Malo	1
133	30	Combien de fenêtres l'Empire State Building comporte-t-il ?	Environ 6400	Environ 800	1
134	30	Lequel de ces animaux court le plus vite ?	L'autruche	La girafe	1
135	30	Dans l'Antiquité, avec quoi le légionnaire romain était-il parfois payé ?	Du sel	Du poivre	1
136	30	Combien de tornades ont balayé les Etats-Unis entre le 2 et le 11 mai 2003 ?	430	124	1
137	30	Sur quel continent le deuxième plus grand lac au monde est-il situé ?	 L'Océanie	L'Amérique	2
138	30	En France, à partir de quel âge une femme peut-elle légalement se marier ?	18 ans	12 ans	1
139	30	Laquelle des ces villes ne se situe pas en Savoie (73) ?	Le Grand-Bornand	La Motte-Servolex	1
140	30	Pour visiter le Fort de Brégançon, rendez-vous dans le département ...	Du Var	Des Bouches-du-Rhône	1
141	30	Laquelle de ces couleurs n'est pas associée au Périgord ?	Vert	Jaune	2
142	30	Parmi ces trois villes, laquelle est la plus peuplée ?	La ville de Madrid	à moins que ce soit la ville de Londres	1
143	30	Attention, alerte météo ! Dans les vigilances de Météo-France, nous trouvons ...	4 couleurs	3 couleurs	1
144	30	Rendu célèbre par Daniel Prévost, le village de Montcuq se situe dans le département ...	Du Lot	Du Lot-et-Garonne	1
145	30	Quelle taille peut atteindre la plus grande scolopendre du monde ?	Jusqu'à 20 centimètres	Jusqu'à 40 centimètres	2
146	30	Où se situe la ville de Tchernobyl ?	En Roumanie	En Ukraine	2
147	30	Quelle ville du Sud de la France est surnommée "la capitale du parfum" ?	Menton	Grasse	2
148	30	Quel est l'autre nom de la plie commune	Le carrelet.	Le barbeau.	1
149	30	Où se trouve la ville d'Ushuaïa ?	En Argentine.	 Au Chili	1
150	30	Quand le dernier guillotiné de l'histoire de France a-t-il été exécuté ?	Le 10 septembre 1977.	Le 14 juillet 1789.	1
