index	exam_type	title	answer1	answer2	right
36	30	Co otrzymasz w nagrodach Poświęcenia?	Wytrzymałość	Podróż dookoła świata	1
37	30	Jak zdobyć przedmioty EXP?	Walka w Arenie	Przejście krypty	2
38	30	Do czego używa się Gwiazd?	Podnoszenie oceny bitwy	Uzdrawianie postaci	1
39	30	Od którego poziomu można rafinować ekwipunek?	10	100	2
40	30	Jak szybko przejść loch?	Klikaj dalej	Nalot	2
41	30	Jaki proces ulepsza gwiazdy?	Pochłanianie /synteza	Modlitwa	1
42	30	Jaka jest korzyść z dawania bohaterom pełnego ekwipunku?	Jajo smoka	Bonusowy wzrost oceny	2
43	30	Co możesz zdobyć w Najeźdźcach?	Mnóstwo Złota	Małe potwory	1
44	30	Czy zmiana wierzchowca wpłynie na jego atrybuty?	Tak	Nie	2
45	30	Jaki jest efekt BUFF'u gildii broniącej w bitwie gildii?	Przyciąganie uwagi	Wzrost EXP i Złota	2
46	30	Jak zdobyć tytuł nieśmiertelnego pogromcy smoków?	Miejsce 5-10 w Arenie	1 miejsce w Arenie	1
47	30	Gdzie zdobyć nawróconą Pneumę?	Poświęć bohatera	Kup w sklepie	1
48	30	Jak zdobyć broń sakralną?	W lochu gildii	W odważnej grze	1
49	30	Jak zdobyć Zwierzę w grze?	Otrzymać od kogoś	Kupić w sklepie	2
50	30	Jak zdobyć pomarańczowego bohatera?	Weż pigułkę mocy	Ulepsz fioletowego bohatera	2
51	30	Kto jest bogiem oceanów w mitologii greckiej?	Posejdon	Zeus	1
52	30	Z iloma krajami graniczy Polska?	7	15	1
53	30	W którym z tych krajów panuje król?	Polska	Szwecja	2
54	30	Które z tych miast jest kojarzone ze smokiem?	Kraków	Sosnowiec	1
55	30	Jaki był ulubiony napój starożytnych Rzymian?	Sok pomarańczowy	Wino	2
56	30	Na jakim instrumencie grał Jimmy Hendrix?	Kontrabas	Gitara	2
57	30	Co wchodzi w skład pizzy hawajskiej?	Ananas	Małże	1
58	30	Czy Rosja należy do Unii Europejskiej?	Nie	Tak	1
59	30	Co było pierwsze: jajko czy kura?	Nie wiadomo	Szop pracz	1
60	30	Czy w Polsce jest 50 województw?	Tak	Nie	2
61	30	Czy komplet ekwipunku zwiększa gniew początkowy?	Tak	Nie	2
62	30	Na którym lv. można kupić 3-gwiazdkowego bohatera?	60	30	1
63	30	Na którym lv. Odważnej Gry pojawia się Demon Apollo?	lvl 1	lvl 3	2
64	30	W którym roku był Chrzest Polski?	966	1410	1
65	30	Kto jest głową państwa w RP?	Prezydent	Premier	1
66	30	Walutą jakiego kraju jest Dolar?	Polski	USA	2
67	30	Czy mozna zniewolić gracza z lv niższym o 11?	Tak	Nie	2
68	30	Gdzie zdobyć runy?	Las Fantazji	Koło Run	2
69	30	Co można zdobyć w Boskikm Ołtarzu?	Fioletowego bohatera	Bilet do kina	1
70	30	Czy ekwipunek Dybbuk można sytentyzować?	Tak	Nie	1
71	30	Czy Loch Gildii można przejść samemu?	Tak	Nie	2
72	30	Ile części Kerbersua potrzeba do aktywacji Cerbera?	200	10	1
73	30	Ile kilofów na dzień dostaje każdy gracz w Polowaniu?	5	15	2
74	30	Ile trzeba prestiżu do odblokowania Boga Piorunów?	1000	57000	2
75	30	Kto może przywołać Bestię Gildii?	Lider	Admin	1
76	30	Gdzie można zdobyć duszę smoka?	Wieża Drużyny	Arena	1
77	30	Gdzie zdobyć środki gildi?	Próba Bohatera	Zadania Gildii	2
78	30	Gdzie zdobywa się możliwość chwytania więźniów?	Arena	Lochy	1
79	30	Który event ma miejsce przed Polem Bitwy?	Quiz	Bitwa Gildii	2
80	30	O której godzinie otwiera się Strefa Chaosu?	po 20:00	po 22:00	1
81	30	Ilu posłów jest w polskim sejmie?	1	460	2
82	30	Która liga jest najwyższa na Arenie?	Platynowa	Diamentowa	2
83	30	Czy Gwiazdy można syntetyzować?	Tak	Nie	1
84	30	Ile trwa ciąża diabla tasmańskiego?	3 tygodnie	11 miesięcy	1
85	30	Ile litrów krwi ma człowiek?	od 5 do 6	od 10 do 11	1
86	30	Która kość jest większa?	ramienna	udowa	2
87	30	Czy istnieje na serwerze Wino EXP XXXL?	Tak	Nie	2
88	30	Co umieszcza się w Broni Sakralnej?	Runy	Fajerwerki	1
89	30	Który Wierzchowiec jest szybszy?	Koń	Kryształowy Skorpion	1
90	30	Gdzie najlepiej dyskutować z innymi graczami?	w Boskim Ołtarzu	na Forum DK	2
91	30	Jak nazywa się nasz 2 serwer?	Talerz Smoka	Czara Smoka	2
92	30	Czy komplet ekwipunku zwiększa gniew początkowy?	Tak	Nie	2
93	30	Na którym lv. można kupić 3-gwiazdkowego bohatera?	60	30	1
94	30	Na którym lv. Odważnej Gry pojawia się Demon Apollo?	lvl 1	lvl 3	2
95	30	W którym roku był Chrzest Polski?	966	1410	1
96	30	Kto jest głową państwa w RP?	Prezydent	Premier	1
97	30	Walutą jakiego kraju jest Dolar?	Polski	USA	2
98	30	Czy mozna zniewolić gracza z lv niższym o 11?	Tak	Nie	2
99	30	Gdzie zdobyć runy?	Las Fantazji	Koło Run	2
100	30	Co można zdobyć w Boskim Ołtarzu?	Fioletowego bohatera	Bilet do kina	1
101	30	Czy ekwipunek Dybbuk można sytentyzować?	Tak	Nie	1
102	30	Ile części Kerbersua potrzeba do aktywacji Cerbera?	200	10	1
103	30	Ile kilofów na dzień dostaje każdy gracz w Polowaniu?	5	15	2
104	30	Ile trzeba prestiżu do odblokowania Boga Piorunów?	1000	57000	2
105	30	Kto może przywołać Bestię Gildii?	Lider	Admin	1
106	30	Gdzie można zdobyć duszę smoka?	Wieża Drużyny	Arena	1
107	30	Gdzie zdobyć środki gildi?	Próba Bohatera	Zadania Gildii	2
108	30	Gdzie zdobywa się możliwość chwytania więźniów?	Arena	Lochy	1
109	30	Który event ma miejsce przed Polem Bitwy?	Quiz	Bitwa Gildii	2
110	30	O której godzinie otwiera się Strefa Chaosu?	po 20:00	po 22:00	1
111	30	Ilu posłów jest w polskim sejmie?	1	460	2
112	30	Która liga jest najwyższa na Arenie?	Platynowa	Diamentowa	2
113	30	Czy Gwiazdy można syntetyzować?	Tak	Nie	1
114	30	Ile trwa ciąża diabla tasmańskiego?	3 tygodnie	11 miesięcy	1
115	30	Ile litrów krwi ma człowiek?	od 5 do 6	od 10 do 11	1
116	30	Która kość jest większa?	ramienna	udowa	2
117	30	Czy istnieje na serwerze Wino EXP XXXL?	Tak	Nie	2
118	30	Co umieszcza się w Broni Sakralnej?	Runy	Fajerwerki	1
119	30	Który Wierzchowiec jest szybszy?	Koń	Kryształowy Skorpion	1
120	30	Gdzie najlepiej dyskutować z innymi graczami?	w Boskim Ołtarzu	na Forum DK	2
121	30	Jak nazywa się nasz 2 serwer?	Talerz Smoka	Czara Smoka	2
