qinmiLevel	paiXu	needQinmi	nextLevel	maxLevel	needQinmiGrade	maxhp	defense_m	attack_m	defense_p	attack_p	crit	critpress	parry	puncture	xianshi
44	(9,9,9,9,8)	306	45	500	0	810	270	270	270	240	0	0	0	0	defense_p
45	(9,9,9,9,9)	361	46	500	0	810	270	270	270	270	0	0	0	0	attack_p
46	(10,9,9,9,9)	361	47	500	0	900	270	270	270	270	0	0	0	0	maxhp
47	(10,10,9,9,9)	361	48	500	0	900	300	270	270	270	0	0	0	0	defense_m
48	(10,10,10,9,9)	361	49	500	0	900	300	300	270	270	0	0	0	0	attack_m
49	(10,10,10,10,9)	361	50	500	0	900	300	300	300	270	0	0	0	0	defense_p
50	(10,10,10,10,10)	423	51	500	0	900	300	300	300	300	0	0	0	0	attack_p
51	(11,10,10,10,10)	423	52	500	0	990	300	300	300	300	0	0	0	0	maxhp
52	(11,11,10,10,10)	423	53	500	0	990	330	300	300	300	0	0	0	0	defense_m
53	(11,11,11,10,10)	423	54	500	0	990	330	330	300	300	0	0	0	0	attack_m
54	(11,11,11,11,10)	423	55	500	0	990	330	330	330	300	0	0	0	0	defense_p
55	(11,11,11,11,11)	489	56	500	0	990	330	330	330	330	0	0	0	0	attack_p
56	(12,11,11,11,11)	489	57	500	0	1080	330	330	330	330	0	0	0	0	maxhp
57	(12,12,11,11,11)	489	58	500	0	1080	360	330	330	330	0	0	0	0	defense_m
58	(12,12,12,11,11)	489	59	500	0	1080	360	360	330	330	0	0	0	0	attack_m
59	(12,12,12,12,11)	489	60	500	0	1080	360	360	360	330	0	0	0	0	defense_p
60	(12,12,12,12,12)	561	61	500	0	1080	360	360	360	360	0	0	0	0	attack_p
61	(13,12,12,12,12)	561	62	500	0	1170	360	360	360	360	0	0	0	0	maxhp
62	(13,13,12,12,12)	561	63	500	0	1170	390	360	360	360	0	0	0	0	defense_m
63	(13,13,13,12,12)	561	64	500	0	1170	390	390	360	360	0	0	0	0	attack_m
64	(13,13,13,13,12)	561	65	500	0	1170	390	390	390	360	0	0	0	0	defense_p
65	(13,13,13,13,13)	639	66	500	0	1170	390	390	390	390	0	0	0	0	attack_p
66	(14,13,13,13,13)	639	67	500	0	1260	390	390	390	390	0	0	0	0	maxhp
67	(14,14,13,13,13)	639	68	500	0	1260	420	390	390	390	0	0	0	0	defense_m
68	(14,14,14,13,13)	639	69	500	0	1260	420	420	390	390	0	0	0	0	attack_m
69	(14,14,14,14,13)	639	70	500	0	1260	420	420	420	390	0	0	0	0	defense_p
70	(14,14,14,14,14)	724	71	500	0	1260	420	420	420	420	0	0	0	0	attack_p
71	(15,14,14,14,14)	724	72	500	0	1350	420	420	420	420	0	0	0	0	maxhp
72	(15,15,14,14,14)	724	73	500	0	1350	450	420	420	420	0	0	0	0	defense_m
73	(15,15,15,14,14)	724	74	500	0	1350	450	450	420	420	0	0	0	0	attack_m
74	(15,15,15,15,14)	724	75	500	0	1350	450	450	450	420	0	0	0	0	defense_p
75	(15,15,15,15,15)	813	76	500	0	1350	450	450	450	450	0	0	0	0	attack_p
76	(16,15,15,15,15)	813	77	500	0	1440	450	450	450	450	0	0	0	0	maxhp
77	(16,16,15,15,15)	813	78	500	0	1440	480	450	450	450	0	0	0	0	defense_m
78	(16,16,16,15,15)	813	79	500	0	1440	480	480	450	450	0	0	0	0	attack_m
79	(16,16,16,16,15)	813	80	500	0	1440	480	480	480	450	0	0	0	0	defense_p
80	(16,16,16,16,16)	908	81	500	0	1440	480	480	480	480	0	0	0	0	attack_p
81	(17,16,16,16,16)	908	82	500	0	1530	480	480	480	480	0	0	0	0	maxhp
82	(17,17,16,16,16)	908	83	500	0	1530	510	480	480	480	0	0	0	0	defense_m
83	(17,17,17,16,16)	908	84	500	0	1530	510	510	480	480	0	0	0	0	attack_m
84	(17,17,17,17,16)	908	85	500	0	1530	510	510	510	480	0	0	0	0	defense_p
85	(17,17,17,17,17)	1010	86	500	0	1530	510	510	510	510	0	0	0	0	attack_p
86	(18,17,17,17,17)	1010	87	500	0	1620	510	510	510	510	0	0	0	0	maxhp
87	(18,18,17,17,17)	1010	88	500	0	1620	540	510	510	510	0	0	0	0	defense_m
88	(18,18,18,17,17)	1010	89	500	0	1620	540	540	510	510	0	0	0	0	attack_m
89	(18,18,18,18,17)	1010	90	500	0	1620	540	540	540	510	0	0	0	0	defense_p
90	(18,18,18,18,18)	1118	91	500	0	1620	540	540	540	540	0	0	0	0	attack_p
91	(19,18,18,18,18)	1118	92	500	0	1710	540	540	540	540	0	0	0	0	maxhp
92	(19,19,18,18,18)	1118	93	500	0	1710	570	540	540	540	0	0	0	0	defense_m
93	(19,19,19,18,18)	1118	94	500	0	1710	570	570	540	540	0	0	0	0	attack_m
94	(19,19,19,19,18)	1118	95	500	0	1710	570	570	570	540	0	0	0	0	defense_p
95	(19,19,19,19,19)	1230	96	500	0	1710	570	570	570	570	0	0	0	0	attack_p
96	(20,19,19,19,19)	1230	97	500	0	1800	570	570	570	570	0	0	0	0	maxhp
97	(20,20,19,19,19)	1230	98	500	0	1800	600	570	570	570	0	0	0	0	defense_m
98	(20,20,20,19,19)	1230	99	500	0	1800	600	600	570	570	0	0	0	0	attack_m
99	(20,20,20,20,19)	1230	100	500	0	1800	600	600	600	570	0	0	0	0	defense_p
100	(20,20,20,20,20)	1349	101	500	1	1800	600	600	600	600	0	0	0	0	attack_p
101	(21,20,20,20,20)	1349	102	500	1	1980	600	600	600	600	0	0	0	0	maxhp
102	(21,21,20,20,20)	1349	103	500	1	1980	660	600	600	600	0	0	0	0	defense_m
103	(21,21,21,20,20)	1349	104	500	1	1980	660	660	600	600	0	0	0	0	attack_m
104	(21,21,21,21,20)	1349	105	500	1	1980	660	660	660	600	0	0	0	0	defense_p
105	(21,21,21,21,21)	1474	106	500	1	1980	660	660	660	660	0	0	0	0	attack_p
106	(22,21,21,21,21)	1474	107	500	1	2160	660	660	660	660	0	0	0	0	maxhp
107	(22,22,21,21,21)	1474	108	500	1	2160	720	660	660	660	0	0	0	0	defense_m
108	(22,22,22,21,21)	1474	109	500	1	2160	720	720	660	660	0	0	0	0	attack_m
109	(22,22,22,22,21)	1474	110	500	1	2160	720	720	720	660	0	0	0	0	defense_p
110	(22,22,22,22,22)	1604	111	500	1	2160	720	720	720	720	0	0	0	0	attack_p
111	(23,22,22,22,22)	1604	112	500	1	2340	720	720	720	720	0	0	0	0	maxhp
112	(23,23,22,22,22)	1604	113	500	1	2340	780	720	720	720	0	0	0	0	defense_m
113	(23,23,23,22,22)	1604	114	500	1	2340	780	780	720	720	0	0	0	0	attack_m
114	(23,23,23,23,22)	1604	115	500	1	2340	780	780	780	720	0	0	0	0	defense_p
115	(23,23,23,23,23)	1739	116	500	1	2340	780	780	780	780	0	0	0	0	attack_p
116	(24,23,23,23,23)	1739	117	500	1	2520	780	780	780	780	0	0	0	0	maxhp
117	(24,24,23,23,23)	1739	118	500	1	2520	840	780	780	780	0	0	0	0	defense_m
118	(24,24,24,23,23)	1739	119	500	1	2520	840	840	780	780	0	0	0	0	attack_m
119	(24,24,24,24,23)	1739	120	500	1	2520	840	840	840	780	0	0	0	0	defense_p
120	(24,24,24,24,24)	1881	121	500	1	2520	840	840	840	840	0	0	0	0	attack_p
121	(25,24,24,24,24)	1881	122	500	1	2700	840	840	840	840	0	0	0	0	maxhp
122	(25,25,24,24,24)	1881	123	500	1	2700	900	840	840	840	0	0	0	0	defense_m
123	(25,25,25,24,24)	1881	124	500	1	2700	900	900	840	840	0	0	0	0	attack_m
124	(25,25,25,25,24)	1881	125	500	1	2700	900	900	900	840	0	0	0	0	defense_p
125	(25,25,25,25,25)	2029	126	500	1	2700	900	900	900	900	0	0	0	0	attack_p
126	(26,25,25,25,25)	2029	127	500	1	2880	900	900	900	900	0	0	0	0	maxhp
127	(26,26,25,25,25)	2029	128	500	1	2880	960	900	900	900	0	0	0	0	defense_m
128	(26,26,26,25,25)	2029	129	500	1	2880	960	960	900	900	0	0	0	0	attack_m
129	(26,26,26,26,25)	2029	130	500	1	2880	960	960	960	900	0	0	0	0	defense_p
130	(26,26,26,26,26)	2181	131	500	1	2880	960	960	960	960	0	0	0	0	attack_p
131	(27,26,26,26,26)	2181	132	500	1	3060	960	960	960	960	0	0	0	0	maxhp
132	(27,27,26,26,26)	2181	133	500	1	3060	1020	960	960	960	0	0	0	0	defense_m
133	(27,27,27,26,26)	2181	134	500	1	3060	1020	1020	960	960	0	0	0	0	attack_m
134	(27,27,27,27,26)	2181	135	500	1	3060	1020	1020	1020	960	0	0	0	0	defense_p
135	(27,27,27,27,27)	2341	136	500	1	3060	1020	1020	1020	1020	0	0	0	0	attack_p
136	(28,27,27,27,27)	2341	137	500	1	3240	1020	1020	1020	1020	0	0	0	0	maxhp
137	(28,28,27,27,27)	2341	138	500	1	3240	1080	1020	1020	1020	0	0	0	0	defense_m
138	(28,28,28,27,27)	2341	139	500	1	3240	1080	1080	1020	1020	0	0	0	0	attack_m
139	(28,28,28,28,27)	2341	140	500	1	3240	1080	1080	1080	1020	0	0	0	0	defense_p
140	(28,28,28,28,28)	2506	141	500	1	3240	1080	1080	1080	1080	0	0	0	0	attack_p
141	(29,28,28,28,28)	2506	142	500	1	3420	1080	1080	1080	1080	0	0	0	0	maxhp
142	(29,29,28,28,28)	2506	143	500	1	3420	1140	1080	1080	1080	0	0	0	0	defense_m
143	(29,29,29,28,28)	2506	144	500	1	3420	1140	1140	1080	1080	0	0	0	0	attack_m
144	(29,29,29,29,28)	2506	145	500	1	3420	1140	1140	1140	1080	0	0	0	0	defense_p
145	(29,29,29,29,29)	2676	146	500	1	3420	1140	1140	1140	1140	0	0	0	0	attack_p
146	(30,29,29,29,29)	2676	147	500	1	3600	1140	1140	1140	1140	0	0	0	0	maxhp
147	(30,30,29,29,29)	2676	148	500	1	3600	1200	1140	1140	1140	0	0	0	0	defense_m
148	(30,30,30,29,29)	2676	149	500	1	3600	1200	1200	1140	1140	0	0	0	0	attack_m
149	(30,30,30,30,29)	2676	150	500	1	3600	1200	1200	1200	1140	0	0	0	0	defense_p
150	(30,30,30,30,30)	2854	151	500	1	3600	1200	1200	1200	1200	0	0	0	0	attack_p
151	(31,30,30,30,30)	2854	152	500	1	3780	1200	1200	1200	1200	0	0	0	0	maxhp
152	(31,31,30,30,30)	2854	153	500	1	3780	1260	1200	1200	1200	0	0	0	0	defense_m
153	(31,31,31,30,30)	2854	154	500	1	3780	1260	1260	1200	1200	0	0	0	0	attack_m
154	(31,31,31,31,30)	2854	155	500	1	3780	1260	1260	1260	1200	0	0	0	0	defense_p
155	(31,31,31,31,31)	3036	156	500	1	3780	1260	1260	1260	1260	0	0	0	0	attack_p
156	(32,31,31,31,31)	3036	157	500	1	3960	1260	1260	1260	1260	0	0	0	0	maxhp
157	(32,32,31,31,31)	3036	158	500	1	3960	1320	1260	1260	1260	0	0	0	0	defense_m
158	(32,32,32,31,31)	3036	159	500	1	3960	1320	1320	1260	1260	0	0	0	0	attack_m
159	(32,32,32,32,31)	3036	160	500	1	3960	1320	1320	1320	1260	0	0	0	0	defense_p
160	(32,32,32,32,32)	3224	161	500	1	3960	1320	1320	1320	1320	0	0	0	0	attack_p
161	(33,32,32,32,32)	3224	162	500	1	4140	1320	1320	1320	1320	0	0	0	0	maxhp
162	(33,33,32,32,32)	3224	163	500	1	4140	1380	1320	1320	1320	0	0	0	0	defense_m
163	(33,33,33,32,32)	3224	164	500	1	4140	1380	1380	1320	1320	0	0	0	0	attack_m
164	(33,33,33,33,32)	3224	165	500	1	4140	1380	1380	1380	1320	0	0	0	0	defense_p
165	(33,33,33,33,33)	3418	166	500	1	4140	1380	1380	1380	1380	0	0	0	0	attack_p
166	(34,33,33,33,33)	3418	167	500	1	4320	1380	1380	1380	1380	0	0	0	0	maxhp
167	(34,34,33,33,33)	3418	168	500	1	4320	1440	1380	1380	1380	0	0	0	0	defense_m
168	(34,34,34,33,33)	3418	169	500	1	4320	1440	1440	1380	1380	0	0	0	0	attack_m
169	(34,34,34,34,33)	3418	170	500	1	4320	1440	1440	1440	1380	0	0	0	0	defense_p
170	(34,34,34,34,34)	3618	171	500	1	4320	1440	1440	1440	1440	0	0	0	0	attack_p
171	(35,34,34,34,34)	3618	172	500	1	4500	1440	1440	1440	1440	0	0	0	0	maxhp
172	(35,35,34,34,34)	3618	173	500	1	4500	1500	1440	1440	1440	0	0	0	0	defense_m
173	(35,35,35,34,34)	3618	174	500	1	4500	1500	1500	1440	1440	0	0	0	0	attack_m
174	(35,35,35,35,34)	3618	175	500	1	4500	1500	1500	1500	1440	0	0	0	0	defense_p
175	(35,35,35,35,35)	3823	176	500	1	4500	1500	1500	1500	1500	0	0	0	0	attack_p
176	(36,35,35,35,35)	3823	177	500	1	4680	1500	1500	1500	1500	0	0	0	0	maxhp
177	(36,36,35,35,35)	3823	178	500	1	4680	1560	1500	1500	1500	0	0	0	0	defense_m
178	(36,36,36,35,35)	3823	179	500	1	4680	1560	1560	1500	1500	0	0	0	0	attack_m
179	(36,36,36,36,35)	3823	180	500	1	4680	1560	1560	1560	1500	0	0	0	0	defense_p
180	(36,36,36,36,36)	4033	181	500	1	4680	1560	1560	1560	1560	0	0	0	0	attack_p
181	(37,36,36,36,36)	4033	182	500	1	4860	1560	1560	1560	1560	0	0	0	0	maxhp
182	(37,37,36,36,36)	4033	183	500	1	4860	1620	1560	1560	1560	0	0	0	0	defense_m
183	(37,37,37,36,36)	4033	184	500	1	4860	1620	1620	1560	1560	0	0	0	0	attack_m
184	(37,37,37,37,36)	4033	185	500	1	4860	1620	1620	1620	1560	0	0	0	0	defense_p
185	(37,37,37,37,37)	4250	186	500	1	4860	1620	1620	1620	1620	0	0	0	0	attack_p
186	(38,37,37,37,37)	4250	187	500	1	5040	1620	1620	1620	1620	0	0	0	0	maxhp
187	(38,38,37,37,37)	4250	188	500	1	5040	1680	1620	1620	1620	0	0	0	0	defense_m
188	(38,38,38,37,37)	4250	189	500	1	5040	1680	1680	1620	1620	0	0	0	0	attack_m
189	(38,38,38,38,37)	4250	190	500	1	5040	1680	1680	1680	1620	0	0	0	0	defense_p
190	(38,38,38,38,38)	4474	191	500	1	5040	1680	1680	1680	1680	0	0	0	0	attack_p
191	(39,38,38,38,38)	4474	192	500	1	5220	1680	1680	1680	1680	0	0	0	0	maxhp
192	(39,39,38,38,38)	4474	193	500	1	5220	1740	1680	1680	1680	0	0	0	0	defense_m
193	(39,39,39,38,38)	4474	194	500	1	5220	1740	1740	1680	1680	0	0	0	0	attack_m
194	(39,39,39,39,38)	4474	195	500	1	5220	1740	1740	1740	1680	0	0	0	0	defense_p
195	(39,39,39,39,39)	4701	196	500	1	5220	1740	1740	1740	1740	0	0	0	0	attack_p
196	(40,39,39,39,39)	4701	197	500	1	5400	1740	1740	1740	1740	0	0	0	0	maxhp
197	(40,40,39,39,39)	4701	198	500	1	5400	1800	1740	1740	1740	0	0	0	0	defense_m
198	(40,40,40,39,39)	4701	199	500	1	5400	1800	1800	1740	1740	0	0	0	0	attack_m
199	(40,40,40,40,39)	4701	200	500	1	5400	1800	1800	1800	1740	0	0	0	0	defense_p
200	(40,40,40,40,40)	10911	201	500	2	5400	1800	1800	1800	1800	0	0	0	0	attack_p
201	(41,40,40,40,40)	10911	202	500	2	5670	1800	1800	1800	1800	0	0	0	0	maxhp
202	(41,41,40,40,40)	10911	203	500	2	5670	1890	1800	1800	1800	0	0	0	0	defense_m
203	(41,41,41,40,40)	10911	204	500	2	5670	1890	1890	1800	1800	0	0	0	0	attack_m
204	(41,41,41,41,40)	10911	205	500	2	5670	1890	1890	1890	1800	0	0	0	0	defense_p
205	(41,41,41,41,41)	11436	206	500	2	5670	1890	1890	1890	1890	0	0	0	0	attack_p
206	(42,41,41,41,41)	11436	207	500	2	5940	1890	1890	1890	1890	0	0	0	0	maxhp
207	(42,42,41,41,41)	11436	208	500	2	5940	1980	1890	1890	1890	0	0	0	0	defense_m
208	(42,42,42,41,41)	11436	209	500	2	5940	1980	1980	1890	1890	0	0	0	0	attack_m
209	(42,42,42,42,41)	11436	210	500	2	5940	1980	1980	1980	1890	0	0	0	0	defense_p
210	(42,42,42,42,42)	11975	211	500	2	5940	1980	1980	1980	1980	0	0	0	0	attack_p
211	(43,42,42,42,42)	11975	212	500	2	6210	1980	1980	1980	1980	0	0	0	0	maxhp
212	(43,43,42,42,42)	11975	213	500	2	6210	2070	1980	1980	1980	0	0	0	0	defense_m
213	(43,43,43,42,42)	11975	214	500	2	6210	2070	2070	1980	1980	0	0	0	0	attack_m
214	(43,43,43,43,42)	11975	215	500	2	6210	2070	2070	2070	1980	0	0	0	0	defense_p
215	(43,43,43,43,43)	12525	216	500	2	6210	2070	2070	2070	2070	0	0	0	0	attack_p
216	(44,43,43,43,43)	12525	217	500	2	6480	2070	2070	2070	2070	0	0	0	0	maxhp
217	(44,44,43,43,43)	12525	218	500	2	6480	2160	2070	2070	2070	0	0	0	0	defense_m
218	(44,44,44,43,43)	12525	219	500	2	6480	2160	2160	2070	2070	0	0	0	0	attack_m
219	(44,44,44,44,43)	12525	220	500	2	6480	2160	2160	2160	2070	0	0	0	0	defense_p
220	(44,44,44,44,44)	13089	221	500	2	6480	2160	2160	2160	2160	0	0	0	0	attack_p
221	(45,44,44,44,44)	13089	222	500	2	6750	2160	2160	2160	2160	0	0	0	0	maxhp
222	(45,45,44,44,44)	13089	223	500	2	6750	2250	2160	2160	2160	0	0	0	0	defense_m
223	(45,45,45,44,44)	13089	224	500	2	6750	2250	2250	2160	2160	0	0	0	0	attack_m
224	(45,45,45,45,44)	13089	225	500	2	6750	2250	2250	2250	2160	0	0	0	0	defense_p
225	(45,45,45,45,45)	13664	226	500	2	6750	2250	2250	2250	2250	0	0	0	0	attack_p
226	(46,45,45,45,45)	13664	227	500	2	7020	2250	2250	2250	2250	0	0	0	0	maxhp
227	(46,46,45,45,45)	13664	228	500	2	7020	2340	2250	2250	2250	0	0	0	0	defense_m
228	(46,46,46,45,45)	13664	229	500	2	7020	2340	2340	2250	2250	0	0	0	0	attack_m
229	(46,46,46,46,45)	13664	230	500	2	7020	2340	2340	2340	2250	0	0	0	0	defense_p
230	(46,46,46,46,46)	14254	231	500	2	7020	2340	2340	2340	2340	0	0	0	0	attack_p
231	(47,46,46,46,46)	14254	232	500	2	7290	2340	2340	2340	2340	0	0	0	0	maxhp
232	(47,47,46,46,46)	14254	233	500	2	7290	2430	2340	2340	2340	0	0	0	0	defense_m
233	(47,47,47,46,46)	14254	234	500	2	7290	2430	2430	2340	2340	0	0	0	0	attack_m
234	(47,47,47,47,46)	14254	235	500	2	7290	2430	2430	2430	2340	0	0	0	0	defense_p
235	(47,47,47,47,47)	14855	236	500	2	7290	2430	2430	2430	2430	0	0	0	0	attack_p
236	(48,47,47,47,47)	14855	237	500	2	7560	2430	2430	2430	2430	0	0	0	0	maxhp
237	(48,48,47,47,47)	14855	238	500	2	7560	2520	2430	2430	2430	0	0	0	0	defense_m
238	(48,48,48,47,47)	14855	239	500	2	7560	2520	2520	2430	2430	0	0	0	0	attack_m
239	(48,48,48,48,47)	14855	240	500	2	7560	2520	2520	2520	2430	0	0	0	0	defense_p
240	(48,48,48,48,48)	15469	241	500	2	7560	2520	2520	2520	2520	0	0	0	0	attack_p
241	(49,48,48,48,48)	15469	242	500	2	7830	2520	2520	2520	2520	0	0	0	0	maxhp
242	(49,49,48,48,48)	15469	243	500	2	7830	2610	2520	2520	2520	0	0	0	0	defense_m
243	(49,49,49,48,48)	15469	244	500	2	7830	2610	2610	2520	2520	0	0	0	0	attack_m
244	(49,49,49,49,48)	15469	245	500	2	7830	2610	2610	2610	2520	0	0	0	0	defense_p
245	(49,49,49,49,49)	16095	246	500	2	7830	2610	2610	2610	2610	0	0	0	0	attack_p
246	(50,49,49,49,49)	16095	247	500	2	8100	2610	2610	2610	2610	0	0	0	0	maxhp
247	(50,50,49,49,49)	16095	248	500	2	8100	2700	2610	2610	2610	0	0	0	0	defense_m
248	(50,50,50,49,49)	16095	249	500	2	8100	2700	2700	2610	2610	0	0	0	0	attack_m
249	(50,50,50,50,49)	16095	250	500	2	8100	2700	2700	2700	2610	0	0	0	0	defense_p
250	(50,50,50,50,50)	16735	251	500	2	8100	2700	2700	2700	2700	0	0	0	0	attack_p
251	(51,50,50,50,50)	16735	252	500	2	8370	2700	2700	2700	2700	0	0	0	0	maxhp
252	(51,51,50,50,50)	16735	253	500	2	8370	2790	2700	2700	2700	0	0	0	0	defense_m
253	(51,51,51,50,50)	16735	254	500	2	8370	2790	2790	2700	2700	0	0	0	0	attack_m
254	(51,51,51,51,50)	16735	255	500	2	8370	2790	2790	2790	2700	0	0	0	0	defense_p
255	(51,51,51,51,51)	17386	256	500	2	8370	2790	2790	2790	2790	0	0	0	0	attack_p
256	(52,51,51,51,51)	17386	257	500	2	8640	2790	2790	2790	2790	0	0	0	0	maxhp
257	(52,52,51,51,51)	17386	258	500	2	8640	2880	2790	2790	2790	0	0	0	0	defense_m
258	(52,52,52,51,51)	17386	259	500	2	8640	2880	2880	2790	2790	0	0	0	0	attack_m
259	(52,52,52,52,51)	17386	260	500	2	8640	2880	2880	2880	2790	0	0	0	0	defense_p
260	(52,52,52,52,52)	18051	261	500	2	8640	2880	2880	2880	2880	0	0	0	0	attack_p
261	(53,52,52,52,52)	18051	262	500	2	8910	2880	2880	2880	2880	0	0	0	0	maxhp
262	(53,53,52,52,52)	18051	263	500	2	8910	2970	2880	2880	2880	0	0	0	0	defense_m
263	(53,53,53,52,52)	18051	264	500	2	8910	2970	2970	2880	2880	0	0	0	0	attack_m
264	(53,53,53,53,52)	18051	265	500	2	8910	2970	2970	2970	2880	0	0	0	0	defense_p
265	(53,53,53,53,53)	18729	266	500	2	8910	2970	2970	2970	2970	0	0	0	0	attack_p
266	(54,53,53,53,53)	18729	267	500	2	9180	2970	2970	2970	2970	0	0	0	0	maxhp
267	(54,54,53,53,53)	18729	268	500	2	9180	3060	2970	2970	2970	0	0	0	0	defense_m
268	(54,54,54,53,53)	18729	269	500	2	9180	3060	3060	2970	2970	0	0	0	0	attack_m
269	(54,54,54,54,53)	18729	270	500	2	9180	3060	3060	3060	2970	0	0	0	0	defense_p
270	(54,54,54,54,54)	19419	271	500	2	9180	3060	3060	3060	3060	0	0	0	0	attack_p
271	(55,54,54,54,54)	19419	272	500	2	9450	3060	3060	3060	3060	0	0	0	0	maxhp
272	(55,55,54,54,54)	19419	273	500	2	9450	3150	3060	3060	3060	0	0	0	0	defense_m
273	(55,55,55,54,54)	19419	274	500	2	9450	3150	3150	3060	3060	0	0	0	0	attack_m
274	(55,55,55,55,54)	19419	275	500	2	9450	3150	3150	3150	3060	0	0	0	0	defense_p
275	(55,55,55,55,55)	20120	276	500	2	9450	3150	3150	3150	3150	0	0	0	0	attack_p
276	(56,55,55,55,55)	20120	277	500	2	9720	3150	3150	3150	3150	0	0	0	0	maxhp
277	(56,56,55,55,55)	20120	278	500	2	9720	3240	3150	3150	3150	0	0	0	0	defense_m
278	(56,56,56,55,55)	20120	279	500	2	9720	3240	3240	3150	3150	0	0	0	0	attack_m
279	(56,56,56,56,55)	20120	280	500	2	9720	3240	3240	3240	3150	0	0	0	0	defense_p
280	(56,56,56,56,56)	20836	281	500	2	9720	3240	3240	3240	3240	0	0	0	0	attack_p
281	(57,56,56,56,56)	20836	282	500	2	9990	3240	3240	3240	3240	0	0	0	0	maxhp
