weddingRingID	orderStar	critRate	needItemCoding	maxExp	addExp	nextID	upNeedLevel	isUpGrade	activeRingSoul	attack_p	attack_m	maxhp	defense_p	defense_m	crit	critpress	parry	puncture
21	3阶0星	2500	26344	863	10	22	36	0	3	360	360	1080	360	360	0	0	0	0
22	3阶1星	2500	26344	943	10	23	36	0		390	390	1170	390	390	0	0	0	0
23	3阶2星	2500	26344	1026	10	24	36	0		420	420	1260	420	420	0	0	0	0
24	3阶3星	2500	26344	1113	10	25	36	0		450	450	1350	450	450	0	0	0	0
25	3阶4星	2500	26344	1204	10	26	36	0		480	480	1440	480	480	0	0	0	0
26	3阶5星	2500	26344	1298	10	27	36	0		510	510	1530	510	510	0	0	0	0
27	3阶6星	2500	26344	1396	10	28	36	0		540	540	1620	540	540	0	0	0	0
28	3阶7星	2500	26344	1498	10	29	36	0		570	570	1710	570	570	0	0	0	0
29	3阶8星	2500	26344	1604	10	30	36	0		600	600	1800	600	600	0	0	0	0
30	3阶9星	2500	26344	1713	10	31	36	4		630	630	1890	630	630	0	0	0	0
31	4阶0星	2500	26344	1826	10	32	36	0	4	670	670	2010	670	670	0	0	0	0
32	4阶1星	2500	26344	1943	10	33	36	0		710	710	2130	710	710	0	0	0	0
33	4阶2星	2500	26344	2063	10	34	36	0		750	750	2250	750	750	0	0	0	0
34	4阶3星	2500	26344	2187	10	35	36	0		790	790	2370	790	790	0	0	0	0
35	4阶4星	2500	26344	2315	10	36	36	0		830	830	2490	830	830	0	0	0	0
36	4阶5星	2500	26344	2446	10	37	36	0		870	870	2610	870	870	0	0	0	0
37	4阶6星	2500	26344	2581	10	38	36	0		910	910	2730	910	910	0	0	0	0
38	4阶7星	2500	26344	2720	10	39	36	0		950	950	2850	950	950	0	0	0	0
39	4阶8星	2500	26344	2863	10	40	36	0		990	990	2970	990	990	0	0	0	0
40	4阶9星	2500	26344	3009	10	41	36	5		1030	1030	3090	1030	1030	0	0	0	0
41	5阶0星	2500	26344	6983	10	42	60	0	5	1080	1080	3240	1080	1080	300	300	300	300
42	5阶1星	2500	26344	7319	10	43	60	0		1130	1130	3390	1130	1130	350	350	350	350
43	5阶2星	2500	26344	7664	10	44	60	0		1180	1180	3540	1180	1180	400	400	400	400
44	5阶3星	2500	26344	8016	10	45	60	0		1230	1230	3690	1230	1230	450	450	450	450
45	5阶4星	2500	26344	8377	10	46	60	0		1280	1280	3840	1280	1280	500	500	500	500
46	5阶5星	2500	26344	8745	10	47	60	0		1330	1330	3990	1330	1330	550	550	550	550
47	5阶6星	2500	26344	9122	10	48	60	0		1380	1380	4140	1380	1380	600	600	600	600
48	5阶7星	2500	26344	9507	10	49	60	0		1430	1430	4290	1430	1430	650	650	650	650
49	5阶8星	2500	26344	9900	10	50	60	0		1480	1480	4440	1480	1480	700	700	700	700
50	5阶9星	2500	26344	10301	10	51	60	6		1530	1530	4590	1530	1530	750	750	750	750
51	6阶0星	2500	26344	10710	10	52	60	0	6	1590	1590	4770	1590	1590	810	810	810	810
52	6阶1星	2500	26344	11127	10	53	60	0		1650	1650	4950	1650	1650	870	870	870	870
53	6阶2星	2500	26344	11553	10	54	60	0		1710	1710	5130	1710	1710	930	930	930	930
54	6阶3星	2500	26344	11986	10	55	60	0		1770	1770	5310	1770	1770	990	990	990	990
55	6阶4星	2500	26344	12428	10	56	60	0		1830	1830	5490	1830	1830	1050	1050	1050	1050
56	6阶5星	2500	26344	12877	10	57	60	0		1890	1890	5670	1890	1890	1110	1110	1110	1110
57	6阶6星	2500	26344	13335	10	58	60	0		1950	1950	5850	1950	1950	1170	1170	1170	1170
58	6阶7星	2500	26344	13801	10	59	60	0		2010	2010	6030	2010	2010	1230	1230	1230	1230
59	6阶8星	2500	26344	14275	10	60	60	0		2070	2070	6210	2070	2070	1290	1290	1290	1290
60	6阶9星	2500	26344	14757	10	61	60	7		2130	2130	6390	2130	2130	1350	1350	1350	1350
61	7阶0星	2500	26344	18297	10	62	60	0	7	2200	2200	6600	2200	2200	1420	1420	1420	1420
62	7阶1星	2500	26344	18894	10	63	60	0		2270	2270	6810	2270	2270	1490	1490	1490	1490
63	7阶2星	2500	26344	19502	10	64	60	0		2340	2340	7020	2340	2340	1560	1560	1560	1560
64	7阶3星	2500	26344	20119	10	65	60	0		2410	2410	7230	2410	2410	1630	1630	1630	1630
65	7阶4星	2500	26344	20747	10	66	60	0		2480	2480	7440	2480	2480	1700	1700	1700	1700
66	7阶5星	2500	26344	21383	10	67	60	0		2550	2550	7650	2550	2550	1770	1770	1770	1770
67	7阶6星	2500	26344	22030	10	68	60	0		2620	2620	7860	2620	2620	1840	1840	1840	1840
68	7阶7星	2500	26344	22686	10	69	60	0		2690	2690	8070	2690	2690	1910	1910	1910	1910
69	7阶8星	2500	26344	23352	10	70	60	0		2760	2760	8280	2760	2760	1980	1980	1980	1980
70	7阶9星	2500	26344	24028	10	71	60	8		2830	2830	8490	2830	2830	2050	2050	2050	2050
71	8阶0星	2500	26344	24713	10	72	60	0	8	2910	2910	8730	2910	2910	2130	2130	2130	2130
72	8阶1星	2500	26344	25408	10	73	60	0		2990	2990	8970	2990	2990	2210	2210	2210	2210
73	8阶2星	2500	26344	26113	10	74	60	0		3070	3070	9210	3070	3070	2290	2290	2290	2290
74	8阶3星	2500	26344	26828	10	75	60	0		3150	3150	9450	3150	3150	2370	2370	2370	2370
75	8阶4星	2500	26344	27552	10	76	60	0		3230	3230	9690	3230	3230	2450	2450	2450	2450
76	8阶5星	2500	26344	28286	10	77	60	0		3310	3310	9930	3310	3310	2530	2530	2530	2530
77	8阶6星	2500	26344	29030	10	78	60	0		3390	3390	10170	3390	3390	2610	2610	2610	2610
78	8阶7星	2500	26344	29783	10	79	60	0		3470	3470	10410	3470	3470	2690	2690	2690	2690
79	8阶8星	2500	26344	30547	10	80	60	0		3550	3550	10650	3550	3550	2770	2770	2770	2770
80	8阶9星	2500	26344	31319	10	81	60	9		3630	3630	10890	3630	3630	2850	2850	2850	2850
81	9阶0星	2500	26344	37452	10	82	60	0	9	3720	3720	11160	3720	3720	2940	2940	2940	2940
82	9阶1星	2500	26344	38377	10	83	60	0		3810	3810	11430	3810	3810	3030	3030	3030	3030
83	9阶2星	2500	26344	39313	10	84	60	0		3900	3900	11700	3900	3900	3120	3120	3120	3120
84	9阶3星	2500	26344	40260	10	85	60	0		3990	3990	11970	3990	3990	3210	3210	3210	3210
85	9阶4星	2500	26344	41218	10	86	60	0		4080	4080	12240	4080	4080	3300	3300	3300	3300
86	9阶5星	2500	26344	42188	10	87	60	0		4170	4170	12510	4170	4170	3390	3390	3390	3390
87	9阶6星	2500	26344	43169	10	88	60	0		4260	4260	12780	4260	4260	3480	3480	3480	3480
88	9阶7星	2500	26344	44162	10	89	60	0		4350	4350	13050	4350	4350	3570	3570	3570	3570
89	9阶8星	2500	26344	45165	10	90	60	0		4440	4440	13320	4440	4440	3660	3660	3660	3660
90	9阶9星	2500	26344	46181	10	91	60	10		4530	4530	13590	4530	4530	3750	3750	3750	3750
91	10阶0星	2500	26344	47207	10	92	60	0	10	4630	4630	13890	4630	4630	3850	3850	3850	3850
92	10阶1星	2500	26344	48245	10	93	60	0		4730	4730	14190	4730	4730	3950	3950	3950	3950
93	10阶2星	2500	26344	49294	10	94	60	0		4830	4830	14490	4830	4830	4050	4050	4050	4050
94	10阶3星	2500	26344	50355	10	95	60	0		4930	4930	14790	4930	4930	4150	4150	4150	4150
95	10阶4星	2500	26344	51427	10	96	60	0		5030	5030	15090	5030	5030	4250	4250	4250	4250
96	10阶5星	2500	26344	52510	10	97	60	0		5130	5130	15390	5130	5130	4350	4350	4350	4350
97	10阶6星	2500	26344	53604	10	98	60	0		5230	5230	15690	5230	5230	4450	4450	4450	4450
98	10阶7星	2500	26344	54710	10	99	60	0		5330	5330	15990	5330	5330	4550	4550	4550	4550
99	10阶8星	2500	26344	55827	10	100	60	0		5430	5430	16290	5430	5430	4650	4650	4650	4650
100	10阶9星	2500	26344	100000	10	-1	60	0		5530	5530	16590	5530	5530	4750	4750	4750	4750
