level	wave	worldLevel	npc	waveName
1	2	60	[(16024,150,15388,1334,1281,1,15),(16025,150,15389,1763,1341,1,15),(16026,150,15390,2186,1145,1,15),(16029,150,15393,2016,894,1,15),(16030,150,15394,1634,847,1,15),(16031,150,15395,1275,981,1,15)]	混乱祭司
2	1	60	[(16016,150,15380,1688,1075,1,160)]	死神幻影
2	2	60	[(16024,150,15388,1334,1281,1,20),(16025,150,15389,1763,1341,1,20),(16026,150,15390,2186,1145,1,20),(16029,150,15393,2016,894,1,20),(16030,150,15394,1634,847,1,20),(16031,150,15395,1275,981,1,20)]	混乱祭司
3	1	60	[(16017,150,15381,1688,1075,1,200)]	审判幻影
3	2	60	[(16024,150,15388,1334,1281,1,25),(16025,150,15389,1763,1341,1,25),(16026,150,15390,2186,1145,1,25),(16029,150,15393,2016,894,1,25),(16030,150,15394,1634,847,1,25),(16031,150,15395,1275,981,1,25)]	混乱护卫
4	1	60	[(16018,150,15382,1688,1075,1,240)]	艳后幻影
4	2	60	[(16024,150,15388,1334,1281,1,30),(16025,150,15389,1763,1341,1,30),(16026,150,15390,2186,1145,1,30),(16029,150,15393,2016,894,1,30),(16030,150,15394,1634,847,1,30),(16031,150,15395,1275,981,1,30)]	混乱护卫
5	1	60	[(16019,150,15383,1688,1075,1,280)]	寒冰幻影
5	2	60	[(16024,150,15388,1334,1281,1,35),(16025,150,15389,1763,1341,1,35),(16026,150,15390,2186,1145,1,35),(16029,150,15393,2016,894,1,35),(16030,150,15394,1634,847,1,35),(16031,150,15395,1275,981,1,35)]	混乱祭祀
6	1	60	[(16020,150,15384,1688,1075,1,320)]	烈焰幻影
6	2	60	[(16024,150,15388,1334,1281,1,40),(16025,150,15389,1763,1341,1,40),(16026,150,15390,2186,1145,1,40),(16029,150,15393,2016,894,1,40),(16030,150,15394,1634,847,1,40),(16031,150,15395,1275,981,1,40)]	混乱祭祀
7	1	60	[(16021,150,15385,1688,1075,1,360)]	雷神幻影
7	2	60	[(16024,150,15388,1334,1281,1,45),(16025,150,15389,1763,1341,1,45),(16026,150,15390,2186,1145,1,45),(16029,150,15393,2016,894,1,45),(16030,150,15394,1634,847,1,45),(16031,150,15395,1275,981,1,45)]	混乱护卫
8	1	60	[(16022,150,15386,1688,1075,1,400)]	剑圣幻影
8	2	60	[(16024,150,15388,1334,1281,1,50),(16025,150,15389,1763,1341,1,50),(16026,150,15390,2186,1145,1,50),(16029,150,15393,2016,894,1,50),(16030,150,15394,1634,847,1,50),(16031,150,15395,1275,981,1,50)]	混乱护卫
9	1	60	[(16023,150,15387,1688,1075,1,440)]	蛮王幻影
9	2	60	[(16024,150,15388,1334,1281,1,55),(16025,150,15389,1763,1341,1,55),(16026,150,15390,2186,1145,1,55),(16029,150,15393,2016,894,1,55),(16030,150,15394,1634,847,1,55),(16031,150,15395,1275,981,1,55)]	混乱祭祀
1	1	80	[(16015,150,15398,1688,1075,1,120)]	阳神幻影
1	2	80	[(16024,150,15407,1334,1281,1,15),(16025,150,15408,1763,1341,1,15),(16026,150,15409,2186,1145,1,15),(16029,150,15412,2016,894,1,15),(16030,150,15413,1634,847,1,15),(16031,150,15414,1275,981,1,15)]	混乱祭司
2	1	80	[(16016,150,15399,1688,1075,1,160)]	死神幻影
2	2	80	[(16024,150,15407,1334,1281,1,20),(16025,150,15408,1763,1341,1,20),(16026,150,15409,2186,1145,1,20),(16029,150,15412,2016,894,1,20),(16030,150,15413,1634,847,1,20),(16031,150,15414,1275,981,1,20)]	混乱祭司
3	1	80	[(16017,150,15400,1688,1075,1,200)]	审判幻影
3	2	80	[(16024,150,15407,1334,1281,1,25),(16025,150,15408,1763,1341,1,25),(16026,150,15409,2186,1145,1,25),(16029,150,15412,2016,894,1,25),(16030,150,15413,1634,847,1,25),(16031,150,15414,1275,981,1,25)]	混乱护卫
4	1	80	[(16018,150,15401,1688,1075,1,240)]	艳后幻影
4	2	80	[(16024,150,15407,1334,1281,1,30),(16025,150,15408,1763,1341,1,30),(16026,150,15409,2186,1145,1,30),(16029,150,15412,2016,894,1,30),(16030,150,15413,1634,847,1,30),(16031,150,15414,1275,981,1,30)]	混乱护卫
5	1	80	[(16019,150,15402,1688,1075,1,280)]	寒冰幻影
5	2	80	[(16024,150,15407,1334,1281,1,35),(16025,150,15408,1763,1341,1,35),(16026,150,15409,2186,1145,1,35),(16029,150,15412,2016,894,1,35),(16030,150,15413,1634,847,1,35),(16031,150,15414,1275,981,1,35)]	混乱祭祀
6	1	80	[(16020,150,15403,1688,1075,1,320)]	烈焰幻影
6	2	80	[(16024,150,15407,1334,1281,1,40),(16025,150,15408,1763,1341,1,40),(16026,150,15409,2186,1145,1,40),(16029,150,15412,2016,894,1,40),(16030,150,15413,1634,847,1,40),(16031,150,15414,1275,981,1,40)]	混乱祭祀
7	1	80	[(16021,150,15404,1688,1075,1,360)]	雷神幻影
7	2	80	[(16024,150,15407,1334,1281,1,45),(16025,150,15408,1763,1341,1,45),(16026,150,15409,2186,1145,1,45),(16029,150,15412,2016,894,1,45),(16030,150,15413,1634,847,1,45),(16031,150,15414,1275,981,1,45)]	混乱护卫
8	1	80	[(16022,150,15405,1688,1075,1,400)]	剑圣幻影
8	2	80	[(16024,150,15407,1334,1281,1,50),(16025,150,15408,1763,1341,1,50),(16026,150,15409,2186,1145,1,50),(16029,150,15412,2016,894,1,50),(16030,150,15413,1634,847,1,50),(16031,150,15414,1275,981,1,50)]	混乱护卫
9	1	80	[(16023,150,15406,1688,1075,1,440)]	蛮王幻影
9	2	80	[(16024,150,15407,1334,1281,1,55),(16025,150,15408,1763,1341,1,55),(16026,150,15409,2186,1145,1,55),(16029,150,15412,2016,894,1,55),(16030,150,15413,1634,847,1,55),(16031,150,15414,1275,981,1,55)]	混乱祭祀
1	1	100	[(16015,150,15417,1688,1075,1,120)]	阳神幻影
1	2	100	[(16024,150,15426,1334,1281,1,15),(16025,150,15427,1763,1341,1,15),(16026,150,15428,2186,1145,1,15),(16029,150,15431,2016,894,1,15),(16030,150,15432,1634,847,1,15),(16031,150,15433,1275,981,1,15)]	混乱祭司
2	1	100	[(16016,150,15418,1688,1075,1,160)]	死神幻影
2	2	100	[(16024,150,15426,1334,1281,1,20),(16025,150,15427,1763,1341,1,20),(16026,150,15428,2186,1145,1,20),(16029,150,15431,2016,894,1,20),(16030,150,15432,1634,847,1,20),(16031,150,15433,1275,981,1,20)]	混乱祭司
3	1	100	[(16017,150,15419,1688,1075,1,200)]	审判幻影
3	2	100	[(16024,150,15426,1334,1281,1,25),(16025,150,15427,1763,1341,1,25),(16026,150,15428,2186,1145,1,25),(16029,150,15431,2016,894,1,25),(16030,150,15432,1634,847,1,25),(16031,150,15433,1275,981,1,25)]	混乱护卫
4	1	100	[(16018,150,15420,1688,1075,1,240)]	艳后幻影
4	2	100	[(16024,150,15426,1334,1281,1,30),(16025,150,15427,1763,1341,1,30),(16026,150,15428,2186,1145,1,30),(16029,150,15431,2016,894,1,30),(16030,150,15432,1634,847,1,30),(16031,150,15433,1275,981,1,30)]	混乱护卫
5	1	100	[(16019,150,15421,1688,1075,1,280)]	寒冰幻影
5	2	100	[(16024,150,15426,1334,1281,1,35),(16025,150,15427,1763,1341,1,35),(16026,150,15428,2186,1145,1,35),(16029,150,15431,2016,894,1,35),(16030,150,15432,1634,847,1,35),(16031,150,15433,1275,981,1,35)]	混乱祭祀
6	1	100	[(16020,150,15422,1688,1075,1,320)]	烈焰幻影
6	2	100	[(16024,150,15426,1334,1281,1,40),(16025,150,15427,1763,1341,1,40),(16026,150,15428,2186,1145,1,40),(16029,150,15431,2016,894,1,40),(16030,150,15432,1634,847,1,40),(16031,150,15433,1275,981,1,40)]	混乱祭祀
7	1	100	[(16021,150,15423,1688,1075,1,360)]	雷神幻影
7	2	100	[(16024,150,15426,1334,1281,1,45),(16025,150,15427,1763,1341,1,45),(16026,150,15428,2186,1145,1,45),(16029,150,15431,2016,894,1,45),(16030,150,15432,1634,847,1,45),(16031,150,15433,1275,981,1,45)]	混乱护卫
8	1	100	[(16022,150,15424,1688,1075,1,400)]	剑圣幻影
8	2	100	[(16024,150,15426,1334,1281,1,50),(16025,150,15427,1763,1341,1,50),(16026,150,15428,2186,1145,1,50),(16029,150,15431,2016,894,1,50),(16030,150,15432,1634,847,1,50),(16031,150,15433,1275,981,1,50)]	混乱护卫
9	1	100	[(16023,150,15425,1688,1075,1,440)]	蛮王幻影
9	2	100	[(16024,150,15426,1334,1281,1,55),(16025,150,15427,1763,1341,1,55),(16026,150,15428,2186,1145,1,55),(16029,150,15431,2016,894,1,55),(16030,150,15432,1634,847,1,55),(16031,150,15433,1275,981,1,55)]	混乱祭祀
1	1	120	[(16015,150,15436,1688,1075,1,120)]	阳神幻影
1	2	120	[(16024,150,15445,1334,1281,1,15),(16025,150,15446,1763,1341,1,15),(16026,150,15447,2186,1145,1,15),(16029,150,15450,2016,894,1,15),(16030,150,15451,1634,847,1,15),(16031,150,15452,1275,981,1,15)]	混乱祭司
2	1	120	[(16016,150,15437,1688,1075,1,160)]	死神幻影
2	2	120	[(16024,150,15445,1334,1281,1,20),(16025,150,15446,1763,1341,1,20),(16026,150,15447,2186,1145,1,20),(16029,150,15450,2016,894,1,20),(16030,150,15451,1634,847,1,20),(16031,150,15452,1275,981,1,20)]	混乱祭司
3	1	120	[(16017,150,15438,1688,1075,1,200)]	审判幻影
3	2	120	[(16024,150,15445,1334,1281,1,25),(16025,150,15446,1763,1341,1,25),(16026,150,15447,2186,1145,1,25),(16029,150,15450,2016,894,1,25),(16030,150,15451,1634,847,1,25),(16031,150,15452,1275,981,1,25)]	混乱护卫
4	1	120	[(16018,150,15439,1688,1075,1,240)]	艳后幻影
4	2	120	[(16024,150,15445,1334,1281,1,30),(16025,150,15446,1763,1341,1,30),(16026,150,15447,2186,1145,1,30),(16029,150,15450,2016,894,1,30),(16030,150,15451,1634,847,1,30),(16031,150,15452,1275,981,1,30)]	混乱护卫
5	1	120	[(16019,150,15440,1688,1075,1,280)]	寒冰幻影
5	2	120	[(16024,150,15445,1334,1281,1,35),(16025,150,15446,1763,1341,1,35),(16026,150,15447,2186,1145,1,35),(16029,150,15450,2016,894,1,35),(16030,150,15451,1634,847,1,35),(16031,150,15452,1275,981,1,35)]	混乱祭祀
6	1	120	[(16020,150,15441,1688,1075,1,320)]	烈焰幻影
6	2	120	[(16024,150,15445,1334,1281,1,40),(16025,150,15446,1763,1341,1,40),(16026,150,15447,2186,1145,1,40),(16029,150,15450,2016,894,1,40),(16030,150,15451,1634,847,1,40),(16031,150,15452,1275,981,1,40)]	混乱祭祀
7	1	120	[(16021,150,15442,1688,1075,1,360)]	雷神幻影
7	2	120	[(16024,150,15445,1334,1281,1,45),(16025,150,15446,1763,1341,1,45),(16026,150,15447,2186,1145,1,45),(16029,150,15450,2016,894,1,45),(16030,150,15451,1634,847,1,45),(16031,150,15452,1275,981,1,45)]	混乱护卫
8	1	120	[(16022,150,15443,1688,1075,1,400)]	剑圣幻影
8	2	120	[(16024,150,15445,1334,1281,1,50),(16025,150,15446,1763,1341,1,50),(16026,150,15447,2186,1145,1,50),(16029,150,15450,2016,894,1,50),(16030,150,15451,1634,847,1,50),(16031,150,15452,1275,981,1,50)]	混乱护卫
9	1	120	[(16023,150,15444,1688,1075,1,440)]	蛮王幻影
9	2	120	[(16024,150,15445,1334,1281,1,55),(16025,150,15446,1763,1341,1,55),(16026,150,15447,2186,1145,1,55),(16029,150,15450,2016,894,1,55),(16030,150,15451,1634,847,1,55),(16031,150,15452,1275,981,1,55)]	混乱祭祀
1	1	140	[(16015,150,15455,1688,1075,1,120)]	阳神幻影
1	2	140	[(16024,150,15464,1334,1281,1,15),(16025,150,15465,1763,1341,1,15),(16026,150,15466,2186,1145,1,15),(16029,150,15469,2016,894,1,15),(16030,150,15470,1634,847,1,15),(16031,150,15471,1275,981,1,15)]	混乱祭司
2	1	140	[(16016,150,15456,1688,1075,1,160)]	死神幻影
2	2	140	[(16024,150,15464,1334,1281,1,20),(16025,150,15465,1763,1341,1,20),(16026,150,15466,2186,1145,1,20),(16029,150,15469,2016,894,1,20),(16030,150,15470,1634,847,1,20),(16031,150,15471,1275,981,1,20)]	混乱祭司
3	1	140	[(16017,150,15457,1688,1075,1,200)]	审判幻影
3	2	140	[(16024,150,15464,1334,1281,1,25),(16025,150,15465,1763,1341,1,25),(16026,150,15466,2186,1145,1,25),(16029,150,15469,2016,894,1,25),(16030,150,15470,1634,847,1,25),(16031,150,15471,1275,981,1,25)]	混乱护卫
4	1	140	[(16018,150,15458,1688,1075,1,240)]	艳后幻影
4	2	140	[(16024,150,15464,1334,1281,1,30),(16025,150,15465,1763,1341,1,30),(16026,150,15466,2186,1145,1,30),(16029,150,15469,2016,894,1,30),(16030,150,15470,1634,847,1,30),(16031,150,15471,1275,981,1,30)]	混乱护卫
5	1	140	[(16019,150,15459,1688,1075,1,280)]	寒冰幻影
5	2	140	[(16024,150,15464,1334,1281,1,35),(16025,150,15465,1763,1341,1,35),(16026,150,15466,2186,1145,1,35),(16029,150,15469,2016,894,1,35),(16030,150,15470,1634,847,1,35),(16031,150,15471,1275,981,1,35)]	混乱祭祀
6	1	140	[(16020,150,15460,1688,1075,1,320)]	烈焰幻影
6	2	140	[(16024,150,15464,1334,1281,1,40),(16025,150,15465,1763,1341,1,40),(16026,150,15466,2186,1145,1,40),(16029,150,15469,2016,894,1,40),(16030,150,15470,1634,847,1,40),(16031,150,15471,1275,981,1,40)]	混乱祭祀
7	1	140	[(16021,150,15461,1688,1075,1,360)]	雷神幻影
7	2	140	[(16024,150,15464,1334,1281,1,45),(16025,150,15465,1763,1341,1,45),(16026,150,15466,2186,1145,1,45),(16029,150,15469,2016,894,1,45),(16030,150,15470,1634,847,1,45),(16031,150,15471,1275,981,1,45)]	混乱护卫
8	1	140	[(16022,150,15462,1688,1075,1,400)]	剑圣幻影
8	2	140	[(16024,150,15464,1334,1281,1,50),(16025,150,15465,1763,1341,1,50),(16026,150,15466,2186,1145,1,50),(16029,150,15469,2016,894,1,50),(16030,150,15470,1634,847,1,50),(16031,150,15471,1275,981,1,50)]	混乱护卫
9	1	140	[(16023,150,15463,1688,1075,1,440)]	蛮王幻影
9	2	140	[(16024,150,15464,1334,1281,1,55),(16025,150,15465,1763,1341,1,55),(16026,150,15466,2186,1145,1,55),(16029,150,15469,2016,894,1,55),(16030,150,15470,1634,847,1,55),(16031,150,15471,1275,981,1,55)]	混乱祭祀
1	1	160	[(16015,150,16100,1688,1075,1,120)]	阳神幻影
1	2	160	[(16024,150,16109,1334,1281,1,15),(16025,150,16110,1763,1341,1,15),(16026,150,16111,2186,1145,1,15),(16029,150,16114,2016,894,1,15),(16030,150,16115,1634,847,1,15),(16031,150,16116,1275,981,1,15)]	混乱祭司
2	1	160	[(16016,150,16101,1688,1075,1,160)]	死神幻影
2	2	160	[(16024,150,16109,1334,1281,1,20),(16025,150,16110,1763,1341,1,20),(16026,150,16111,2186,1145,1,20),(16029,150,16114,2016,894,1,20),(16030,150,16115,1634,847,1,20),(16031,150,16116,1275,981,1,20)]	混乱祭司
3	1	160	[(16017,150,16102,1688,1075,1,200)]	审判幻影
3	2	160	[(16024,150,16109,1334,1281,1,25),(16025,150,16110,1763,1341,1,25),(16026,150,16111,2186,1145,1,25),(16029,150,16114,2016,894,1,25),(16030,150,16115,1634,847,1,25),(16031,150,16116,1275,981,1,25)]	混乱护卫
4	1	160	[(16018,150,16103,1688,1075,1,240)]	艳后幻影
4	2	160	[(16024,150,16109,1334,1281,1,30),(16025,150,16110,1763,1341,1,30),(16026,150,16111,2186,1145,1,30),(16029,150,16114,2016,894,1,30),(16030,150,16115,1634,847,1,30),(16031,150,16116,1275,981,1,30)]	混乱护卫
5	1	160	[(16019,150,16104,1688,1075,1,280)]	寒冰幻影
5	2	160	[(16024,150,16109,1334,1281,1,35),(16025,150,16110,1763,1341,1,35),(16026,150,16111,2186,1145,1,35),(16029,150,16114,2016,894,1,35),(16030,150,16115,1634,847,1,35),(16031,150,16116,1275,981,1,35)]	混乱祭祀
6	1	160	[(16020,150,16105,1688,1075,1,320)]	烈焰幻影
6	2	160	[(16024,150,16109,1334,1281,1,40),(16025,150,16110,1763,1341,1,40),(16026,150,16111,2186,1145,1,40),(16029,150,16114,2016,894,1,40),(16030,150,16115,1634,847,1,40),(16031,150,16116,1275,981,1,40)]	混乱祭祀
7	1	160	[(16021,150,16106,1688,1075,1,360)]	雷神幻影
7	2	160	[(16024,150,16109,1334,1281,1,45),(16025,150,16110,1763,1341,1,45),(16026,150,16111,2186,1145,1,45),(16029,150,16114,2016,894,1,45),(16030,150,16115,1634,847,1,45),(16031,150,16116,1275,981,1,45)]	混乱护卫
8	1	160	[(16022,150,16107,1688,1075,1,400)]	剑圣幻影
8	2	160	[(16024,150,16109,1334,1281,1,50),(16025,150,16110,1763,1341,1,50),(16026,150,16111,2186,1145,1,50),(16029,150,16114,2016,894,1,50),(16030,150,16115,1634,847,1,50),(16031,150,16116,1275,981,1,50)]	混乱护卫
9	1	160	[(16023,150,16108,1688,1075,1,440)]	蛮王幻影
9	2	160	[(16024,150,16109,1334,1281,1,55),(16025,150,16110,1763,1341,1,55),(16026,150,16111,2186,1145,1,55),(16029,150,16114,2016,894,1,55),(16030,150,16115,1634,847,1,55),(16031,150,16116,1275,981,1,55)]	混乱祭祀
