rewardId	score	scoreMax	Level	LevelMax	rewardItems	rewardMoney	rewardExp	rewardItemShow	rewardItems_fcm	rewardMoney_fcm	rewardExp_fcm	rewardItemShow_fcm
12	2201	2400	1	59	[(25661,176),(25666,88),(25671,44)]	420000	119925	[(25661,176),(25666,88),(25671,44),(25828,420000),(25712,119925)]	[(25661,88),(25666,44),(25671,22)]	210000	59963	[(25661,88),(25666,44),(25671,22),(25828,210000),(25712,59963)]
13	2401	2600	1	59	[(25661,192),(25666,96),(25671,48)]	440000	124925	[(25661,192),(25666,96),(25671,48),(25828,440000),(25712,124925)]	[(25661,96),(25666,48),(25671,24)]	220000	62463	[(25661,96),(25666,48),(25671,24),(25828,220000),(25712,62463)]
14	2601	2800	1	59	[(25661,200),(25666,100),(25671,50)]	460000	129925	[(25661,200),(25666,100),(25671,50),(25828,460000),(25712,129925)]	[(25661,100),(25666,50),(25671,25)]	230000	64963	[(25661,100),(25666,50),(25671,25),(25828,230000),(25712,64963)]
15	2801	3000	1	59	[(25661,200),(25666,100),(25671,50)]	480000	134925	[(25661,200),(25666,100),(25671,50),(25828,480000),(25712,134925)]	[(25661,100),(25666,50),(25671,25)]	240000	67463	[(25661,100),(25666,50),(25671,25),(25828,240000),(25712,67463)]
16	3001	3500	1	59	[(25661,200),(25666,100),(25671,50)]	500000	139925	[(25661,200),(25666,100),(25671,50),(25828,500000),(25712,139925)]	[(25661,100),(25666,50),(25671,25)]	250000	69963	[(25661,100),(25666,50),(25671,25),(25828,250000),(25712,69963)]
17	3501	99999999	1	59	[(25661,200),(25666,100),(25671,50)]	500000	144925	[(25661,200),(25666,100),(25671,50),(25828,500000),(25712,144925)]	[(25661,100),(25666,50),(25671,25)]	250000	72463	[(25661,100),(25666,50),(25671,25),(25828,250000),(25712,72463)]
18	1	200	60	79	[(25662,40),(25667,20),(25672,10)]	300000	153750	[(25662,40),(25667,20),(25672,10),(25828,300000),(25712,153750)]	[(25662,20),(25667,10),(25672,5)]	150000	76875	[(25662,20),(25667,10),(25672,5),(25828,150000),(25712,76875)]
19	201	400	60	79	[(25662,48),(25667,24),(25672,12)]	330000	161250	[(25662,48),(25667,24),(25672,12),(25828,330000),(25712,161250)]	[(25662,24),(25667,12),(25672,6)]	165000	80625	[(25662,24),(25667,12),(25672,6),(25828,165000),(25712,80625)]
20	401	600	60	79	[(25662,60),(25667,30),(25672,15)]	360000	168750	[(25662,60),(25667,30),(25672,15),(25828,360000),(25712,168750)]	[(25662,30),(25667,15),(25672,8)]	180000	84375	[(25662,30),(25667,15),(25672,8),(25828,180000),(25712,84375)]
21	601	800	60	79	[(25662,72),(25667,36),(25672,18)]	390000	176250	[(25662,72),(25667,36),(25672,18),(25828,390000),(25712,176250)]	[(25662,36),(25667,18),(25672,9)]	195000	88125	[(25662,36),(25667,18),(25672,9),(25828,195000),(25712,88125)]
22	801	1000	60	79	[(25662,84),(25667,42),(25672,21)]	420000	183750	[(25662,84),(25667,42),(25672,21),(25828,420000),(25712,183750)]	[(25662,42),(25667,21),(25672,11)]	210000	91875	[(25662,42),(25667,21),(25672,11),(25828,210000),(25712,91875)]
23	1001	1200	60	79	[(25662,96),(25667,48),(25672,24)]	450000	191250	[(25662,96),(25667,48),(25672,24),(25828,450000),(25712,191250)]	[(25662,48),(25667,24),(25672,12)]	225000	95625	[(25662,48),(25667,24),(25672,12),(25828,225000),(25712,95625)]
24	1201	1400	60	79	[(25662,108),(25667,54),(25672,27)]	480000	198750	[(25662,108),(25667,54),(25672,27),(25828,480000),(25712,198750)]	[(25662,54),(25667,27),(25672,14)]	240000	99375	[(25662,54),(25667,27),(25672,14),(25828,240000),(25712,99375)]
25	1401	1600	60	79	[(25662,120),(25667,60),(25672,30)]	510000	206250	[(25662,120),(25667,60),(25672,30),(25828,510000),(25712,206250)]	[(25662,60),(25667,30),(25672,15)]	255000	103125	[(25662,60),(25667,30),(25672,15),(25828,255000),(25712,103125)]
26	1601	1800	60	79	[(25662,132),(25667,66),(25672,33)]	540000	213750	[(25662,132),(25667,66),(25672,33),(25828,540000),(25712,213750)]	[(25662,66),(25667,33),(25672,17)]	270000	106875	[(25662,66),(25667,33),(25672,17),(25828,270000),(25712,106875)]
27	1801	2000	60	79	[(25662,144),(25667,72),(25672,36)]	570000	221250	[(25662,144),(25667,72),(25672,36),(25828,570000),(25712,221250)]	[(25662,72),(25667,36),(25672,18)]	285000	110625	[(25662,72),(25667,36),(25672,18),(25828,285000),(25712,110625)]
28	2001	2200	60	79	[(25662,160),(25667,80),(25672,40)]	600000	228750	[(25662,160),(25667,80),(25672,40),(25828,600000),(25712,228750)]	[(25662,80),(25667,40),(25672,20)]	300000	114375	[(25662,80),(25667,40),(25672,20),(25828,300000),(25712,114375)]
29	2201	2400	60	79	[(25662,176),(25667,88),(25672,44)]	630000	236250	[(25662,176),(25667,88),(25672,44),(25828,630000),(25712,236250)]	[(25662,88),(25667,44),(25672,22)]	315000	118125	[(25662,88),(25667,44),(25672,22),(25828,315000),(25712,118125)]
30	2401	2600	60	79	[(25662,192),(25667,96),(25672,48)]	660000	243750	[(25662,192),(25667,96),(25672,48),(25828,660000),(25712,243750)]	[(25662,96),(25667,48),(25672,24)]	330000	121875	[(25662,96),(25667,48),(25672,24),(25828,330000),(25712,121875)]
31	2601	2800	60	79	[(25662,200),(25667,100),(25672,50)]	690000	251250	[(25662,200),(25667,100),(25672,50),(25828,690000),(25712,251250)]	[(25662,100),(25667,50),(25672,25)]	345000	125625	[(25662,100),(25667,50),(25672,25),(25828,345000),(25712,125625)]
32	2801	3000	60	79	[(25662,200),(25667,100),(25672,50)]	720000	258750	[(25662,200),(25667,100),(25672,50),(25828,720000),(25712,258750)]	[(25662,100),(25667,50),(25672,25)]	360000	129375	[(25662,100),(25667,50),(25672,25),(25828,360000),(25712,129375)]
33	3001	3500	60	79	[(25662,200),(25667,100),(25672,50)]	750000	266250	[(25662,200),(25667,100),(25672,50),(25828,750000),(25712,266250)]	[(25662,100),(25667,50),(25672,25)]	375000	133125	[(25662,100),(25667,50),(25672,25),(25828,375000),(25712,133125)]
34	3501	99999999	60	79	[(25662,200),(25667,100),(25672,50)]	750000	273750	[(25662,200),(25667,100),(25672,50),(25828,750000),(25712,273750)]	[(25662,100),(25667,50),(25672,25)]	375000	136875	[(25662,100),(25667,50),(25672,25),(25828,375000),(25712,136875)]
35	1	200	80	99	[(25663,40),(25668,20),(25673,10)]	400000	300000	[(25663,40),(25668,20),(25673,10),(25828,400000),(25712,300000)]	[(25663,20),(25668,10),(25673,5)]	200000	150000	[(25663,20),(25668,10),(25673,5),(25828,200000),(25712,150000)]
36	201	400	80	99	[(25663,48),(25668,24),(25673,12)]	440000	310000	[(25663,48),(25668,24),(25673,12),(25828,440000),(25712,310000)]	[(25663,24),(25668,12),(25673,6)]	220000	155000	[(25663,24),(25668,12),(25673,6),(25828,220000),(25712,155000)]
37	401	600	80	99	[(25663,60),(25668,30),(25673,15)]	480000	320000	[(25663,60),(25668,30),(25673,15),(25828,480000),(25712,320000)]	[(25663,30),(25668,15),(25673,8)]	240000	160000	[(25663,30),(25668,15),(25673,8),(25828,240000),(25712,160000)]
38	601	800	80	99	[(25663,72),(25668,36),(25673,18)]	520000	330000	[(25663,72),(25668,36),(25673,18),(25828,520000),(25712,330000)]	[(25663,36),(25668,18),(25673,9)]	260000	165000	[(25663,36),(25668,18),(25673,9),(25828,260000),(25712,165000)]
39	801	1000	80	99	[(25663,84),(25668,42),(25673,21)]	560000	340000	[(25663,84),(25668,42),(25673,21),(25828,560000),(25712,340000)]	[(25663,42),(25668,21),(25673,11)]	280000	170000	[(25663,42),(25668,21),(25673,11),(25828,280000),(25712,170000)]
40	1001	1200	80	99	[(25663,96),(25668,48),(25673,24)]	600000	350000	[(25663,96),(25668,48),(25673,24),(25828,600000),(25712,350000)]	[(25663,48),(25668,24),(25673,12)]	300000	175000	[(25663,48),(25668,24),(25673,12),(25828,300000),(25712,175000)]
41	1201	1400	80	99	[(25663,108),(25668,54),(25673,27)]	640000	360000	[(25663,108),(25668,54),(25673,27),(25828,640000),(25712,360000)]	[(25663,54),(25668,27),(25673,14)]	320000	180000	[(25663,54),(25668,27),(25673,14),(25828,320000),(25712,180000)]
42	1401	1600	80	99	[(25663,120),(25668,60),(25673,30)]	680000	370000	[(25663,120),(25668,60),(25673,30),(25828,680000),(25712,370000)]	[(25663,60),(25668,30),(25673,15)]	340000	185000	[(25663,60),(25668,30),(25673,15),(25828,340000),(25712,185000)]
43	1601	1800	80	99	[(25663,132),(25668,66),(25673,33)]	720000	380000	[(25663,132),(25668,66),(25673,33),(25828,720000),(25712,380000)]	[(25663,66),(25668,33),(25673,17)]	360000	190000	[(25663,66),(25668,33),(25673,17),(25828,360000),(25712,190000)]
44	1801	2000	80	99	[(25663,144),(25668,72),(25673,36)]	760000	390000	[(25663,144),(25668,72),(25673,36),(25828,760000),(25712,390000)]	[(25663,72),(25668,36),(25673,18)]	380000	195000	[(25663,72),(25668,36),(25673,18),(25828,380000),(25712,195000)]
45	2001	2200	80	99	[(25663,160),(25668,80),(25673,40)]	800000	400000	[(25663,160),(25668,80),(25673,40),(25828,800000),(25712,400000)]	[(25663,80),(25668,40),(25673,20)]	400000	200000	[(25663,80),(25668,40),(25673,20),(25828,400000),(25712,200000)]
46	2201	2400	80	99	[(25663,176),(25668,88),(25673,44)]	840000	410000	[(25663,176),(25668,88),(25673,44),(25828,840000),(25712,410000)]	[(25663,88),(25668,44),(25673,22)]	420000	205000	[(25663,88),(25668,44),(25673,22),(25828,420000),(25712,205000)]
47	2401	2600	80	99	[(25663,192),(25668,96),(25673,48)]	880000	420000	[(25663,192),(25668,96),(25673,48),(25828,880000),(25712,420000)]	[(25663,96),(25668,48),(25673,24)]	440000	210000	[(25663,96),(25668,48),(25673,24),(25828,440000),(25712,210000)]
48	2601	2800	80	99	[(25663,200),(25668,100),(25673,50)]	920000	430000	[(25663,200),(25668,100),(25673,50),(25828,920000),(25712,430000)]	[(25663,100),(25668,50),(25673,25)]	460000	215000	[(25663,100),(25668,50),(25673,25),(25828,460000),(25712,215000)]
49	2801	3000	80	99	[(25663,200),(25668,100),(25673,50)]	960000	440000	[(25663,200),(25668,100),(25673,50),(25828,960000),(25712,440000)]	[(25663,100),(25668,50),(25673,25)]	480000	220000	[(25663,100),(25668,50),(25673,25),(25828,480000),(25712,220000)]
50	3001	3500	80	99	[(25663,200),(25668,100),(25673,50)]	1000000	450000	[(25663,200),(25668,100),(25673,50),(25828,1000000),(25712,450000)]	[(25663,100),(25668,50),(25673,25)]	500000	225000	[(25663,100),(25668,50),(25673,25),(25828,500000),(25712,225000)]
51	3501	99999999	80	99	[(25663,200),(25668,100),(25673,50)]	1000000	460000	[(25663,200),(25668,100),(25673,50),(25828,1000000),(25712,460000)]	[(25663,100),(25668,50),(25673,25)]	500000	230000	[(25663,100),(25668,50),(25673,25),(25828,500000),(25712,230000)]
52	1	200	100	119	[(25664,40),(25669,20),(25674,10)]	800000	480000	[(25664,40),(25669,20),(25674,10),(25828,800000),(25712,480000)]	[(25664,20),(25669,10),(25674,5)]	400000	240000	[(25664,20),(25669,10),(25674,5),(25828,400000),(25712,240000)]
53	201	400	100	119	[(25664,48),(25669,24),(25674,12)]	880000	492000	[(25664,48),(25669,24),(25674,12),(25828,880000),(25712,492000)]	[(25664,24),(25669,12),(25674,6)]	440000	246000	[(25664,24),(25669,12),(25674,6),(25828,440000),(25712,246000)]
54	401	600	100	119	[(25664,60),(25669,30),(25674,15)]	960000	504000	[(25664,60),(25669,30),(25674,15),(25828,960000),(25712,504000)]	[(25664,30),(25669,15),(25674,8)]	480000	252000	[(25664,30),(25669,15),(25674,8),(25828,480000),(25712,252000)]
55	601	800	100	119	[(25664,72),(25669,36),(25674,18)]	1040000	516000	[(25664,72),(25669,36),(25674,18),(25828,1040000),(25712,516000)]	[(25664,36),(25669,18),(25674,9)]	520000	258000	[(25664,36),(25669,18),(25674,9),(25828,520000),(25712,258000)]
56	801	1000	100	119	[(25664,84),(25669,42),(25674,21)]	1120000	528000	[(25664,84),(25669,42),(25674,21),(25828,1120000),(25712,528000)]	[(25664,42),(25669,21),(25674,11)]	560000	264000	[(25664,42),(25669,21),(25674,11),(25828,560000),(25712,264000)]
57	1001	1200	100	119	[(25664,96),(25669,48),(25674,24)]	1200000	540000	[(25664,96),(25669,48),(25674,24),(25828,1200000),(25712,540000)]	[(25664,48),(25669,24),(25674,12)]	600000	270000	[(25664,48),(25669,24),(25674,12),(25828,600000),(25712,270000)]
58	1201	1400	100	119	[(25664,108),(25669,54),(25674,27)]	1280000	552000	[(25664,108),(25669,54),(25674,27),(25828,1280000),(25712,552000)]	[(25664,54),(25669,27),(25674,14)]	640000	276000	[(25664,54),(25669,27),(25674,14),(25828,640000),(25712,276000)]
59	1401	1600	100	119	[(25664,120),(25669,60),(25674,30)]	1360000	564000	[(25664,120),(25669,60),(25674,30),(25828,1360000),(25712,564000)]	[(25664,60),(25669,30),(25674,15)]	680000	282000	[(25664,60),(25669,30),(25674,15),(25828,680000),(25712,282000)]
60	1601	1800	100	119	[(25664,132),(25669,66),(25674,33)]	1440000	576000	[(25664,132),(25669,66),(25674,33),(25828,1440000),(25712,576000)]	[(25664,66),(25669,33),(25674,17)]	720000	288000	[(25664,66),(25669,33),(25674,17),(25828,720000),(25712,288000)]
61	1801	2000	100	119	[(25664,144),(25669,72),(25674,36)]	1520000	588000	[(25664,144),(25669,72),(25674,36),(25828,1520000),(25712,588000)]	[(25664,72),(25669,36),(25674,18)]	760000	294000	[(25664,72),(25669,36),(25674,18),(25828,760000),(25712,294000)]
62	2001	2200	100	119	[(25664,160),(25669,80),(25674,40)]	1600000	600000	[(25664,160),(25669,80),(25674,40),(25828,1600000),(25712,600000)]	[(25664,80),(25669,40),(25674,20)]	800000	300000	[(25664,80),(25669,40),(25674,20),(25828,800000),(25712,300000)]
63	2201	2400	100	119	[(25664,176),(25669,88),(25674,44)]	1680000	612000	[(25664,176),(25669,88),(25674,44),(25828,1680000),(25712,612000)]	[(25664,88),(25669,44),(25674,22)]	840000	306000	[(25664,88),(25669,44),(25674,22),(25828,840000),(25712,306000)]
64	2401	2600	100	119	[(25664,192),(25669,96),(25674,48)]	1760000	624000	[(25664,192),(25669,96),(25674,48),(25828,1760000),(25712,624000)]	[(25664,96),(25669,48),(25674,24)]	880000	312000	[(25664,96),(25669,48),(25674,24),(25828,880000),(25712,312000)]
65	2601	2800	100	119	[(25664,200),(25669,100),(25674,50)]	1840000	636000	[(25664,200),(25669,100),(25674,50),(25828,1840000),(25712,636000)]	[(25664,100),(25669,50),(25674,25)]	920000	318000	[(25664,100),(25669,50),(25674,25),(25828,920000),(25712,318000)]
66	2801	3000	100	119	[(25664,200),(25669,100),(25674,50)]	1920000	648000	[(25664,200),(25669,100),(25674,50),(25828,1920000),(25712,648000)]	[(25664,100),(25669,50),(25674,25)]	960000	324000	[(25664,100),(25669,50),(25674,25),(25828,960000),(25712,324000)]
67	3001	3500	100	119	[(25664,200),(25669,100),(25674,50)]	2000000	660000	[(25664,200),(25669,100),(25674,50),(25828,2000000),(25712,660000)]	[(25664,100),(25669,50),(25674,25)]	1000000	330000	[(25664,100),(25669,50),(25674,25),(25828,1000000),(25712,330000)]
68	3501	99999999	100	119	[(25664,200),(25669,100),(25674,50)]	2000000	672000	[(25664,200),(25669,100),(25674,50),(25828,2000000),(25712,672000)]	[(25664,100),(25669,50),(25674,25)]	1000000	336000	[(25664,100),(25669,50),(25674,25),(25828,1000000),(25712,336000)]
69	1	200	120	139	[(25665,40),(25670,20),(25675,10)]	1600000	702000	[(25665,40),(25670,20),(25675,10),(25828,1600000),(25712,702000)]	[(25665,20),(25670,10),(25675,5)]	800000	351000	[(25665,20),(25670,10),(25675,5),(25828,800000),(25712,351000)]
70	201	400	120	139	[(25665,48),(25670,24),(25675,12)]	1760000	717000	[(25665,48),(25670,24),(25675,12),(25828,1760000),(25712,717000)]	[(25665,24),(25670,12),(25675,6)]	880000	358500	[(25665,24),(25670,12),(25675,6),(25828,880000),(25712,358500)]
71	401	600	120	139	[(25665,60),(25670,30),(25675,15)]	1920000	732000	[(25665,60),(25670,30),(25675,15),(25828,1920000),(25712,732000)]	[(25665,30),(25670,15),(25675,8)]	960000	366000	[(25665,30),(25670,15),(25675,8),(25828,960000),(25712,366000)]
72	601	800	120	139	[(25665,72),(25670,36),(25675,18)]	2080000	747000	[(25665,72),(25670,36),(25675,18),(25828,2080000),(25712,747000)]	[(25665,36),(25670,18),(25675,9)]	1040000	373500	[(25665,36),(25670,18),(25675,9),(25828,1040000),(25712,373500)]
73	801	1000	120	139	[(25665,84),(25670,42),(25675,21)]	2240000	762000	[(25665,84),(25670,42),(25675,21),(25828,2240000),(25712,762000)]	[(25665,42),(25670,21),(25675,11)]	1120000	381000	[(25665,42),(25670,21),(25675,11),(25828,1120000),(25712,381000)]
74	1001	1200	120	139	[(25665,96),(25670,48),(25675,24)]	2400000	777000	[(25665,96),(25670,48),(25675,24),(25828,2400000),(25712,777000)]	[(25665,48),(25670,24),(25675,12)]	1200000	388500	[(25665,48),(25670,24),(25675,12),(25828,1200000),(25712,388500)]
75	1201	1400	120	139	[(25665,108),(25670,54),(25675,27)]	2560000	792000	[(25665,108),(25670,54),(25675,27),(25828,2560000),(25712,792000)]	[(25665,54),(25670,27),(25675,14)]	1280000	396000	[(25665,54),(25670,27),(25675,14),(25828,1280000),(25712,396000)]
76	1401	1600	120	139	[(25665,120),(25670,60),(25675,30)]	2720000	807000	[(25665,120),(25670,60),(25675,30),(25828,2720000),(25712,807000)]	[(25665,60),(25670,30),(25675,15)]	1360000	403500	[(25665,60),(25670,30),(25675,15),(25828,1360000),(25712,403500)]
77	1601	1800	120	139	[(25665,132),(25670,66),(25675,33)]	2880000	822000	[(25665,132),(25670,66),(25675,33),(25828,2880000),(25712,822000)]	[(25665,66),(25670,33),(25675,17)]	1440000	411000	[(25665,66),(25670,33),(25675,17),(25828,1440000),(25712,411000)]
78	1801	2000	120	139	[(25665,144),(25670,72),(25675,36)]	3040000	837000	[(25665,144),(25670,72),(25675,36),(25828,3040000),(25712,837000)]	[(25665,72),(25670,36),(25675,18)]	1520000	418500	[(25665,72),(25670,36),(25675,18),(25828,1520000),(25712,418500)]
79	2001	2200	120	139	[(25665,160),(25670,80),(25675,40)]	3200000	852000	[(25665,160),(25670,80),(25675,40),(25828,3200000),(25712,852000)]	[(25665,80),(25670,40),(25675,20)]	1600000	426000	[(25665,80),(25670,40),(25675,20),(25828,1600000),(25712,426000)]
80	2201	2400	120	139	[(25665,176),(25670,88),(25675,44)]	3360000	867000	[(25665,176),(25670,88),(25675,44),(25828,3360000),(25712,867000)]	[(25665,88),(25670,44),(25675,22)]	1680000	433500	[(25665,88),(25670,44),(25675,22),(25828,1680000),(25712,433500)]
81	2401	2600	120	139	[(25665,192),(25670,96),(25675,48)]	3520000	882000	[(25665,192),(25670,96),(25675,48),(25828,3520000),(25712,882000)]	[(25665,96),(25670,48),(25675,24)]	1760000	441000	[(25665,96),(25670,48),(25675,24),(25828,1760000),(25712,441000)]
82	2601	2800	120	139	[(25665,200),(25670,100),(25675,50)]	3680000	897000	[(25665,200),(25670,100),(25675,50),(25828,3680000),(25712,897000)]	[(25665,100),(25670,50),(25675,25)]	1840000	448500	[(25665,100),(25670,50),(25675,25),(25828,1840000),(25712,448500)]
83	2801	3000	120	139	[(25665,200),(25670,100),(25675,50)]	3840000	912000	[(25665,200),(25670,100),(25675,50),(25828,3840000),(25712,912000)]	[(25665,100),(25670,50),(25675,25)]	1920000	456000	[(25665,100),(25670,50),(25675,25),(25828,1920000),(25712,456000)]
84	3001	3500	120	139	[(25665,200),(25670,100),(25675,50)]	4000000	927000	[(25665,200),(25670,100),(25675,50),(25828,4000000),(25712,927000)]	[(25665,100),(25670,50),(25675,25)]	2000000	463500	[(25665,100),(25670,50),(25675,25),(25828,2000000),(25712,463500)]
85	3501	99999999	120	139	[(25665,200),(25670,100),(25675,50)]	4000000	942000	[(25665,200),(25670,100),(25675,50),(25828,4000000),(25712,942000)]	[(25665,100),(25670,50),(25675,25)]	2000000	471000	[(25665,100),(25670,50),(25675,25),(25828,2000000),(25712,471000)]
86	1	200	140	159	[(27048,40),(27049,20),(27050,10)]	2400000	988000	[(27048,40),(27049,20),(27050,10),(25828,2400000),(25712,988000)]	[(27048,20),(27049,10),(27050,5)]	1200000	494000	[(27048,20),(27049,10),(27050,5),(25828,1200000),(25712,494000)]
87	201	400	140	159	[(27048,48),(27049,24),(27050,12)]	2640000	1008000	[(27048,48),(27049,24),(27050,12),(25828,2640000),(25712,1008000)]	[(27048,24),(27049,12),(27050,6)]	1320000	504000	[(27048,24),(27049,12),(27050,6),(25828,1320000),(25712,504000)]
88	401	600	140	159	[(27048,60),(27049,30),(27050,15)]	2880000	1028000	[(27048,60),(27049,30),(27050,15),(25828,2880000),(25712,1028000)]	[(27048,30),(27049,15),(27050,8)]	1440000	514000	[(27048,30),(27049,15),(27050,8),(25828,1440000),(25712,514000)]
89	601	800	140	159	[(27048,72),(27049,36),(27050,18)]	3120000	1048000	[(27048,72),(27049,36),(27050,18),(25828,3120000),(25712,1048000)]	[(27048,36),(27049,18),(27050,9)]	1560000	524000	[(27048,36),(27049,18),(27050,9),(25828,1560000),(25712,524000)]
90	801	1000	140	159	[(27048,84),(27049,42),(27050,21)]	3360000	1068000	[(27048,84),(27049,42),(27050,21),(25828,3360000),(25712,1068000)]	[(27048,42),(27049,21),(27050,11)]	1680000	534000	[(27048,42),(27049,21),(27050,11),(25828,1680000),(25712,534000)]
91	1001	1200	140	159	[(27048,96),(27049,48),(27050,24)]	3600000	1088000	[(27048,96),(27049,48),(27050,24),(25828,3600000),(25712,1088000)]	[(27048,48),(27049,24),(27050,12)]	1800000	544000	[(27048,48),(27049,24),(27050,12),(25828,1800000),(25712,544000)]
92	1201	1400	140	159	[(27048,108),(27049,54),(27050,27)]	3840000	1108000	[(27048,108),(27049,54),(27050,27),(25828,3840000),(25712,1108000)]	[(27048,54),(27049,27),(27050,14)]	1920000	554000	[(27048,54),(27049,27),(27050,14),(25828,1920000),(25712,554000)]
93	1401	1600	140	159	[(27048,120),(27049,60),(27050,30)]	4080000	1128000	[(27048,120),(27049,60),(27050,30),(25828,4080000),(25712,1128000)]	[(27048,60),(27049,30),(27050,15)]	2040000	564000	[(27048,60),(27049,30),(27050,15),(25828,2040000),(25712,564000)]
94	1601	1800	140	159	[(27048,132),(27049,66),(27050,33)]	4320000	1148000	[(27048,132),(27049,66),(27050,33),(25828,4320000),(25712,1148000)]	[(27048,66),(27049,33),(27050,17)]	2160000	574000	[(27048,66),(27049,33),(27050,17),(25828,2160000),(25712,574000)]
95	1801	2000	140	159	[(27048,144),(27049,72),(27050,36)]	4560000	1168000	[(27048,144),(27049,72),(27050,36),(25828,4560000),(25712,1168000)]	[(27048,72),(27049,36),(27050,18)]	2280000	584000	[(27048,72),(27049,36),(27050,18),(25828,2280000),(25712,584000)]
96	2001	2200	140	159	[(27048,160),(27049,80),(27050,40)]	4800000	1188000	[(27048,160),(27049,80),(27050,40),(25828,4800000),(25712,1188000)]	[(27048,80),(27049,40),(27050,20)]	2400000	594000	[(27048,80),(27049,40),(27050,20),(25828,2400000),(25712,594000)]
97	2201	2400	140	159	[(27048,176),(27049,88),(27050,44)]	5040000	1208000	[(27048,176),(27049,88),(27050,44),(25828,5040000),(25712,1208000)]	[(27048,88),(27049,44),(27050,22)]	2520000	604000	[(27048,88),(27049,44),(27050,22),(25828,2520000),(25712,604000)]
98	2401	2600	140	159	[(27048,192),(27049,96),(27050,48)]	5280000	1228000	[(27048,192),(27049,96),(27050,48),(25828,5280000),(25712,1228000)]	[(27048,96),(27049,48),(27050,24)]	2640000	614000	[(27048,96),(27049,48),(27050,24),(25828,2640000),(25712,614000)]
99	2601	2800	140	159	[(27048,200),(27049,100),(27050,50)]	5520000	1248000	[(27048,200),(27049,100),(27050,50),(25828,5520000),(25712,1248000)]	[(27048,100),(27049,50),(27050,25)]	2760000	624000	[(27048,100),(27049,50),(27050,25),(25828,2760000),(25712,624000)]
