rank	Level	LevelMax	rewardItems	rewardMoney	rewardItemShow	rewardItems_fcm	rewardMoney_fcm	rewardItemShow_fcm
3	100	119	[(26267,1),(25664,120),(25669,60),(25674,30)]	3000000	[(26267,1),(25828,3000000),(25664,120),(25669,60),(25674,30)]	[(26267,1),(25664,60),(25669,30),(25674,15)]	1500000	[(26267,1),(25828,1500000),(25664,60),(25669,30),(25674,15)]
4	100	119	[(25664,80),(25669,40),(25674,20)]	2800000	[(25828,2800000),(25664,80),(25669,40),(25674,20)]	[(25664,40),(25669,20),(25674,10)]	1400000	[(25828,1400000),(25664,40),(25669,20),(25674,10)]
5	100	119	[(25664,40),(25669,20),(25674,10)]	2600000	[(25828,2600000),(25664,40),(25669,20),(25674,10)]	[(25664,20),(25669,10),(25674,5)]	1300000	[(25828,1300000),(25664,20),(25669,10),(25674,5)]
1	120	139	[(26267,3),(25665,200),(25670,100),(25675,50)]	6000000	[(26267,3),(25828,6000000),(25665,200),(25670,100),(25675,50)]	[(26267,2),(25665,100),(25670,50),(25675,25)]	3000000	[(26267,2),(25828,3000000),(25665,100),(25670,50),(25675,25)]
2	120	139	[(26267,2),(25665,160),(25670,80),(25675,40)]	5100000	[(26267,2),(25828,5100000),(25665,160),(25670,80),(25675,40)]	[(26267,1),(25665,80),(25670,40),(25675,20)]	2550000	[(26267,1),(25828,2550000),(25665,80),(25670,40),(25675,20)]
3	120	139	[(26267,1),(25665,120),(25670,60),(25675,30)]	4500000	[(26267,1),(25828,4500000),(25665,120),(25670,60),(25675,30)]	[(26267,1),(25665,60),(25670,30),(25675,15)]	2250000	[(26267,1),(25828,2250000),(25665,60),(25670,30),(25675,15)]
4	120	139	[(25665,80),(25670,40),(25675,20)]	4200000	[(25828,4200000),(25665,80),(25670,40),(25675,20)]	[(25665,40),(25670,20),(25675,10)]	2100000	[(25828,2100000),(25665,40),(25670,20),(25675,10)]
5	120	139	[(25665,40),(25670,20),(25675,10)]	3900000	[(25828,3900000),(25665,40),(25670,20),(25675,10)]	[(25665,20),(25670,10),(25675,5)]	1950000	[(25828,1950000),(25665,20),(25670,10),(25675,5)]
1	140	159	[(26267,3),(27048,200),(27049,100),(27050,50)]	8000000	[(26267,3),(25828,8000000),(27048,200),(27049,100),(27050,50)]	[(26267,2),(27048,100),(27049,50),(27050,25)]	4000000	[(26267,2),(25828,4000000),(27048,100),(27049,50),(27050,25)]
2	140	159	[(26267,2),(27048,160),(27049,80),(27050,40)]	6800000	[(26267,2),(25828,6800000),(27048,160),(27049,80),(27050,40)]	[(26267,1),(27048,80),(27049,40),(27050,20)]	3400000	[(26267,1),(25828,3400000),(27048,80),(27049,40),(27050,20)]
3	140	159	[(26267,1),(27048,120),(27049,60),(27050,30)]	6000000	[(26267,1),(25828,6000000),(27048,120),(27049,60),(27050,30)]	[(26267,1),(27048,60),(27049,30),(27050,15)]	3000000	[(26267,1),(25828,3000000),(27048,60),(27049,30),(27050,15)]
4	140	159	[(27048,80),(27049,40),(27050,20)]	5600000	[(25828,5600000),(27048,80),(27049,40),(27050,20)]	[(27048,40),(27049,20),(27050,10)]	2800000	[(25828,2800000),(27048,40),(27049,20),(27050,10)]
5	140	159	[(27048,40),(27049,20),(27050,10)]	5200000	[(25828,5200000),(27048,40),(27049,20),(27050,10)]	[(27048,20),(27049,10),(27050,5)]	2600000	[(25828,2600000),(27048,20),(27049,10),(27050,5)]
1	160	179	[(26267,3),(27904,200),(27905,100),(27906,50)]	9000000	[(26267,3),(25828,9000000),(27904,200),(27905,100),(27906,50)]	[(26267,2),(27904,100),(27905,50),(27906,25)]	4500000	[(26267,2),(25828,4500000),(27904,100),(27905,50),(27906,25)]
2	160	179	[(26267,2),(27904,160),(27905,80),(27906,40)]	7650000	[(26267,2),(25828,7650000),(27904,160),(27905,80),(27906,40)]	[(26267,1),(27904,80),(27905,40),(27906,20)]	3825000	[(26267,1),(25828,3825000),(27904,80),(27905,40),(27906,20)]
3	160	179	[(26267,1),(27904,120),(27905,60),(27906,30)]	6750000	[(26267,1),(25828,6750000),(27904,120),(27905,60),(27906,30)]	[(26267,1),(27904,60),(27905,30),(27906,15)]	3375000	[(26267,1),(25828,3375000),(27904,60),(27905,30),(27906,15)]
4	160	179	[(27904,80),(27905,40),(27906,20)]	6300000	[(25828,6300000),(27904,80),(27905,40),(27906,20)]	[(27904,40),(27905,20),(27906,10)]	3150000	[(25828,3150000),(27904,40),(27905,20),(27906,10)]
5	160	179	[(27904,40),(27905,20),(27906,10)]	5850000	[(25828,5850000),(27904,40),(27905,20),(27906,10)]	[(27904,20),(27905,10),(27906,5)]	2925000	[(25828,2925000),(27904,20),(27905,10),(27906,5)]
