FBLevel	roleLevel	addExp	discountExp	campId	fightType	totalExp	ActaddExp	ActdiscountExp	ActtotalExp
1	88	715	71	15669	148	385200	1430	142	770400
1	89	715	71	15669	148	385200	1430	142	770400
1	90	715	71	15669	148	385200	1430	142	770400
1	91	715	71	15669	148	385200	1430	142	770400
1	92	715	71	15669	148	385200	1430	142	770400
1	93	715	71	15669	148	385200	1430	142	770400
1	94	715	71	15669	148	385200	1430	142	770400
1	95	715	71	15669	148	385200	1430	142	770400
1	96	715	71	15669	148	385200	1430	142	770400
1	97	715	71	15669	148	385200	1430	142	770400
1	98	720	72	15669	148	388800	1440	144	777600
1	99	720	72	15669	148	388800	1440	144	777600
1	100	815	81	15670	148	439200	1630	162	878400
1	101	875	87	15670	148	471600	1750	174	943200
1	102	935	93	15670	148	504000	1870	186	1008000
1	103	990	99	15670	148	534600	1980	198	1069200
1	104	990	99	15670	148	534600	1980	198	1069200
1	105	990	99	15670	148	534600	1980	198	1069200
1	106	990	99	15670	148	534600	1980	198	1069200
1	107	990	99	15670	148	534600	1980	198	1069200
1	108	990	99	15670	148	534600	1980	198	1069200
1	109	990	99	15670	148	534600	1980	198	1069200
1	110	990	99	15670	148	534600	1980	198	1069200
1	111	995	99	15670	148	536400	1990	198	1072800
1	112	995	99	15670	148	536400	1990	198	1072800
1	113	995	99	15670	148	536400	1990	198	1072800
1	114	995	99	15670	148	536400	1990	198	1072800
1	115	995	99	15670	148	536400	1990	198	1072800
1	116	995	99	15670	148	536400	1990	198	1072800
1	117	995	99	15670	148	536400	1990	198	1072800
1	118	995	99	15670	148	536400	1990	198	1072800
1	119	995	99	15670	148	536400	1990	198	1072800
1	120	1130	113	15671	148	610200	2260	226	1220400
1	121	1135	113	15671	148	612000	2270	226	1224000
1	122	1145	114	15671	148	617400	2290	228	1234800
1	123	1155	115	15671	148	622800	2310	230	1245600
1	124	1155	115	15671	148	622800	2310	230	1245600
1	125	1155	115	15671	148	622800	2310	230	1245600
1	126	1155	115	15671	148	622800	2310	230	1245600
1	127	1155	115	15671	148	622800	2310	230	1245600
1	128	1155	115	15671	148	622800	2310	230	1245600
1	129	1155	115	15671	148	622800	2310	230	1245600
1	130	1155	115	15671	148	622800	2310	230	1245600
1	131	1155	115	15671	148	622800	2310	230	1245600
1	132	1155	115	15671	148	622800	2310	230	1245600
1	133	1155	115	15671	148	622800	2310	230	1245600
1	134	1155	115	15671	148	622800	2310	230	1245600
1	135	1155	115	15671	148	622800	2310	230	1245600
1	136	1155	115	15671	148	622800	2310	230	1245600
1	137	1155	115	15671	148	622800	2310	230	1245600
1	138	1155	115	15671	148	622800	2310	230	1245600
1	139	1155	115	15671	148	622800	2310	230	1245600
1	140	1280	128	15672	148	691200	2560	256	1382400
1	141	1315	131	15672	148	709200	2630	262	1418400
1	142	1350	135	15672	148	729000	2700	270	1458000
1	143	1385	138	15672	148	747000	2770	276	1494000
1	144	1385	138	15672	148	747000	2770	276	1494000
1	145	1385	138	15672	148	747000	2770	276	1494000
1	146	1385	138	15672	148	747000	2770	276	1494000
1	147	1385	138	15672	148	747000	2770	276	1494000
1	148	1385	138	15672	148	747000	2770	276	1494000
1	149	1385	138	15672	148	747000	2770	276	1494000
1	150	1385	138	15672	148	747000	2770	276	1494000
1	151	1385	138	15672	148	747000	2770	276	1494000
1	152	1385	138	15672	148	747000	2770	276	1494000
1	153	1385	138	15672	148	747000	2770	276	1494000
1	154	1385	138	15672	148	747000	2770	276	1494000
1	155	1385	138	15672	148	747000	2770	276	1494000
1	156	1385	138	15672	148	747000	2770	276	1494000
1	157	1390	139	15672	148	750600	2780	278	1501200
1	158	1390	139	15672	148	750600	2780	278	1501200
1	159	1390	139	15672	148	750600	2780	278	1501200
1	160	1520	152	15672	148	820800	3040	304	1641600
1	161	1570	157	15672	148	847800	3140	314	1695600
1	162	1615	161	15672	148	871200	3230	322	1742400
1	163	1660	166	15672	148	896400	3320	332	1792800
1	164	1660	166	15672	148	896400	3320	332	1792800
1	165	1660	166	15672	148	896400	3320	332	1792800
1	166	1660	166	15672	148	896400	3320	332	1792800
1	167	1660	166	15672	148	896400	3320	332	1792800
1	168	1660	166	15672	148	896400	3320	332	1792800
1	169	1660	166	15672	148	896400	3320	332	1792800
1	170	1665	166	15672	148	898200	3330	332	1796400
1	171	1665	166	15672	148	898200	3330	332	1796400
1	172	1665	166	15672	148	898200	3330	332	1796400
1	173	1665	166	15672	148	898200	3330	332	1796400
1	174	1665	166	15672	148	898200	3330	332	1796400
1	175	1665	166	15672	148	898200	3330	332	1796400
1	176	1665	166	15672	148	898200	3330	332	1796400
1	177	1665	166	15672	148	898200	3330	332	1796400
1	178	1665	166	15672	148	898200	3330	332	1796400
1	179	1665	166	15672	148	898200	3330	332	1796400
2	30	180	18	15689	148	97200	360	36	194400
2	31	220	22	15689	148	118800	440	44	237600
2	32	220	22	15689	148	118800	440	44	237600
2	33	320	32	15689	148	172800	640	64	345600
2	34	320	32	15689	148	172800	640	64	345600
2	35	320	32	15689	148	172800	640	64	345600
2	36	320	32	15689	148	172800	640	64	345600
2	37	320	32	15689	148	172800	640	64	345600
2	38	320	32	15689	148	172800	640	64	345600
2	39	320	32	15689	148	172800	640	64	345600
2	40	366	36	15690	148	196560	732	72	393120
2	41	393	39	15690	148	211680	786	78	423360
2	42	440	44	15690	148	237600	880	88	475200
2	43	473	47	15690	148	254880	946	94	509760
2	44	473	47	15690	148	254880	946	94	509760
2	45	473	47	15690	148	254880	946	94	509760
2	46	480	48	15690	148	259200	960	96	518400
2	47	480	48	15690	148	259200	960	96	518400
2	48	480	48	15690	148	259200	960	96	518400
2	49	480	48	15690	148	259200	960	96	518400
2	50	480	48	15690	148	259200	960	96	518400
2	51	480	48	15690	148	259200	960	96	518400
2	52	480	48	15690	148	259200	960	96	518400
2	53	480	48	15690	148	259200	960	96	518400
2	54	480	48	15690	148	259200	960	96	518400
2	55	480	48	15690	148	259200	960	96	518400
2	56	480	48	15690	148	259200	960	96	518400
2	57	480	48	15690	148	259200	960	96	518400
2	58	480	48	15690	148	259200	960	96	518400
2	59	480	48	15690	148	259200	960	96	518400
2	60	613	61	15691	148	330480	1226	122	660960
2	61	640	64	15691	148	345600	1280	128	691200
2	62	693	69	15691	148	373680	1386	138	747360
2	63	733	73	15691	148	395280	1466	146	790560
2	64	733	73	15691	148	395280	1466	146	790560
2	65	733	73	15691	148	395280	1466	146	790560
2	66	733	73	15691	148	395280	1466	146	790560
2	67	733	73	15691	148	395280	1466	146	790560
2	68	733	73	15691	148	395280	1466	146	790560
2	69	733	73	15691	148	395280	1466	146	790560
2	70	740	74	15691	148	399600	1480	148	799200
2	71	740	74	15691	148	399600	1480	148	799200
2	72	740	74	15691	148	399600	1480	148	799200
2	73	740	74	15691	148	399600	1480	148	799200
2	74	740	74	15691	148	399600	1480	148	799200
2	75	740	74	15691	148	399600	1480	148	799200
2	76	740	74	15691	148	399600	1480	148	799200
2	77	740	74	15691	148	399600	1480	148	799200
2	78	740	74	15691	148	399600	1480	148	799200
2	79	740	74	15691	148	399600	1480	148	799200
2	80	826	82	15692	148	444960	1652	164	889920
2	81	860	86	15692	148	464400	1720	172	928800
2	82	913	91	15692	148	492480	1826	182	984960
2	83	953	95	15692	148	514080	1906	190	1028160
2	84	953	95	15692	148	514080	1906	190	1028160
2	85	953	95	15692	148	514080	1906	190	1028160
2	86	953	95	15692	148	514080	1906	190	1028160
2	87	953	95	15692	148	514080	1906	190	1028160
2	88	953	95	15692	148	514080	1906	190	1028160
2	89	953	95	15692	148	514080	1906	190	1028160
2	90	953	95	15692	148	514080	1906	190	1028160
2	91	953	95	15692	148	514080	1906	190	1028160
2	92	953	95	15692	148	514080	1906	190	1028160
2	93	953	95	15692	148	514080	1906	190	1028160
2	94	953	95	15692	148	514080	1906	190	1028160
2	95	953	95	15692	148	514080	1906	190	1028160
2	96	953	95	15692	148	514080	1906	190	1028160
2	97	953	95	15692	148	514080	1906	190	1028160
2	98	960	96	15692	148	518400	1920	192	1036800
2	99	960	96	15692	148	518400	1920	192	1036800
2	100	1086	108	15693	148	585360	2172	216	1170720
2	101	1166	116	15693	148	628560	2332	232	1257120
2	102	1246	124	15693	148	671760	2492	248	1343520
2	103	1320	132	15693	148	712800	2640	264	1425600
2	104	1320	132	15693	148	712800	2640	264	1425600
2	105	1320	132	15693	148	712800	2640	264	1425600
2	106	1320	132	15693	148	712800	2640	264	1425600
2	107	1320	132	15693	148	712800	2640	264	1425600
2	108	1320	132	15693	148	712800	2640	264	1425600
2	109	1320	132	15693	148	712800	2640	264	1425600
2	110	1320	132	15693	148	712800	2640	264	1425600
2	111	1326	132	15693	148	714960	2652	264	1429920
2	112	1326	132	15693	148	714960	2652	264	1429920
2	113	1326	132	15693	148	714960	2652	264	1429920
2	114	1326	132	15693	148	714960	2652	264	1429920
2	115	1326	132	15693	148	714960	2652	264	1429920
2	116	1326	132	15693	148	714960	2652	264	1429920
2	117	1326	132	15693	148	714960	2652	264	1429920
2	118	1326	132	15693	148	714960	2652	264	1429920
2	119	1326	132	15693	148	714960	2652	264	1429920
2	120	1506	150	15694	148	812160	3012	300	1624320
2	121	1513	151	15694	148	816480	3026	302	1632960
2	122	1526	152	15694	148	822960	3052	304	1645920
2	123	1540	154	15694	148	831600	3080	308	1663200
2	124	1540	154	15694	148	831600	3080	308	1663200
2	125	1540	154	15694	148	831600	3080	308	1663200
2	126	1540	154	15694	148	831600	3080	308	1663200
2	127	1540	154	15694	148	831600	3080	308	1663200
2	128	1540	154	15694	148	831600	3080	308	1663200
2	129	1540	154	15694	148	831600	3080	308	1663200
2	130	1540	154	15694	148	831600	3080	308	1663200
2	131	1540	154	15694	148	831600	3080	308	1663200
2	132	1540	154	15694	148	831600	3080	308	1663200
2	133	1540	154	15694	148	831600	3080	308	1663200
2	134	1540	154	15694	148	831600	3080	308	1663200
2	135	1540	154	15694	148	831600	3080	308	1663200
2	136	1540	154	15694	148	831600	3080	308	1663200
2	137	1540	154	15694	148	831600	3080	308	1663200
2	138	1540	154	15694	148	831600	3080	308	1663200
2	139	1540	154	15694	148	831600	3080	308	1663200
2	140	1706	170	15695	148	920160	3412	340	1840320
2	141	1753	175	15695	148	946080	3506	350	1892160
2	142	1800	180	15695	148	972000	3600	360	1944000
2	143	1846	184	15695	148	995760	3692	368	1991520
2	144	1846	184	15695	148	995760	3692	368	1991520
2	145	1846	184	15695	148	995760	3692	368	1991520
2	146	1846	184	15695	148	995760	3692	368	1991520
2	147	1846	184	15695	148	995760	3692	368	1991520
2	148	1846	184	15695	148	995760	3692	368	1991520
2	149	1846	184	15695	148	995760	3692	368	1991520
2	150	1846	184	15695	148	995760	3692	368	1991520
2	151	1846	184	15695	148	995760	3692	368	1991520
2	152	1846	184	15695	148	995760	3692	368	1991520
2	153	1846	184	15695	148	995760	3692	368	1991520
2	154	1846	184	15695	148	995760	3692	368	1991520
2	155	1846	184	15695	148	995760	3692	368	1991520
2	156	1846	184	15695	148	995760	3692	368	1991520
2	157	1853	185	15695	148	1000080	3706	370	2000160
2	158	1853	185	15695	148	1000080	3706	370	2000160
2	159	1853	185	15695	148	1000080	3706	370	2000160
2	160	2026	202	15695	148	1092960	4052	404	2185920
2	161	2093	209	15695	148	1129680	4186	418	2259360
2	162	2153	215	15695	148	1162080	4306	430	2324160
2	163	2213	221	15695	148	1194480	4426	442	2388960
2	164	2213	221	15695	148	1194480	4426	442	2388960
2	165	2213	221	15695	148	1194480	4426	442	2388960
2	166	2213	221	15695	148	1194480	4426	442	2388960
2	167	2213	221	15695	148	1194480	4426	442	2388960
2	168	2213	221	15695	148	1194480	4426	442	2388960
2	169	2213	221	15695	148	1194480	4426	442	2388960
2	170	2220	222	15695	148	1198800	4440	444	2397600
2	171	2220	222	15695	148	1198800	4440	444	2397600
2	172	2220	222	15695	148	1198800	4440	444	2397600
2	173	2220	222	15695	148	1198800	4440	444	2397600
2	174	2220	222	15695	148	1198800	4440	444	2397600
2	175	2220	222	15695	148	1198800	4440	444	2397600
2	176	2220	222	15695	148	1198800	4440	444	2397600
2	177	2220	222	15695	148	1198800	4440	444	2397600
2	178	2220	222	15695	148	1198800	4440	444	2397600
2	179	2220	222	15695	148	1198800	4440	444	2397600
3	30	270	27	15696	148	145800	540	54	291600
3	31	330	33	15696	148	178200	660	66	356400
3	32	330	33	15696	148	178200	660	66	356400
3	33	480	48	15696	148	259200	960	96	518400
3	34	480	48	15696	148	259200	960	96	518400
3	35	480	48	15696	148	259200	960	96	518400
3	36	480	48	15696	148	259200	960	96	518400
3	37	480	48	15696	148	259200	960	96	518400
3	38	480	48	15696	148	259200	960	96	518400
3	39	480	48	15696	148	259200	960	96	518400
3	40	550	55	15697	148	297000	1100	110	594000
3	41	590	59	15697	148	318600	1180	118	637200
3	42	660	66	15697	148	356400	1320	132	712800
3	43	710	71	15697	148	383400	1420	142	766800
3	44	710	71	15697	148	383400	1420	142	766800
3	45	710	71	15697	148	383400	1420	142	766800
3	46	720	72	15697	148	388800	1440	144	777600
3	47	720	72	15697	148	388800	1440	144	777600
3	48	720	72	15697	148	388800	1440	144	777600
3	49	720	72	15697	148	388800	1440	144	777600
3	50	720	72	15697	148	388800	1440	144	777600
3	51	720	72	15697	148	388800	1440	144	777600
3	52	720	72	15697	148	388800	1440	144	777600
3	53	720	72	15697	148	388800	1440	144	777600
3	54	720	72	15697	148	388800	1440	144	777600
3	55	720	72	15697	148	388800	1440	144	777600
3	56	720	72	15697	148	388800	1440	144	777600
3	57	720	72	15697	148	388800	1440	144	777600
3	58	720	72	15697	148	388800	1440	144	777600
3	59	720	72	15697	148	388800	1440	144	777600
3	60	920	92	15698	148	496800	1840	184	993600
3	61	960	96	15698	148	518400	1920	192	1036800
3	62	1040	104	15698	148	561600	2080	208	1123200
3	63	1100	110	15698	148	594000	2200	220	1188000
3	64	1100	110	15698	148	594000	2200	220	1188000
3	65	1100	110	15698	148	594000	2200	220	1188000
3	66	1100	110	15698	148	594000	2200	220	1188000
3	67	1100	110	15698	148	594000	2200	220	1188000
3	68	1100	110	15698	148	594000	2200	220	1188000
3	69	1100	110	15698	148	594000	2200	220	1188000
3	70	1110	111	15698	148	599400	2220	222	1198800
3	71	1110	111	15698	148	599400	2220	222	1198800
3	72	1110	111	15698	148	599400	2220	222	1198800
3	73	1110	111	15698	148	599400	2220	222	1198800
3	74	1110	111	15698	148	599400	2220	222	1198800
3	75	1110	111	15698	148	599400	2220	222	1198800
3	76	1110	111	15698	148	599400	2220	222	1198800
3	77	1110	111	15698	148	599400	2220	222	1198800
3	78	1110	111	15698	148	599400	2220	222	1198800
3	79	1110	111	15698	148	599400	2220	222	1198800
3	80	1240	124	15699	148	669600	2480	248	1339200
3	81	1290	129	15699	148	696600	2580	258	1393200
3	82	1370	137	15699	148	739800	2740	274	1479600
3	83	1430	143	15699	148	772200	2860	286	1544400
3	84	1430	143	15699	148	772200	2860	286	1544400
3	85	1430	143	15699	148	772200	2860	286	1544400
3	86	1430	143	15699	148	772200	2860	286	1544400
3	87	1430	143	15699	148	772200	2860	286	1544400
3	88	1430	143	15699	148	772200	2860	286	1544400
3	89	1430	143	15699	148	772200	2860	286	1544400
3	90	1430	143	15699	148	772200	2860	286	1544400
3	91	1430	143	15699	148	772200	2860	286	1544400
3	92	1430	143	15699	148	772200	2860	286	1544400
3	93	1430	143	15699	148	772200	2860	286	1544400
3	94	1430	143	15699	148	772200	2860	286	1544400
3	95	1430	143	15699	148	772200	2860	286	1544400
3	96	1430	143	15699	148	772200	2860	286	1544400
3	97	1430	143	15699	148	772200	2860	286	1544400
3	98	1440	144	15699	148	777600	2880	288	1555200
3	99	1440	144	15699	148	777600	2880	288	1555200
3	100	1630	163	15700	148	880200	3260	326	1760400
3	101	1750	175	15700	148	945000	3500	350	1890000
3	102	1870	187	15700	148	1009800	3740	374	2019600
3	103	1980	198	15700	148	1069200	3960	396	2138400
3	104	1980	198	15700	148	1069200	3960	396	2138400
3	105	1980	198	15700	148	1069200	3960	396	2138400
3	106	1980	198	15700	148	1069200	3960	396	2138400
3	107	1980	198	15700	148	1069200	3960	396	2138400
3	108	1980	198	15700	148	1069200	3960	396	2138400
3	109	1980	198	15700	148	1069200	3960	396	2138400
3	110	1980	198	15700	148	1069200	3960	396	2138400
3	111	1990	199	15700	148	1074600	3980	398	2149200
3	112	1990	199	15700	148	1074600	3980	398	2149200
3	113	1990	199	15700	148	1074600	3980	398	2149200
3	114	1990	199	15700	148	1074600	3980	398	2149200
3	115	1990	199	15700	148	1074600	3980	398	2149200
3	116	1990	199	15700	148	1074600	3980	398	2149200
3	117	1990	199	15700	148	1074600	3980	398	2149200
3	118	1990	199	15700	148	1074600	3980	398	2149200
3	119	1990	199	15700	148	1074600	3980	398	2149200
3	120	2260	226	15701	148	1220400	4520	452	2440800
3	121	2270	227	15701	148	1225800	4540	454	2451600
3	122	2290	229	15701	148	1236600	4580	458	2473200
3	123	2310	231	15701	148	1247400	4620	462	2494800
3	124	2310	231	15701	148	1247400	4620	462	2494800
3	125	2310	231	15701	148	1247400	4620	462	2494800
3	126	2310	231	15701	148	1247400	4620	462	2494800
3	127	2310	231	15701	148	1247400	4620	462	2494800
3	128	2310	231	15701	148	1247400	4620	462	2494800
3	129	2310	231	15701	148	1247400	4620	462	2494800
3	130	2310	231	15701	148	1247400	4620	462	2494800
3	131	2310	231	15701	148	1247400	4620	462	2494800
3	132	2310	231	15701	148	1247400	4620	462	2494800
3	133	2310	231	15701	148	1247400	4620	462	2494800
3	134	2310	231	15701	148	1247400	4620	462	2494800
3	135	2310	231	15701	148	1247400	4620	462	2494800
3	136	2310	231	15701	148	1247400	4620	462	2494800
3	137	2310	231	15701	148	1247400	4620	462	2494800
3	138	2310	231	15701	148	1247400	4620	462	2494800
3	139	2310	231	15701	148	1247400	4620	462	2494800
3	140	2560	256	15702	148	1382400	5120	512	2764800
3	141	2630	263	15702	148	1420200	5260	526	2840400
3	142	2700	270	15702	148	1458000	5400	540	2916000
3	143	2770	277	15702	148	1495800	5540	554	2991600
3	144	2770	277	15702	148	1495800	5540	554	2991600
3	145	2770	277	15702	148	1495800	5540	554	2991600
3	146	2770	277	15702	148	1495800	5540	554	2991600
3	147	2770	277	15702	148	1495800	5540	554	2991600
3	148	2770	277	15702	148	1495800	5540	554	2991600
3	149	2770	277	15702	148	1495800	5540	554	2991600
3	150	2770	277	15702	148	1495800	5540	554	2991600
3	151	2770	277	15702	148	1495800	5540	554	2991600
3	152	2770	277	15702	148	1495800	5540	554	2991600
3	153	2770	277	15702	148	1495800	5540	554	2991600
3	154	2770	277	15702	148	1495800	5540	554	2991600
3	155	2770	277	15702	148	1495800	5540	554	2991600
3	156	2770	277	15702	148	1495800	5540	554	2991600
3	157	2780	278	15702	148	1501200	5560	556	3002400
3	158	2780	278	15702	148	1501200	5560	556	3002400
3	159	2780	278	15702	148	1501200	5560	556	3002400
3	160	3040	304	15702	148	1641600	6080	608	3283200
3	161	3140	314	15702	148	1695600	6280	628	3391200
3	162	3230	323	15702	148	1744200	6460	646	3488400
3	163	3320	332	15702	148	1792800	6640	664	3585600
3	164	3320	332	15702	148	1792800	6640	664	3585600
3	165	3320	332	15702	148	1792800	6640	664	3585600
3	166	3320	332	15702	148	1792800	6640	664	3585600
3	167	3320	332	15702	148	1792800	6640	664	3585600
3	168	3320	332	15702	148	1792800	6640	664	3585600
3	169	3320	332	15702	148	1792800	6640	664	3585600
3	170	3330	333	15702	148	1798200	6660	666	3596400
3	171	3330	333	15702	148	1798200	6660	666	3596400
3	172	3330	333	15702	148	1798200	6660	666	3596400
3	173	3330	333	15702	148	1798200	6660	666	3596400
3	174	3330	333	15702	148	1798200	6660	666	3596400
3	175	3330	333	15702	148	1798200	6660	666	3596400
3	176	3330	333	15702	148	1798200	6660	666	3596400
3	177	3330	333	15702	148	1798200	6660	666	3596400
3	178	3330	333	15702	148	1798200	6660	666	3596400
3	179	3330	333	15702	148	1798200	6660	666	3596400
