key	index	mark	desc	funcGuide1	funcGuide2
LV2_YB_JM	10	佣兵任务	#S(12)#C(#FFFF00)玩法说明：#n#H#S(12)#C(#00FF00)1.佣兵任务需邀请好友组队后接取，也可使用随缘组队快速组队。#H2.每天前10次任务可获得经验和金币奖励，10次之后单次任务无任何奖励。#H3.每完成10次任务可获得一次目标奖励。#H4.每完成10次任务可进行一次佣兵摇奖，每日最多可获得3次佣兵奖金。#H5.每周佣兵任务最多可进行300次。#H6.每周一0:00重置佣兵任务次数和完成情况。#n	[(3,236,94,可以加入队伍列表中不满三人的队伍),(0,260,341,达到条件点击获取目标奖励),(2,493,515,点击创建自己的队伍),(0,635,344,消耗2魔晶系统将会立即给你匹配一个队伍)]	
Lv2_ZD_FB	11	组队副本		[(2,171,72,筛选副本，不同等级的副本将会获得不同的奖励哟),(3,326,446,点击创建自己的队伍),(0,635,344,消耗2魔晶系统将会立即给你匹配一个队伍),(0,559,-45,可以加入队伍列表中不满三人的队伍)]	
Lv2_JYGK2	12	精英副本		[(3,-203,15,副本获得的奖励可以用来装备的升阶哟)]	
Lv2_GK	13	关卡		[(1,187,15,点击选择关卡类型),(2,98,106,点击进入关卡副本),(3,-203,15,关卡中可获得丰厚的奖励)]	
Lv2_JT_JBXX_Page	14	军团主界面		[(3,-61,176,祈祷可提升当天相应的战斗力),(2,325,181,点击可进行跑商，劫商，获得军团资金和经验)]	
Lv2_TITLE	15	称号	#S(12)奖励：#C(#FF8000)提升全队属性#n#H#S(12)玩法：#H1.称号列表上显示所有的称号。#H2.已获得的称号则会出现在已获得的列表内。#H3.可以预览称号的效果。#H4.称号分为永久和定时,定时的称号在时效过去后将消失。#n	[(3,119,266,满足条件后可获得称号，全队获得属性加成),(0,384,-67,可查看全队属性加成),(3,143,424,佩戴称号可能会有时间限制哟)]	
Lv2_ZDL	16	战斗力系统		[(3,527,460,点击刷新战斗力星数或提升战斗力评级),(0,447,-68,获得相应的星数可提升战斗力评级)]	
GLORY_WAR	17	荣耀战场(场景)		[(1,391,26,连杀越多获得的军团资金越多哟),(0,107,-122,根据在战场上获得军团资金的多少排序，从多到少)]	
WORLD_BOSS	18	世界boss(场景)		[(3,-741,-75,点击购买祝福可提升对boss的伤害),(2,-488,-26,非皇室成员将会消耗10魔晶或者神石自动战斗)]	
XKHJ	19	虚空幻境(场景)		[(2,49,274,点击可自动战斗),(3,-230,-26,击杀一定数量的怪物之后魔王将会出现在圣辉城)]	
Lv2_MSRQ_ST	20	世界boss摇buff界面		[(3,-131,189,购买祝福可给boss增加伤害，同时只能获得一个祝福)]	
Lv2_ZQ_JN_Page	21	坐骑装备面板		[(3,-180,142,放入的装备形状要与已解锁的格子相同),(3,-200,324,可将包裹中的装备拖入装备栏中提升主角属性),(2,136,470,把包裹中的装备拖入此处销毁，获得潜力),(2,-37,468,潜力可用来升级装备，来源于装备销毁),(1,496,158,消耗金币和潜力对装备进行升级),(0,291,308,一键销毁初阶和中阶的装备获得潜力)]	
