roundIndex	roundType	nextRoundIndex	beginTime	endTime	goodsPool	hongBaoPool
11	1	12	(2015,11,6,18,0,0)	(2015,11,6,18,30,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
12	2	13	(2015,11,6,18,30,0)	(2015,11,6,20,30,0)	[3,4,6,7,10,11,13,15,18,21,22,27]	
13	0	14	(2015,11,6,20,30,0)	(2015,11,6,21,0,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,1),(28975,2),(28976,1),(28977,0)]
14	1	15	(2015,11,6,21,0,0)	(2015,11,6,21,30,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,1),(28975,2),(28976,1),(28977,0)]
15	2	16	(2015,11,6,21,30,0)	(2015,11,7,8,30,0)	[1,2,4,8,12,14,17,20,25,34,38,42]	
16	0	17	(2015,11,7,8,30,0)	(2015,11,7,9,0,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
17	1	18	(2015,11,7,9,0,0)	(2015,11,7,9,30,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
18	2	19	(2015,11,7,9,30,0)	(2015,11,7,11,30,0)	[2,4,7,8,10,15,18,20,27,29,32,35]	
19	0	20	(2015,11,7,11,30,0)	(2015,11,7,12,0,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
20	1	21	(2015,11,7,12,0,0)	(2015,11,7,12,30,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
21	2	22	(2015,11,7,12,30,0)	(2015,11,7,14,30,0)	[1,3,6,14,17,19,22,24,26,31,40,46]	
22	0	23	(2015,11,7,14,30,0)	(2015,11,7,15,0,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
23	1	24	(2015,11,7,15,0,0)	(2015,11,7,15,30,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
24	2	25	(2015,11,7,15,30,0)	(2015,11,7,17,30,0)	[1,2,5,8,11,16,21,23,25,28,30,33]	
25	0	26	(2015,11,7,17,30,0)	(2015,11,7,18,0,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
26	1	27	(2015,11,7,18,0,0)	(2015,11,7,18,30,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
27	2	28	(2015,11,7,18,30,0)	(2015,11,7,20,30,0)	[1,2,4,8,12,14,16,17,20,25,31,34]	
28	0	29	(2015,11,7,20,30,0)	(2015,11,7,21,0,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,1),(28975,2),(28976,1),(28977,0)]
29	1	30	(2015,11,7,21,0,0)	(2015,11,7,21,30,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,1),(28975,2),(28976,1),(28977,0)]
30	2	31	(2015,11,7,21,30,0)	(2015,11,8,8,30,0)	[3,4,6,7,10,13,15,18,21,22,27,48]	
31	0	32	(2015,11,8,8,30,0)	(2015,11,8,9,0,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
32	1	33	(2015,11,8,9,0,0)	(2015,11,8,9,30,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
33	2	34	(2015,11,8,9,30,0)	(2015,11,8,11,30,0)	[1,2,5,8,11,16,21,23,25,28,30,33]	
34	0	35	(2015,11,8,11,30,0)	(2015,11,8,12,0,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
35	1	36	(2015,11,8,12,0,0)	(2015,11,8,12,30,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
36	2	37	(2015,11,8,12,30,0)	(2015,11,8,14,30,0)	[2,4,8,10,15,18,20,27,29,32,35,44]	
37	0	38	(2015,11,8,14,30,0)	(2015,11,8,15,0,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
38	1	39	(2015,11,8,15,0,0)	(2015,11,8,15,30,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
39	2	40	(2015,11,8,15,30,0)	(2015,11,8,17,30,0)	[1,3,6,12,14,17,19,22,24,26,31,36]	
40	0	41	(2015,11,8,17,30,0)	(2015,11,8,18,0,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
41	1	42	(2015,11,8,18,0,0)	(2015,11,8,18,30,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
42	2	43	(2015,11,8,18,30,0)	(2015,11,8,20,30,0)	[5,6,7,11,13,16,17,19,21,23,24,34]	
43	0	44	(2015,11,8,20,30,0)	(2015,11,8,21,0,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,1),(28975,2),(28976,1),(28977,0)]
44	1	45	(2015,11,8,21,0,0)	(2015,11,8,21,30,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,1),(28975,2),(28976,1),(28977,0)]
45	2	46	(2015,11,8,21,30,0)	(2015,11,9,8,30,0)	[3,4,6,7,11,13,15,18,21,22,27,42]	
46	0	47	(2015,11,9,8,30,0)	(2015,11,9,9,0,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
47	1	48	(2015,11,9,9,0,0)	(2015,11,9,9,30,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
48	2	49	(2015,11,9,9,30,0)	(2015,11,9,11,30,0)	[1,2,5,8,11,16,21,25,28,30,33,39]	
49	0	50	(2015,11,9,11,30,0)	(2015,11,9,12,0,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
50	1	51	(2015,11,9,12,0,0)	(2015,11,9,12,30,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
51	2	52	(2015,11,9,12,30,0)	(2015,11,9,14,30,0)	[3,4,6,7,10,11,13,15,18,21,22,27]	
52	0	53	(2015,11,9,14,30,0)	(2015,11,9,15,0,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
53	1	54	(2015,11,9,15,0,0)	(2015,11,9,15,30,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
54	2	55	(2015,11,9,15,30,0)	(2015,11,9,17,30,0)	[1,2,4,8,12,14,16,17,20,25,31,34]	
55	0	56	(2015,11,9,17,30,0)	(2015,11,9,18,0,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
56	1	57	(2015,11,9,18,0,0)	(2015,11,9,18,30,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
57	2	58	(2015,11,9,18,30,0)	(2015,11,9,20,30,0)	[2,5,8,11,16,21,23,25,28,30,33,47]	
58	0	59	(2015,11,9,20,30,0)	(2015,11,9,21,0,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,1),(28975,2),(28976,1),(28977,0)]
59	1	60	(2015,11,9,21,0,0)	(2015,11,9,21,30,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,1),(28975,2),(28976,1),(28977,0)]
60	2	61	(2015,11,9,21,30,0)	(2015,11,10,8,30,0)	[3,4,6,7,10,11,13,15,18,21,22,27]	
61	0	62	(2015,11,10,8,30,0)	(2015,11,10,9,0,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
62	1	63	(2015,11,10,9,0,0)	(2015,11,10,9,30,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
63	2	64	(2015,11,10,9,30,0)	(2015,11,10,11,30,0)	[2,4,7,8,10,15,18,20,27,29,32,35]	
64	0	65	(2015,11,10,11,30,0)	(2015,11,10,12,0,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
65	1	66	(2015,11,10,12,0,0)	(2015,11,10,12,30,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
66	2	67	(2015,11,10,12,30,0)	(2015,11,10,14,30,0)	[1,3,6,12,14,17,19,22,24,26,31,40]	
67	0	68	(2015,11,10,14,30,0)	(2015,11,10,15,0,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
68	1	69	(2015,11,10,15,0,0)	(2015,11,10,15,30,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
69	2	70	(2015,11,10,15,30,0)	(2015,11,10,17,30,0)	[2,5,8,11,16,21,23,25,28,30,33,46]	
70	0	71	(2015,11,10,17,30,0)	(2015,11,10,18,0,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
71	1	72	(2015,11,10,18,0,0)	(2015,11,10,18,30,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
72	2	73	(2015,11,10,18,30,0)	(2015,11,10,20,30,0)	[1,2,4,8,12,14,16,17,20,25,31,34]	
73	0	74	(2015,11,10,20,30,0)	(2015,11,10,21,0,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,1),(28975,2),(28976,1),(28977,0)]
74	1	75	(2015,11,10,21,0,0)	(2015,11,10,21,30,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,1),(28975,2),(28976,1),(28977,0)]
75	2	76	(2015,11,10,21,30,0)	(2015,11,11,8,30,0)	[3,4,6,7,10,11,13,15,18,22,27,45]	
76	0	77	(2015,11,11,8,30,0)	(2015,11,11,9,0,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
77	1	78	(2015,11,11,9,0,0)	(2015,11,11,9,30,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
78	2	79	(2015,11,11,9,30,0)	(2015,11,11,9,55,0)	[4,5,11,13,14,19,22,25,26,29,33,35]	
79	0	80	(2015,11,11,9,55,0)	(2015,11,11,10,0,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
80	1	81	(2015,11,11,10,0,0)	(2015,11,11,10,30,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
81	2	82	(2015,11,11,10,30,0)	(2015,11,11,10,55,0)	[1,3,6,12,14,17,19,22,24,26,31,35]	
82	0	83	(2015,11,11,10,55,0)	(2015,11,11,11,0,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
83	1	84	(2015,11,11,11,0,0)	(2015,11,11,11,30,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
84	2	85	(2015,11,11,11,30,0)	(2015,11,11,11,55,0)	[1,2,4,8,12,14,16,17,20,25,34,46]	
85	0	86	(2015,11,11,11,55,0)	(2015,11,11,12,0,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
86	1	87	(2015,11,11,12,0,0)	(2015,11,11,12,30,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
87	2	88	(2015,11,11,12,30,0)	(2015,11,11,13,30,0)	[6,11,12,13,15,17,19,21,24,26,34,37]	
88	0	89	(2015,11,11,13,30,0)	(2015,11,11,14,0,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,1),(28975,2),(28976,1),(28977,0)]
89	1	90	(2015,11,11,14,0,0)	(2015,11,11,14,30,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,1),(28975,2),(28976,1),(28977,0)]
90	2	91	(2015,11,11,14,30,0)	(2015,11,11,14,55,0)	[2,4,8,10,15,18,20,27,29,32,35,43]	
91	0	92	(2015,11,11,14,55,0)	(2015,11,11,15,0,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
92	1	93	(2015,11,11,15,0,0)	(2015,11,11,15,30,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
93	2	94	(2015,11,11,15,30,0)	(2015,11,11,15,55,0)	[3,4,6,7,10,11,13,15,18,21,22,27]	
94	0	95	(2015,11,11,15,55,0)	(2015,11,11,16,0,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
95	1	96	(2015,11,11,16,0,0)	(2015,11,11,16,30,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
96	2	97	(2015,11,11,16,30,0)	(2015,11,11,16,55,0)	[1,4,8,12,14,16,17,20,25,31,34,42]	
97	0	98	(2015,11,11,16,55,0)	(2015,11,11,17,0,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
98	1	99	(2015,11,11,17,0,0)	(2015,11,11,17,30,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
99	2	100	(2015,11,11,17,30,0)	(2015,11,11,17,55,0)	[3,4,6,7,10,11,13,15,18,21,22,27]	
100	0	101	(2015,11,11,17,55,0)	(2015,11,11,18,0,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,1),(28975,2),(28976,1),(28977,0)]
101	1	102	(2015,11,11,18,0,0)	(2015,11,11,18,30,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,1),(28975,2),(28976,1),(28977,0)]
102	2	103	(2015,11,11,18,30,0)	(2015,11,11,19,30,0)	[1,2,5,8,11,16,21,23,25,28,30,33]	
103	0	104	(2015,11,11,19,30,0)	(2015,11,11,20,0,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,1),(28975,2),(28976,1),(28977,0)]
104	1	105	(2015,11,11,20,0,0)	(2015,11,11,20,30,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,1),(28975,2),(28976,1),(28977,0)]
105	2	106	(2015,11,11,20,30,0)	(2015,11,11,20,55,0)	[2,4,8,10,15,18,20,27,29,32,35,41]	
106	0	107	(2015,11,11,20,55,0)	(2015,11,11,21,0,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
107	1	108	(2015,11,11,21,0,0)	(2015,11,11,21,30,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
108	2	109	(2015,11,11,21,30,0)	(2015,11,11,21,55,0)	[6,11,12,13,15,17,19,21,24,26,31,34]	
109	0	110	(2015,11,11,21,55,0)	(2015,11,11,22,0,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
110	1	111	(2015,11,11,22,0,0)	(2015,11,11,22,30,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
111	2	112	(2015,11,11,22,30,0)	(2015,11,12,8,30,0)	[3,4,6,7,10,11,13,15,18,21,22,27]	
112	0	113	(2015,11,12,8,30,0)	(2015,11,12,9,0,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
113	1	114	(2015,11,12,9,0,0)	(2015,11,12,9,30,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
114	2	115	(2015,11,12,9,30,0)	(2015,11,12,11,30,0)	[1,5,8,11,16,21,23,25,28,30,33,44]	
115	0	116	(2015,11,12,11,30,0)	(2015,11,12,12,0,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
116	1	117	(2015,11,12,12,0,0)	(2015,11,12,12,30,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
117	2	118	(2015,11,12,12,30,0)	(2015,11,12,14,30,0)	[1,3,6,9,12,14,17,19,22,24,26,31]	
118	0	119	(2015,11,12,14,30,0)	(2015,11,12,15,0,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
119	1	120	(2015,11,12,15,0,0)	(2015,11,12,15,30,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,2),(28975,1),(28976,0),(28977,1)]
120	2	121	(2015,11,12,15,30,0)	(2015,11,12,17,30,0)	[2,7,8,10,15,18,20,27,29,32,35,47]	
121	0	122	(2015,11,12,17,30,0)	(2015,11,12,18,0,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
122	1	123	(2015,11,12,18,0,0)	(2015,11,12,18,30,0)		[(28946,1),(28947,1),(28948,6),(28949,6),(28950,6),(28951,3),(28952,3),(28953,0),(28975,3),(28976,1),(28977,0)]
123	2	124	(2015,11,12,18,30,0)	(2015,11,12,20,30,0)	[3,4,6,7,10,11,13,15,18,21,22,27]	
124	0	125	(2015,11,12,20,30,0)	(2015,11,12,21,0,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,1),(28975,2),(28976,1),(28977,0)]
125	1	126	(2015,11,12,21,0,0)	(2015,11,12,21,30,0)		[(28946,3),(28947,0),(28948,6),(28949,6),(28950,6),(28951,2),(28952,3),(28953,1),(28975,2),(28976,1),(28977,0)]
126	2	0	(2015,11,12,21,30,0)	(2015,11,12,23,59,59)	[2,4,8,12,14,16,17,20,25,34,38,41]	
