worldLevel	wave	startDate	endDate	itemData	specialItemPreview
2	11	(2015,8,29,22,30,0)	(2015,8,29,23,30,0)	(1,4,6,7)	(1,2,3,5,6,7)
2	12	(2015,8,30,10,30,0)	(2015,8,30,13,30,0)	(1,4,5,8)	(1,2,3,5,6,7)
2	13	(2015,8,30,13,30,0)	(2015,8,30,16,30,0)	(1,3,9,8)	(1,2,3,5,6,7)
2	14	(2015,8,30,16,30,0)	(2015,8,30,18,30,0)	(2,4,9,8)	(1,2,3,5,6,7)
2	15	(2015,8,30,18,30,0)	(2015,8,30,19,00,0)	(2,3,9,8)	(1,2,3,5,6,7)
2	16	(2015,8,30,19,00,0)	(2015,8,30,19,30,0)	(1,3,5,8)	(1,2,3,5,6,7)
2	17	(2015,8,30,19,30,0)	(2015,8,30,19,50,0)	(1,3,5,7)	(1,2,3,5,6,7)
2	18	(2015,8,30,19,50,0)	(2015,8,30,20,30,0)	(2,3,5,8)	(1,2,3,5,6,7)
2	19	(2015,8,30,20,30,0)	(2015,8,30,21,00,0)	(1,4,5,7)	(1,2,3,5,6,7)
2	20	(2015,8,30,21,00,0)	(2015,8,30,22,00,0)	(1,4,9,8)	(1,2,3,5,6,7)
2	21	(2015,8,30,22,00,0)	(2015,8,30,22,30,0)	(2,3,9,7)	(1,2,3,5,6,7)
2	22	(2015,8,30,22,30,0)	(2015,8,30,23,30,0)	(1,3,5,8)	(1,2,3,5,6,7)
2	23	(2015,8,31,10,30,0)	(2015,8,31,13,30,0)	(1,4,9,7)	(1,2,3,5,6,7)
2	24	(2015,8,31,13,30,0)	(2015,8,31,16,30,0)	(1,4,5,8)	(1,2,3,5,6,7)
2	25	(2015,8,31,16,30,0)	(2015,8,31,18,30,0)	(1,4,5,8)	(1,2,3,5,6,7)
2	26	(2015,8,31,18,30,0)	(2015,8,31,19,00,0)	(1,4,9,7)	(1,2,3,5,6,7)
2	27	(2015,8,31,19,00,0)	(2015,8,31,19,30,0)	(1,3,5,8)	(1,2,3,5,6,7)
2	28	(2015,8,31,19,30,0)	(2015,8,31,19,50,0)	(2,4,5,8)	(1,2,3,5,6,7)
2	29	(2015,8,31,19,50,0)	(2015,8,31,20,30,0)	(1,4,9,8)	(1,2,3,5,6,7)
2	30	(2015,8,31,20,30,0)	(2015,8,31,21,00,0)	(2,3,5,7)	(1,2,3,5,6,7)
2	31	(2015,8,31,21,00,0)	(2015,8,31,22,00,0)	(2,3,5,7)	(1,2,3,5,6,7)
2	32	(2015,8,31,22,00,0)	(2015,8,31,22,30,0)	(1,3,6,7)	(1,2,3,5,6,7)
2	33	(2015,8,31,22,30,0)	(2015,8,31,23,30,0)	(2,4,6,7)	(1,2,3,5,6,7)
2	34	(2015,9,1,10,30,0)	(2015,9,1,11,30,0)	(1,3,9,7)	(1,2,3,5,6,7)
2	35	(2015,9,1,11,30,0)	(2015,9,1,12,30,0)	(1,3,5,7)	(1,2,3,5,6,7)
2	36	(2015,9,1,12,30,0)	(2015,9,1,13,30,0)	(2,4,5,8)	(1,2,3,5,6,7)
2	37	(2015,9,1,13,30,0)	(2015,9,1,14,30,0)	(1,3,5,8)	(1,2,3,5,6,7)
2	38	(2015,9,1,14,30,0)	(2015,9,1,15,30,0)	(2,4,5,7)	(1,2,3,5,6,7)
2	39	(2015,9,1,15,30,0)	(2015,9,1,16,30,0)	(2,3,5,7)	(1,2,3,5,6,7)
2	40	(2015,9,1,16,30,0)	(2015,9,1,17,30,0)	(1,3,6,7)	(1,2,3,5,6,7)
2	41	(2015,9,1,17,30,0)	(2015,9,1,18,00,0)	(2,4,5,7)	(1,2,3,5,6,7)
2	42	(2015,9,1,18,00,0)	(2015,9,1,18,30,0)	(1,4,5,7)	(1,2,3,5,6,7)
2	43	(2015,9,1,18,30,0)	(2015,9,1,19,00,0)	(1,3,6,7)	(1,2,3,5,6,7)
2	44	(2015,9,1,19,00,0)	(2015,9,1,19,30,0)	(1,4,5,7)	(1,2,3,5,6,7)
2	45	(2015,9,1,19,30,0)	(2015,9,1,19,50,0)	(1,4,5,8)	(1,2,3,5,6,7)
2	46	(2015,9,1,19,50,0)	(2015,9,1,20,30,0)	(2,4,5,8)	(1,2,3,5,6,7)
2	47	(2015,9,1,20,30,0)	(2015,9,1,21,00,0)	(1,3,5,7)	(1,2,3,5,6,7)
2	48	(2015,9,1,21,00,0)	(2015,9,1,22,00,0)	(1,3,9,8)	(1,2,3,5,6,7)
2	49	(2015,9,1,22,00,0)	(2015,9,1,22,30,0)	(2,4,5,7)	(1,2,3,5,6,7)
2	50	(2015,9,1,22,30,0)	(2015,9,1,23,30,0)	(1,4,9,7)	(1,2,3,5,6,7)
2	51	(2015,9,2,10,30,0)	(2015,9,2,11,30,0)	(1,3,6,7)	(1,2,3,5,6,7)
2	52	(2015,9,2,11,30,0)	(2015,9,2,12,30,0)	(2,4,5,7)	(1,2,3,5,6,7)
2	53	(2015,9,2,12,30,0)	(2015,9,2,13,30,0)	(2,3,9,7)	(1,2,3,5,6,7)
2	54	(2015,9,2,13,30,0)	(2015,9,2,14,30,0)	(1,3,5,8)	(1,2,3,5,6,7)
2	55	(2015,9,2,14,30,0)	(2015,9,2,15,30,0)	(2,4,5,7)	(1,2,3,5,6,7)
2	56	(2015,9,2,15,30,0)	(2015,9,2,16,30,0)	(2,4,6,7)	(1,2,3,5,6,7)
2	57	(2015,9,2,16,30,0)	(2015,9,2,17,30,0)	(2,4,6,8)	(1,2,3,5,6,7)
2	58	(2015,9,2,17,30,0)	(2015,9,2,18,00,0)	(2,4,9,8)	(1,2,3,5,6,7)
2	59	(2015,9,2,18,00,0)	(2015,9,2,18,30,0)	(2,3,9,7)	(1,2,3,5,6,7)
2	60	(2015,9,2,18,30,0)	(2015,9,2,19,00,0)	(2,4,5,8)	(1,2,3,5,6,7)
2	61	(2015,9,2,19,00,0)	(2015,9,2,19,30,0)	(2,3,6,7)	(1,2,3,5,6,7)
2	62	(2015,9,2,19,30,0)	(2015,9,2,19,50,0)	(2,4,5,8)	(1,2,3,5,6,7)
2	63	(2015,9,2,19,50,0)	(2015,9,2,20,30,0)	(1,4,9,8)	(1,2,3,5,6,7)
2	64	(2015,9,2,20,30,0)	(2015,9,2,21,00,0)	(1,4,5,8)	(1,2,3,5,6,7)
2	65	(2015,9,2,21,00,0)	(2015,9,2,22,00,0)	(1,3,5,8)	(1,2,3,5,6,7)
2	66	(2015,9,2,22,00,0)	(2015,9,2,22,30,0)	(2,3,5,7)	(1,2,3,5,6,7)
2	67	(2015,9,2,22,30,0)	(2015,9,2,23,30,0)	(2,4,5,8)	(1,2,3,5,6,7)
2	68	(2015,9,3,10,30,0)	(2015,9,3,13,30,0)	(1,4,6,7)	(1,2,3,5,6,7)
2	69	(2015,9,3,13,30,0)	(2015,9,3,16,30,0)	(2,3,6,7)	(1,2,3,5,6,7)
2	70	(2015,9,3,16,30,0)	(2015,9,3,18,30,0)	(2,3,9,8)	(1,2,3,5,6,7)
2	71	(2015,9,3,18,30,0)	(2015,9,3,19,00,0)	(2,3,9,7)	(1,2,3,5,6,7)
2	72	(2015,9,3,19,00,0)	(2015,9,3,19,30,0)	(1,4,5,8)	(1,2,3,5,6,7)
2	73	(2015,9,3,19,30,0)	(2015,9,3,19,50,0)	(2,4,6,7)	(1,2,3,5,6,7)
2	74	(2015,9,3,19,50,0)	(2015,9,3,20,30,0)	(1,3,5,7)	(1,2,3,5,6,7)
2	75	(2015,9,3,20,30,0)	(2015,9,3,21,00,0)	(2,4,5,7)	(1,2,3,5,6,7)
2	76	(2015,9,3,21,00,0)	(2015,9,3,22,00,0)	(1,3,5,7)	(1,2,3,5,6,7)
2	77	(2015,9,3,22,00,0)	(2015,9,3,22,30,0)	(2,3,5,7)	(1,2,3,5,6,7)
2	78	(2015,9,3,22,30,0)	(2015,9,3,23,30,0)	(1,3,6,8)	(1,2,3,5,6,7)
2	79	(2015,9,4,10,30,0)	(2015,9,4,13,30,0)	(1,3,6,7)	(1,2,3,5,6,7)
2	80	(2015,9,4,13,30,0)	(2015,9,4,16,30,0)	(2,4,9,7)	(1,2,3,5,6,7)
2	81	(2015,9,4,16,30,0)	(2015,9,4,18,30,0)	(2,3,9,7)	(1,2,3,5,6,7)
2	82	(2015,9,4,18,30,0)	(2015,9,4,19,00,0)	(1,4,6,8)	(1,2,3,5,6,7)
2	83	(2015,9,4,19,00,0)	(2015,9,4,19,30,0)	(1,3,6,8)	(1,2,3,5,6,7)
2	84	(2015,9,4,19,30,0)	(2015,9,4,19,50,0)	(2,3,9,8)	(1,2,3,5,6,7)
2	85	(2015,9,4,19,50,0)	(2015,9,4,20,30,0)	(1,3,5,8)	(1,2,3,5,6,7)
2	86	(2015,9,4,20,30,0)	(2015,9,4,21,00,0)	(2,4,9,8)	(1,2,3,5,6,7)
2	87	(2015,9,4,21,00,0)	(2015,9,4,22,00,0)	(2,4,6,8)	(1,2,3,5,6,7)
2	88	(2015,9,4,22,00,0)	(2015,9,4,22,30,0)	(2,4,9,8)	(1,2,3,5,6,7)
2	89	(2015,9,4,22,30,0)	(2015,9,4,23,30,0)	(1,4,9,8)	(1,2,3,5,6,7)
3	1	(2015,8,29,10,30,0)	(2015,8,29,13,30,0)	(1,3,5,8)	(1,2,3,5,6,7)
3	2	(2015,8,29,13,30,0)	(2015,8,29,16,30,0)	(1,4,6,8)	(1,2,3,5,6,7)
3	3	(2015,8,29,16,30,0)	(2015,8,29,18,30,0)	(2,4,9,7)	(1,2,3,5,6,7)
3	4	(2015,8,29,18,30,0)	(2015,8,29,19,00,0)	(1,3,6,7)	(1,2,3,5,6,7)
3	5	(2015,8,29,19,00,0)	(2015,8,29,19,30,0)	(1,3,6,7)	(1,2,3,5,6,7)
3	6	(2015,8,29,19,30,0)	(2015,8,29,19,50,0)	(2,4,9,8)	(1,2,3,5,6,7)
3	7	(2015,8,29,19,50,0)	(2015,8,29,20,30,0)	(1,3,5,7)	(1,2,3,5,6,7)
3	8	(2015,8,29,20,30,0)	(2015,8,29,21,00,0)	(1,3,9,8)	(1,2,3,5,6,7)
3	9	(2015,8,29,21,00,0)	(2015,8,29,22,00,0)	(2,3,5,8)	(1,2,3,5,6,7)
3	10	(2015,8,29,22,00,0)	(2015,8,29,22,30,0)	(2,3,5,7)	(1,2,3,5,6,7)
3	11	(2015,8,29,22,30,0)	(2015,8,29,23,30,0)	(1,4,6,7)	(1,2,3,5,6,7)
3	12	(2015,8,30,10,30,0)	(2015,8,30,13,30,0)	(1,4,5,8)	(1,2,3,5,6,7)
3	13	(2015,8,30,13,30,0)	(2015,8,30,16,30,0)	(1,3,9,8)	(1,2,3,5,6,7)
3	14	(2015,8,30,16,30,0)	(2015,8,30,18,30,0)	(2,4,9,8)	(1,2,3,5,6,7)
3	15	(2015,8,30,18,30,0)	(2015,8,30,19,00,0)	(2,3,9,8)	(1,2,3,5,6,7)
3	16	(2015,8,30,19,00,0)	(2015,8,30,19,30,0)	(1,3,5,8)	(1,2,3,5,6,7)
3	17	(2015,8,30,19,30,0)	(2015,8,30,19,50,0)	(1,3,5,7)	(1,2,3,5,6,7)
3	18	(2015,8,30,19,50,0)	(2015,8,30,20,30,0)	(2,3,5,8)	(1,2,3,5,6,7)
3	19	(2015,8,30,20,30,0)	(2015,8,30,21,00,0)	(1,4,5,7)	(1,2,3,5,6,7)
3	20	(2015,8,30,21,00,0)	(2015,8,30,22,00,0)	(1,4,9,8)	(1,2,3,5,6,7)
3	21	(2015,8,30,22,00,0)	(2015,8,30,22,30,0)	(2,3,9,7)	(1,2,3,5,6,7)
3	22	(2015,8,30,22,30,0)	(2015,8,30,23,30,0)	(1,3,5,8)	(1,2,3,5,6,7)
3	23	(2015,8,31,10,30,0)	(2015,8,31,13,30,0)	(1,4,9,7)	(1,2,3,5,6,7)
3	24	(2015,8,31,13,30,0)	(2015,8,31,16,30,0)	(1,4,5,8)	(1,2,3,5,6,7)
3	25	(2015,8,31,16,30,0)	(2015,8,31,18,30,0)	(1,4,5,8)	(1,2,3,5,6,7)
3	26	(2015,8,31,18,30,0)	(2015,8,31,19,00,0)	(1,4,9,7)	(1,2,3,5,6,7)
3	27	(2015,8,31,19,00,0)	(2015,8,31,19,30,0)	(1,3,5,8)	(1,2,3,5,6,7)
3	28	(2015,8,31,19,30,0)	(2015,8,31,19,50,0)	(2,4,5,8)	(1,2,3,5,6,7)
3	29	(2015,8,31,19,50,0)	(2015,8,31,20,30,0)	(1,4,9,8)	(1,2,3,5,6,7)
3	30	(2015,8,31,20,30,0)	(2015,8,31,21,00,0)	(2,3,5,7)	(1,2,3,5,6,7)
3	31	(2015,8,31,21,00,0)	(2015,8,31,22,00,0)	(2,3,5,7)	(1,2,3,5,6,7)
3	32	(2015,8,31,22,00,0)	(2015,8,31,22,30,0)	(1,3,6,7)	(1,2,3,5,6,7)
3	33	(2015,8,31,22,30,0)	(2015,8,31,23,30,0)	(2,4,6,7)	(1,2,3,5,6,7)
3	34	(2015,9,1,10,30,0)	(2015,9,1,11,30,0)	(1,3,9,7)	(1,2,3,5,6,7)
3	35	(2015,9,1,11,30,0)	(2015,9,1,12,30,0)	(1,3,5,7)	(1,2,3,5,6,7)
3	36	(2015,9,1,12,30,0)	(2015,9,1,13,30,0)	(2,4,5,8)	(1,2,3,5,6,7)
3	37	(2015,9,1,13,30,0)	(2015,9,1,14,30,0)	(1,3,5,8)	(1,2,3,5,6,7)
3	38	(2015,9,1,14,30,0)	(2015,9,1,15,30,0)	(2,4,5,7)	(1,2,3,5,6,7)
3	39	(2015,9,1,15,30,0)	(2015,9,1,16,30,0)	(2,3,5,7)	(1,2,3,5,6,7)
3	40	(2015,9,1,16,30,0)	(2015,9,1,17,30,0)	(1,3,6,7)	(1,2,3,5,6,7)
3	41	(2015,9,1,17,30,0)	(2015,9,1,18,00,0)	(2,4,5,7)	(1,2,3,5,6,7)
3	42	(2015,9,1,18,00,0)	(2015,9,1,18,30,0)	(1,4,5,7)	(1,2,3,5,6,7)
3	43	(2015,9,1,18,30,0)	(2015,9,1,19,00,0)	(1,3,6,7)	(1,2,3,5,6,7)
3	44	(2015,9,1,19,00,0)	(2015,9,1,19,30,0)	(1,4,5,7)	(1,2,3,5,6,7)
3	45	(2015,9,1,19,30,0)	(2015,9,1,19,50,0)	(1,4,5,8)	(1,2,3,5,6,7)
3	46	(2015,9,1,19,50,0)	(2015,9,1,20,30,0)	(2,4,5,8)	(1,2,3,5,6,7)
3	47	(2015,9,1,20,30,0)	(2015,9,1,21,00,0)	(1,3,5,7)	(1,2,3,5,6,7)
3	48	(2015,9,1,21,00,0)	(2015,9,1,22,00,0)	(1,3,9,8)	(1,2,3,5,6,7)
3	49	(2015,9,1,22,00,0)	(2015,9,1,22,30,0)	(2,4,5,7)	(1,2,3,5,6,7)
3	50	(2015,9,1,22,30,0)	(2015,9,1,23,30,0)	(1,4,9,7)	(1,2,3,5,6,7)
3	51	(2015,9,2,10,30,0)	(2015,9,2,11,30,0)	(1,3,6,7)	(1,2,3,5,6,7)
3	52	(2015,9,2,11,30,0)	(2015,9,2,12,30,0)	(2,4,5,7)	(1,2,3,5,6,7)
3	53	(2015,9,2,12,30,0)	(2015,9,2,13,30,0)	(2,3,9,7)	(1,2,3,5,6,7)
3	54	(2015,9,2,13,30,0)	(2015,9,2,14,30,0)	(1,3,5,8)	(1,2,3,5,6,7)
3	55	(2015,9,2,14,30,0)	(2015,9,2,15,30,0)	(2,4,5,7)	(1,2,3,5,6,7)
3	56	(2015,9,2,15,30,0)	(2015,9,2,16,30,0)	(2,4,6,7)	(1,2,3,5,6,7)
3	57	(2015,9,2,16,30,0)	(2015,9,2,17,30,0)	(2,4,6,8)	(1,2,3,5,6,7)
3	58	(2015,9,2,17,30,0)	(2015,9,2,18,00,0)	(2,4,9,8)	(1,2,3,5,6,7)
3	59	(2015,9,2,18,00,0)	(2015,9,2,18,30,0)	(2,3,9,7)	(1,2,3,5,6,7)
3	60	(2015,9,2,18,30,0)	(2015,9,2,19,00,0)	(2,4,5,8)	(1,2,3,5,6,7)
3	61	(2015,9,2,19,00,0)	(2015,9,2,19,30,0)	(2,3,6,7)	(1,2,3,5,6,7)
