rank	region	boxDict
67	2	{26673:1}
68	2	{26673:1, 26665:1}
69	2	{26673:1}
70	2	{26673:1}
71	2	{26673:1}
72	2	{26673:1, 26665:1}
73	2	{26673:1}
74	2	{26673:1}
75	2	{26673:1, 26665:1}
76	2	{26673:1}
77	2	{26673:1, 26665:1}
78	2	{26673:1}
79	2	{26673:1}
80	2	{26673:1, 26665:1}
81	2	{26673:1}
82	2	{26673:1}
83	2	{26673:1, 26665:1}
84	2	{26673:1}
85	2	{26673:1}
86	2	{26673:1, 26665:1}
87	2	{26673:1}
88	2	{26673:1}
89	2	{26673:1, 26665:1}
90	2	{26673:1}
91	2	{26673:1}
92	2	{26673:1, 26665:1}
93	2	{26673:1}
94	2	{26673:1}
95	2	{26673:1}
96	2	{26673:1, 26665:1}
97	2	{26673:1}
98	2	{26673:1, 26665:1}
99	2	{26673:1}
100	2	{26673:1}
1	3	{26674:2, 26669:2, 26671:2, 26666:1}
2	3	{26674:2, 26669:2, 26671:1}
3	3	{26674:2, 26669:2, 26671:1}
4	3	{26674:2, 26669:2, 26671:1}
5	3	{26674:2, 26669:1, 26671:1, 26666:1}
6	3	{26674:2, 26669:1, 26671:1}
7	3	{26674:2, 26669:1, 26671:1}
8	3	{26674:2, 26669:1, 26671:1, 26666:1}
9	3	{26674:2, 26669:1, 26671:1}
10	3	{26674:2, 26669:1, 26671:1}
11	3	{26674:2, 26669:1, 26666:1}
12	3	{26674:2, 26669:1}
13	3	{26674:2, 26669:1}
14	3	{26674:2, 26669:1, 26666:1}
15	3	{26674:2, 26669:1}
16	3	{26674:2, 26669:1}
17	3	{26674:2, 26669:1, 26666:1}
18	3	{26674:2, 26669:1}
19	3	{26674:2, 26669:1}
20	3	{26674:2, 26669:1}
21	3	{26674:1, 26669:1, 26666:1}
22	3	{26674:1, 26669:1}
23	3	{26674:1, 26669:1}
24	3	{26674:1, 26669:1}
25	3	{26674:1, 26669:1, 26666:1}
26	3	{26674:1, 26669:1}
27	3	{26674:1, 26669:1}
28	3	{26674:1, 26669:1}
29	3	{26674:1, 26669:1}
30	3	{26674:1, 26669:1, 26666:1}
31	3	{26674:1, 26669:1}
32	3	{26674:1, 26669:1}
33	3	{26674:1, 26669:1, 26666:1}
34	3	{26674:1, 26669:1}
35	3	{26674:1, 26669:1}
36	3	{26674:1, 26669:1}
37	3	{26674:1, 26669:1, 26666:1}
38	3	{26674:1, 26669:1}
39	3	{26674:1, 26669:1}
40	3	{26674:1, 26669:1, 26666:1}
41	3	{26674:1, 26669:1}
42	3	{26674:1, 26669:1}
43	3	{26674:1, 26669:1}
44	3	{26674:1, 26669:1, 26666:1}
45	3	{26674:1, 26669:1}
46	3	{26674:1, 26669:1}
47	3	{26674:1, 26669:1, 26666:1}
48	3	{26674:1, 26669:1}
49	3	{26674:1, 26669:1}
50	3	{26674:1, 26669:1, 26666:1}
51	3	{26674:1, 26666:1}
52	3	{26674:1}
53	3	{26674:1}
54	3	{26674:1}
55	3	{26674:1, 26666:1}
56	3	{26674:1}
57	3	{26674:1}
58	3	{26674:1}
59	3	{26674:1, 26666:1}
60	3	{26674:1}
61	3	{26674:1}
62	3	{26674:1}
63	3	{26674:1, 26666:1}
64	3	{26674:1}
65	3	{26674:1, 26666:1}
66	3	{26674:1}
67	3	{26674:1}
68	3	{26674:1, 26666:1}
69	3	{26674:1}
70	3	{26674:1, 26666:1}
71	3	{26674:1}
72	3	{26674:1}
73	3	{26674:1, 26666:1}
74	3	{26674:1}
75	3	{26674:1}
76	3	{26674:1, 26666:1}
77	3	{26674:1}
78	3	{26674:1, 26666:1}
79	3	{26674:1}
80	3	{26674:1, 26666:1}
81	3	{26674:1}
82	3	{26674:1, 26666:1}
83	3	{26674:1}
84	3	{26674:1}
85	3	{26674:1}
86	3	{26674:1}
87	3	{26674:1}
88	3	{26674:1, 26666:1}
89	3	{26674:1}
90	3	{26674:1}
91	3	{26674:1, 26666:1}
92	3	{26674:1}
93	3	{26674:1}
94	3	{26674:1}
95	3	{26674:1}
96	3	{26674:1, 26666:1}
97	3	{26674:1}
98	3	{26674:1}
99	3	{26674:1}
100	3	{26674:1}
1	4	{26675:2, 26670:2, 26671:2, 26666:1}
2	4	{26675:2, 26670:2, 26671:1}
3	4	{26675:2, 26670:2, 26671:1}
4	4	{26675:2, 26670:2, 26671:1, 26666:1}
5	4	{26675:2, 26670:1, 26671:1}
6	4	{26675:2, 26670:1, 26671:1}
7	4	{26675:2, 26670:1, 26671:1}
8	4	{26675:2, 26670:1, 26671:1, 26666:1}
9	4	{26675:2, 26670:1, 26671:1}
10	4	{26675:2, 26670:1, 26671:1}
11	4	{26675:2, 26670:1, 26666:1}
12	4	{26675:2, 26670:1}
13	4	{26675:2, 26670:1}
14	4	{26675:2, 26670:1, 26666:1}
15	4	{26675:2, 26670:1}
16	4	{26675:2, 26670:1}
17	4	{26675:2, 26670:1, 26666:1}
18	4	{26675:2, 26670:1}
19	4	{26675:2, 26670:1}
20	4	{26675:2, 26670:1, 26666:1}
21	4	{26675:1, 26670:1}
22	4	{26675:1, 26670:1}
23	4	{26675:1, 26670:1, 26666:1}
24	4	{26675:1, 26670:1}
25	4	{26675:1, 26670:1}
26	4	{26675:1, 26670:1, 26666:1}
27	4	{26675:1, 26670:1}
28	4	{26675:1, 26670:1, 26666:1}
29	4	{26675:1, 26670:1}
30	4	{26675:1, 26670:1}
31	4	{26675:1, 26670:1, 26666:1}
32	4	{26675:1, 26670:1}
33	4	{26675:1, 26670:1}
34	4	{26675:1, 26670:1, 26666:1}
35	4	{26675:1, 26670:1}
36	4	{26675:1, 26670:1}
37	4	{26675:1, 26670:1, 26666:1}
38	4	{26675:1, 26670:1}
39	4	{26675:1, 26670:1}
40	4	{26675:1, 26670:1, 26666:1}
41	4	{26675:1, 26670:1}
42	4	{26675:1, 26670:1}
43	4	{26675:1, 26670:1}
44	4	{26675:1, 26670:1, 26666:1}
45	4	{26675:1, 26670:1}
46	4	{26675:1, 26670:1}
47	4	{26675:1, 26670:1, 26666:1}
48	4	{26675:1, 26670:1}
49	4	{26675:1, 26670:1}
50	4	{26675:1, 26670:1, 26666:1}
51	4	{26675:1}
52	4	{26675:1}
53	4	{26675:1}
54	4	{26675:1}
55	4	{26675:1, 26666:1}
56	4	{26675:1}
57	4	{26675:1}
58	4	{26675:1}
59	4	{26675:1, 26666:1}
60	4	{26675:1}
61	4	{26675:1}
62	4	{26675:1, 26666:1}
63	4	{26675:1}
64	4	{26675:1, 26666:1}
65	4	{26675:1}
66	4	{26675:1}
67	4	{26675:1}
68	4	{26675:1, 26666:1}
69	4	{26675:1}
70	4	{26675:1}
71	4	{26675:1}
72	4	{26675:1}
73	4	{26675:1, 26666:1}
74	4	{26675:1}
75	4	{26675:1}
76	4	{26675:1}
77	4	{26675:1}
78	4	{26675:1, 26666:1}
79	4	{26675:1}
80	4	{26675:1}
81	4	{26675:1, 26666:1}
82	4	{26675:1}
83	4	{26675:1}
84	4	{26675:1, 26666:1}
85	4	{26675:1}
86	4	{26675:1}
87	4	{26675:1, 26666:1}
88	4	{26675:1}
89	4	{26675:1}
90	4	{26675:1, 26666:1}
91	4	{26675:1}
92	4	{26675:1}
93	4	{26675:1}
94	4	{26675:1, 26666:1}
95	4	{26675:1}
96	4	{26675:1}
97	4	{26675:1}
98	4	{26675:1, 26666:1}
99	4	{26675:1}
100	4	{26675:1}
1	5	{26675:2, 26670:2, 26671:2, 26666:1}
2	5	{26675:2, 26670:2, 26671:1}
3	5	{26675:2, 26670:2, 26671:1}
4	5	{26675:2, 26670:2, 26671:1, 26666:1}
5	5	{26675:2, 26670:1, 26671:1}
6	5	{26675:2, 26670:1, 26671:1}
7	5	{26675:2, 26670:1, 26671:1}
8	5	{26675:2, 26670:1, 26671:1, 26666:1}
9	5	{26675:2, 26670:1, 26671:1}
10	5	{26675:2, 26670:1, 26671:1}
11	5	{26675:2, 26670:1, 26666:1}
12	5	{26675:2, 26670:1}
13	5	{26675:2, 26670:1}
14	5	{26675:2, 26670:1, 26666:1}
15	5	{26675:2, 26670:1}
16	5	{26675:2, 26670:1}
17	5	{26675:2, 26670:1, 26666:1}
18	5	{26675:2, 26670:1}
19	5	{26675:2, 26670:1}
20	5	{26675:2, 26670:1, 26666:1}
21	5	{26675:1, 26670:1}
22	5	{26675:1, 26670:1}
23	5	{26675:1, 26670:1, 26666:1}
24	5	{26675:1, 26670:1}
25	5	{26675:1, 26670:1}
26	5	{26675:1, 26670:1, 26666:1}
27	5	{26675:1, 26670:1}
28	5	{26675:1, 26670:1, 26666:1}
29	5	{26675:1, 26670:1}
30	5	{26675:1, 26670:1}
31	5	{26675:1, 26670:1, 26666:1}
32	5	{26675:1, 26670:1}
33	5	{26675:1, 26670:1}
34	5	{26675:1, 26670:1, 26666:1}
35	5	{26675:1, 26670:1}
36	5	{26675:1, 26670:1}
37	5	{26675:1, 26670:1, 26666:1}
38	5	{26675:1, 26670:1}
39	5	{26675:1, 26670:1}
40	5	{26675:1, 26670:1, 26666:1}
41	5	{26675:1, 26670:1}
42	5	{26675:1, 26670:1}
43	5	{26675:1, 26670:1}
44	5	{26675:1, 26670:1, 26666:1}
45	5	{26675:1, 26670:1}
46	5	{26675:1, 26670:1}
47	5	{26675:1, 26670:1, 26666:1}
48	5	{26675:1, 26670:1}
49	5	{26675:1, 26670:1}
50	5	{26675:1, 26670:1, 26666:1}
51	5	{26675:1}
52	5	{26675:1}
53	5	{26675:1}
54	5	{26675:1}
55	5	{26675:1, 26666:1}
56	5	{26675:1}
57	5	{26675:1}
58	5	{26675:1}
59	5	{26675:1, 26666:1}
60	5	{26675:1}
61	5	{26675:1}
62	5	{26675:1, 26666:1}
63	5	{26675:1}
64	5	{26675:1, 26666:1}
65	5	{26675:1}
66	5	{26675:1}
67	5	{26675:1}
68	5	{26675:1, 26666:1}
69	5	{26675:1}
70	5	{26675:1}
71	5	{26675:1}
72	5	{26675:1}
73	5	{26675:1, 26666:1}
74	5	{26675:1}
75	5	{26675:1}
76	5	{26675:1}
77	5	{26675:1}
78	5	{26675:1, 26666:1}
79	5	{26675:1}
80	5	{26675:1}
81	5	{26675:1, 26666:1}
82	5	{26675:1}
83	5	{26675:1}
84	5	{26675:1, 26666:1}
85	5	{26675:1}
86	5	{26675:1}
87	5	{26675:1, 26666:1}
88	5	{26675:1}
89	5	{26675:1}
90	5	{26675:1, 26666:1}
91	5	{26675:1}
92	5	{26675:1}
93	5	{26675:1}
94	5	{26675:1, 26666:1}
95	5	{26675:1}
96	5	{26675:1}
97	5	{26675:1}
98	5	{26675:1, 26666:1}
99	5	{26675:1}
100	5	{26675:1}
1	6	{26675:2, 26670:2, 26671:2, 26666:1}
2	6	{26675:2, 26670:2, 26671:1}
3	6	{26675:2, 26670:2, 26671:1}
4	6	{26675:2, 26670:2, 26671:1, 26666:1}
5	6	{26675:2, 26670:1, 26671:1}
6	6	{26675:2, 26670:1, 26671:1}
7	6	{26675:2, 26670:1, 26671:1}
8	6	{26675:2, 26670:1, 26671:1, 26666:1}
9	6	{26675:2, 26670:1, 26671:1}
10	6	{26675:2, 26670:1, 26671:1}
11	6	{26675:2, 26670:1, 26666:1}
12	6	{26675:2, 26670:1}
13	6	{26675:2, 26670:1}
14	6	{26675:2, 26670:1, 26666:1}
15	6	{26675:2, 26670:1}
16	6	{26675:2, 26670:1}
17	6	{26675:2, 26670:1, 26666:1}
18	6	{26675:2, 26670:1}
19	6	{26675:2, 26670:1}
20	6	{26675:2, 26670:1, 26666:1}
21	6	{26675:1, 26670:1}
22	6	{26675:1, 26670:1}
23	6	{26675:1, 26670:1, 26666:1}
24	6	{26675:1, 26670:1}
25	6	{26675:1, 26670:1}
26	6	{26675:1, 26670:1, 26666:1}
27	6	{26675:1, 26670:1}
28	6	{26675:1, 26670:1, 26666:1}
29	6	{26675:1, 26670:1}
30	6	{26675:1, 26670:1}
31	6	{26675:1, 26670:1, 26666:1}
32	6	{26675:1, 26670:1}
33	6	{26675:1, 26670:1}
34	6	{26675:1, 26670:1, 26666:1}
35	6	{26675:1, 26670:1}
36	6	{26675:1, 26670:1}
37	6	{26675:1, 26670:1, 26666:1}
38	6	{26675:1, 26670:1}
39	6	{26675:1, 26670:1}
40	6	{26675:1, 26670:1, 26666:1}
41	6	{26675:1, 26670:1}
42	6	{26675:1, 26670:1}
43	6	{26675:1, 26670:1}
44	6	{26675:1, 26670:1, 26666:1}
45	6	{26675:1, 26670:1}
46	6	{26675:1, 26670:1}
47	6	{26675:1, 26670:1, 26666:1}
48	6	{26675:1, 26670:1}
49	6	{26675:1, 26670:1}
50	6	{26675:1, 26670:1, 26666:1}
51	6	{26675:1}
52	6	{26675:1}
53	6	{26675:1}
54	6	{26675:1}
55	6	{26675:1, 26666:1}
56	6	{26675:1}
57	6	{26675:1}
58	6	{26675:1}
59	6	{26675:1, 26666:1}
60	6	{26675:1}
61	6	{26675:1}
62	6	{26675:1, 26666:1}
63	6	{26675:1}
64	6	{26675:1, 26666:1}
65	6	{26675:1}
66	6	{26675:1}
67	6	{26675:1}
68	6	{26675:1, 26666:1}
69	6	{26675:1}
70	6	{26675:1}
71	6	{26675:1}
72	6	{26675:1}
73	6	{26675:1, 26666:1}
74	6	{26675:1}
75	6	{26675:1}
76	6	{26675:1}
77	6	{26675:1}
78	6	{26675:1, 26666:1}
79	6	{26675:1}
80	6	{26675:1}
81	6	{26675:1, 26666:1}
82	6	{26675:1}
83	6	{26675:1}
84	6	{26675:1, 26666:1}
85	6	{26675:1}
86	6	{26675:1}
87	6	{26675:1, 26666:1}
88	6	{26675:1}
89	6	{26675:1}
90	6	{26675:1, 26666:1}
91	6	{26675:1}
92	6	{26675:1}
93	6	{26675:1}
94	6	{26675:1, 26666:1}
95	6	{26675:1}
96	6	{26675:1}
97	6	{26675:1}
98	6	{26675:1, 26666:1}
99	6	{26675:1}
100	6	{26675:1}
