SceneId	PicName	MapNum
989	YWDB_ZQCCJ	6
990	YWDB_ZQCCJ	7
991	YWDB_ZQCCJ	8
992	YWDB_ZQCCJ	9
993	YWDB_ZQCCJ	10
994	YWDB_ZQCCJ	1
995	YWDB_ZQCCJ	2
996	YWDB_ZQCCJ	3
997	YWDB_ZQCCJ	4
998	YWDB_ZQCCJ	5
999	YWDB_ZQCCJ	6
1000	YWDB_ZQCCJ	7
1001	YWDB_ZQCCJ	8
1002	YWDB_ZQCCJ	9
1003	YWDB_ZQCCJ	10
1004	YWDB_ZQCCJ	1
1005	YWDB_ZQCCJ	2
1006	YWDB_ZQCCJ	3
1007	YWDB_ZQCCJ	4
1008	YWDB_ZQCCJ	5
1009	YWDB_ZQCCJ	6
1010	YWDB_ZQCCJ	7
1011	YWDB_ZQCCJ	8
1012	YWDB_ZQCCJ	9
1013	YWDB_ZQCCJ	10
1014	YWDB_ZQCCJ	1
1015	YWDB_ZQCCJ	2
1016	YWDB_ZQCCJ	3
1017	YWDB_ZQCCJ	4
1018	YWDB_ZQCCJ	5
1019	YWDB_ZQCCJ	6
1020	YWDB_ZQCCJ	7
1021	YWDB_ZQCCJ	8
1022	YWDB_ZQCCJ	9
1023	YWDB_ZQCCJ	10
