waveIndex	levelRangeId	levelRange	itemIndex	rateValue	isPrecious	rewardItem
3	1	[30,59]	12	3	1	(27618,1)
3	2	[60,99]	1	1500	0	(26144,10)
3	2	[60,99]	3	1200	0	(26144,15)
3	2	[60,99]	5	500	0	(26144,20)
3	2	[60,99]	7	300	0	(26144,25)
3	2	[60,99]	9	250	0	(26144,30)
3	2	[60,99]	11	100	0	(26144,50)
3	2	[60,99]	2	1500	0	(26447,5)
3	2	[60,99]	4	500	0	(26447,10)
3	2	[60,99]	6	500	0	(26448,5)
3	2	[60,99]	8	200	0	(26448,10)
3	2	[60,99]	10	40	0	(28353,1)
3	2	[60,99]	12	2	1	(27492,1)
3	3	[100,179]	1	1500	0	(27587,10)
3	3	[100,179]	3	1200	0	(27587,15)
3	3	[100,179]	5	600	0	(27587,20)
3	3	[100,179]	7	480	0	(27587,25)
3	3	[100,179]	9	240	0	(27587,30)
3	3	[100,179]	11	100	0	(27587,50)
3	3	[100,179]	2	1500	0	(26298,2)
3	3	[100,179]	4	600	0	(26298,4)
3	3	[100,179]	6	240	0	(26298,6)
3	3	[100,179]	8	180	0	(26298,8)
3	3	[100,179]	10	100	0	(26298,10)
3	3	[100,179]	12	5	1	(27492,1)
4	1	[30,59]	1	2100	0	(26344,10)
4	1	[30,59]	3	1500	0	(26344,15)
4	1	[30,59]	5	700	0	(26344,20)
4	1	[30,59]	7	300	0	(26344,25)
4	1	[30,59]	9	270	0	(26344,30)
4	1	[30,59]	11	150	0	(26344,50)
4	1	[30,59]	2	1500	0	(28267,1)
4	1	[30,59]	4	700	0	(26634,1)
4	1	[30,59]	6	700	0	(26634,1)
4	1	[30,59]	8	270	0	(28267,1)
4	1	[30,59]	10	20	0	(26608,1)
4	1	[30,59]	12	1	1	(27618,1)
4	2	[60,99]	1	1500	0	(26479,8)
4	2	[60,99]	3	1200	0	(26479,12)
4	2	[60,99]	5	600	0	(26479,16)
4	2	[60,99]	7	480	0	(26479,20)
4	2	[60,99]	9	240	0	(26479,24)
4	2	[60,99]	11	100	0	(26479,40)
4	2	[60,99]	2	1500	0	(26298,2)
4	2	[60,99]	4	600	0	(26298,4)
4	2	[60,99]	6	240	0	(26298,6)
4	2	[60,99]	8	180	0	(26298,8)
4	2	[60,99]	10	100	0	(26298,10)
4	2	[60,99]	12	5	1	(27492,1)
4	3	[100,179]	1	1200	0	(26677,5)
4	3	[100,179]	2	800	0	(26677,8)
4	3	[100,179]	4	500	0	(26677,10)
4	3	[100,179]	5	500	0	(26677,10)
4	3	[100,179]	7	250	0	(26677,12)
4	3	[100,179]	8	250	0	(26677,12)
4	3	[100,179]	10	100	0	(26677,15)
4	3	[100,179]	11	100	0	(26677,15)
4	3	[100,179]	3	100	0	(26676,1)
4	3	[100,179]	6	50	0	(26676,2)
4	3	[100,179]	9	20	0	(26676,4)
4	3	[100,179]	12	1	1	(27492,1)
5	1	[30,59]	1	1000	0	(25600,10)
5	1	[30,59]	3	500	0	(25600,15)
5	1	[30,59]	5	250	0	(25600,20)
5	1	[30,59]	7	120	0	(25600,25)
5	1	[30,59]	9	100	0	(25600,30)
5	1	[30,59]	11	60	0	(25600,50)
5	1	[30,59]	2	1000	0	(27566,2)
5	1	[30,59]	4	500	0	(27566,3)
5	1	[30,59]	6	250	0	(27566,4)
5	1	[30,59]	8	100	0	(27566,6)
5	1	[30,59]	10	80	0	(27566,8)
5	1	[30,59]	12	3	1	(27618,1)
5	2	[60,99]	1	1000	0	(27621,1)
5	2	[60,99]	3	1000	0	(27621,1)
5	2	[60,99]	5	500	0	(27622,1)
5	2	[60,99]	7	500	0	(27622,1)
5	2	[60,99]	9	240	0	(27623,1)
5	2	[60,99]	11	60	0	(27624,1)
5	2	[60,99]	2	1200	0	(26341,30)
5	2	[60,99]	4	800	0	(26341,50)
5	2	[60,99]	6	500	0	(26341,80)
5	2	[60,99]	8	360	0	(26341,100)
5	2	[60,99]	10	120	0	(26341,200)
5	2	[60,99]	12	3	1	(27492,1)
5	3	[100,179]	1	1000	0	(27621,1)
5	3	[100,179]	3	1000	0	(27621,1)
5	3	[100,179]	5	500	0	(27622,1)
5	3	[100,179]	7	500	0	(27622,1)
5	3	[100,179]	9	240	0	(27623,1)
5	3	[100,179]	11	60	0	(27624,1)
5	3	[100,179]	2	1200	0	(26341,30)
5	3	[100,179]	4	800	0	(26341,50)
5	3	[100,179]	6	500	0	(26341,80)
5	3	[100,179]	8	360	0	(26341,100)
5	3	[100,179]	10	120	0	(26341,200)
5	3	[100,179]	12	3	1	(27492,1)
