rank	rewardMoney	rewardRMB	rewardItem	rewardTitleId
64	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
65	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
66	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
67	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
68	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
69	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
70	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
71	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
72	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
73	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
74	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
75	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
76	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
77	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
78	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
79	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
80	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
81	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
82	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
83	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
84	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
85	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
86	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
87	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
88	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
89	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
90	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
91	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
92	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
93	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
94	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
95	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
96	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
97	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
98	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
99	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
100	0	0	[(26450,30),(25900,1),(25764,1),(27492,1),(27035,1)]	13
