brandType	brandColor	brandColor_Des	brandLevel	brandName	brandPic	canEquip	canShenJi	shenJiNeedItem	shenJiNeedBrandCnt	shenJiNeedBrand	canFenjie	fenJieNeedRMB	fenJieAddItem	fenJieAddBrand	tanlentLimit	attack_pt	attack_mt	maxhp_t	crit_t	critpress_t	parry_t	puncture_t	antibroken_t	notbroken_t	maxProCnt	transmitAddItem	transmitAddBrand
3	1	绿色	5	Lv5 暴击印记	yinjibaojilv	1	1	(29235,720)	0		1	0	(29235,905)		500	0	0	0	480	0	0	0	0	0	2	(29235,895)	
3	1	绿色	6	Lv6 暴击印记	yinjibaojilv	1	1	(29235,1000)	0		1	0	(29235,1625)		500	0	0	0	600	0	0	0	0	0	2	(29235,1615)	
3	1	绿色	7	Lv7 暴击印记	yinjibaojilv	1	1	(29235,1400)	0		1	0	(29235,2625)		500	0	0	0	720	0	0	0	0	0	2	(29235,2615)	
3	1	绿色	8	Lv8 暴击印记	yinjibaojilv	1	1	(29235,3000)	0		1	0	(29235,4025)		500	0	0	0	840	0	0	0	0	0	2	(29235,4015)	
3	1	绿色	9	Lv9 暴击印记	yinjibaojilv	1	1	(29235,5400)	0		1	0	(29235,7025)		500	0	0	0	1020	0	0	0	0	0	2	(29235,7015)	
3	1	绿色	10	Lv10 暴击印记	yinjibaojilv	1	0		0		1	0	(29235,12425)		500	0	0	0	1200	0	0	0	0	0	2	(29235,12415)	
4	1	绿色	1	Lv1 免暴印记	yinjimianbaolv	1	1	(29235,15)	0		1	0	(29235,10)		500	0	0	0	0	60	0	0	0	0	2		
4	1	绿色	2	Lv2 免暴印记	yinjimianbaolv	1	1	(29235,100)	0		1	0	(29235,25)		500	0	0	0	0	120	0	0	0	0	2	(29235,15)	
4	1	绿色	3	Lv3 免暴印记	yinjimianbaolv	1	1	(29235,300)	0		1	0	(29235,125)		500	0	0	0	0	240	0	0	0	0	2	(29235,115)	
4	1	绿色	4	Lv4 免暴印记	yinjimianbaolv	1	1	(29235,480)	0		1	0	(29235,425)		500	0	0	0	0	360	0	0	0	0	2	(29235,415)	
4	1	绿色	5	Lv5 免暴印记	yinjimianbaolv	1	1	(29235,720)	0		1	0	(29235,905)		500	0	0	0	0	480	0	0	0	0	2	(29235,895)	
4	1	绿色	6	Lv6 免暴印记	yinjimianbaolv	1	1	(29235,1000)	0		1	0	(29235,1625)		500	0	0	0	0	600	0	0	0	0	2	(29235,1615)	
4	1	绿色	7	Lv7 免暴印记	yinjimianbaolv	1	1	(29235,1400)	0		1	0	(29235,2625)		500	0	0	0	0	720	0	0	0	0	2	(29235,2615)	
4	1	绿色	8	Lv8 免暴印记	yinjimianbaolv	1	1	(29235,3000)	0		1	0	(29235,4025)		500	0	0	0	0	840	0	0	0	0	2	(29235,4015)	
4	1	绿色	9	Lv9 免暴印记	yinjimianbaolv	1	1	(29235,5400)	0		1	0	(29235,7025)		500	0	0	0	0	1020	0	0	0	0	2	(29235,7015)	
4	1	绿色	10	Lv10 免暴印记	yinjimianbaolv	1	0		0		1	0	(29235,12425)		500	0	0	0	0	1200	0	0	0	0	2	(29235,12415)	
5	1	绿色	1	Lv1 破防印记	yinjipofanglv	1	1	(29235,15)	0		1	0	(29235,10)		500	0	0	0	0	0	0	0	60	0	2		
5	1	绿色	2	Lv2 破防印记	yinjipofanglv	1	1	(29235,100)	0		1	0	(29235,25)		500	0	0	0	0	0	0	0	120	0	2	(29235,15)	
5	1	绿色	3	Lv3 破防印记	yinjipofanglv	1	1	(29235,300)	0		1	0	(29235,125)		500	0	0	0	0	0	0	0	240	0	2	(29235,115)	
5	1	绿色	4	Lv4 破防印记	yinjipofanglv	1	1	(29235,480)	0		1	0	(29235,425)		500	0	0	0	0	0	0	0	360	0	2	(29235,415)	
5	1	绿色	5	Lv5 破防印记	yinjipofanglv	1	1	(29235,720)	0		1	0	(29235,905)		500	0	0	0	0	0	0	0	480	0	2	(29235,895)	
5	1	绿色	6	Lv6 破防印记	yinjipofanglv	1	1	(29235,1000)	0		1	0	(29235,1625)		500	0	0	0	0	0	0	0	600	0	2	(29235,1615)	
5	1	绿色	7	Lv7 破防印记	yinjipofanglv	1	1	(29235,1400)	0		1	0	(29235,2625)		500	0	0	0	0	0	0	0	720	0	2	(29235,2615)	
5	1	绿色	8	Lv8 破防印记	yinjipofanglv	1	1	(29235,3000)	0		1	0	(29235,4025)		500	0	0	0	0	0	0	0	840	0	2	(29235,4015)	
5	1	绿色	9	Lv9 破防印记	yinjipofanglv	1	1	(29235,5400)	0		1	0	(29235,7025)		500	0	0	0	0	0	0	0	1020	0	2	(29235,7015)	
5	1	绿色	10	Lv10 破防印记	yinjipofanglv	1	0		0		1	0	(29235,12425)		500	0	0	0	0	0	0	0	1200	0	2	(29235,12415)	
6	1	绿色	1	Lv1 免破印记	yinjimianpolv	1	1	(29235,15)	0		1	0	(29235,10)		500	0	0	0	0	0	0	0	0	60	2		
6	1	绿色	2	Lv2 免破印记	yinjimianpolv	1	1	(29235,100)	0		1	0	(29235,25)		500	0	0	0	0	0	0	0	0	120	2	(29235,15)	
6	1	绿色	3	Lv3 免破印记	yinjimianpolv	1	1	(29235,300)	0		1	0	(29235,125)		500	0	0	0	0	0	0	0	0	240	2	(29235,115)	
6	1	绿色	4	Lv4 免破印记	yinjimianpolv	1	1	(29235,480)	0		1	0	(29235,425)		500	0	0	0	0	0	0	0	0	360	2	(29235,415)	
6	1	绿色	5	Lv5 免破印记	yinjimianpolv	1	1	(29235,720)	0		1	0	(29235,905)		500	0	0	0	0	0	0	0	0	480	2	(29235,895)	
6	1	绿色	6	Lv6 免破印记	yinjimianpolv	1	1	(29235,1000)	0		1	0	(29235,1625)		500	0	0	0	0	0	0	0	0	600	2	(29235,1615)	
6	1	绿色	7	Lv7 免破印记	yinjimianpolv	1	1	(29235,1400)	0		1	0	(29235,2625)		500	0	0	0	0	0	0	0	0	720	2	(29235,2615)	
6	1	绿色	8	Lv8 免破印记	yinjimianpolv	1	1	(29235,3000)	0		1	0	(29235,4025)		500	0	0	0	0	0	0	0	0	840	2	(29235,4015)	
6	1	绿色	9	Lv9 免破印记	yinjimianpolv	1	1	(29235,5400)	0		1	0	(29235,7025)		500	0	0	0	0	0	0	0	0	1020	2	(29235,7015)	
6	1	绿色	10	Lv10 免破印记	yinjimianpolv	1	0		0		1	0	(29235,12425)		500	0	0	0	0	0	0	0	0	1200	2	(29235,12415)	
7	1	绿色	1	Lv1 格挡印记	yinjigedanglv	1	1	(29235,15)	0		1	0	(29235,10)		500	0	0	0	0	0	60	0	0	0	2		
7	1	绿色	2	Lv2 格挡印记	yinjigedanglv	1	1	(29235,100)	0		1	0	(29235,25)		500	0	0	0	0	0	120	0	0	0	2	(29235,15)	
7	1	绿色	3	Lv3 格挡印记	yinjigedanglv	1	1	(29235,300)	0		1	0	(29235,125)		500	0	0	0	0	0	240	0	0	0	2	(29235,115)	
7	1	绿色	4	Lv4 格挡印记	yinjigedanglv	1	1	(29235,480)	0		1	0	(29235,425)		500	0	0	0	0	0	360	0	0	0	2	(29235,415)	
7	1	绿色	5	Lv5 格挡印记	yinjigedanglv	1	1	(29235,720)	0		1	0	(29235,905)		500	0	0	0	0	0	480	0	0	0	2	(29235,895)	
7	1	绿色	6	Lv6 格挡印记	yinjigedanglv	1	1	(29235,1000)	0		1	0	(29235,1625)		500	0	0	0	0	0	600	0	0	0	2	(29235,1615)	
7	1	绿色	7	Lv7 格挡印记	yinjigedanglv	1	1	(29235,1400)	0		1	0	(29235,2625)		500	0	0	0	0	0	720	0	0	0	2	(29235,2615)	
7	1	绿色	8	Lv8 格挡印记	yinjigedanglv	1	1	(29235,3000)	0		1	0	(29235,4025)		500	0	0	0	0	0	840	0	0	0	2	(29235,4015)	
7	1	绿色	9	Lv9 格挡印记	yinjigedanglv	1	1	(29235,5400)	0		1	0	(29235,7025)		500	0	0	0	0	0	1020	0	0	0	2	(29235,7015)	
7	1	绿色	10	Lv10 格挡印记	yinjigedanglv	1	0		0		1	0	(29235,12425)		500	0	0	0	0	0	1200	0	0	0	2	(29235,12415)	
8	1	绿色	1	Lv1 破挡印记	yinjipodanglv	1	1	(29235,15)	0		1	0	(29235,10)		500	0	0	0	0	0	0	60	0	0	2		
8	1	绿色	2	Lv2 破挡印记	yinjipodanglv	1	1	(29235,100)	0		1	0	(29235,25)		500	0	0	0	0	0	0	120	0	0	2	(29235,15)	
8	1	绿色	3	Lv3 破挡印记	yinjipodanglv	1	1	(29235,300)	0		1	0	(29235,125)		500	0	0	0	0	0	0	240	0	0	2	(29235,115)	
8	1	绿色	4	Lv4 破挡印记	yinjipodanglv	1	1	(29235,480)	0		1	0	(29235,425)		500	0	0	0	0	0	0	360	0	0	2	(29235,415)	
8	1	绿色	5	Lv5 破挡印记	yinjipodanglv	1	1	(29235,720)	0		1	0	(29235,905)		500	0	0	0	0	0	0	480	0	0	2	(29235,895)	
8	1	绿色	6	Lv6 破挡印记	yinjipodanglv	1	1	(29235,1000)	0		1	0	(29235,1625)		500	0	0	0	0	0	0	600	0	0	2	(29235,1615)	
8	1	绿色	7	Lv7 破挡印记	yinjipodanglv	1	1	(29235,1400)	0		1	0	(29235,2625)		500	0	0	0	0	0	0	720	0	0	2	(29235,2615)	
8	1	绿色	8	Lv8 破挡印记	yinjipodanglv	1	1	(29235,3000)	0		1	0	(29235,4025)		500	0	0	0	0	0	0	840	0	0	2	(29235,4015)	
8	1	绿色	9	Lv9 破挡印记	yinjipodanglv	1	1	(29235,5400)	0		1	0	(29235,7025)		500	0	0	0	0	0	0	1020	0	0	2	(29235,7015)	
8	1	绿色	10	Lv10 破挡印记	yinjipodanglv	1	0		0		1	0	(29235,12425)		500	0	0	0	0	0	0	1200	0	0	2	(29235,12415)	
1	2	蓝色	1	Lv1 生命印记	yinjishengminglan	1	1	(29235,30)	0		1	0	(29235,20)		500	0	0	120	0	0	0	0	0	0	3		
1	2	蓝色	2	Lv2 生命印记	yinjishengminglan	1	1	(29235,200)	0		1	0	(29235,50)		500	0	0	240	0	0	0	0	0	0	3	(29235,30)	
1	2	蓝色	3	Lv3 生命印记	yinjishengminglan	1	1	(29235,600)	0		1	0	(29235,250)		500	0	0	480	0	0	0	0	0	0	3	(29235,230)	
1	2	蓝色	4	Lv4 生命印记	yinjishengminglan	1	1	(29235,960)	0		1	0	(29235,850)		500	0	0	720	0	0	0	0	0	0	3	(29235,830)	
1	2	蓝色	5	Lv5 生命印记	yinjishengminglan	1	1	(29235,1440)	0		1	0	(29235,1810)		500	0	0	960	0	0	0	0	0	0	3	(29235,1790)	
1	2	蓝色	6	Lv6 生命印记	yinjishengminglan	1	1	(29235,2000)	0		1	0	(29235,3250)		500	0	0	1200	0	0	0	0	0	0	3	(29235,3230)	
1	2	蓝色	7	Lv7 生命印记	yinjishengminglan	1	1	(29235,2800)	0		1	0	(29235,5250)		500	0	0	1440	0	0	0	0	0	0	3	(29235,5230)	
1	2	蓝色	8	Lv8 生命印记	yinjishengminglan	1	1	(29235,6000)	0		1	0	(29235,8050)		500	0	0	1680	0	0	0	0	0	0	3	(29235,8030)	
1	2	蓝色	9	Lv9 生命印记	yinjishengminglan	1	1	(29235,10800)	0		1	0	(29235,14050)		500	0	0	2040	0	0	0	0	0	0	3	(29235,14030)	
1	2	蓝色	10	Lv10 生命印记	yinjishengminglan	1	0		0		1	0	(29235,24850)		500	0	0	2400	0	0	0	0	0	0	3	(29235,24830)	
2	2	蓝色	1	Lv1 攻击印记	yinjigongjilan	1	1	(29235,30)	0		1	0	(29235,20)		500	120	120	0	0	0	0	0	0	0	3		
2	2	蓝色	2	Lv2 攻击印记	yinjigongjilan	1	1	(29235,200)	0		1	0	(29235,50)		500	240	240	0	0	0	0	0	0	0	3	(29235,30)	
2	2	蓝色	3	Lv3 攻击印记	yinjigongjilan	1	1	(29235,600)	0		1	0	(29235,250)		500	480	480	0	0	0	0	0	0	0	3	(29235,230)	
2	2	蓝色	4	Lv4 攻击印记	yinjigongjilan	1	1	(29235,960)	0		1	0	(29235,850)		500	720	720	0	0	0	0	0	0	0	3	(29235,830)	
2	2	蓝色	5	Lv5 攻击印记	yinjigongjilan	1	1	(29235,1440)	0		1	0	(29235,1810)		500	960	960	0	0	0	0	0	0	0	3	(29235,1790)	
2	2	蓝色	6	Lv6 攻击印记	yinjigongjilan	1	1	(29235,2000)	0		1	0	(29235,3250)		500	1200	1200	0	0	0	0	0	0	0	3	(29235,3230)	
2	2	蓝色	7	Lv7 攻击印记	yinjigongjilan	1	1	(29235,2800)	0		1	0	(29235,5250)		500	1440	1440	0	0	0	0	0	0	0	3	(29235,5230)	
2	2	蓝色	8	Lv8 攻击印记	yinjigongjilan	1	1	(29235,6000)	0		1	0	(29235,8050)		500	1680	1680	0	0	0	0	0	0	0	3	(29235,8030)	
2	2	蓝色	9	Lv9 攻击印记	yinjigongjilan	1	1	(29235,10800)	0		1	0	(29235,14050)		500	2040	2040	0	0	0	0	0	0	0	3	(29235,14030)	
2	2	蓝色	10	Lv10 攻击印记	yinjigongjilan	1	0		0		1	0	(29235,24850)		500	2400	2400	0	0	0	0	0	0	0	3	(29235,24830)	
3	2	蓝色	1	Lv1 暴击印记	yinjibaojilan	1	1	(29235,30)	0		1	0	(29235,20)		500	0	0	0	120	0	0	0	0	0	3		
3	2	蓝色	2	Lv2 暴击印记	yinjibaojilan	1	1	(29235,200)	0		1	0	(29235,50)		500	0	0	0	240	0	0	0	0	0	3	(29235,30)	
3	2	蓝色	3	Lv3 暴击印记	yinjibaojilan	1	1	(29235,600)	0		1	0	(29235,250)		500	0	0	0	480	0	0	0	0	0	3	(29235,230)	
3	2	蓝色	4	Lv4 暴击印记	yinjibaojilan	1	1	(29235,960)	0		1	0	(29235,850)		500	0	0	0	720	0	0	0	0	0	3	(29235,830)	
3	2	蓝色	5	Lv5 暴击印记	yinjibaojilan	1	1	(29235,1440)	0		1	0	(29235,1810)		500	0	0	0	960	0	0	0	0	0	3	(29235,1790)	
3	2	蓝色	6	Lv6 暴击印记	yinjibaojilan	1	1	(29235,2000)	0		1	0	(29235,3250)		500	0	0	0	1200	0	0	0	0	0	3	(29235,3230)	
3	2	蓝色	7	Lv7 暴击印记	yinjibaojilan	1	1	(29235,2800)	0		1	0	(29235,5250)		500	0	0	0	1440	0	0	0	0	0	3	(29235,5230)	
3	2	蓝色	8	Lv8 暴击印记	yinjibaojilan	1	1	(29235,6000)	0		1	0	(29235,8050)		500	0	0	0	1680	0	0	0	0	0	3	(29235,8030)	
3	2	蓝色	9	Lv9 暴击印记	yinjibaojilan	1	1	(29235,10800)	0		1	0	(29235,14050)		500	0	0	0	2040	0	0	0	0	0	3	(29235,14030)	
3	2	蓝色	10	Lv10 暴击印记	yinjibaojilan	1	0		0		1	0	(29235,24850)		500	0	0	0	2400	0	0	0	0	0	3	(29235,24830)	
4	2	蓝色	1	Lv1 免暴印记	yinjimianbaolan	1	1	(29235,30)	0		1	0	(29235,20)		500	0	0	0	0	120	0	0	0	0	3		
4	2	蓝色	2	Lv2 免暴印记	yinjimianbaolan	1	1	(29235,200)	0		1	0	(29235,50)		500	0	0	0	0	240	0	0	0	0	3	(29235,30)	
4	2	蓝色	3	Lv3 免暴印记	yinjimianbaolan	1	1	(29235,600)	0		1	0	(29235,250)		500	0	0	0	0	480	0	0	0	0	3	(29235,230)	
4	2	蓝色	4	Lv4 免暴印记	yinjimianbaolan	1	1	(29235,960)	0		1	0	(29235,850)		500	0	0	0	0	720	0	0	0	0	3	(29235,830)	
4	2	蓝色	5	Lv5 免暴印记	yinjimianbaolan	1	1	(29235,1440)	0		1	0	(29235,1810)		500	0	0	0	0	960	0	0	0	0	3	(29235,1790)	
4	2	蓝色	6	Lv6 免暴印记	yinjimianbaolan	1	1	(29235,2000)	0		1	0	(29235,3250)		500	0	0	0	0	1200	0	0	0	0	3	(29235,3230)	
4	2	蓝色	7	Lv7 免暴印记	yinjimianbaolan	1	1	(29235,2800)	0		1	0	(29235,5250)		500	0	0	0	0	1440	0	0	0	0	3	(29235,5230)	
4	2	蓝色	8	Lv8 免暴印记	yinjimianbaolan	1	1	(29235,6000)	0		1	0	(29235,8050)		500	0	0	0	0	1680	0	0	0	0	3	(29235,8030)	
4	2	蓝色	9	Lv9 免暴印记	yinjimianbaolan	1	1	(29235,10800)	0		1	0	(29235,14050)		500	0	0	0	0	2040	0	0	0	0	3	(29235,14030)	
4	2	蓝色	10	Lv10 免暴印记	yinjimianbaolan	1	0		0		1	0	(29235,24850)		500	0	0	0	0	2400	0	0	0	0	3	(29235,24830)	
5	2	蓝色	1	Lv1 破防印记	yinjipofanglan	1	1	(29235,30)	0		1	0	(29235,20)		500	0	0	0	0	0	0	0	120	0	3		
5	2	蓝色	2	Lv2 破防印记	yinjipofanglan	1	1	(29235,200)	0		1	0	(29235,50)		500	0	0	0	0	0	0	0	240	0	3	(29235,30)	
5	2	蓝色	3	Lv3 破防印记	yinjipofanglan	1	1	(29235,600)	0		1	0	(29235,250)		500	0	0	0	0	0	0	0	480	0	3	(29235,230)	
5	2	蓝色	4	Lv4 破防印记	yinjipofanglan	1	1	(29235,960)	0		1	0	(29235,850)		500	0	0	0	0	0	0	0	720	0	3	(29235,830)	
5	2	蓝色	5	Lv5 破防印记	yinjipofanglan	1	1	(29235,1440)	0		1	0	(29235,1810)		500	0	0	0	0	0	0	0	960	0	3	(29235,1790)	
5	2	蓝色	6	Lv6 破防印记	yinjipofanglan	1	1	(29235,2000)	0		1	0	(29235,3250)		500	0	0	0	0	0	0	0	1200	0	3	(29235,3230)	
5	2	蓝色	7	Lv7 破防印记	yinjipofanglan	1	1	(29235,2800)	0		1	0	(29235,5250)		500	0	0	0	0	0	0	0	1440	0	3	(29235,5230)	
5	2	蓝色	8	Lv8 破防印记	yinjipofanglan	1	1	(29235,6000)	0		1	0	(29235,8050)		500	0	0	0	0	0	0	0	1680	0	3	(29235,8030)	
5	2	蓝色	9	Lv9 破防印记	yinjipofanglan	1	1	(29235,10800)	0		1	0	(29235,14050)		500	0	0	0	0	0	0	0	2040	0	3	(29235,14030)	
5	2	蓝色	10	Lv10 破防印记	yinjipofanglan	1	0		0		1	0	(29235,24850)		500	0	0	0	0	0	0	0	2400	0	3	(29235,24830)	
6	2	蓝色	1	Lv1 免破印记	yinjimianpolan	1	1	(29235,30)	0		1	0	(29235,20)		500	0	0	0	0	0	0	0	0	120	3		
6	2	蓝色	2	Lv2 免破印记	yinjimianpolan	1	1	(29235,200)	0		1	0	(29235,50)		500	0	0	0	0	0	0	0	0	240	3	(29235,30)	
6	2	蓝色	3	Lv3 免破印记	yinjimianpolan	1	1	(29235,600)	0		1	0	(29235,250)		500	0	0	0	0	0	0	0	0	480	3	(29235,230)	
6	2	蓝色	4	Lv4 免破印记	yinjimianpolan	1	1	(29235,960)	0		1	0	(29235,850)		500	0	0	0	0	0	0	0	0	720	3	(29235,830)	
6	2	蓝色	5	Lv5 免破印记	yinjimianpolan	1	1	(29235,1440)	0		1	0	(29235,1810)		500	0	0	0	0	0	0	0	0	960	3	(29235,1790)	
6	2	蓝色	6	Lv6 免破印记	yinjimianpolan	1	1	(29235,2000)	0		1	0	(29235,3250)		500	0	0	0	0	0	0	0	0	1200	3	(29235,3230)	
6	2	蓝色	7	Lv7 免破印记	yinjimianpolan	1	1	(29235,2800)	0		1	0	(29235,5250)		500	0	0	0	0	0	0	0	0	1440	3	(29235,5230)	
6	2	蓝色	8	Lv8 免破印记	yinjimianpolan	1	1	(29235,6000)	0		1	0	(29235,8050)		500	0	0	0	0	0	0	0	0	1680	3	(29235,8030)	
6	2	蓝色	9	Lv9 免破印记	yinjimianpolan	1	1	(29235,10800)	0		1	0	(29235,14050)		500	0	0	0	0	0	0	0	0	2040	3	(29235,14030)	
6	2	蓝色	10	Lv10 免破印记	yinjimianpolan	1	0		0		1	0	(29235,24850)		500	0	0	0	0	0	0	0	0	2400	3	(29235,24830)	
7	2	蓝色	1	Lv1 格挡印记	yinjigedanglan	1	1	(29235,30)	0		1	0	(29235,20)		500	0	0	0	0	0	120	0	0	0	3		
7	2	蓝色	2	Lv2 格挡印记	yinjigedanglan	1	1	(29235,200)	0		1	0	(29235,50)		500	0	0	0	0	0	240	0	0	0	3	(29235,30)	
7	2	蓝色	3	Lv3 格挡印记	yinjigedanglan	1	1	(29235,600)	0		1	0	(29235,250)		500	0	0	0	0	0	480	0	0	0	3	(29235,230)	
7	2	蓝色	4	Lv4 格挡印记	yinjigedanglan	1	1	(29235,960)	0		1	0	(29235,850)		500	0	0	0	0	0	720	0	0	0	3	(29235,830)	
7	2	蓝色	5	Lv5 格挡印记	yinjigedanglan	1	1	(29235,1440)	0		1	0	(29235,1810)		500	0	0	0	0	0	960	0	0	0	3	(29235,1790)	
7	2	蓝色	6	Lv6 格挡印记	yinjigedanglan	1	1	(29235,2000)	0		1	0	(29235,3250)		500	0	0	0	0	0	1200	0	0	0	3	(29235,3230)	
7	2	蓝色	7	Lv7 格挡印记	yinjigedanglan	1	1	(29235,2800)	0		1	0	(29235,5250)		500	0	0	0	0	0	1440	0	0	0	3	(29235,5230)	
7	2	蓝色	8	Lv8 格挡印记	yinjigedanglan	1	1	(29235,6000)	0		1	0	(29235,8050)		500	0	0	0	0	0	1680	0	0	0	3	(29235,8030)	
7	2	蓝色	9	Lv9 格挡印记	yinjigedanglan	1	1	(29235,10800)	0		1	0	(29235,14050)		500	0	0	0	0	0	2040	0	0	0	3	(29235,14030)	
7	2	蓝色	10	Lv10 格挡印记	yinjigedanglan	1	0		0		1	0	(29235,24850)		500	0	0	0	0	0	2400	0	0	0	3	(29235,24830)	
8	2	蓝色	1	Lv1 破挡印记	yinjipodanglan	1	1	(29235,30)	0		1	0	(29235,20)		500	0	0	0	0	0	0	120	0	0	3		
8	2	蓝色	2	Lv2 破挡印记	yinjipodanglan	1	1	(29235,200)	0		1	0	(29235,50)		500	0	0	0	0	0	0	240	0	0	3	(29235,30)	
8	2	蓝色	3	Lv3 破挡印记	yinjipodanglan	1	1	(29235,600)	0		1	0	(29235,250)		500	0	0	0	0	0	0	480	0	0	3	(29235,230)	
8	2	蓝色	4	Lv4 破挡印记	yinjipodanglan	1	1	(29235,960)	0		1	0	(29235,850)		500	0	0	0	0	0	0	720	0	0	3	(29235,830)	
8	2	蓝色	5	Lv5 破挡印记	yinjipodanglan	1	1	(29235,1440)	0		1	0	(29235,1810)		500	0	0	0	0	0	0	960	0	0	3	(29235,1790)	
8	2	蓝色	6	Lv6 破挡印记	yinjipodanglan	1	1	(29235,2000)	0		1	0	(29235,3250)		500	0	0	0	0	0	0	1200	0	0	3	(29235,3230)	
