zjID	FBID	index	fbName	FbImg	sceneID	needLevel	posX	posY	Monster1	x1	y1	face1	reward1	camp1	fight1	Monster2	x2	y2	face2	reward2	camp2	fight2	Monster3	x3	y3	face3	reward3	camp3	fight3	mc1	mc2	mc3	rewardId	jlyl	ljyl
2	10	8	月光射手	FB_Yuan2	36	33	238	1343	4010	733	1111	0	47	101	24	4010	1509	791	0	48	102	24	4032	1589	452	0	49	103	24	(4010,733,1111,0,47,101,24)	(4010,1509,791,0,48,102,24)	(4032,1589,452,0,49,103,24)	50	[25828,25676,35607]	[25681,6～24]
2	11	9	迷之雷神	4016	35	34	512	782	4011	789	697	0	51	111	23	4011	1127	526	0	52	112	23	4033	1464	274	0	53	113	23	(4011,789,697,0,51,111,23)	(4011,1127,526,0,52,112,23)	(4033,1464,274,0,53,113,23)	54	[25828,25676,35608]	[25681,6～24]
2	12	10	圣光祭司	FB_Yuan2	36	34	238	1343	4012	733	1111	0	55	121	24	4012	1509	791	0	56	122	24	4034	1589	452	0	57	123	24	(4012,733,1111,0,55,121,24)	(4012,1509,791,0,56,122,24)	(4034,1589,452,0,57,123,24)	58	[25828,25676,35609]	[25681,6～24]
2	13	11	拉拉队长	FB_Yuan2	35	35	512	782	4013	789	697	0	59	131	23	4013	1127	526	0	60	132	23	4035	1464	274	0	61	133	23	(4013,789,697,0,59,131,23)	(4013,1127,526,0,60,132,23)	(4035,1464,274,0,61,133,23)	62	[25828,25676,35610]	[25681,9～36]
2	14	12	天空射手	4018	36	35	238	1343	4014	733	1111	0	63	141	24	4014	1509	791	0	64	142	24	4036	1589	452	0	65	143	24	(4014,733,1111,0,63,141,24)	(4014,1509,791,0,64,142,24)	(4036,1589,452,0,65,143,24)	66	[25828,25676,35611]	[25681,9～36]
2	15	13	龙人射手	FB_Yuan2	35	36	512	782	4015	789	697	0	67	151	23	4015	1127	526	0	68	152	23	4037	1464	274	0	69	153	23	(4015,789,697,0,67,151,23)	(4015,1127,526,0,68,152,23)	(4037,1464,274,0,69,153,23)	70	[25828,25676,35606]	[25681,9～36]
2	16	14	冠军骑士	FB_Yuan2	36	36	238	1343	4016	733	1111	0	71	161	24	4016	1509	791	0	72	162	24	4038	1589	452	0	73	163	24	(4016,733,1111,0,71,161,24)	(4016,1509,791,0,72,162,24)	(4038,1589,452,0,73,163,24)	74	[25828,25676,35606]	[25681,9～36]
2	17	15	正义天使	500	35	37	512	782	4017	789	697	0	75	171	23	4017	1127	526	0	76	172	23	4039	1464	274	0	77	173	23	(4017,789,697,0,75,171,23)	(4017,1127,526,0,76,172,23)	(4039,1464,274,0,77,173,23)	78	[25828,25676,35607]	[25681,9～36]
2	18	16	百花骑士	FB_Yuan2	36	37	238	1343	4018	733	1111	0	79	181	24	4018	1509	791	0	80	182	24	4040	1589	452	0	81	183	24	(4018,733,1111,0,79,181,24)	(4018,1509,791,0,80,182,24)	(4040,1589,452,0,81,183,24)	82	[25828,25676,35608]	[25681,9～36]
2	19	17	神圣祭司	FB_Yuan2	35	38	512	782	4019	789	697	0	83	191	23	4019	1127	526	0	84	192	23	4041	1464	274	0	85	193	23	(4019,789,697,0,83,191,23)	(4019,1127,526,0,84,192,23)	(4041,1464,274,0,85,193,23)	86	[25828,25676,35609]	[25681,9～36]
2	20	18	红袍女巫	5005	36	38	238	1343	4020	733	1111	0	87	201	24	4020	1509	791	0	88	202	24	4042	1589	452	0	89	203	24	(4020,733,1111,0,87,201,24)	(4020,1509,791,0,88,202,24)	(4042,1589,452,0,89,203,24)	90	[25828,25676,35610]	[25681,9～36]
2	21	19	龙人护卫	FB_Yuan2	35	39	512	782	4021	789	697	0	91	211	23	4021	1127	526	0	92	212	23	4043	1464	274	0	93	213	23	(4021,789,697,0,91,211,23)	(4021,1127,526,0,92,212,23)	(4043,1464,274,0,93,213,23)	94	[25828,25676,35611]	[25681,9～36]
2	22	20	绝美艳后	5006	36	39	238	1343	4022	733	1111	0	95	221	24	4022	1509	791	0	96	222	24	4044	1589	452	0	97	223	24	(4022,733,1111,0,95,221,24)	(4022,1509,791,0,96,222,24)	(4044,1589,452,0,97,223,24)	98	[25828,25676,35606]	[25681,9～36]
3	23	1	龙人勇者	FB_Yuan2	37	40	243	949	4001	507	840	0	99	231	25	4001	964	547	0	100	232	25	4045	1482	332	0	101	233	25	(4001,507,840,0,99,231,25)	(4001,964,547,0,100,232,25)	(4045,1482,332,0,101,233,25)	102	[25828,25677,25689]	[25682,9～36]
3	24	2	虔诚祭司	FB_Yuan2	38	41	385	1522	4002	725	1350	0	103	241	26	4002	1509	791	0	104	242	26	4046	2000	565	0	105	243	26	(4002,725,1350,0,103,241,26)	(4002,1509,791,0,104,242,26)	(4046,2000,565,0,105,243,26)	106	[25828,25677,25690]	[25682,9～36]
3	25	3	月光女神	FB_Yuan2	37	42	243	949	4003	507	840	0	107	251	25	4003	964	547	0	108	252	25	4047	1482	332	0	109	253	25	(4003,507,840,0,107,251,25)	(4003,964,547,0,108,252,25)	(4047,1482,332,0,109,253,25)	110	[25828,25677,25691]	[25682,9～36]
3	26	4	圣光女巫	5004	38	43	385	1522	4004	725	1350	0	111	261	26	4004	1509	791	0	112	262	26	4048	2000	565	0	113	263	26	(4004,725,1350,0,111,261,26)	(4004,1509,791,0,112,262,26)	(4048,2000,565,0,113,263,26)	114	[25828,25677,25692]	[25682,9～36]
3	27	5	龙人魔导	FB_Yuan2	37	44	243	949	4005	507	840	0	115	271	25	4005	964	547	0	116	272	25	4049	1482	332	0	117	273	25	(4005,507,840,0,115,271,25)	(4005,964,547,0,116,272,25)	(4049,1482,332,0,117,273,25)	118	[25828,25677,25693]	[25682,9～36]
3	28	6	御林铁卫	FB_Yuan2	38	45	385	1522	4006	725	1350	0	119	281	26	4006	1509	791	0	120	282	26	4050	2000	565	0	121	283	26	(4006,725,1350,0,119,281,26)	(4006,1509,791,0,120,282,26)	(4050,2000,565,0,121,283,26)	122	[25828,25677,25688]	[25682,9～36]
3	29	7	神女祭司	FB_Yuan2	37	46	243	949	4007	507	840	0	123	291	25	4007	964	547	0	124	292	25	4051	1482	332	0	125	293	25	(4007,507,840,0,123,291,25)	(4007,964,547,0,124,292,25)	(4051,1482,332,0,125,293,25)	126	[25828,25677,25688]	[25682,9～36]
3	30	8	雷神	4016	38	47	385	1522	4008	725	1350	0	127	301	26	4008	1509	791	0	128	302	26	4052	2000	565	0	129	303	26	(4008,725,1350,0,127,301,26)	(4008,1509,791,0,128,302,26)	(4052,2000,565,0,129,303,26)	130	[25828,25677,25689]	[25682,9～36]
3	31	9	圣辉守卫	FB_Yuan2	37	48	243	949	4009	507	840	0	131	311	25	4009	964	547	0	132	312	25	4053	1482	332	0	133	313	25	(4009,507,840,0,131,311,25)	(4009,964,547,0,132,312,25)	(4053,1482,332,0,133,313,25)	134	[25828,25677,25690]	[25682,9～36]
3	32	10	众神之王	FB_Yuan2	38	49	385	1522	4010	725	1350	0	135	321	26	4010	1509	791	0	136	322	26	4054	2000	565	0	137	323	26	(4010,725,1350,0,135,321,26)	(4010,1509,791,0,136,322,26)	(4054,2000,565,0,137,323,26)	138	[25828,25677,25691]	[25682,9～36]
3	33	11	见习法师	FB_Yuan2	37	50	243	949	4011	507	840	0	139	331	25	4011	964	547	0	140	332	25	4055	1482	332	0	141	333	25	(4011,507,840,0,139,331,25)	(4011,964,547,0,140,332,25)	(4055,1482,332,0,141,333,25)	142	[25828,25677,25692]	[25682,18～72]
3	34	12	死神	4023	38	51	385	1522	4012	725	1350	0	143	341	26	4012	1509	791	0	144	342	26	4056	2000	565	0	145	343	26	(4012,725,1350,0,143,341,26)	(4012,1509,791,0,144,342,26)	(4056,2000,565,0,145,343,26)	146	[25828,25677,25693]	[25682,18～72]
3	35	13	圣光神女	FB_Yuan2	37	52	243	949	4013	507	840	0	147	351	25	4013	964	547	0	148	352	25	4057	1482	332	0	149	353	25	(4013,507,840,0,147,351,25)	(4013,964,547,0,148,352,25)	(4057,1482,332,0,149,353,25)	150	[25828,25677,25688]	[25682,18～72]
3	36	14	执法队长	FB_Yuan2	38	53	385	1522	4014	725	1350	0	151	361	26	4014	1509	791	0	152	362	26	4058	2000	565	0	153	363	26	(4014,725,1350,0,151,361,26)	(4014,1509,791,0,152,362,26)	(4058,2000,565,0,153,363,26)	154	[25828,25677,25688]	[25682,18～72]
3	37	15	顽固龙人	FB_Yuan2	37	54	243	949	4015	507	840	0	155	371	25	4015	964	547	0	156	372	25	4059	1482	332	0	157	373	25	(4015,507,840,0,155,371,25)	(4015,964,547,0,156,372,25)	(4059,1482,332,0,157,373,25)	158	[25828,25677,25689]	[25682,18～72]
3	38	16	红袍女巫	5005	38	55	385	1522	4016	725	1350	0	159	381	26	4016	1509	791	0	160	382	26	4060	2000	565	0	161	383	26	(4016,725,1350,0,159,381,26)	(4016,1509,791,0,160,382,26)	(4060,2000,565,0,161,383,26)	162	[25828,25677,25690]	[25682,18～72]
3	39	17	圣光祭司	FB_Yuan2	37	56	243	949	4017	507	840	0	163	391	25	4017	964	547	0	164	392	25	4061	1482	332	0	165	393	25	(4017,507,840,0,163,391,25)	(4017,964,547,0,164,392,25)	(4061,1482,332,0,165,393,25)	166	[25828,25677,25691]	[25682,18～72]
3	40	18	审判之箭	FB_Yuan2	38	57	385	1522	4018	725	1350	0	167	401	26	4018	1509	791	0	168	402	26	4062	2000	565	0	169	403	26	(4018,725,1350,0,167,401,26)	(4018,1509,791,0,168,402,26)	(4062,2000,565,0,169,403,26)	170	[25828,25677,25692]	[25682,18～72]
3	41	19	火之女巫	FB_Yuan2	37	58	243	949	4019	507	840	0	171	411	25	4019	964	547	0	172	412	25	4063	1482	332	0	173	413	25	(4019,507,840,0,171,411,25)	(4019,964,547,0,172,412,25)	(4063,1482,332,0,173,413,25)	174	[25828,25677,25693]	[25682,18～72]
3	42	20	血族剑姬	5001	38	59	385	1522	4020	725	1350	0	175	421	26	4020	1509	791	0	176	422	26	4064	2000	565	0	177	423	26	(4020,725,1350,0,175,421,26)	(4020,1509,791,0,176,422,26)	(4064,2000,565,0,177,423,26)	178	[25828,25677,25688]	[25682,18～72]
4	43	1	放哨士兵	FB_Yuan2	39	60	241	234	4021	473	591	0	179	431	27	4021	893	800	0	180	432	27	4065	1329	601	0	181	433	27	(4021,473,591,0,179,431,27)	(4021,893,800,0,180,432,27)	(4065,1329,601,0,181,433,27)	182	[25828,25678,25695]	[25683,9～36]
4	44	2	夺命剑姬	FB_Yuan2	40	61	236	234	4022	265	638	0	183	441	28	4022	748	687	0	184	442	28	4066	1287	441	0	185	443	28	(4022,265,638,0,183,441,28)	(4022,748,687,0,184,442,28)	(4066,1287,441,0,185,443,28)	186	[25828,25678,25696]	[25683,9～36]
4	45	3	守卫之剑	FB_Yuan2	39	62	241	234	4001	473	591	0	187	451	27	4001	893	800	0	188	452	27	4067	1329	601	0	189	453	27	(4001,473,591,0,187,451,27)	(4001,893,800,0,188,452,27)	(4067,1329,601,0,189,453,27)	190	[25828,25678,25697]	[25683,9～36]
4	46	4	神王残影	5008	40	63	236	234	4002	265	638	0	191	461	28	4002	748	687	0	192	462	28	4068	1287	441	0	193	463	28	(4002,265,638,0,191,461,28)	(4002,748,687,0,192,462,28)	(4068,1287,441,0,193,463,28)	194	[25828,25678,25698]	[25683,9～36]
4	47	5	守卫之手	FB_Yuan2	39	64	241	234	4003	473	591	0	195	471	27	4003	893	800	0	196	472	27	4069	1329	601	0	197	473	27	(4003,473,591,0,195,471,27)	(4003,893,800,0,196,472,27)	(4069,1329,601,0,197,473,27)	198	[25828,25678,25699]	[25683,9～36]
4	48	6	守卫之翼	FB_Yuan2	40	65	236	234	4004	265	638	0	199	481	28	4004	748	687	0	200	482	28	4070	1287	441	0	201	483	28	(4004,265,638,0,199,481,28)	(4004,748,687,0,200,482,28)	(4070,1287,441,0,201,483,28)	202	[25828,25678,25694]	[25683,9～36]
4	49	7	震怒雷神	FB_Yuan2	39	66	241	234	4005	473	591	0	203	491	27	4005	893	800	0	204	492	27	4071	1329	601	0	205	493	27	(4005,473,591,0,203,491,27)	(4005,893,800,0,204,492,27)	(4071,1329,601,0,205,493,27)	206	[25828,25678,25694]	[25683,9～36]
4	50	8	守卫之盾	FB_Yuan2	40	67	236	234	4006	265	638	0	207	501	28	4006	748	687	0	208	502	28	4072	1287	441	0	209	503	28	(4006,265,638,0,207,501,28)	(4006,748,687,0,208,502,28)	(4072,1287,441,0,209,503,28)	210	[25828,25678,25695]	[25683,9～36]
4	51	9	大法师	5003	39	68	241	234	4007	473	591	0	211	511	27	4007	893	800	0	212	512	27	4073	1329	601	0	213	513	27	(4007,473,591,0,211,511,27)	(4007,893,800,0,212,512,27)	(4073,1329,601,0,213,513,27)	214	[25828,25678,25696]	[25683,9～36]
4	52	10	虔诚火女	FB_Yuan2	40	69	236	234	4008	265	638	0	215	521	28	4008	748	687	0	216	522	28	4074	1287	441	0	217	523	28	(4008,265,638,0,215,521,28)	(4008,748,687,0,216,522,28)	(4074,1287,441,0,217,523,28)	218	[25828,25678,25697]	[25683,9～36]
4	53	11	审判之箭	FB_Yuan2	39	70	241	234	4009	473	591	0	219	531	27	4009	893	800	0	220	532	27	4075	1329	601	0	221	533	27	(4009,473,591,0,219,531,27)	(4009,893,800,0,220,532,27)	(4075,1329,601,0,221,533,27)	222	[25828,25678,25698]	[25683,18～72]
4	54	12	红衣祭司	FB_Yuan2	40	71	236	234	4010	265	638	0	223	541	28	4010	748	687	0	224	542	28	4076	1287	441	0	225	543	28	(4010,265,638,0,223,541,28)	(4010,748,687,0,224,542,28)	(4076,1287,441,0,225,543,28)	226	[25828,25678,25699]	[25683,18～72]
4	55	13	圣光法师	FB_Yuan2	39	72	241	234	4011	473	591	0	227	551	27	4011	893	800	0	228	552	27	4077	1329	601	0	229	553	27	(4011,473,591,0,227,551,27)	(4011,893,800,0,228,552,27)	(4077,1329,601,0,229,553,27)	230	[25828,25678,25694]	[25683,18～72]
4	56	14	红袍法师	5005	40	73	236	234	4012	265	638	0	231	561	28	4012	748	687	0	232	562	28	4078	1287	441	0	233	563	28	(4012,265,638,0,231,561,28)	(4012,748,687,0,232,562,28)	(4078,1287,441,0,233,563,28)	234	[25828,25678,25694]	[25683,18～72]
4	57	15	龙人总管	FB_Yuan2	39	74	241	234	4013	473	591	0	235	571	27	4013	893	800	0	236	572	27	4079	1329	601	0	237	573	27	(4013,473,591,0,235,571,27)	(4013,893,800,0,236,572,27)	(4079,1329,601,0,237,573,27)	238	[25828,25678,25695]	[25683,18～72]
4	58	16	审判天后	FB_Yuan2	40	75	236	234	4014	265	638	0	239	581	28	4014	748	687	0	240	582	28	4080	1287	441	0	241	583	28	(4014,265,638,0,239,581,28)	(4014,748,687,0,240,582,28)	(4080,1287,441,0,241,583,28)	242	[25828,25678,25696]	[25683,18～72]
4	59	17	龙人弓手	FB_Yuan2	39	76	241	234	4015	473	591	0	243	591	27	4015	893	800	0	244	592	27	4081	1329	601	0	245	593	27	(4015,473,591,0,243,591,27)	(4015,893,800,0,244,592,27)	(4081,1329,601,0,245,593,27)	246	[25828,25678,25697]	[25683,18～72]
4	60	18	圣辉之魂	FB_Yuan2	40	77	236	234	4016	265	638	0	247	601	28	4016	748	687	0	248	602	28	4082	1287	441	0	249	603	28	(4016,265,638,0,247,601,28)	(4016,748,687,0,248,602,28)	(4082,1287,441,0,249,603,28)	250	[25828,25678,25698]	[25683,18～72]
4	61	19	钢铁守卫	FB_Yuan2	39	78	241	234	4017	473	591	0	251	611	27	4017	893	800	0	252	612	27	4083	1329	601	0	253	613	27	(4017,473,591,0,251,611,27)	(4017,893,800,0,252,612,27)	(4083,1329,601,0,253,613,27)	254	[25828,25678,25699]	[25683,18～72]
4	62	20	地狱斧王	5009	40	79	236	234	4018	265	638	0	255	621	28	4018	748	687	0	256	622	28	4084	1287	441	0	257	623	28	(4018,265,638,0,255,621,28)	(4018,748,687,0,256,622,28)	(4084,1287,441,0,257,623,28)	258	[25828,25678,25694]	[25683,18～72]
5	63	1	龙魔导	FB_Yuan2	41	80	258	295	4019	658	321	0	259	631	29	4019	998	491	0	260	632	29	4085	1392	327	0	261	633	29	(4019,658,321,0,259,631,29)	(4019,998,491,0,260,632,29)	(4085,1392,327,0,261,633,29)	262	[25828,25679,25701]	[25684,9～36]
5	64	2	龙弓手	FB_Yuan2	42	81	161	383	4020	627	287	0	263	641	30	4020	1056	276	0	264	642	30	4086	1173	774	0	265	643	30	(4020,627,287,0,263,641,30)	(4020,1056,276,0,264,642,30)	(4086,1173,774,0,265,643,30)	266	[25828,25679,25702]	[25684,9～36]
5	65	3	幻术妖姬	5007	41	82	258	295	4021	658	321	0	267	651	29	4021	998	491	0	268	652	29	4087	1392	327	0	269	653	29	(4021,658,321,0,267,651,29)	(4021,998,491,0,268,652,29)	(4087,1392,327,0,269,653,29)	270	[25828,25679,25703]	[25684,9～36]
5	66	4	放哨黑手	FB_Yuan2	42	83	161	383	4022	627	287	0	271	661	30	4022	1056	276	0	272	662	30	4088	1173	774	0	273	663	30	(4022,627,287,0,271,661,30)	(4022,1056,276,0,272,662,30)	(4088,1173,774,0,273,663,30)	274	[25828,25679,25704]	[25684,9～36]
5	67	5	夺命灵手	FB_Yuan2	41	84	258	295	4001	658	321	0	275	671	29	4001	998	491	0	276	672	29	4089	1392	327	0	277	673	29	(4001,658,321,0,275,671,29)	(4001,998,491,0,276,672,29)	(4089,1392,327,0,277,673,29)	278	[25828,25679,25705]	[25684,9～36]
5	68	6	绝美艳后	5006	42	85	161	383	4002	627	287	0	279	681	30	4002	1056	276	0	280	682	30	4090	1173	774	0	281	683	30	(4002,627,287,0,279,681,30)	(4002,1056,276,0,280,682,30)	(4090,1173,774,0,281,683,30)	282	[25828,25679,25700]	[25684,9～36]
5	69	7	战斗骑士	FB_Yuan2	41	86	258	295	4003	658	321	0	283	691	29	4003	998	491	0	284	692	29	4091	1392	327	0	285	693	29	(4003,658,321,0,283,691,29)	(4003,998,491,0,284,692,29)	(4091,1392,327,0,285,693,29)	286	[25828,25679,25700]	[25684,9～36]
5	70	8	刀郎士	FB_Yuan2	42	87	161	383	4004	627	287	0	287	701	30	4004	1056	276	0	288	702	30	4092	1173	774	0	289	703	30	(4004,627,287,0,287,701,30)	(4004,1056,276,0,288,702,30)	(4092,1173,774,0,289,703,30)	290	[25828,25679,25701]	[25684,9～36]
5	71	9	战争之王	5002	41	88	258	295	4005	658	321	0	291	711	29	4005	998	491	0	292	712	29	4093	1392	327	0	293	713	29	(4005,658,321,0,291,711,29)	(4005,998,491,0,292,712,29)	(4093,1392,327,0,293,713,29)	294	[25828,25679,25702]	[25684,9～36]
5	72	10	媚祭祀	FB_Yuan2	42	89	161	383	4006	627	287	0	295	721	30	4006	1056	276	0	296	722	30	4094	1173	774	0	297	723	30	(4006,627,287,0,295,721,30)	(4006,1056,276,0,296,722,30)	(4094,1173,774,0,297,723,30)	298	[25828,25679,25703]	[25684,9～36]
5	73	11	杖魔导	FB_Yuan2	41	90	258	295	4007	658	321	0	299	731	29	4007	998	491	0	300	732	29	4095	1392	327	0	301	733	29	(4007,658,321,0,299,731,29)	(4007,998,491,0,300,732,29)	(4095,1392,327,0,301,733,29)	302	[25828,25679,25704]	[25684,18～72]
5	74	12	天空射手	4018	42	91	161	383	4008	627	287	0	303	741	30	4008	1056	276	0	304	742	30	4096	1173	774	0	305	743	30	(4008,627,287,0,303,741,30)	(4008,1056,276,0,304,742,30)	(4096,1173,774,0,305,743,30)	306	[25828,25679,25705]	[25684,18～72]
5	75	13	前锋士兵	FB_Yuan2	41	92	258	295	4009	658	321	0	307	751	29	4009	998	491	0	308	752	29	4097	1392	327	0	309	753	29	(4009,658,321,0,307,751,29)	(4009,998,491,0,308,752,29)	(4097,1392,327,0,309,753,29)	310	[25828,25679,25700]	[25684,18～72]
5	76	14	梦祭司	FB_Yuan2	42	93	161	383	4010	627	287	0	311	761	30	4010	1056	276	0	312	762	30	4098	1173	774	0	313	763	30	(4010,627,287,0,311,761,30)	(4010,1056,276,0,312,762,30)	(4098,1173,774,0,313,763,30)	314	[25828,25679,25700]	[25684,18～72]
5	77	15	太阳神	4028	41	94	258	295	4011	658	321	0	315	771	29	4011	998	491	0	316	772	29	4099	1392	327	0	317	773	29	(4011,658,321,0,315,771,29)	(4011,998,491,0,316,772,29)	(4099,1392,327,0,317,773,29)	318	[25828,25679,25701]	[25684,18～72]
5	78	16	天贤法师	FB_Yuan2	42	95	161	383	4012	627	287	0	319	781	30	4012	1056	276	0	320	782	30	4100	1173	774	0	321	783	30	(4012,627,287,0,319,781,30)	(4012,1056,276,0,320,782,30)	(4100,1173,774,0,321,783,30)	322	[25828,25679,25702]	[25684,18～72]
5	79	17	幻天死神	FB_Yuan2	41	96	258	295	4013	658	321	0	323	791	29	4013	998	491	0	324	792	29	4101	1392	327	0	325	793	29	(4013,658,321,0,323,791,29)	(4013,998,491,0,324,792,29)	(4101,1392,327,0,325,793,29)	326	[25828,25679,25703]	[25684,18～72]
5	80	18	烈焰女神	5011	42	97	161	383	4014	627	287	0	327	801	30	4014	1056	276	0	328	802	30	4102	1173	774	0	329	803	30	(4014,627,287,0,327,801,30)	(4014,1056,276,0,328,802,30)	(4102,1173,774,0,329,803,30)	330	[25828,25679,25704]	[25684,18～72]
5	81	19	钢铁守卫	FB_Yuan2	41	98	258	295	4015	658	321	0	331	811	29	4015	998	491	0	332	812	29	4103	1392	327	0	333	813	29	(4015,658,321,0,331,811,29)	(4015,998,491,0,332,812,29)	(4103,1392,327,0,333,813,29)	334	[25828,25679,25705]	[25684,18～72]
5	82	20	审判天使	40051	42	99	161	383	4016	627	287	0	335	821	30	4016	1056	276	0	336	822	30	4104	1173	774	0	337	823	30	(4016,627,287,0,335,821,30)	(4016,1056,276,0,336,822,30)	(4104,1173,774,0,337,823,30)	338	[25828,25679,25700]	[25684,18～72]
6	83	1	失职甲兵	FB_Yuan2	33	100	198	289	4017	481	685	0	339	831	21	4017	1035	796	0	340	832	21	4105	1367	600	0	341	833	21	(4017,481,685,0,339,831,21)	(4017,1035,796,0,340,832,21)	(4105,1367,600,0,341,833,21)	342	[25828,25680,25707]	[25685,9～36]
6	84	2	潜逃铁卫	FB_Yuan2	34	101	201	219	4018	800	314	0	343	841	22	4018	1143	327	0	344	842	22	4106	1368	639	0	345	843	22	(4018,800,314,0,343,841,22)	(4018,1143,327,0,344,842,22)	(4106,1368,639,0,345,843,22)	346	[25828,25680,25708]	[25685,9～36]
6	85	3	玲珑魔导	FB_Yuan2	33	102	198	289	4019	481	685	0	347	851	21	4019	1035	796	0	348	852	21	4107	1367	600	0	349	853	21	(4019,481,685,0,347,851,21)	(4019,1035,796,0,348,852,21)	(4107,1367,600,0,349,853,21)	350	[25828,25680,25709]	[25685,9～36]
6	86	4	正义天使	500	34	103	201	219	4020	800	314	0	351	861	22	4020	1143	327	0	352	862	22	4108	1368	639	0	353	863	22	(4020,800,314,0,351,861,22)	(4020,1143,327,0,352,862,22)	(4108,1368,639,0,353,863,22)	354	[25828,25680,25710]	[25685,9～36]
6	87	5	执法队员	FB_Yuan2	33	104	198	289	4021	481	685	0	355	871	21	4021	1035	796	0	356	872	21	4109	1367	600	0	357	873	21	(4021,481,685,0,355,871,21)	(4021,1035,796,0,356,872,21)	(4109,1367,600,0,357,873,21)	358	[25828,25680,25711]	[25685,9～36]
6	88	6	城中队长	FB_Yuan2	34	105	201	219	4022	800	314	0	359	881	22	4022	1143	327	0	360	882	22	4110	1368	639	0	361	883	22	(4022,800,314,0,359,881,22)	(4022,1143,327,0,360,882,22)	(4110,1368,639,0,361,883,22)	362	[25828,25680,25706]	[25685,9～36]
6	89	7	城管守卫	20006	33	106	198	289	4001	481	685	0	363	891	21	4001	1035	796	0	364	892	21	4111	1367	600	0	365	893	21	(4001,481,685,0,363,891,21)	(4001,1035,796,0,364,892,21)	(4111,1367,600,0,365,893,21)	366	[25828,25680,25706]	[25685,9～36]
