evilLayer	evilLevel	evilIndex	evilLevelName	evilHeadIcon	needLevel	needStar	needColorCode	needPassIndex	needGrade	rewardDes	sceneID	posX	posY	Monster1	x1	y1	face1	camp1	fight1	bossData
3	4	12	地狱	5104	63	3	5	11	17	击杀小怪和boss可获得#C(#00CD00)超巨量#n经验和经验果。星级越高奖励越高。	49	955	898	5002	958	444	7	[2034,2035,2036]	2	(5002,958,444,7,[2034,2035,2036],2)
4	1	13	简单	5004	80	0	0	0	0	击杀小怪和boss可获得#C(#00CD00)中量#n经验和经验果。星级越高奖励越高。	49	955	898	5003	958	444	7	[2037,2038,2039]	2	(5003,958,444,7,[2037,2038,2039],2)
4	2	14	困难	5004	81	4	3	13	21	击杀小怪和boss可获得#C(#00CD00)大量#n经验和经验果。星级越高奖励越高。	49	955	898	5003	958	444	7	[2040,2041,2042]	2	(5003,958,444,7,[2040,2041,2042],2)
4	3	15	噩梦	5004	82	4	4	14	22	击杀小怪和boss可获得#C(#00CD00)巨量#n经验和经验果。星级越高奖励越高。	49	955	898	5003	958	444	7	[2043,2044,2045]	2	(5003,958,444,7,[2043,2044,2045],2)
4	4	16	地狱	5004	83	4	5	15	23	击杀小怪和boss可获得#C(#00CD00)超巨量#n经验和经验果。星级越高奖励越高。	49	955	898	5003	958	444	7	[2046,2047,2048]	2	(5003,958,444,7,[2046,2047,2048],2)
5	1	17	简单	5001	100	0	0	0	0	击杀小怪和boss可获得#C(#00CD00)中量#n经验和经验果。星级越高奖励越高。	49	955	898	5004	958	444	7	[2049,2050,2051]	2	(5004,958,444,7,[2049,2050,2051],2)
5	2	18	困难	5001	101	5	3	17	27	击杀小怪和boss可获得#C(#00CD00)大量#n经验和经验果。星级越高奖励越高。	49	955	898	5004	958	444	7	[2052,2053,2054]	2	(5004,958,444,7,[2052,2053,2054],2)
5	3	19	噩梦	5001	102	5	4	18	28	击杀小怪和boss可获得#C(#00CD00)巨量#n经验和经验果。星级越高奖励越高。	49	955	898	5004	958	444	7	[2055,2056,2057]	2	(5004,958,444,7,[2055,2056,2057],2)
5	4	20	地狱	5001	103	5	5	19	29	击杀小怪和boss可获得#C(#00CD00)超巨量#n经验和经验果。星级越高奖励越高。	49	955	898	5004	958	444	7	[2058,2059,2060]	2	(5004,958,444,7,[2058,2059,2060],2)
6	1	21	简单	5012	120	0	0	0	0	击杀小怪和boss可获得#C(#00CD00)中量#n经验和经验果。星级越高奖励越高。	49	955	898	5020	958	444	7	[2061,2062,2063]	2	(5020,958,444,7,[2061,2062,2063],2)
6	2	22	困难	5012	121	6	3	21	33	击杀小怪和boss可获得#C(#00CD00)大量#n经验和经验果。星级越高奖励越高。	49	955	898	5020	958	444	7	[2064,2065,2066]	2	(5020,958,444,7,[2064,2065,2066],2)
6	3	23	噩梦	5012	122	6	4	22	34	击杀小怪和boss可获得#C(#00CD00)巨量#n经验和经验果。星级越高奖励越高。	49	955	898	5020	958	444	7	[2067,2068,2069]	2	(5020,958,444,7,[2067,2068,2069],2)
6	4	24	地狱	5012	123	6	5	23	35	击杀小怪和boss可获得#C(#00CD00)超巨量#n经验和经验果。星级越高奖励越高。	49	955	898	5020	958	444	7	[2070,2071,2072]	2	(5020,958,444,7,[2070,2071,2072],2)
7	1	25	简单	5018	140	0	0	0	0	击杀小怪和boss可获得#C(#00CD00)中量#n经验和经验果。星级越高奖励越高。	49	955	898	6027	958	444	7	[2073,2074,2075]	2	(6027,958,444,7,[2073,2074,2075],2)
7	2	26	困难	5018	141	7	3	25	39	击杀小怪和boss可获得#C(#00CD00)大量#n经验和经验果。星级越高奖励越高。	49	955	898	6027	958	444	7	[2076,2077,2078]	2	(6027,958,444,7,[2076,2077,2078],2)
7	3	27	噩梦	5018	142	7	4	26	40	击杀小怪和boss可获得#C(#00CD00)巨量#n经验和经验果。星级越高奖励越高。	49	955	898	6027	958	444	7	[2079,2080,2081]	2	(6027,958,444,7,[2079,2080,2081],2)
7	4	28	地狱	5018	143	7	5	27	41	击杀小怪和boss可获得#C(#00CD00)超巨量#n经验和经验果。星级越高奖励越高。	49	955	898	6027	958	444	7	[2082,2083,2084]	2	(6027,958,444,7,[2082,2083,2084],2)
8	1	29	简单	5021	160	0	0	0	0	击杀小怪和boss可获得#C(#00CD00)中量#n经验和经验果。星级越高奖励越高。	49	955	898	5028	958	444	7	[2085,2086,2087]	2	(5028,958,444,7,[2085,2086,2087],2)
8	2	30	困难	5021	161	8	3	29	45	击杀小怪和boss可获得#C(#00CD00)大量#n经验和经验果。星级越高奖励越高。	49	955	898	5028	958	444	7	[2088,2089,2090]	2	(5028,958,444,7,[2088,2089,2090],2)
8	3	31	噩梦	5021	162	8	4	30	46	击杀小怪和boss可获得#C(#00CD00)巨量#n经验和经验果。星级越高奖励越高。	49	955	898	5028	958	444	7	[2091,2092,2093]	2	(5028,958,444,7,[2091,2092,2093],2)
8	4	32	地狱	5021	163	8	5	31	47	击杀小怪和boss可获得#C(#00CD00)超巨量#n经验和经验果。星级越高奖励越高。	49	955	898	5028	958	444	7	[2094,2095,2096]	2	(5028,958,444,7,[2094,2095,2096],2)
