reward_Id	big_type	toll_gate_level	little_type	ifboss	money		rate1	itemcoding1	cnt1	rate2	itemcoding2	cnt2	rate3	itemcoding3	cnt3	rate4	itemcoding4	cnt4	rate5	itemcoding5	cnt5	rate6	itemcoding6	cnt6
44	1	9	第二场战斗	0	0		9900	25681	2	100	35606	1	0	0	0	0	0	0	0	0	0	0	0	0
45	1	9	boss战斗	1	16500		9900	25681	2	100	35606	1	0	0	0	0	0	0	0	0	0	0	0	0
46	1	9	翻牌	0	0		6500	25681	2	2000	25681	4	1000	25681	8	250	35606	1	250	25676	2	500	25681	6
47	1	10	第一场战斗	0	0		9900	25681	2	100	35607	1	0	0	0	0	0	0	0	0	0	0	0	0
48	1	10	第二场战斗	0	0		9900	25681	2	100	35607	1	0	0	0	0	0	0	0	0	0	0	0	0
49	1	10	boss战斗	1	16500		9900	25681	2	100	35607	1	0	0	0	0	0	0	0	0	0	0	0	0
50	1	10	翻牌	0	0		6500	25681	2	2000	25681	4	1000	25681	8	250	35607	1	250	25676	2	500	25681	6
51	1	11	第一场战斗	0	0		9900	25681	2	100	35608	1	0	0	0	0	0	0	0	0	0	0	0	0
52	1	11	第二场战斗	0	0		9900	25681	2	100	35608	1	0	0	0	0	0	0	0	0	0	0	0	0
53	1	11	boss战斗	1	17625		9900	25681	2	100	35608	1	0	0	0	0	0	0	0	0	0	0	0	0
54	1	11	翻牌	0	0		6500	25681	2	2000	25681	4	1000	25681	8	250	35608	1	250	25676	2	500	25681	6
55	1	12	第一场战斗	0	0		9900	25681	2	100	35609	1	0	0	0	0	0	0	0	0	0	0	0	0
56	1	12	第二场战斗	0	0		9900	25681	2	100	35609	1	0	0	0	0	0	0	0	0	0	0	0	0
57	1	12	boss战斗	1	17625		9900	25681	2	100	35609	1	0	0	0	0	0	0	0	0	0	0	0	0
58	1	12	翻牌	0	0		6500	25681	2	2000	25681	4	1000	25681	8	250	35609	1	250	25676	2	500	25681	6
59	1	13	第一场战斗	0	0		9900	25681	3	100	35610	1	0	0	0	0	0	0	0	0	0	0	0	0
60	1	13	第二场战斗	0	0		9900	25681	3	100	35610	1	0	0	0	0	0	0	0	0	0	0	0	0
61	1	13	boss战斗	1	19875		9900	25681	3	100	35610	1	0	0	0	0	0	0	0	0	0	0	0	0
62	1	13	翻牌	0	0		6500	25681	3	2000	25681	6	1000	25681	12	250	35610	1	250	25676	3	500	25681	9
63	1	14	第一场战斗	0	0		9900	25681	3	100	35611	1	0	0	0	0	0	0	0	0	0	0	0	0
64	1	14	第二场战斗	0	0		9900	25681	3	100	35611	1	0	0	0	0	0	0	0	0	0	0	0	0
65	1	14	boss战斗	1	19875		9900	25681	3	100	35611	1	0	0	0	0	0	0	0	0	0	0	0	0
66	1	14	翻牌	0	0		6500	25681	3	2000	25681	6	1000	25681	12	250	35611	1	250	25676	3	500	25681	9
67	1	15	第一场战斗	0	0		9900	25681	3	100	35606	1	0	0	0	0	0	0	0	0	0	0	0	0
68	1	15	第二场战斗	0	0		9900	25681	3	100	35606	1	0	0	0	0	0	0	0	0	0	0	0	0
69	1	15	boss战斗	1	21000		9900	25681	3	100	35606	1	0	0	0	0	0	0	0	0	0	0	0	0
70	1	15	翻牌	0	0		6500	25681	3	2000	25681	6	1000	25681	12	250	35606	1	250	25676	3	500	25681	9
71	1	16	第一场战斗	0	0		9900	25681	3	100	35606	1	0	0	0	0	0	0	0	0	0	0	0	0
72	1	16	第二场战斗	0	0		9900	25681	3	100	35606	1	0	0	0	0	0	0	0	0	0	0	0	0
73	1	16	boss战斗	1	21000		9900	25681	3	100	35606	1	0	0	0	0	0	0	0	0	0	0	0	0
74	1	16	翻牌	0	0		6500	25681	3	2000	25681	6	1000	25681	12	250	35606	1	250	25676	3	500	25681	9
75	1	17	第一场战斗	0	0		9900	25681	3	100	35607	1	0	0	0	0	0	0	0	0	0	0	0	0
76	1	17	第二场战斗	0	0		9900	25681	3	100	35607	1	0	0	0	0	0	0	0	0	0	0	0	0
77	1	17	boss战斗	1	22125		9900	25681	3	100	35607	1	0	0	0	0	0	0	0	0	0	0	0	0
78	1	17	翻牌	0	0		6500	25681	3	2000	25681	6	1000	25681	12	250	35607	1	250	25676	3	500	25681	9
79	1	18	第一场战斗	0	0		9900	25681	3	100	35608	1	0	0	0	0	0	0	0	0	0	0	0	0
80	1	18	第二场战斗	0	0		9900	25681	3	100	35608	1	0	0	0	0	0	0	0	0	0	0	0	0
81	1	18	boss战斗	1	22125		9900	25681	3	100	35608	1	0	0	0	0	0	0	0	0	0	0	0	0
82	1	18	翻牌	0	0		6500	25681	3	2000	25681	6	1000	25681	12	250	35608	1	250	25676	3	500	25681	9
83	1	19	第一场战斗	0	0		9900	25681	3	100	35609	1	0	0	0	0	0	0	0	0	0	0	0	0
84	1	19	第二场战斗	0	0		9900	25681	3	100	35609	1	0	0	0	0	0	0	0	0	0	0	0	0
85	1	19	boss战斗	1	23250		9900	25681	3	100	35609	1	0	0	0	0	0	0	0	0	0	0	0	0
86	1	19	翻牌	0	0		6500	25681	3	2000	25681	6	1000	25681	12	250	35609	1	250	25676	3	500	25681	9
87	1	20	第一场战斗	0	0		9900	25681	3	100	35610	1	0	0	0	0	0	0	0	0	0	0	0	0
88	1	20	第二场战斗	0	0		9900	25681	3	100	35610	1	0	0	0	0	0	0	0	0	0	0	0	0
89	1	20	boss战斗	1	23250		9900	25681	3	100	35610	1	0	0	0	0	0	0	0	0	0	0	0	0
90	1	20	翻牌	0	0		6500	25681	3	2000	25681	6	1000	25681	12	250	35610	1	250	25676	3	500	25681	9
91	1	21	第一场战斗	0	0		9900	25681	3	100	35611	1	0	0	0	0	0	0	0	0	0	0	0	0
92	1	21	第二场战斗	0	0		9900	25681	3	100	35611	1	0	0	0	0	0	0	0	0	0	0	0	0
93	1	21	boss战斗	1	24375		9900	25681	3	100	35611	1	0	0	0	0	0	0	0	0	0	0	0	0
94	1	21	翻牌	0	0		6500	25681	3	2000	25681	6	1000	25681	12	250	35611	1	250	25676	3	500	25681	9
95	1	22	第一场战斗	0	0		9900	25681	3	100	35606	1	0	0	0	0	0	0	0	0	0	0	0	0
96	1	22	第二场战斗	0	0		9900	25681	3	100	35606	1	0	0	0	0	0	0	0	0	0	0	0	0
97	1	22	boss战斗	1	24375		9900	25681	3	100	35606	1	0	0	0	0	0	0	0	0	0	0	0	0
98	1	22	翻牌	0	0		6500	25681	3	2000	25681	6	1000	25681	12	250	35606	1	250	25676	3	500	25681	9
99	1	23	第一场战斗	0	0		9950	25682	3	50	25689	1	0	0	0	0	0	0	0	0	0	0	0	0
100	1	23	第二场战斗	0	0		9950	25682	3	50	25689	1	0	0	0	0	0	0	0	0	0	0	0	0
101	1	23	boss战斗	1	25000		9950	25682	3	50	25689	1	0	0	0	0	0	0	0	0	0	0	0	0
102	1	23	翻牌	0	0		7200	25682	3	2000	25682	6	600	25682	12	100	25689	1	100	25677	1	300	25682	9
103	1	24	第一场战斗	0	0		9950	25682	3	50	25690	1	0	0	0	0	0	0	0	0	0	0	0	0
104	1	24	第二场战斗	0	0		9950	25682	3	50	25690	1	0	0	0	0	0	0	0	0	0	0	0	0
105	1	24	boss战斗	1	28125		9950	25682	3	50	25690	1	0	0	0	0	0	0	0	0	0	0	0	0
106	1	24	翻牌	0	0		7200	25682	3	2000	25682	6	600	25682	12	100	25690	1	100	25677	1	300	25682	9
107	1	25	第一场战斗	0	0		9950	25682	3	50	25691	1	0	0	0	0	0	0	0	0	0	0	0	0
108	1	25	第二场战斗	0	0		9950	25682	3	50	25691	1	0	0	0	0	0	0	0	0	0	0	0	0
109	1	25	boss战斗	1	31250		9950	25682	3	50	25691	1	0	0	0	0	0	0	0	0	0	0	0	0
110	1	25	翻牌	0	0		7200	25682	3	2000	25682	6	600	25682	12	100	25691	1	100	25677	1	300	25682	9
111	1	26	第一场战斗	0	0		9950	25682	3	50	25692	1	0	0	0	0	0	0	0	0	0	0	0	0
112	1	26	第二场战斗	0	0		9950	25682	3	50	25692	1	0	0	0	0	0	0	0	0	0	0	0	0
113	1	26	boss战斗	1	34375		9950	25682	3	50	25692	1	0	0	0	0	0	0	0	0	0	0	0	0
114	1	26	翻牌	0	0		7200	25682	3	2000	25682	6	600	25682	12	100	25692	1	100	25677	1	300	25682	9
115	1	27	第一场战斗	0	0		9950	25682	3	50	25693	1	0	0	0	0	0	0	0	0	0	0	0	0
116	1	27	第二场战斗	0	0		9950	25682	3	50	25693	1	0	0	0	0	0	0	0	0	0	0	0	0
117	1	27	boss战斗	1	37500		9950	25682	3	50	25693	1	0	0	0	0	0	0	0	0	0	0	0	0
118	1	27	翻牌	0	0		7200	25682	3	2000	25682	6	600	25682	12	100	25693	1	100	25677	1	300	25682	9
119	1	28	第一场战斗	0	0		9950	25682	3	50	25688	1	0	0	0	0	0	0	0	0	0	0	0	0
120	1	28	第二场战斗	0	0		9950	25682	3	50	25688	1	0	0	0	0	0	0	0	0	0	0	0	0
121	1	28	boss战斗	1	40625		9950	25682	3	50	25688	1	0	0	0	0	0	0	0	0	0	0	0	0
122	1	28	翻牌	0	0		7200	25682	3	2000	25682	6	600	25682	12	100	25688	1	100	25677	1	300	25682	9
123	1	29	第一场战斗	0	0		9950	25682	3	50	25688	1	0	0	0	0	0	0	0	0	0	0	0	0
124	1	29	第二场战斗	0	0		9950	25682	3	50	25688	1	0	0	0	0	0	0	0	0	0	0	0	0
125	1	29	boss战斗	1	43750		9950	25682	3	50	25688	1	0	0	0	0	0	0	0	0	0	0	0	0
126	1	29	翻牌	0	0		7200	25682	3	2000	25682	6	600	25682	12	100	25688	1	100	25677	1	300	25682	9
127	1	30	第一场战斗	0	0		9950	25682	3	50	25689	1	0	0	0	0	0	0	0	0	0	0	0	0
128	1	30	第二场战斗	0	0		9950	25682	3	50	25689	1	0	0	0	0	0	0	0	0	0	0	0	0
129	1	30	boss战斗	1	50000		9950	25682	3	50	25689	1	0	0	0	0	0	0	0	0	0	0	0	0
130	1	30	翻牌	0	0		7200	25682	3	2000	25682	6	600	25682	12	100	25689	1	100	25677	1	300	25682	9
131	1	31	第一场战斗	0	0		9950	25682	3	50	25690	1	0	0	0	0	0	0	0	0	0	0	0	0
132	1	31	第二场战斗	0	0		9950	25682	3	50	25690	1	0	0	0	0	0	0	0	0	0	0	0	0
133	1	31	boss战斗	1	56250		9950	25682	3	50	25690	1	0	0	0	0	0	0	0	0	0	0	0	0
134	1	31	翻牌	0	0		7200	25682	3	2000	25682	6	600	25682	12	100	25690	1	100	25677	1	300	25682	9
135	1	32	第一场战斗	0	0		9950	25682	3	50	25691	1	0	0	0	0	0	0	0	0	0	0	0	0
136	1	32	第二场战斗	0	0		9950	25682	3	50	25691	1	0	0	0	0	0	0	0	0	0	0	0	0
137	1	32	boss战斗	1	62500		9950	25682	3	50	25691	1	0	0	0	0	0	0	0	0	0	0	0	0
138	1	32	翻牌	0	0		7200	25682	3	2000	25682	6	600	25682	12	100	25691	1	100	25677	1	300	25682	9
139	1	33	第一场战斗	0	0		9950	25682	6	50	25692	1	0	0	0	0	0	0	0	0	0	0	0	0
140	1	33	第二场战斗	0	0		9950	25682	6	50	25692	1	0	0	0	0	0	0	0	0	0	0	0	0
141	1	33	boss战斗	1	68750		9950	25682	6	50	25692	1	0	0	0	0	0	0	0	0	0	0	0	0
142	1	33	翻牌	0	0		7200	25682	6	2000	25682	12	600	25682	24	100	25692	1	100	25677	2	300	25682	18
143	1	34	第一场战斗	0	0		9950	25682	6	50	25693	1	0	0	0	0	0	0	0	0	0	0	0	0
144	1	34	第二场战斗	0	0		9950	25682	6	50	25693	1	0	0	0	0	0	0	0	0	0	0	0	0
145	1	34	boss战斗	1	75000		9950	25682	6	50	25693	1	0	0	0	0	0	0	0	0	0	0	0	0
146	1	34	翻牌	0	0		7200	25682	6	2000	25682	12	600	25682	24	100	25693	1	100	25677	2	300	25682	18
147	1	35	第一场战斗	0	0		9950	25682	6	50	25688	1	0	0	0	0	0	0	0	0	0	0	0	0
148	1	35	第二场战斗	0	0		9950	25682	6	50	25688	1	0	0	0	0	0	0	0	0	0	0	0	0
149	1	35	boss战斗	1	81250		9950	25682	6	50	25688	1	0	0	0	0	0	0	0	0	0	0	0	0
150	1	35	翻牌	0	0		7200	25682	6	2000	25682	12	600	25682	24	100	25688	1	100	25677	2	300	25682	18
151	1	36	第一场战斗	0	0		9950	25682	6	50	25688	1	0	0	0	0	0	0	0	0	0	0	0	0
152	1	36	第二场战斗	0	0		9950	25682	6	50	25688	1	0	0	0	0	0	0	0	0	0	0	0	0
153	1	36	boss战斗	1	87500		9950	25682	6	50	25688	1	0	0	0	0	0	0	0	0	0	0	0	0
154	1	36	翻牌	0	0		7200	25682	6	2000	25682	12	600	25682	24	100	25688	1	100	25677	2	300	25682	18
155	1	37	第一场战斗	0	0		9950	25682	6	50	25689	1	0	0	0	0	0	0	0	0	0	0	0	0
156	1	37	第二场战斗	0	0		9950	25682	6	50	25689	1	0	0	0	0	0	0	0	0	0	0	0	0
157	1	37	boss战斗	1	93750		9950	25682	6	50	25689	1	0	0	0	0	0	0	0	0	0	0	0	0
158	1	37	翻牌	0	0		7200	25682	6	2000	25682	12	600	25682	24	100	25689	1	100	25677	2	300	25682	18
159	1	38	第一场战斗	0	0		9950	25682	6	50	25690	1	0	0	0	0	0	0	0	0	0	0	0	0
160	1	38	第二场战斗	0	0		9950	25682	6	50	25690	1	0	0	0	0	0	0	0	0	0	0	0	0
161	1	38	boss战斗	1	100000		9950	25682	6	50	25690	1	0	0	0	0	0	0	0	0	0	0	0	0
162	1	38	翻牌	0	0		7200	25682	6	2000	25682	12	600	25682	24	100	25690	1	100	25677	2	300	25682	18
163	1	39	第一场战斗	0	0		9950	25682	6	50	25691	1	0	0	0	0	0	0	0	0	0	0	0	0
164	1	39	第二场战斗	0	0		9950	25682	6	50	25691	1	0	0	0	0	0	0	0	0	0	0	0	0
165	1	39	boss战斗	1	106250		9950	25682	6	50	25691	1	0	0	0	0	0	0	0	0	0	0	0	0
166	1	39	翻牌	0	0		7200	25682	6	2000	25682	12	600	25682	24	100	25691	1	100	25677	2	300	25682	18
167	1	40	第一场战斗	0	0		9950	25682	6	50	25692	1	0	0	0	0	0	0	0	0	0	0	0	0
168	1	40	第二场战斗	0	0		9950	25682	6	50	25692	1	0	0	0	0	0	0	0	0	0	0	0	0
169	1	40	boss战斗	1	112500		9950	25682	6	50	25692	1	0	0	0	0	0	0	0	0	0	0	0	0
170	1	40	翻牌	0	0		7200	25682	6	2000	25682	12	600	25682	24	100	25692	1	100	25677	2	300	25682	18
171	1	41	第一场战斗	0	0		9950	25682	6	50	25693	1	0	0	0	0	0	0	0	0	0	0	0	0
172	1	41	第二场战斗	0	0		9950	25682	6	50	25693	1	0	0	0	0	0	0	0	0	0	0	0	0
173	1	41	boss战斗	1	118750		9950	25682	6	50	25693	1	0	0	0	0	0	0	0	0	0	0	0	0
174	1	41	翻牌	0	0		7200	25682	6	2000	25682	12	600	25682	24	100	25693	1	100	25677	2	300	25682	18
175	1	42	第一场战斗	0	0		9950	25682	6	50	25688	1	0	0	0	0	0	0	0	0	0	0	0	0
176	1	42	第二场战斗	0	0		9950	25682	6	50	25688	1	0	0	0	0	0	0	0	0	0	0	0	0
177	1	42	boss战斗	1	125000		9950	25682	6	50	25688	1	0	0	0	0	0	0	0	0	0	0	0	0
178	1	42	翻牌	0	0		7200	25682	6	2000	25682	12	600	25682	24	100	25688	1	100	25677	2	300	25682	18
179	1	43	第一场战斗	0	0		9950	25683	3	50	25695	1	0	0	0	0	0	0	0	0	0	0	0	0
180	1	43	第二场战斗	0	0		9950	25683	3	50	25695	1	0	0	0	0	0	0	0	0	0	0	0	0
181	1	43	boss战斗	1	125625		9950	25683	3	50	25695	1	0	0	0	0	0	0	0	0	0	0	0	0
182	1	43	翻牌	0	0		7200	25683	3	2000	25683	6	600	25683	12	100	25695	1	100	25678	1	300	25683	9
183	1	44	第一场战斗	0	0		9950	25683	3	50	25696	1	0	0	0	0	0	0	0	0	0	0	0	0
184	1	44	第二场战斗	0	0		9950	25683	3	50	25696	1	0	0	0	0	0	0	0	0	0	0	0	0
185	1	44	boss战斗	1	126250		9950	25683	3	50	25696	1	0	0	0	0	0	0	0	0	0	0	0	0
186	1	44	翻牌	0	0		7200	25683	3	2000	25683	6	600	25683	12	100	25696	1	100	25678	1	300	25683	9
187	1	45	第一场战斗	0	0		9950	25683	3	200	25697	1	0	0	0	0	0	0	0	0	0	0	0	0
188	1	45	第二场战斗	0	0		9950	25683	3	200	25697	1	0	0	0	0	0	0	0	0	0	0	0	0
189	1	45	boss战斗	1	126875		9950	25683	3	200	25697	1	0	0	0	0	0	0	0	0	0	0	0	0
190	1	45	翻牌	0	0		7200	25683	3	2000	25683	6	600	25683	12	100	25697	1	100	25678	1	300	25683	9
191	1	46	第一场战斗	0	0		9950	25683	3	50	25698	1	0	0	0	0	0	0	0	0	0	0	0	0
192	1	46	第二场战斗	0	0		9950	25683	3	50	25698	1	0	0	0	0	0	0	0	0	0	0	0	0
193	1	46	boss战斗	1	127500		9950	25683	3	50	25698	1	0	0	0	0	0	0	0	0	0	0	0	0
194	1	46	翻牌	0	0		7200	25683	3	2000	25683	6	600	25683	12	100	25698	1	100	25678	1	300	25683	9
195	1	47	第一场战斗	0	0		9950	25683	3	50	25699	1	0	0	0	0	0	0	0	0	0	0	0	0
196	1	47	第二场战斗	0	0		9950	25683	3	50	25699	1	0	0	0	0	0	0	0	0	0	0	0	0
197	1	47	boss战斗	1	128125		9950	25683	3	50	25699	1	0	0	0	0	0	0	0	0	0	0	0	0
198	1	47	翻牌	0	0		7200	25683	3	2000	25683	6	600	25683	12	100	25699	1	100	25678	1	300	25683	9
199	1	48	第一场战斗	0	0		9950	25683	3	50	25694	1	0	0	0	0	0	0	0	0	0	0	0	0
200	1	48	第二场战斗	0	0		9950	25683	3	50	25694	1	0	0	0	0	0	0	0	0	0	0	0	0
201	1	48	boss战斗	1	128750		9950	25683	3	50	25694	1	0	0	0	0	0	0	0	0	0	0	0	0
202	1	48	翻牌	0	0		7200	25683	3	2000	25683	6	600	25683	12	100	25694	1	100	25678	1	300	25683	9
203	1	49	第一场战斗	0	0		9950	25683	3	50	25694	1	0	0	0	0	0	0	0	0	0	0	0	0
204	1	49	第二场战斗	0	0		9950	25683	3	50	25694	1	0	0	0	0	0	0	0	0	0	0	0	0
205	1	49	boss战斗	1	129375		9950	25683	3	50	25694	1	0	0	0	0	0	0	0	0	0	0	0	0
206	1	49	翻牌	0	0		7200	25683	3	2000	25683	6	600	25683	12	100	25694	1	100	25678	1	300	25683	9
207	1	50	第一场战斗	0	0		9950	25683	3	50	25695	1	0	0	0	0	0	0	0	0	0	0	0	0
208	1	50	第二场战斗	0	0		9950	25683	3	50	25695	1	0	0	0	0	0	0	0	0	0	0	0	0
209	1	50	boss战斗	1	130000		9950	25683	3	50	25695	1	0	0	0	0	0	0	0	0	0	0	0	0
210	1	50	翻牌	0	0		7200	25683	3	2000	25683	6	600	25683	12	100	25695	1	100	25678	1	300	25683	9
211	1	51	第一场战斗	0	0		9950	25683	3	50	25696	1	0	0	0	0	0	0	0	0	0	0	0	0
212	1	51	第二场战斗	0	0		9950	25683	3	50	25696	1	0	0	0	0	0	0	0	0	0	0	0	0
213	1	51	boss战斗	1	130625		9950	25683	3	50	25696	1	0	0	0	0	0	0	0	0	0	0	0	0
214	1	51	翻牌	0	0		7200	25683	3	2000	25683	6	600	25683	12	100	25696	1	100	25678	1	300	25683	9
215	1	52	第一场战斗	0	0		9950	25683	3	50	25697	1	0	0	0	0	0	0	0	0	0	0	0	0
216	1	52	第二场战斗	0	0		9950	25683	3	50	25697	1	0	0	0	0	0	0	0	0	0	0	0	0
217	1	52	boss战斗	1	131250		9950	25683	3	50	25697	1	0	0	0	0	0	0	0	0	0	0	0	0
218	1	52	翻牌	0	0		7200	25683	3	2000	25683	6	600	25683	12	100	25697	1	100	25678	1	300	25683	9
219	1	53	第一场战斗	0	0		9950	25683	6	50	25698	1	0	0	0	0	0	0	0	0	0	0	0	0
220	1	53	第二场战斗	0	0		9950	25683	6	50	25698	1	0	0	0	0	0	0	0	0	0	0	0	0
221	1	53	boss战斗	1	131875		9950	25683	6	50	25698	1	0	0	0	0	0	0	0	0	0	0	0	0
222	1	53	翻牌	0	0		7200	25683	6	2000	25683	12	600	25683	24	100	25698	1	100	25678	2	300	25683	18
223	1	54	第一场战斗	0	0		9950	25683	6	50	25699	1	0	0	0	0	0	0	0	0	0	0	0	0
224	1	54	第二场战斗	0	0		9950	25683	6	50	25699	1	0	0	0	0	0	0	0	0	0	0	0	0
225	1	54	boss战斗	1	132500		9950	25683	6	50	25699	1	0	0	0	0	0	0	0	0	0	0	0	0
226	1	54	翻牌	0	0		7200	25683	6	2000	25683	12	600	25683	24	100	25699	1	100	25678	2	300	25683	18
227	1	55	第一场战斗	0	0		9950	25683	6	50	25694	1	0	0	0	0	0	0	0	0	0	0	0	0
228	1	55	第二场战斗	0	0		9950	25683	6	50	25694	1	0	0	0	0	0	0	0	0	0	0	0	0
229	1	55	boss战斗	1	133125		9950	25683	6	50	25694	1	0	0	0	0	0	0	0	0	0	0	0	0
230	1	55	翻牌	0	0		7200	25683	6	2000	25683	12	600	25683	24	100	25694	1	100	25678	2	300	25683	18
231	1	56	第一场战斗	0	0		9950	25683	6	50	25694	1	0	0	0	0	0	0	0	0	0	0	0	0
232	1	56	第二场战斗	0	0		9950	25683	6	50	25694	1	0	0	0	0	0	0	0	0	0	0	0	0
233	1	56	boss战斗	1	133750		9950	25683	6	50	25694	1	0	0	0	0	0	0	0	0	0	0	0	0
234	1	56	翻牌	0	0		7200	25683	6	2000	25683	12	600	25683	24	100	25694	1	100	25678	2	300	25683	18
235	1	57	第一场战斗	0	0		9950	25683	6	50	25695	1	0	0	0	0	0	0	0	0	0	0	0	0
236	1	57	第二场战斗	0	0		9950	25683	6	50	25695	1	0	0	0	0	0	0	0	0	0	0	0	0
237	1	57	boss战斗	1	134375		9950	25683	6	50	25695	1	0	0	0	0	0	0	0	0	0	0	0	0
238	1	57	翻牌	0	0		7200	25683	6	2000	25683	12	600	25683	24	100	25695	1	100	25678	2	300	25683	18
239	1	58	第一场战斗	0	0		9950	25683	6	50	25696	1	0	0	0	0	0	0	0	0	0	0	0	0
240	1	58	第二场战斗	0	0		9950	25683	6	50	25696	1	0	0	0	0	0	0	0	0	0	0	0	0
241	1	58	boss战斗	1	135000		9950	25683	6	50	25696	1	0	0	0	0	0	0	0	0	0	0	0	0
242	1	58	翻牌	0	0		7200	25683	6	2000	25683	12	600	25683	24	100	25696	1	100	25678	2	300	25683	18
243	1	59	第一场战斗	0	0		9950	25683	6	50	25697	1	0	0	0	0	0	0	0	0	0	0	0	0
244	1	59	第二场战斗	0	0		9950	25683	6	50	25697	1	0	0	0	0	0	0	0	0	0	0	0	0
245	1	59	boss战斗	1	135625		9950	25683	6	50	25697	1	0	0	0	0	0	0	0	0	0	0	0	0
246	1	59	翻牌	0	0		7200	25683	6	2000	25683	12	600	25683	24	100	25697	1	100	25678	2	300	25683	18
247	1	60	第一场战斗	0	0		9950	25683	6	50	25698	1	0	0	0	0	0	0	0	0	0	0	0	0
248	1	60	第二场战斗	0	0		9950	25683	6	50	25698	1	0	0	0	0	0	0	0	0	0	0	0	0
249	1	60	boss战斗	1	136250		9950	25683	6	50	25698	1	0	0	0	0	0	0	0	0	0	0	0	0
