rewardId	desc	level	needZDL	oneFlyNum	mountLevel	PetNum	GemNum	mountCulNum	wishTimes	tarotTimes	wingTimes	FuWenNum	PetTimes	RingTimes	StarGirlStar	rewardItem	rewardItemShow	rewardTiLi	rewardTarot	rewardHero	bindRMB	money	UnbindRMB_S	Reputation	TaortHP	TempBless	request	requestNum
55	合成6个6级宝石	0	0		0		(6,6)	0	0	0	0		0	0	0	[(25831,15),(26450,1)]	[(25831,15),(26450,1),(25828,1000000)]	0	0	0	0	1000000	0	0	0		合成个数：	6
56	合成4个7级宝石	0	0		0		(7,4)	0	0	0	0		0	0	0	[(25831,20),(26031,1)]	[(25831,20),(26031,1),(25828,2000000)]	0	0	0	0	2000000	0	0	0		合成个数：	4
57	每日许愿30次	0	0		0			0	30	0	0		0	0	0	[(26302,3)]	[(26302,3)]	0	0	0	0	0	0	0	0		许愿次数：	200
58	每日许愿80次	0	0		0			0	80	0	0		0	0	0	[(26302,5)]	[(26302,5)]	0	0	0	0	0	0	0	0		许愿次数：	200
59	每日许愿200次	0	0		0			0	200	0	0		0	0	0	[(26302,12),(26298,10)]	[(26302,12),(26298,10)]	0	0	0	0	0	0	0	0		许愿次数：	200
60	每日获得紫色或以上命魂5个	0	0		0			0	0	(4,5)	0		0	0	0	[(26043,10),(26032,1)]	[(26043,10),(26032,1)]	0	0	0	0	0	0	0	0		达标数量：	
61	每日获得紫色或以上命魂10个	0	0		0			0	0	(4,10)	0		0	0	0	[(26043,10),(26033,1)]	[(26043,10),(26033,1)]	0	0	0	0	0	0	0	0		达标数量：	
62	每日获得金色或以上命魂2个	0	0		0			0	0	(5,2)	0		0	0	0	[(26043,15),(26119,1)]	[(26043,15),(26119,1)]	0	0	0	0	0	0	0	0		达标数量：	
63	羽翼培养50次	0	0		0			0	0	0	50		0	0	0	[(27167,1)]	[(27167,1)]	0	0	0	0	0	0	0	0		培养次数：	500
64	羽翼培养200次	0	0		0			0	0	0	200		0	0	0	[(27167,4)]	[(27167,4)]	0	0	0	0	0	0	0	0		培养次数：	500
65	羽翼培养300次	0	0		0			0	0	0	300		0	0	0	[(26676,1),(27167,5)]	[(26676,1),(27167,5)]	0	0	0	0	0	0	0	0		培养次数：	500
66	合成1个6级符文	0	0		0			0	0	0	0	(6,1)	0	0	0	[(26033,1),(25970,1)]	[(26033,1),(25970,1)]	0	0	0	0	0	0	0	0		合成个数：	
67	合成1个7级符文	0	0		0			0	0	0	0	(7,1)	0	0	0	[(26044,1),(25970,2)]	[(26044,1),(25970,2)]	0	0	0	0	0	0	0	0		合成个数：	
68	合成1个8级符文	0	0		0			0	0	0	0	(8,1)	0	0	0	[(26267,1),(25970,4)]	[(26267,1),(25970,4)]	0	0	0	0	0	0	0	0		合成个数：	
69	宠物培养50次	0	0		0			0	0	0	0		50	0	0	[(26221,10)]	[(26221,10))]	0	0	0	0	0	0	0	0		培养次数：	500
70	宠物培养100次	0	0		0			0	0	0	0		100	0	0	[(26221,20)]	[(26221,20))]	0	0	0	0	0	0	0	0		培养次数：	500
71	宠物培养200次	0	0		0			0	0	0	0		200	0	0	[(26221,40),(26450,5)]	[(26221,40),(26450,5)]	0	0	0	0	0	0	0	0		培养次数：	500
72	婚戒培养50次	0	0		0			0	0	0	0		0	50	0	[(26342,5),(26450,1)]	[(26342,5),(26450,1)]	0	0	0	0	0	0	0	0		培养次数：	1000
73	婚戒培养200次	0	0		0			0	0	0	0		0	200	0	[(26342,10),(26450,4)]	[(26342,10),(26450,4)]	0	0	0	0	0	0	0	0		培养次数：	1000
74	婚戒培养300次	0	0		0			0	0	0	0		0	300	0	[(26342,20),(26450,5),(26343,10)]	[(26342,20),(26450,5),(26343,10)]	0	0	0	0	0	0	0	0		培养次数：	1000
