serverType	index	rankInterval	needValue	reward	rankImg	rewardItemsPreview
3	7	11,20	2000	[(28260,80),(26344,40),(26450,20),(25773,1)]	KHPD_Text11	[(28260,80),(26344,40),(26450,20),(25773,1)]
3	8	21,50	2000	[(28260,60),(26344,20),(26450,15),(25764,1)]	KHPD_Text21	[(28260,60),(26344,20),(26450,15),(25764,1)]
3	9	51,100	1000	[(28260,40),(26344,10),(26450,10),(25755,1)]	KHPD_Text51	[(28260,40),(26344,10),(26450,10),(25755,1)]
4	1	1,1	2000	[(28260,300),(26344,200),(26450,100),(25968,1),(27626,1),(26899,1)]	KHPD_TextDYM	[(28260,300),(26344,200),(26450,100),(25968,1),(27626,1),(26899,1)]
4	2	2,2	2000	[(28260,250),(26344,150),(26450,75),(25956,1),(27625,1)]	KHPD_TextDRM	[(28260,250),(26344,150),(26450,75),(25956,1),(27625,1)]
4	3	3,3	2000	[(28260,200),(26344,120),(26450,60),(25944,1),(27624,1)]	KHPD_TextDSM	[(28260,200),(26344,120),(26450,60),(25944,1),(27624,1)]
4	4	4,4	2000	[(28260,150),(26344,100),(26450,50),(25932,1),(27623,1)]	KHPD_TextD4M	[(28260,150),(26344,100),(26450,50),(25932,1),(27623,1)]
4	5	5,5	2000	[(28260,120),(26344,80),(26450,40),(25932,1),(27623,1)]	KHPD_TextD5M	[(28260,120),(26344,80),(26450,40),(25932,1),(27623,1)]
4	6	6,10	2000	[(28260,100),(26344,60),(26450,30),(25920,1)]	KHPD_Text6	[(28260,100),(26344,60),(26450,30),(25920,1)]
4	7	11,20	2000	[(28260,80),(26344,40),(26450,20),(25920,1)]	KHPD_Text11	[(28260,80),(26344,40),(26450,20),(25920,1)]
4	8	21,50	2000	[(28260,60),(26344,20),(26450,15),(25908,1)]	KHPD_Text21	[(28260,60),(26344,20),(26450,15),(25908,1)]
4	9	51,100	1000	[(28260,40),(26344,10),(26450,10),(25896,1)]	KHPD_Text51	[(28260,40),(26344,10),(26450,10),(25896,1)]
5	1	1,1	2000	[(28260,300),(26344,200),(26450,100),(25968,1),(27626,1),(26899,1)]	KHPD_TextDYM	[(28260,300),(26344,200),(26450,100),(25968,1),(27626,1),(26899,1)]
5	2	2,2	2000	[(28260,250),(26344,150),(26450,75),(25956,1),(27625,1)]	KHPD_TextDRM	[(28260,250),(26344,150),(26450,75),(25956,1),(27625,1)]
5	3	3,3	2000	[(28260,200),(26344,120),(26450,60),(25944,1),(27624,1)]	KHPD_TextDSM	[(28260,200),(26344,120),(26450,60),(25944,1),(27624,1)]
5	4	4,4	2000	[(28260,150),(26344,100),(26450,50),(25932,1),(27623,1)]	KHPD_TextD4M	[(28260,150),(26344,100),(26450,50),(25932,1),(27623,1)]
5	5	5,5	2000	[(28260,120),(26344,80),(26450,40),(25932,1),(27623,1)]	KHPD_TextD5M	[(28260,120),(26344,80),(26450,40),(25932,1),(27623,1)]
5	6	6,10	2000	[(28260,100),(26344,60),(26450,30),(25920,1)]	KHPD_Text6	[(28260,100),(26344,60),(26450,30),(25920,1)]
5	7	11,20	2000	[(28260,80),(26344,40),(26450,20),(25920,1)]	KHPD_Text11	[(28260,80),(26344,40),(26450,20),(25920,1)]
5	8	21,50	2000	[(28260,60),(26344,20),(26450,15),(25908,1)]	KHPD_Text21	[(28260,60),(26344,20),(26450,15),(25908,1)]
5	9	51,100	1000	[(28260,40),(26344,10),(26450,10),(25896,1)]	KHPD_Text51	[(28260,40),(26344,10),(26450,10),(25896,1)]
