goodsId	goodsType	goodsName	serverType	kaifuDayRange	limitCnt	needLevel	dayBuyRMBLimit	originalPrice	needUnbindRMB	items	realItems	rewardMoney	rewardRMB
32	20	符文特惠礼包	1	[-100,30]	1	60	2500	7932	5000	[(27626,1),(27625,1),(27623,2),(27491,1)]	[(27626,1),(27625,1),(27623,2),(27491,1)]	0	0
33	20	符文特惠礼包	2	[31,60]	1	60	2500	8412	5000	[(27626,1),(27625,1),(27623,3),(27491,1)]	[(27626,1),(27625,1),(27623,3),(27491,1)]	0	0
34	20	符文特惠礼包	3	[61,120]	1	60	2500	8892	5000	[(27626,1),(27625,1),(27623,4),(27491,1)]	[(27626,1),(27625,1),(27623,4),(27491,1)]	0	0
35	20	符文特惠礼包	4	[121,999]	1	60	2500	9372	5000	[(27626,1),(27625,1),(27623,5),(27491,1)]	[(27626,1),(27625,1),(27623,5),(27491,1)]	0	0
36	21	羽翼超值大礼一	1	[-100,999]	5	65	0	320	216	[(25837,30),(27368,1),(25828,288000)]	[(25837,30),(27368,1)]	288000	0
37	22	羽翼超值大礼二	1	[-100,999]	3	65	0	950	640	[(25837,90),(27369,1),(25828,888000)]	[(25837,90),(27369,1)]	888000	0
38	23	羽翼超值大礼三	1	[-100,999]	1	65	0	3722	2480	[(25837,350),(27490,1),(25828,1880000)]	[(25837,350),(27490,1)]	1880000	0
39	24	羽翼特惠礼包	1	[-100,30]	1	65	2500	7612	5000	[(25837,640),(27491,1)]	[(25837,640),(27491,1)]	0	0
40	24	羽翼特惠礼包	2	[31,60]	1	65	2500	8212	5000	[(25837,700),(27491,1)]	[(25837,700),(27491,1)]	0	0
41	24	羽翼特惠礼包	3	[61,120]	1	65	2500	8912	5000	[(25837,770),(27491,1)]	[(25837,770),(27491,1)]	0	0
42	24	羽翼特惠礼包	4	[121,999]	1	65	2500	9712	5000	[(25837,850),(27491,1)]	[(25837,850),(27491,1)]	0	0
43	25	宠物超值大礼一	1	[-100,999]	5	70	0	320	216	[(26144,30),(27368,1),(25828,288000)]	[(26144,30),(27368,1)]	288000	0
44	26	宠物超值大礼二	1	[-100,999]	3	70	0	950	640	[(26144,90),(27369,1),(25828,888000)]	[(26144,90),(27369,1)]	888000	0
45	27	宠物超值大礼三	1	[-100,999]	1	70	0	3722	2480	[(26144,350),(27490,1),(25828,1880000)]	[(26144,350),(27490,1)]	1880000	0
46	28	宠物特惠礼包	1	[-100,30]	1	70	2500	7612	5000	[(26144,640),(27491,1)]	[(26144,640),(27491,1)]	0	0
47	28	宠物特惠礼包	2	[31,60]	1	70	2500	8212	5000	[(26144,700),(27491,1)]	[(26144,700),(27491,1)]	0	0
48	28	宠物特惠礼包	3	[61,120]	1	70	2500	8912	5000	[(26144,770),(27491,1)]	[(26144,770),(27491,1)]	0	0
49	28	宠物特惠礼包	4	[121,999]	1	70	2500	9712	5000	[(26144,850),(27491,1)]	[(26144,850),(27491,1)]	0	0
50	29	婚戒超值大礼一	1	[-100,999]	5	36	0	380	200	[(26344,36),(27368,1),(25828,288000)]	[(26344,36),(27368,1)]	288000	0
51	30	婚戒超值大礼二	1	[-100,999]	3	36	0	1250	600	[(26344,120),(27369,1),(25828,888000)]	[(26344,120),(27369,1)]	888000	0
52	31	婚戒超值大礼三	1	[-100,999]	1	36	0	4722	2400	[(26344,450),(27490,1),(25828,1880000)]	[(26344,450),(27490,1)]	1880000	0
53	32	婚戒特惠礼包	1	[-100,30]	1	36	2500	11212	5000	[(26344,1000),(27491,1)]	[(26344,1000),(27491,1)]	0	0
54	32	婚戒特惠礼包	2	[31,60]	1	36	2500	12212	5000	[(26344,1100),(27491,1)]	[(26344,1100),(27491,1)]	0	0
55	32	婚戒特惠礼包	3	[61,120]	1	36	2500	13212	5000	[(26344,1200),(27491,1)]	[(26344,1200),(27491,1)]	0	0
56	32	婚戒特惠礼包	4	[121,999]	1	36	2500	14212	5000	[(26344,1300),(27491,1)]	[(26344,1300),(27491,1)]	0	0
57	33	星灵超值大礼一	1	[-100,999]	5	60	0	260	200	[(26934,12),(27368,1),(25828,288000)]	[(26934,12),(27368,1)]	288000	0
58	34	星灵超值大礼二	1	[-100,999]	3	60	0	770	600	[(26934,36),(27369,1),(25828,888000)]	[(26934,36),(27369,1)]	888000	0
59	35	星灵超值大礼三	1	[-100,999]	1	60	0	3222	2400	[(26934,150),(27490,1),(25828,1880000)]	[(26934,150),(27490,1)]	1880000	0
60	36	星灵特惠礼包	1	[-100,30]	1	60	2500	7212	5000	[(26934,300),(27491,1)]	[(26934,300),(27491,1)]	0	0
61	36	星灵特惠礼包	2	[31,60]	1	60	2500	7812	5000	[(26934,330),(27491,1)]	[(26934,330),(27491,1)]	0	0
62	36	星灵特惠礼包	3	[61,120]	1	60	2500	8412	5000	[(26934,360),(27491,1)]	[(26934,360),(27491,1)]	0	0
63	36	星灵特惠礼包	4	[121,999]	1	60	2500	9012	5000	[(26934,400),(27491,1)]	[(26934,400),(27491,1)]	0	0
64	37	装备洗练超值大礼一	1	[-100,999]	5	100	0	320	216	[(27587,30),(27368,1),(25828,288000)]	[(27587,30),(27368,1)]	288000	0
65	38	装备洗练超值大礼二	1	[-100,999]	3	100	0	950	640	[(27587,90),(27369,1),(25828,888000)]	[(27587,90),(27369,1)]	888000	0
66	39	装备洗练超值大礼三	1	[-100,999]	1	100	0	3722	2480	[(27587,350),(27490,1),(25828,1880000)]	[(27587,350),(27490,1)]	1880000	0
67	40	装备洗练特惠礼包	1	[-100,30]	1	100	2500	7612	5000	[(27587,640),(27491,1)]	[(27587,640),(27491,1)]	0	0
68	40	装备洗练特惠礼包	2	[31,60]	1	100	2500	8212	5000	[(27587,700),(27491,1)]	[(27587,700),(27491,1)]	0	0
69	40	装备洗练特惠礼包	3	[61,120]	1	100	2500	8912	5000	[(27587,770),(27491,1)]	[(27587,770),(27491,1)]	0	0
70	40	装备洗练特惠礼包	4	[121,999]	1	100	2500	9712	5000	[(27587,850),(27491,1)]	[(27587,850),(27491,1)]	0	0
71	41	时装升星超值大礼一	1	[-100,999]	5	85	0	260	200	[(26677,12),(27368,1),(25828,288000)]	[(26677,12),(27368,1)]	288000	0
72	42	时装升星超值大礼二	1	[-100,999]	3	85	0	770	600	[(26677,36),(27369,1),(25828,888000)]	[(26677,36),(27369,1)]	888000	0
73	43	时装升星超值大礼三	1	[-100,999]	1	85	0	3222	2400	[(26677,150),(27490,1),(25828,1880000)]	[(26677,150),(27490,1)]	1880000	0
74	44	时装升星特惠礼包	1	[-100,30]	1	85	2500	7212	5000	[(26677,300),(27491,1)]	[(26677,300),(27491,1)]	0	0
75	44	时装升星特惠礼包	2	[31,60]	1	85	2500	7812	5000	[(26677,330),(27491,1)]	[(26677,330),(27491,1)]	0	0
76	44	时装升星特惠礼包	3	[61,120]	1	85	2500	8412	5000	[(26677,360),(27491,1)]	[(26677,360),(27491,1)]	0	0
77	44	时装升星特惠礼包	4	[121,999]	1	85	2500	9012	5000	[(26677,400),(27491,1)]	[(26677,400),(27491,1)]	0	0
78	45	神龙超值大礼一	1	[-100,999]	5	60	0	270	200	[(26925,5),(26924,5),(27368,1),(25828,288000)]	[(26925,5),(26924,5),(27368,1)]	288000	0
79	46	神龙超值大礼二	1	[-100,999]	3	60	0	800	588	[(26925,15),(26924,15),(27369,1),(25828,888000)]	[(26925,15),(26924,15),(27369,1)]	888000	0
80	47	神龙超值大礼三	1	[-100,999]	1	60	0	3222	2340	[(26925,60),(26924,60),(27490,1),(25828,1880000)]	[(26925,60),(26924,60),(27490,1)]	1880000	0
81	48	神龙特惠礼包	1	[-100,30]	1	60	2500	7212	5000	[(26925,120),(26924,120),(27491,1)]	[(26925,120),(26924,120),(27491,1)]	0	0
82	48	神龙特惠礼包	2	[31,60]	1	60	2500	7812	5000	[(26925,132),(26924,132),(27491,1)]	[(26925,132),(26924,132),(27491,1)]	0	0
83	48	神龙特惠礼包	3	[61,120]	1	60	2500	8412	5000	[(26925,144),(26924,144),(27491,1)]	[(26925,144),(26924,144),(27491,1)]	0	0
84	48	神龙特惠礼包	4	[121,999]	1	60	2500	9012	5000	[(26925,160),(26924,160),(27491,1)]	[(26925,160),(26924,160),(27491,1)]	0	0
85	49	时装进阶超值大礼一	1	[-100,999]	5	85	0	318	240	[(26676,1),(27368,1),(25828,288000)]	[(26676,1),(27368,1)]	288000	0
86	50	时装进阶超值大礼二	1	[-100,999]	3	85	0	944	712	[(26676,3),(27369,1),(25828,888000)]	[(26676,3),(27369,1)]	888000	0
87	51	时装进阶超值大礼三	1	[-100,999]	1	85	0	3202	2310	[(26676,10),(27490,1),(25828,1880000)]	[(26676,10),(27490,1)]	1880000	0
88	52	时装进阶特惠礼包	1	[-100,30]	1	85	2500	7172	5000	[(26676,20),(27491,1)]	[(26676,20),(27491,1)]	0	0
89	52	时装进阶特惠礼包	2	[31,60]	1	85	2500	7470	5000	[(26676,21),(27491,1)]	[(26676,21),(27491,1)]	0	0
90	52	时装进阶特惠礼包	3	[61,120]	1	85	2500	8066	5000	[(26676,23),(27491,1)]	[(26676,23),(27491,1)]	0	0
91	52	时装进阶特惠礼包	4	[121,999]	1	85	2500	8662	5000	[(26676,25),(27491,1)]	[(26676,25),(27491,1)]	0	0
92	53	龙脉升级超值大礼一	1	[-100,999]	5	90	0	260	200	[(27041,8),(27368,1),(25828,288000)]	[(27041,8),(27368,1)]	288000	0
93	54	龙脉升级超值大礼二	1	[-100,999]	3	90	0	770	600	[(27041,24),(27369,1),(25828,888000)]	[(27041,24),(27369,1)]	888000	0
94	55	龙脉升级超值大礼三	1	[-100,999]	1	90	0	3222	2400	[(27041,100),(27490,1),(25828,1880000)]	[(27041,100),(27490,1)]	1880000	0
95	56	龙脉升级特惠礼包	1	[-100,30]	1	90	2500	7212	5000	[(27041,200),(27491,1)]	[(27041,200),(27491,1)]	0	0
96	56	龙脉升级特惠礼包	2	[31,60]	1	90	2500	7512	5000	[(27041,210),(27491,1)]	[(27041,210),(27491,1)]	0	0
97	56	龙脉升级特惠礼包	3	[61,120]	1	90	2500	8112	5000	[(27041,230),(27491,1)]	[(27041,230),(27491,1)]	0	0
98	56	龙脉升级特惠礼包	4	[121,999]	1	90	2500	8712	5000	[(27041,250),(27491,1)]	[(27041,250),(27491,1)]	0	0
99	57	龙脉进化超值大礼一	1	[-100,999]	5	90	0	260	200	[(27042,8),(27368,1),(25828,288000)]	[(27042,8),(27368,1)]	288000	0
100	58	龙脉进化超值大礼二	1	[-100,999]	3	90	0	770	600	[(27042,24),(27369,1),(25828,888000)]	[(27042,24),(27369,1)]	888000	0
101	59	龙脉进化超值大礼三	1	[-100,999]	1	90	0	3222	2400	[(27042,100),(27490,1),(25828,1880000)]	[(27042,100),(27490,1)]	1880000	0
102	60	龙脉进化特惠礼包	1	[-100,30]	1	90	2500	7212	5000	[(27042,200),(27491,1)]	[(27042,200),(27491,1)]	0	0
103	60	龙脉进化特惠礼包	2	[31,60]	1	90	2500	7512	5000	[(27042,210),(27491,1)]	[(27042,210),(27491,1)]	0	0
104	60	龙脉进化特惠礼包	3	[61,120]	1	90	2500	8112	5000	[(27042,230),(27491,1)]	[(27042,230),(27491,1)]	0	0
105	60	龙脉进化特惠礼包	4	[121,999]	1	90	2500	8712	5000	[(27042,250),(27491,1)]	[(27042,250),(27491,1)]	0	0
106	61	雕纹超值大礼一	1	[-100,999]	5	80	0	308	225	[(28035,3),(27368,1),(25828,388000)]	[(28035,3),(27368,1)]	388000	0
107	62	雕纹超值大礼二	1	[-100,999]	3	80	0	818	600	[(28030,4),(27369,1),(25828,888000)]	[(28030,4),(27369,1)]	888000	0
108	63	雕纹超值大礼三	1	[-100,999]	1	80	0	3486	2500	[(28032,4),(28030,1),(27490,1),(25828,1880000)]	[(28032,4),(28030,1),(27490,1)]	1880000	0
109	64	雕纹特惠礼包	1	[-100,30]	1	80	2500	7356	5000	[(28043,1),(28042,1),(28031,4),(27491,1)]	[(28043,1),(28042,1),(28031,4),(27491,1)]	0	0
110	64	雕纹特惠礼包	2	[31,60]	1	80	2500	7740	5000	[(28043,1),(28042,1),(28031,5),(27491,1)]	[(28043,1),(28042,1),(28031,5),(27491,1)]	0	0
111	64	雕纹特惠礼包	3	[61,120]	1	80	2500	8124	5000	[(28043,1),(28042,1),(28031,6),(27491,1)]	[(28043,1),(28042,1),(28031,6),(27491,1)]	0	0
112	64	雕纹特惠礼包	4	[121,999]	1	80	2500	8508	5000	[(28043,1),(28042,1),(28031,7),(27491,1)]	[(28043,1),(28042,1),(28031,7),(27491,1)]	0	0
113	65	坐骑进化超值大礼一	1	[-100,999]	5	40	0	270	200	[(27566,5),(27368,1),(25828,288000)]	[(27566,5),(27368,1)]	288000	0
114	66	坐骑进化超值大礼二	1	[-100,999]	3	40	0	800	588	[(27566,15),(27369,1),(25828,888000)]	[(27566,15),(27369,1)]	888000	0
115	67	坐骑进化超值大礼三	1	[-100,999]	1	40	0	3222	2340	[(27566,60),(27490,1),(25828,1880000)]	[(27566,60),(27490,1)]	1880000	0
116	68	坐骑进化特惠礼包	1	[-100,30]	1	40	2500	7212	5000	[(27566,120),(27491,1)]	[(27566,120),(27491,1)]	0	0
117	68	坐骑进化特惠礼包	2	[31,60]	1	40	2500	7812	5000	[(27566,132),(27491,1)]	[(27566,132),(27491,1)]	0	0
118	68	坐骑进化特惠礼包	3	[61,120]	1	40	2500	8412	5000	[(27566,144),(27491,1)]	[(27566,144),(27491,1)]	0	0
119	68	坐骑进化特惠礼包	4	[121,999]	1	40	2500	9012	5000	[(27566,160),(27491,1)]	[(27566,160),(27491,1)]	0	0
