girlId	starLevel	girlName	maxStarlevel	maxBlessValue	successNeedMinBlessValue	failAddBlessValue	starLevelUpOdds	starLevelUpNeedItem	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce	passiveSkill	skill_rate	pskillIcon	starNotice	skillName	skillDes
1	10	金牛座星灵	20	2134	1493	1	156	(26934,1)	64000	0	0	25600	0	25600	0	3000	0	0	0	0	3000	0	0	[(3008,10),(3014,0),(3010,0),(3011,0)]	13000	jnxl04	10星可激活被动技能：#H#C(#00FF00)初始星灵增加25点怒气#n	金牛守护	#C(#ffffff)1.为主角提高#C(#ffd700)15000+星灵10%生命上限#n的生命#H2.攻击时降低目标#C(#ffd700)星灵攻击力10%#n的防御#C(#0066cc)(5星激活该技能)#n#H3.星灵暴击伤害提高10%#C(#0066cc)(8星激活该技能)#n#H4.初始星灵增加25怒气#C(#0066cc)(10星激活该技能)#n#H5.星灵增伤提高10%#C(#0066cc)(12星激活该技能)#n#H6.星灵攻击20%概率增加25点怒气#C(#0066cc)(14星激活该技能)#n#H7.星灵攻击30%概率眩晕目标1回合#C(#0066cc)(16星激活该技能)#n#H8.战斗中提升全队5%增伤及5%减伤#C(#0066cc)(18星激活该技能)#n#n
1	11	金牛座星灵	20	3137	2039	1	91	(26934,1)	74000	0	0	29600	0	29600	0	3500	0	0	0	0	3500	0	0	[(3008,11),(3014,0),(3010,0),(3011,0)]	14500	jnxl04		金牛守护	#C(#ffffff)1.为主角提高#C(#ffd700)16500+星灵10%生命上限#n的生命#H2.攻击时降低目标#C(#ffd700)星灵攻击力10%#n的防御#C(#0066cc)(5星激活该技能)#n#H3.星灵暴击伤害提高10%#C(#0066cc)(8星激活该技能)#n#H4.初始星灵增加25怒气#C(#0066cc)(10星激活该技能)#n#H5.星灵增伤提高10%#C(#0066cc)(12星激活该技能)#n#H6.星灵攻击20%概率增加25点怒气#C(#0066cc)(14星激活该技能)#n#H7.星灵攻击30%概率眩晕目标1回合#C(#0066cc)(16星激活该技能)#n#H8.战斗中提升全队5%增伤及5%减伤#C(#0066cc)(18星激活该技能)#n#n
1	12	金牛座星灵	20	4287	2786	1	66	(26934,1)	84000	0	0	33600	0	33600	0	4000	0	0	0	0	4000	0	0	[(3008,12),(3014,0),(3010,0),(3011,0),(3009,0)]	14500	jnxl04	12星可激活被动技能：#H#C(#00FF00)星灵增伤提高10%#n	金牛守护	#C(#ffffff)1.为主角提高#C(#ffd700)18000+星灵10%生命上限#n的生命#H2.攻击时降低目标#C(#ffd700)星灵攻击力10%#n的防御#C(#0066cc)(5星激活该技能)#n#H3.星灵暴击伤害提高10%#C(#0066cc)(8星激活该技能)#n#H4.初始星灵增加25怒气#C(#0066cc)(10星激活该技能)#n#H5.星灵增伤提高10%#C(#0066cc)(12星激活该技能)#n#H6.星灵攻击20%概率增加25点怒气#C(#0066cc)(14星激活该技能)#n#H7.星灵攻击30%概率眩晕目标1回合#C(#0066cc)(16星激活该技能)#n#H8.战斗中提升全队5%增伤及5%减伤#C(#0066cc)(18星激活该技能)#n#n
1	13	金牛座星灵	20	5787	3761	1	49	(26934,1)	94000	0	0	37600	0	37600	0	4500	0	0	0	0	4500	0	0	[(3008,13),(3014,0),(3010,0),(3011,0),(3009,0)]	14500	jnxl04		金牛守护	#C(#ffffff)1.为主角提高#C(#ffd700)19500+星灵10%生命上限#n的生命#H2.攻击时降低目标#C(#ffd700)星灵攻击力10%#n的防御#C(#0066cc)(5星激活该技能)#n#H3.星灵暴击伤害提高10%#C(#0066cc)(8星激活该技能)#n#H4.初始星灵增加25怒气#C(#0066cc)(10星激活该技能)#n#H5.星灵增伤提高10%#C(#0066cc)(12星激活该技能)#n#H6.星灵攻击20%概率增加25点怒气#C(#0066cc)(14星激活该技能)#n#H7.星灵攻击30%概率眩晕目标1回合#C(#0066cc)(16星激活该技能)#n#H8.战斗中提升全队5%增伤及5%减伤#C(#0066cc)(18星激活该技能)#n#n
1	14	金牛座星灵	20	7537	4899	1	37	(26934,1)	104000	0	0	41600	0	41600	0	5000	0	0	0	0	5000	0	0	[(3008,14),(3014,0),(3010,0),(3011,0),(3009,0),(3013,0)]	16000	jnxl04	14星可激活被动技能：#H#C(#00FF00)攻击20%概率增加25点怒气#n	金牛守护	#C(#ffffff)1.为主角提高#C(#ffd700)21000+星灵10%生命上限#n的生命#H2.攻击时降低目标#C(#ffd700)星灵攻击力10%#n的防御#C(#0066cc)(5星激活该技能)#n#H3.星灵暴击伤害提高10%#C(#0066cc)(8星激活该技能)#n#H4.初始星灵增加25怒气#C(#0066cc)(10星激活该技能)#n#H5.星灵增伤提高10%#C(#0066cc)(12星激活该技能)#n#H6.星灵攻击20%概率增加25点怒气#C(#0066cc)(14星激活该技能)#n#H7.星灵攻击30%概率眩晕目标1回合#C(#0066cc)(16星激活该技能)#n#H8.战斗中提升全队5%增伤及5%减伤#C(#0066cc)(18星激活该技能)#n#n
1	15	金牛座星灵	20	9787	6361	1	29	(26934,1)	114000	0	0	45600	0	45600	0	5500	0	0	0	0	5500	0	0	[(3008,15),(3014,0),(3010,0),(3011,0),(3009,0),(3013,0)]	16000	jnxl04		金牛守护	#C(#ffffff)1.为主角提高#C(#ffd700)22500+星灵10%生命上限#n的生命#H2.攻击时降低目标#C(#ffd700)星灵攻击力10%#n的防御#C(#0066cc)(5星激活该技能)#n#H3.星灵暴击伤害提高10%#C(#0066cc)(8星激活该技能)#n#H4.初始星灵增加25怒气#C(#0066cc)(10星激活该技能)#n#H5.星灵增伤提高10%#C(#0066cc)(12星激活该技能)#n#H6.星灵攻击20%概率增加25点怒气#C(#0066cc)(14星激活该技能)#n#H7.星灵攻击30%概率眩晕目标1回合#C(#0066cc)(16星激活该技能)#n#H8.战斗中提升全队5%增伤及5%减伤#C(#0066cc)(18星激活该技能)#n#n
1	16	金牛座星灵	20	12537	8149	1	22	(26934,1)	124000	0	0	49600	0	49600	0	6000	0	0	0	0	6000	0	0	[(3008,16),(3014,0),(3010,0),(3011,0),(3009,0),(3013,0),(3012,0)]	16000	jnxl04	16星可激活被动技能：#H#C(#00FF00)星灵有30%概率眩晕攻击目标1回合#n	金牛守护	#C(#ffffff)1.为主角提高#C(#ffd700)24000+星灵10%生命上限#n的生命#H2.攻击时降低目标#C(#ffd700)星灵攻击力10%#n的防御#C(#0066cc)(5星激活该技能)#n#H3.星灵暴击伤害提高10%#C(#0066cc)(8星激活该技能)#n#H4.初始星灵增加25怒气#C(#0066cc)(10星激活该技能)#n#H5.星灵增伤提高10%#C(#0066cc)(12星激活该技能)#n#H6.星灵攻击20%概率增加25点怒气#C(#0066cc)(14星激活该技能)#n#H7.星灵攻击30%概率眩晕目标1回合#C(#0066cc)(16星激活该技能)#n#H8.战斗中提升全队5%增伤及5%减伤#C(#0066cc)(18星激活该技能)#n#n
1	17	金牛座星灵	20	15537	10099	1	18	(26934,1)	134000	0	0	53600	0	53600	0	6500	0	0	0	0	6500	0	0	[(3008,17),(3014,0),(3010,0),(3011,0),(3009,0),(3013,0),(3012,0)]	18000	jnxl04		金牛守护	#C(#ffffff)1.为主角提高#C(#ffd700)25500+星灵10%生命上限#n的生命#H2.攻击时降低目标#C(#ffd700)星灵攻击力10%#n的防御#C(#0066cc)(5星激活该技能)#n#H3.星灵暴击伤害提高10%#C(#0066cc)(8星激活该技能)#n#H4.初始星灵增加25怒气#C(#0066cc)(10星激活该技能)#n#H5.星灵增伤提高10%#C(#0066cc)(12星激活该技能)#n#H6.星灵攻击20%概率增加25点怒气#C(#0066cc)(14星激活该技能)#n#H7.星灵攻击30%概率眩晕目标1回合#C(#0066cc)(16星激活该技能)#n#H8.战斗中提升全队5%增伤及5%减伤#C(#0066cc)(18星激活该技能)#n#n
1	18	金牛座星灵	20	19287	12536	1	14	(26934,1)	150000	0	0	60000	0	60000	0	7000	0	0	0	0	7000	0	0	[(3008,18),(3014,0),(3010,0),(3011,0),(3009,0),(3013,0),(3012,0),(3016,0)]	18000	jnxl04	18星可激活被动技能：#H#C(#00FF00)进入战斗时提升己方全队5%增伤和5%减伤#n	金牛守护	#C(#ffffff)1.为主角提高#C(#ffd700)27000+星灵10%生命上限#n的生命#H2.攻击时降低目标#C(#ffd700)星灵攻击力10%#n的防御#C(#0066cc)(5星激活该技能)#n#H3.星灵暴击伤害提高10%#C(#0066cc)(8星激活该技能)#n#H4.初始星灵增加25怒气#C(#0066cc)(10星激活该技能)#n#H5.星灵增伤提高10%#C(#0066cc)(12星激活该技能)#n#H6.星灵攻击20%概率增加25点怒气#C(#0066cc)(14星激活该技能)#n#H7.星灵攻击30%概率眩晕目标1回合#C(#0066cc)(16星激活该技能)#n#H8.战斗中提升全队5%增伤及5%减伤#C(#0066cc)(18星激活该技能)#n#n
1	19	金牛座星灵	20	23662	15380	1	12	(26934,1)	170000	0	0	68000	0	68000	0	7500	0	0	0	0	7500	0	0	[(3008,19),(3014,0),(3010,0),(3011,0),(3009,0),(3013,0),(3012,0),(3016,0)]	18000	jnxl04		金牛守护	#C(#ffffff)1.为主角提高#C(#ffd700)28500+星灵10%生命上限#n的生命#H2.攻击时降低目标#C(#ffd700)星灵攻击力10%#n的防御#C(#0066cc)(5星激活该技能)#n#H3.星灵暴击伤害提高10%#C(#0066cc)(8星激活该技能)#n#H4.初始星灵增加25怒气#C(#0066cc)(10星激活该技能)#n#H5.星灵增伤提高10%#C(#0066cc)(12星激活该技能)#n#H6.星灵攻击20%概率增加25点怒气#C(#0066cc)(14星激活该技能)#n#H7.星灵攻击30%概率眩晕目标1回合#C(#0066cc)(16星激活该技能)#n#H8.战斗中提升全队5%增伤及5%减伤#C(#0066cc)(18星激活该技能)#n#n
1	20	金牛座星灵	20	999999	999999	1	18	(26934,1)	190000	0	0	76000	0	76000	0	8000	0	0	0	0	8000	0	0	[(3008,20),(3014,0),(3010,0),(3011,0),(3009,0),(3013,0),(3012,0),(3016,0)]	20000	jnxl04		金牛守护	#C(#ffffff)1.为主角提高#C(#ffd700)30000+星灵10%生命上限#n的生命#H2.攻击时降低目标#C(#ffd700)星灵攻击力10%#n的防御#C(#0066cc)(5星激活该技能)#n#H3.星灵暴击伤害提高10%#C(#0066cc)(8星激活该技能)#n#H4.初始星灵增加25怒气#C(#0066cc)(10星激活该技能)#n#H5.星灵增伤提高10%#C(#0066cc)(12星激活该技能)#n#H6.星灵攻击20%概率增加25点怒气#C(#0066cc)(14星激活该技能)#n#H7.星灵攻击30%概率眩晕目标1回合#C(#0066cc)(16星激活该技能)#n#H8.战斗中提升全队5%增伤及5%减伤#C(#0066cc)(18星激活该技能)#n#n
2	1	处女座星灵	20	16	4	1	14285	(26934,1)	6000	0	0	2400	0	2400	0	300	0	0	0	0	300	0	0	[(3000,1)]	10000	jnxl02		处女守护	#C(#ffffff)1.为主角提高#C(#ffd700)1500+星灵10%生命上限#n的生命值#H2.护盾额外增加等于星灵攻击10%的伤害吸收值#C(#0066cc)(5星激活该技能)#n#H3.护盾吸收效果提高50%#C(#0066cc)(8星激活该技能)#n#H4.初始星灵增加25怒气#C(#0066cc)(10星激活该技能)#n#H5.护盾反弹10%伤害，最大反伤值不超过星灵生命值的50%#C(#0066cc)(12星激活该技能)#n#H6.星灵释放技能时，20%概率增加25点怒气#C(#0066cc)(14星激活该技能)#n#H7.主角血量低于30%，免伤50%2回合#C(#0066cc)(16星激活该技能)#n#H8.进入战斗时提升全队5%增伤及5%减伤#C(#0066cc)(18星激活该技能)#n#n
2	2	处女座星灵	20	40	8	1	5555	(26934,1)	12000	0	0	4800	0	4800	0	500	0	0	0	0	500	0	0	[(3000,2)]	10000	jnxl02		处女守护	#C(#ffffff)1.为主角提高#C(#ffd700)3000+星灵10%生命上限#n的生命值#H2.护盾额外增加等于星灵攻击10%的伤害吸收值#C(#0066cc)(5星激活该技能)#n#H3.护盾吸收效果提高50%#C(#0066cc)(8星激活该技能)#n#H4.初始星灵增加25怒气#C(#0066cc)(10星激活该技能)#n#H5.护盾反弹10%伤害，最大反伤值不超过星灵生命值的50%#C(#0066cc)(12星激活该技能)#n#H6.星灵释放技能时，20%概率增加25点怒气#C(#0066cc)(14星激活该技能)#n#H7.主角血量低于30%，免伤50%2回合#C(#0066cc)(16星激活该技能)#n#H8.进入战斗时提升全队5%增伤及5%减伤#C(#0066cc)(18星激活该技能)#n#n
2	3	处女座星灵	20	97	20	1	2564	(26934,1)	18000	0	0	7200	0	7200	0	800	0	0	0	0	800	0	0	[(3000,3)]	10000	jnxl02		处女守护	#C(#ffffff)1.为主角提高#C(#ffd700)4500+星灵10%生命上限#n的生命值#H2.护盾额外增加等于星灵攻击10%的伤害吸收值#C(#0066cc)(5星激活该技能)#n#H3.护盾吸收效果提高50%#C(#0066cc)(8星激活该技能)#n#H4.初始星灵增加25怒气#C(#0066cc)(10星激活该技能)#n#H5.护盾反弹10%伤害，最大反伤值不超过星灵生命值的50%#C(#0066cc)(12星激活该技能)#n#H6.星灵释放技能时，20%概率增加25点怒气#C(#0066cc)(14星激活该技能)#n#H7.主角血量低于30%，免伤50%2回合#C(#0066cc)(16星激活该技能)#n#H8.进入战斗时提升全队5%增伤及5%减伤#C(#0066cc)(18星激活该技能)#n#n
2	4	处女座星灵	20	198	40	1	1666	(26934,1)	24000	0	0	9600	0	9600	0	1000	0	0	0	0	1000	0	0	[(3000,4)]	10000	jnxl02		处女守护	#C(#ffffff)1.为主角提高#C(#ffd700)6000+星灵10%生命上限#n的生命值#H2.护盾额外增加等于星灵攻击10%的伤害吸收值#C(#0066cc)(5星激活该技能)#n#H3.护盾吸收效果提高50%#C(#0066cc)(8星激活该技能)#n#H4.初始星灵增加25怒气#C(#0066cc)(10星激活该技能)#n#H5.护盾反弹10%伤害，最大反伤值不超过星灵生命值的50%#C(#0066cc)(12星激活该技能)#n#H6.星灵释放技能时，20%概率增加25点怒气#C(#0066cc)(14星激活该技能)#n#H7.主角血量低于30%，免伤50%2回合#C(#0066cc)(16星激活该技能)#n#H8.进入战斗时提升全队5%增伤及5%减伤#C(#0066cc)(18星激活该技能)#n#n
2	5	处女座星灵	20	335	67	1	746	(26934,1)	30000	0	0	12000	0	12000	0	1200	0	0	0	0	1200	0	0	[(3000,5),(3001,0)]	11500	jnxl02	5星可激活被动技能：#H#C(#00FF00)护盾额外增加等于#C(#ffd700)星灵攻击力10%#n的伤害吸收值#n	处女守护	#C(#ffffff)1.为主角提高#C(#ffd700)7500+星灵10%生命上限#n的生命值#H2.护盾额外增加等于星灵攻击10%的伤害吸收值#C(#0066cc)(5星激活该技能)#n#H3.护盾吸收效果提高50%#C(#0066cc)(8星激活该技能)#n#H4.初始星灵增加25怒气#C(#0066cc)(10星激活该技能)#n#H5.护盾反弹10%伤害，最大反伤值不超过星灵生命值的50%#C(#0066cc)(12星激活该技能)#n#H6.星灵释放技能时，20%概率增加25点怒气#C(#0066cc)(14星激活该技能)#n#H7.主角血量低于30%，免伤50%2回合#C(#0066cc)(16星激活该技能)#n#H8.进入战斗时提升全队5%增伤及5%减伤#C(#0066cc)(18星激活该技能)#n#n
2	6	处女座星灵	20	535	347	1	531	(26934,1)	36000	0	0	14400	0	14400	0	1500	0	0	0	0	1500	0	0	[(3000,6),(3001,0)]	11500	jnxl02		处女守护	#C(#ffffff)1.为主角提高#C(#ffd700)9000+星灵10%生命上限#n的生命值#H2.护盾额外增加等于星灵攻击10%的伤害吸收值#C(#0066cc)(5星激活该技能)#n#H3.护盾吸收效果提高50%#C(#0066cc)(8星激活该技能)#n#H4.初始星灵增加25怒气#C(#0066cc)(10星激活该技能)#n#H5.护盾反弹10%伤害，最大反伤值不超过星灵生命值的50%#C(#0066cc)(12星激活该技能)#n#H6.星灵释放技能时，20%概率增加25点怒气#C(#0066cc)(14星激活该技能)#n#H7.主角血量低于30%，免伤50%2回合#C(#0066cc)(16星激活该技能)#n#H8.进入战斗时提升全队5%增伤及5%减伤#C(#0066cc)(18星激活该技能)#n#n
2	7	处女座星灵	20	735	514	1	452	(26934,1)	42000	0	0	16800	0	16800	0	1800	0	0	0	0	1800	0	0	[(3000,7),(3001,0)]	11500	jnxl02		处女守护	#C(#ffffff)1.为主角提高#C(#ffd700)10500+星灵10%生命上限#n的生命值#H2.护盾额外增加等于星灵攻击10%的伤害吸收值#C(#0066cc)(5星激活该技能)#n#H3.护盾吸收效果提高50%#C(#0066cc)(8星激活该技能)#n#H4.初始星灵增加25怒气#C(#0066cc)(10星激活该技能)#n#H5.护盾反弹10%伤害，最大反伤值不超过星灵生命值的50%#C(#0066cc)(12星激活该技能)#n#H6.星灵释放技能时，20%概率增加25点怒气#C(#0066cc)(14星激活该技能)#n#H7.主角血量低于30%，免伤50%2回合#C(#0066cc)(16星激活该技能)#n#H8.进入战斗时提升全队5%增伤及5%减伤#C(#0066cc)(18星激活该技能)#n#n
2	8	处女座星灵	20	1101	748	1	283	(26934,1)	48000	0	0	19200	0	19200	0	2100	0	0	0	0	2100	0	0	[(3000,8),(3001,0),(3004,0)]	13000	jnxl02	8星可激活被动技能：#H#C(#00FF00)护盾吸收效果提高50%#n	处女守护	#C(#ffffff)1.为主角提高#C(#ffd700)12000+星灵10%生命上限#n的生命值#H2.护盾额外增加等于星灵攻击10%的伤害吸收值#C(#0066cc)(5星激活该技能)#n#H3.护盾吸收效果提高50%#C(#0066cc)(8星激活该技能)#n#H4.初始星灵增加25怒气#C(#0066cc)(10星激活该技能)#n#H5.护盾反弹10%伤害，最大反伤值不超过星灵生命值的50%#C(#0066cc)(12星激活该技能)#n#H6.星灵释放技能时，20%概率增加25点怒气#C(#0066cc)(14星激活该技能)#n#H7.主角血量低于30%，免伤50%2回合#C(#0066cc)(16星激活该技能)#n#H8.进入战斗时提升全队5%增伤及5%减伤#C(#0066cc)(18星激活该技能)#n#n
2	9	处女座星灵	20	1412	988	1	235	(26934,1)	56000	0	0	22400	0	22400	0	2400	0	0	0	0	2400	0	0	[(3000,9),(3001,0),(3004,0)]	13000	jnxl02		处女守护	#C(#ffffff)1.为主角提高#C(#ffd700)13500+星灵10%生命上限#n的生命值#H2.护盾额外增加等于星灵攻击10%的伤害吸收值#C(#0066cc)(5星激活该技能)#n#H3.护盾吸收效果提高50%#C(#0066cc)(8星激活该技能)#n#H4.初始星灵增加25怒气#C(#0066cc)(10星激活该技能)#n#H5.护盾反弹10%伤害，最大反伤值不超过星灵生命值的50%#C(#0066cc)(12星激活该技能)#n#H6.星灵释放技能时，20%概率增加25点怒气#C(#0066cc)(14星激活该技能)#n#H7.主角血量低于30%，免伤50%2回合#C(#0066cc)(16星激活该技能)#n#H8.进入战斗时提升全队5%增伤及5%减伤#C(#0066cc)(18星激活该技能)#n#n
