level	rongyu	pub	TrainTower1	TrainTower2	TrainTower3	TrainTower4	TrainTower5	TrainTower6	TrainTower7	MonsterAbattoir	DailyTask	run	RoyalCalendar
48	4800	57600	19200	19200	19200	19200	19200	19200	19200	14400	378000	360000	378000
49	4900	58800	19600	19600	19600	19600	19600	19600	19600	14700	389000	367500	389000
50	5000	60000	20000	20000	20000	20000	20000	20000	20000	15000	400000	375000	400000
51	5100	61200	20400	20400	20400	20400	20400	20400	20400	15300	411000	382500	411000
52	5200	62400	20800	20800	20800	20800	20800	20800	20800	15600	422000	390000	422000
53	5300	63600	21200	21200	21200	21200	21200	21200	21200	15900	433000	397500	433000
54	5400	64800	21600	21600	21600	21600	21600	21600	21600	16200	444000	405000	444000
55	5500	66000	22000	22000	22000	22000	22000	22000	22000	16500	455000	412500	455000
56	5600	67200	22400	22400	22400	22400	22400	22400	22400	16800	466000	420000	466000
57	5700	68400	22800	22800	22800	22800	22800	22800	22800	17100	477000	427500	477000
58	5800	69600	23200	23200	23200	23200	23200	23200	23200	17400	488000	435000	488000
59	5900	70800	23600	23600	23600	23600	23600	23600	23600	17700	499000	442500	499000
60	6000	72000	24000	24000	24000	24000	24000	24000	24000	18000	510000	450000	510000
61	6100	73200	24400	24400	24400	24400	24400	24400	24400	18300	521000	457500	521000
62	6200	74400	24800	24800	24800	24800	24800	24800	24800	18600	532000	465000	532000
63	6300	75600	25200	25200	25200	25200	25200	25200	25200	18900	543000	472500	543000
64	6400	76800	25600	25600	25600	25600	25600	25600	25600	19200	554000	480000	554000
65	6500	78000	26000	26000	26000	26000	26000	26000	26000	19500	565000	487500	565000
66	6600	79200	26400	26400	26400	26400	26400	26400	26400	19800	576000	495000	576000
67	6700	80400	26800	26800	26800	26800	26800	26800	26800	20100	587000	502500	587000
68	6800	81600	27200	27200	27200	27200	27200	27200	27200	20400	598000	510000	598000
69	6900	82800	27600	27600	27600	27600	27600	27600	27600	20700	609000	517500	609000
70	7000	84000	28000	28000	28000	28000	28000	28000	28000	21000	620000	525000	620000
71	7100	85200	28400	28400	28400	28400	28400	28400	28400	21300	631000	532500	631000
72	7200	86400	28800	28800	28800	28800	28800	28800	28800	21600	642000	540000	642000
73	7300	87600	29200	29200	29200	29200	29200	29200	29200	21900	653000	547500	653000
74	7400	88800	29600	29600	29600	29600	29600	29600	29600	22200	664000	555000	664000
75	7500	90000	30000	30000	30000	30000	30000	30000	30000	22500	675000	562500	675000
76	7600	91200	30400	30400	30400	30400	30400	30400	30400	22800	686000	570000	686000
77	7700	92400	30800	30800	30800	30800	30800	30800	30800	23100	697000	577500	697000
78	7800	93600	31200	31200	31200	31200	31200	31200	31200	23400	708000	585000	708000
79	7900	94800	31600	31600	31600	31600	31600	31600	31600	23700	719000	592500	719000
80	8000	96000	32000	32000	32000	32000	32000	32000	32000	24000	730000	600000	730000
81	8100	97200	32400	32400	32400	32400	32400	32400	32400	24300	741000	607500	741000
82	8200	98400	32800	32800	32800	32800	32800	32800	32800	24600	752000	615000	752000
83	8300	99600	33200	33200	33200	33200	33200	33200	33200	24900	763000	622500	763000
84	8400	100800	33600	33600	33600	33600	33600	33600	33600	25200	774000	630000	774000
85	8500	102000	34000	34000	34000	34000	34000	34000	34000	25500	785000	637500	785000
86	8600	103200	34400	34400	34400	34400	34400	34400	34400	25800	796000	645000	796000
87	8700	104400	34800	34800	34800	34800	34800	34800	34800	26100	807000	652500	807000
88	8800	105600	35200	35200	35200	35200	35200	35200	35200	26400	818000	660000	818000
89	8900	106800	35600	35600	35600	35600	35600	35600	35600	26700	829000	667500	829000
90	9000	108000	36000	36000	36000	36000	36000	36000	36000	27000	840000	675000	840000
91	9100	109200	36400	36400	36400	36400	36400	36400	36400	27300	851000	682500	851000
92	9200	110400	36800	36800	36800	36800	36800	36800	36800	27600	862000	690000	862000
93	9300	111600	37200	37200	37200	37200	37200	37200	37200	27900	873000	697500	873000
94	9400	112800	37600	37600	37600	37600	37600	37600	37600	28200	884000	705000	884000
95	9500	114000	38000	38000	38000	38000	38000	38000	38000	28500	895000	712500	895000
96	9600	115200	38400	38400	38400	38400	38400	38400	38400	28800	906000	720000	906000
97	9700	116400	38800	38800	38800	38800	38800	38800	38800	29100	917000	727500	917000
98	9800	117600	39200	39200	39200	39200	39200	39200	39200	29400	928000	735000	928000
99	9900	118800	39600	39600	39600	39600	39600	39600	39600	29700	939000	742500	939000
100	10000	120000	40000	40000	40000	40000	40000	40000	40000	30000	950000	750000	950000
101	10100	121200	40400	40400	40400	40400	40400	40400	40400	30300	961000	757500	961000
102	10200	122400	40800	40800	40800	40800	40800	40800	40800	30600	972000	765000	972000
103	10300	123600	41200	41200	41200	41200	41200	41200	41200	30900	983000	772500	983000
104	10400	124800	41600	41600	41600	41600	41600	41600	41600	31200	994000	780000	994000
105	10500	126000	42000	42000	42000	42000	42000	42000	42000	31500	1005000	787500	1005000
106	10600	127200	42400	42400	42400	42400	42400	42400	42400	31800	1016000	795000	1016000
107	10700	128400	42800	42800	42800	42800	42800	42800	42800	32100	1027000	802500	1027000
108	10800	129600	43200	43200	43200	43200	43200	43200	43200	32400	1038000	810000	1038000
109	10900	130800	43600	43600	43600	43600	43600	43600	43600	32700	1049000	817500	1049000
110	11000	132000	44000	44000	44000	44000	44000	44000	44000	33000	1060000	825000	1060000
111	11100	133200	44400	44400	44400	44400	44400	44400	44400	33300	1071000	832500	1071000
112	11200	134400	44800	44800	44800	44800	44800	44800	44800	33600	1082000	840000	1082000
113	11300	135600	45200	45200	45200	45200	45200	45200	45200	33900	1093000	847500	1093000
114	11400	136800	45600	45600	45600	45600	45600	45600	45600	34200	1104000	855000	1104000
115	11500	138000	46000	46000	46000	46000	46000	46000	46000	34500	1115000	862500	1115000
116	11600	139200	46400	46400	46400	46400	46400	46400	46400	34800	1126000	870000	1126000
117	11700	140400	46800	46800	46800	46800	46800	46800	46800	35100	1137000	877500	1137000
118	11800	141600	47200	47200	47200	47200	47200	47200	47200	35400	1148000	885000	1148000
119	11900	142800	47600	47600	47600	47600	47600	47600	47600	35700	1159000	892500	1159000
120	12000	144000	48000	48000	48000	48000	48000	48000	48000	36000	1170000	900000	1170000
121	12100	145200	48400	48400	48400	48400	48400	48400	48400	36300	1181000	907500	1181000
122	12200	146400	48800	48800	48800	48800	48800	48800	48800	36600	1192000	915000	1192000
123	12300	147600	49200	49200	49200	49200	49200	49200	49200	36900	1203000	922500	1203000
124	12400	148800	49600	49600	49600	49600	49600	49600	49600	37200	1214000	930000	1214000
125	12500	150000	50000	50000	50000	50000	50000	50000	50000	37500	1225000	937500	1225000
126	12600	151200	50400	50400	50400	50400	50400	50400	50400	37800	1236000	945000	1236000
127	12700	152400	50800	50800	50800	50800	50800	50800	50800	38100	1247000	952500	1247000
128	12800	153600	51200	51200	51200	51200	51200	51200	51200	38400	1258000	960000	1258000
129	12900	154800	51600	51600	51600	51600	51600	51600	51600	38700	1269000	967500	1269000
130	13000	156000	52000	52000	52000	52000	52000	52000	52000	39000	1280000	975000	1280000
131	13100	157200	52400	52400	52400	52400	52400	52400	52400	39300	1291000	982500	1291000
132	13200	158400	52800	52800	52800	52800	52800	52800	52800	39600	1302000	990000	1302000
133	13300	159600	53200	53200	53200	53200	53200	53200	53200	39900	1313000	997500	1313000
134	13400	160800	53600	53600	53600	53600	53600	53600	53600	40200	1324000	1005000	1324000
135	13500	162000	54000	54000	54000	54000	54000	54000	54000	40500	1335000	1012500	1335000
136	13600	163200	54400	54400	54400	54400	54400	54400	54400	40800	1346000	1020000	1346000
137	13700	164400	54800	54800	54800	54800	54800	54800	54800	41100	1357000	1027500	1357000
138	13800	165600	55200	55200	55200	55200	55200	55200	55200	41400	1368000	1035000	1368000
139	13900	166800	55600	55600	55600	55600	55600	55600	55600	41700	1379000	1042500	1379000
140	14000	168000	56000	56000	56000	56000	56000	56000	56000	42000	1390000	1050000	1390000
141	14100	169200	56400	56400	56400	56400	56400	56400	56400	42300	1401000	1057500	1401000
142	14200	170400	56800	56800	56800	56800	56800	56800	56800	42600	1412000	1065000	1412000
143	14300	171600	57200	57200	57200	57200	57200	57200	57200	42900	1423000	1072500	1423000
144	14400	172800	57600	57600	57600	57600	57600	57600	57600	43200	1434000	1080000	1434000
145	14500	174000	58000	58000	58000	58000	58000	58000	58000	43500	1445000	1087500	1445000
146	14600	175200	58400	58400	58400	58400	58400	58400	58400	43800	1456000	1095000	1456000
147	14700	176400	58800	58800	58800	58800	58800	58800	58800	44100	1467000	1102500	1467000
148	14800	177600	59200	59200	59200	59200	59200	59200	59200	44400	1478000	1110000	1478000
149	14900	178800	59600	59600	59600	59600	59600	59600	59600	44700	1489000	1117500	1489000
150	15000	180000	60000	60000	60000	60000	60000	60000	60000	45000	1500000	1125000	1500000
151	15100	181200	60400	60400	60400	60400	60400	60400	60400	45300	1511000	1132500	1511000
152	15200	182400	60800	60800	60800	60800	60800	60800	60800	45600	1522000	1140000	1522000
153	15300	183600	61200	61200	61200	61200	61200	61200	61200	45900	1533000	1147500	1533000
154	15400	184800	61600	61600	61600	61600	61600	61600	61600	46200	1544000	1155000	1544000
155	15500	186000	62000	62000	62000	62000	62000	62000	62000	46500	1555000	1162500	1555000
156	15600	187200	62400	62400	62400	62400	62400	62400	62400	46800	1566000	1170000	1566000
157	15700	188400	62800	62800	62800	62800	62800	62800	62800	47100	1577000	1177500	1577000
158	15800	189600	63200	63200	63200	63200	63200	63200	63200	47400	1588000	1185000	1588000
159	15900	190800	63600	63600	63600	63600	63600	63600	63600	47700	1599000	1192500	1599000
160	16000	192000	64000	64000	64000	64000	64000	64000	64000	48000	1610000	1200000	1610000
